section,row,seat,price_usd,selection_type,scraped_at
110,P,1,,,2026-07-28T22:11:07Z
110,P,2,,,2026-07-28T22:11:07Z
110,P,23,,,2026-07-28T22:11:07Z
110,P,24,,,2026-07-28T22:11:07Z
110,Q,23,,,2026-07-28T22:11:07Z
110,Q,24,,,2026-07-28T22:11:07Z
111,AA,2,,,2026-07-28T22:11:07Z
111,AA,5,,,2026-07-28T22:11:07Z
111,AA,6,,,2026-07-28T22:11:07Z
111,AA,7,,,2026-07-28T22:11:07Z
111,AA,8,,,2026-07-28T22:11:07Z
111,AA,17,,,2026-07-28T22:11:07Z
111,AA,18,,,2026-07-28T22:11:07Z
111,BB,2,,,2026-07-28T22:11:07Z
111,BB,5,,,2026-07-28T22:11:07Z
111,BB,6,,,2026-07-28T22:11:07Z
111,BB,7,,,2026-07-28T22:11:07Z
111,BB,8,,,2026-07-28T22:11:07Z
111,BB,9,,,2026-07-28T22:11:07Z
111,BB,10,,,2026-07-28T22:11:07Z
111,BB,11,,,2026-07-28T22:11:07Z
111,BB,12,,,2026-07-28T22:11:07Z
111,BB,13,,,2026-07-28T22:11:07Z
111,BB,14,,,2026-07-28T22:11:07Z
111,BB,17,,,2026-07-28T22:11:07Z
111,BB,18,,,2026-07-28T22:11:07Z
111,CC,2,,,2026-07-28T22:11:07Z
111,CC,5,,,2026-07-28T22:11:07Z
111,CC,6,,,2026-07-28T22:11:07Z
111,CC,7,,,2026-07-28T22:11:07Z
111,CC,8,,,2026-07-28T22:11:07Z
111,CC,9,,,2026-07-28T22:11:07Z
111,CC,10,,,2026-07-28T22:11:07Z
111,CC,11,,,2026-07-28T22:11:07Z
111,CC,12,,,2026-07-28T22:11:07Z
111,CC,13,,,2026-07-28T22:11:07Z
111,CC,14,,,2026-07-28T22:11:07Z
111,CC,17,,,2026-07-28T22:11:07Z
111,CC,18,,,2026-07-28T22:11:07Z
111,DD,2,,,2026-07-28T22:11:07Z
111,DD,17,,,2026-07-28T22:11:07Z
111,DD,18,,,2026-07-28T22:11:07Z
111,EE,1,,,2026-07-28T22:11:07Z
111,EE,2,,,2026-07-28T22:11:07Z
111,FF,1,,,2026-07-28T22:11:07Z
111,FF,2,,,2026-07-28T22:11:07Z
111,GG,1,,,2026-07-28T22:11:07Z
111,GG,2,,,2026-07-28T22:11:07Z
111,HH,10,,,2026-07-28T22:11:07Z
111,HH,11,,,2026-07-28T22:11:07Z
111,HH,12,,,2026-07-28T22:11:07Z
111,HH,13,,,2026-07-28T22:11:07Z
111,HH,14,,,2026-07-28T22:11:07Z
111,II,2,,,2026-07-28T22:11:07Z
111,II,5,,,2026-07-28T22:11:07Z
111,II,6,,,2026-07-28T22:11:07Z
111,II,7,,,2026-07-28T22:11:07Z
111,II,8,,,2026-07-28T22:11:07Z
111,II,9,,,2026-07-28T22:11:07Z
111,II,10,,,2026-07-28T22:11:07Z
111,II,11,,,2026-07-28T22:11:07Z
111,II,12,,,2026-07-28T22:11:07Z
111,II,13,,,2026-07-28T22:11:07Z
111,II,14,,,2026-07-28T22:11:07Z
111,II,17,,,2026-07-28T22:11:07Z
111,II,18,,,2026-07-28T22:11:07Z
111,JJ,17,,,2026-07-28T22:11:07Z
111,JJ,18,,,2026-07-28T22:11:07Z
111,W,5,,,2026-07-28T22:11:07Z
111,W,6,,,2026-07-28T22:11:07Z
111,W,7,,,2026-07-28T22:11:07Z
111,W,8,,,2026-07-28T22:11:07Z
111,Z,1,,,2026-07-28T22:11:07Z
111,Z,2,,,2026-07-28T22:11:07Z
111,Z,17,,,2026-07-28T22:11:07Z
111,Z,18,,,2026-07-28T22:11:07Z
112,II,17,,,2026-07-28T22:11:07Z
112,II,18,,,2026-07-28T22:11:07Z
112,JJ,17,,,2026-07-28T22:11:07Z
112,JJ,18,,,2026-07-28T22:11:07Z
112,KK,17,,,2026-07-28T22:11:07Z
112,KK,18,,,2026-07-28T22:11:07Z
112,U,5,,,2026-07-28T22:11:07Z
112,U,6,,,2026-07-28T22:11:07Z
112,U,7,,,2026-07-28T22:11:07Z
112,U,8,,,2026-07-28T22:11:07Z
112,U,9,,,2026-07-28T22:11:07Z
112,U,10,,,2026-07-28T22:11:07Z
112,U,11,,,2026-07-28T22:11:07Z
112,U,12,,,2026-07-28T22:11:07Z
112,U,13,,,2026-07-28T22:11:07Z
112,U,14,,,2026-07-28T22:11:07Z
112,V,5,,,2026-07-28T22:11:07Z
112,V,6,,,2026-07-28T22:11:07Z
112,V,7,,,2026-07-28T22:11:07Z
112,V,8,,,2026-07-28T22:11:07Z
112,V,9,,,2026-07-28T22:11:07Z
112,V,10,,,2026-07-28T22:11:07Z
112,V,11,,,2026-07-28T22:11:07Z
112,V,12,,,2026-07-28T22:11:07Z
112,V,13,,,2026-07-28T22:11:07Z
112,V,14,,,2026-07-28T22:11:07Z
112,W,5,,,2026-07-28T22:11:07Z
112,W,6,,,2026-07-28T22:11:07Z
112,W,7,,,2026-07-28T22:11:07Z
112,W,8,,,2026-07-28T22:11:07Z
112,W,9,,,2026-07-28T22:11:07Z
112,W,10,,,2026-07-28T22:11:07Z
112,W,11,,,2026-07-28T22:11:07Z
112,W,12,,,2026-07-28T22:11:07Z
112,W,13,,,2026-07-28T22:11:07Z
112,W,14,,,2026-07-28T22:11:07Z
112,X,9,,,2026-07-28T22:11:07Z
112,X,10,,,2026-07-28T22:11:07Z
112,X,11,,,2026-07-28T22:11:07Z
112,X,12,,,2026-07-28T22:11:07Z
112,X,13,,,2026-07-28T22:11:07Z
112,X,14,,,2026-07-28T22:11:07Z
113,A,1,,,2026-07-28T22:11:07Z
113,A,2,,,2026-07-28T22:11:07Z
113,B,3,,,2026-07-28T22:11:07Z
113,B,4,,,2026-07-28T22:11:07Z
113,I,13,,,2026-07-28T22:11:07Z
113,I,14,,,2026-07-28T22:11:07Z
113,J,1,,,2026-07-28T22:11:07Z
113,J,2,,,2026-07-28T22:11:07Z
113,J,14,,,2026-07-28T22:11:07Z
113,J,15,,,2026-07-28T22:11:07Z
113,K,1,,,2026-07-28T22:11:07Z
113,K,2,,,2026-07-28T22:11:07Z
113,K,14,,,2026-07-28T22:11:07Z
113,K,15,,,2026-07-28T22:11:07Z
113,L,1,,,2026-07-28T22:11:07Z
