section,row,seat,price_usd,selection_type,scraped_at
L42,37,11,,,2026-07-25T19:13:17Z
L42,37,12,,,2026-07-25T19:13:17Z
L42,42,14,,,2026-07-25T19:13:17Z
L42,42,15,,,2026-07-25T19:13:17Z
G12,13,9,,,2026-07-25T19:13:17Z
G12,13,10,,,2026-07-25T19:13:17Z
G12,13,11,,,2026-07-25T19:13:17Z
G12,13,12,,,2026-07-25T19:13:17Z
G12,13,13,,,2026-07-25T19:13:17Z
G12,13,14,,,2026-07-25T19:13:17Z
B95,DD,7,,,2026-07-25T19:13:17Z
B95,DD,8,,,2026-07-25T19:13:17Z
G13,5,5,,,2026-07-25T19:13:17Z
G13,5,6,,,2026-07-25T19:13:17Z
G13,5,7,,,2026-07-25T19:13:17Z
G13,5,8,,,2026-07-25T19:13:17Z
G13,8,1,,,2026-07-25T19:13:17Z
G13,8,2,,,2026-07-25T19:13:17Z
G13,8,3,,,2026-07-25T19:13:17Z
G13,8,4,,,2026-07-25T19:13:17Z
G18,10,13,,,2026-07-25T19:13:17Z
G18,10,14,,,2026-07-25T19:13:17Z
G18,10,15,,,2026-07-25T19:13:17Z
G18,10,16,,,2026-07-25T19:13:17Z
G18,10,17,,,2026-07-25T19:13:17Z
G18,8,1,,,2026-07-25T19:13:17Z
G18,8,2,,,2026-07-25T19:13:17Z
G18,8,3,,,2026-07-25T19:13:17Z
G18,8,4,,,2026-07-25T19:13:17Z
G19,10,13,,,2026-07-25T19:13:17Z
G19,10,14,,,2026-07-25T19:13:17Z
G19,10,15,,,2026-07-25T19:13:17Z
G19,10,16,,,2026-07-25T19:13:17Z
G17,14,12,,,2026-07-25T19:13:17Z
G17,14,13,,,2026-07-25T19:13:17Z
G17,14,14,,,2026-07-25T19:13:17Z
G17,14,15,,,2026-07-25T19:13:17Z
G17,14,16,,,2026-07-25T19:13:17Z
G17,14,17,,,2026-07-25T19:13:17Z
G17,14,18,,,2026-07-25T19:13:17Z
G17,14,19,,,2026-07-25T19:13:17Z
G14,10,5,,,2026-07-25T19:13:17Z
G14,10,6,,,2026-07-25T19:13:17Z
G14,10,7,,,2026-07-25T19:13:17Z
G14,10,8,,,2026-07-25T19:13:17Z
G14,6,1,,,2026-07-25T19:13:17Z
G14,6,2,,,2026-07-25T19:13:17Z
G14,6,3,,,2026-07-25T19:13:17Z
G14,6,4,,,2026-07-25T19:13:17Z
G14,9,24,,,2026-07-25T19:13:17Z
G14,9,25,,,2026-07-25T19:13:17Z
B129,FF,5,,,2026-07-25T19:13:17Z
B129,FF,6,,,2026-07-25T19:13:17Z
B129,FF,7,,,2026-07-25T19:13:17Z
B129,FF,8,,,2026-07-25T19:13:17Z
B129,MM,7,,,2026-07-25T19:13:17Z
B129,MM,8,,,2026-07-25T19:13:17Z
L41,43,9,,,2026-07-25T19:13:17Z
L41,43,10,,,2026-07-25T19:13:17Z
L39,40,7,,,2026-07-25T19:13:17Z
L39,40,8,,,2026-07-25T19:13:17Z
B93,GG,8,,,2026-07-25T19:13:17Z
B93,GG,9,,,2026-07-25T19:13:17Z
B93,GG,10,,,2026-07-25T19:13:17Z
B93,GG,11,,,2026-07-25T19:13:17Z
B93,GG,12,,,2026-07-25T19:13:17Z
B93,GG,13,,,2026-07-25T19:13:17Z
B94,DD,11,,,2026-07-25T19:13:17Z
B94,DD,12,,,2026-07-25T19:13:17Z
B94,DD,13,,,2026-07-25T19:13:17Z
B94,DD,14,,,2026-07-25T19:13:17Z
B94,DD,15,,,2026-07-25T19:13:17Z
B94,DD,16,,,2026-07-25T19:13:17Z
B139,DD,3,,,2026-07-25T19:13:17Z
B139,DD,4,,,2026-07-25T19:13:17Z
B119,EE,3,,,2026-07-25T19:13:17Z
B119,EE,4,,,2026-07-25T19:13:17Z
F14,B,1,,,2026-07-25T19:13:17Z
F14,B,2,,,2026-07-25T19:13:17Z
F14,B,3,,,2026-07-25T19:13:17Z
F14,B,4,,,2026-07-25T19:13:17Z
R25,C,7,,,2026-07-25T19:13:17Z
R25,C,8,,,2026-07-25T19:13:17Z
G15,11,12,,,2026-07-25T19:13:17Z
G15,11,13,,,2026-07-25T19:13:17Z
G15,11,14,,,2026-07-25T19:13:17Z
G15,11,15,,,2026-07-25T19:13:17Z
G15,11,16,,,2026-07-25T19:13:17Z
G15,11,17,,,2026-07-25T19:13:17Z
