section,row,seat,price_usd,selection_type,scraped_at
105,3,1,35.25,standard,2026-07-22T18:21:08Z
105,3,2,35.25,standard,2026-07-22T18:21:08Z
105,3,5,35.25,standard,2026-07-22T18:21:08Z
105,3,6,35.25,standard,2026-07-22T18:21:08Z
105,7,1,35.25,standard,2026-07-22T18:21:08Z
105,7,2,35.25,standard,2026-07-22T18:21:08Z
105,8,2,35.25,standard,2026-07-22T18:21:08Z
105,11,1,35.25,standard,2026-07-22T18:21:08Z
105,11,2,35.25,standard,2026-07-22T18:21:08Z
105,12,4,35.25,standard,2026-07-22T18:21:08Z
105,12,5,35.25,standard,2026-07-22T18:21:08Z
105,12,6,35.25,standard,2026-07-22T18:21:08Z
105,12,7,35.25,standard,2026-07-22T18:21:08Z
105,12,8,35.25,standard,2026-07-22T18:21:08Z
105,13,5,35.25,standard,2026-07-22T18:21:08Z
105,13,6,35.25,standard,2026-07-22T18:21:08Z
105,13,7,35.25,standard,2026-07-22T18:21:08Z
105,13,8,35.25,standard,2026-07-22T18:21:08Z
106,3,6,35.25,standard,2026-07-22T18:21:08Z
106,3,7,35.25,standard,2026-07-22T18:21:08Z
106,3,8,35.25,standard,2026-07-22T18:21:08Z
106,3,9,35.25,standard,2026-07-22T18:21:08Z
106,3,10,35.25,standard,2026-07-22T18:21:08Z
106,3,11,35.25,standard,2026-07-22T18:21:08Z
106,3,12,35.25,standard,2026-07-22T18:21:08Z
106,3,13,35.25,standard,2026-07-22T18:21:08Z
106,3,14,35.25,standard,2026-07-22T18:21:08Z
106,3,15,35.25,standard,2026-07-22T18:21:08Z
106,3,16,35.25,standard,2026-07-22T18:21:08Z
106,4,10,35.25,standard,2026-07-22T18:21:08Z
106,4,11,35.25,standard,2026-07-22T18:21:08Z
106,4,12,35.25,standard,2026-07-22T18:21:08Z
106,4,13,35.25,standard,2026-07-22T18:21:08Z
106,4,14,35.25,standard,2026-07-22T18:21:08Z
106,4,15,35.25,standard,2026-07-22T18:21:08Z
106,5,3,35.25,standard,2026-07-22T18:21:08Z
106,5,4,35.25,standard,2026-07-22T18:21:08Z
106,6,1,35.25,standard,2026-07-22T18:21:08Z
106,6,2,35.25,standard,2026-07-22T18:21:08Z
106,6,3,35.25,standard,2026-07-22T18:21:08Z
106,6,4,35.25,standard,2026-07-22T18:21:08Z
106,10,1,35.25,standard,2026-07-22T18:21:08Z
106,10,2,35.25,standard,2026-07-22T18:21:08Z
106,10,3,35.25,standard,2026-07-22T18:21:08Z
106,10,4,35.25,standard,2026-07-22T18:21:08Z
106,11,6,35.25,standard,2026-07-22T18:21:08Z
106,11,7,35.25,standard,2026-07-22T18:21:08Z
106,11,8,35.25,standard,2026-07-22T18:21:08Z
106,11,9,35.25,standard,2026-07-22T18:21:08Z
106,11,10,35.25,standard,2026-07-22T18:21:08Z
106,11,11,35.25,standard,2026-07-22T18:21:08Z
106,11,12,35.25,standard,2026-07-22T18:21:08Z
106,11,13,35.25,standard,2026-07-22T18:21:08Z
106,11,14,35.25,standard,2026-07-22T18:21:08Z
106,11,15,35.25,standard,2026-07-22T18:21:08Z
106,11,16,35.25,standard,2026-07-22T18:21:08Z
106,11,17,35.25,standard,2026-07-22T18:21:08Z
106,11,18,35.25,standard,2026-07-22T18:21:08Z
106,12,3,35.25,standard,2026-07-22T18:21:08Z
106,12,4,35.25,standard,2026-07-22T18:21:08Z
106,12,5,35.25,standard,2026-07-22T18:21:08Z
106,12,6,35.25,standard,2026-07-22T18:21:08Z
106,12,7,35.25,standard,2026-07-22T18:21:08Z
106,12,8,35.25,standard,2026-07-22T18:21:08Z
106,12,9,35.25,standard,2026-07-22T18:21:08Z
106,12,10,35.25,standard,2026-07-22T18:21:08Z
106,12,11,35.25,standard,2026-07-22T18:21:08Z
106,12,12,35.25,standard,2026-07-22T18:21:08Z
106,12,13,35.25,standard,2026-07-22T18:21:08Z
106,12,14,35.25,standard,2026-07-22T18:21:08Z
106,12,15,35.25,standard,2026-07-22T18:21:08Z
106,12,16,35.25,standard,2026-07-22T18:21:08Z
106,13,5,35.25,standard,2026-07-22T18:21:08Z
106,13,6,35.25,standard,2026-07-22T18:21:08Z
106,13,7,35.25,standard,2026-07-22T18:21:08Z
106,13,8,35.25,standard,2026-07-22T18:21:08Z
106,13,9,35.25,standard,2026-07-22T18:21:08Z
106,13,10,35.25,standard,2026-07-22T18:21:08Z
106,13,11,35.25,standard,2026-07-22T18:21:08Z
106,13,12,35.25,standard,2026-07-22T18:21:08Z
106,13,13,35.25,standard,2026-07-22T18:21:08Z
106,13,14,35.25,standard,2026-07-22T18:21:08Z
106,13,18,35.25,standard,2026-07-22T18:21:08Z
107,3,5,35.25,standard,2026-07-22T18:21:08Z
107,3,6,35.25,standard,2026-07-22T18:21:08Z
107,3,7,35.25,standard,2026-07-22T18:21:08Z
107,3,8,35.25,standard,2026-07-22T18:21:08Z
107,3,9,35.25,standard,2026-07-22T18:21:08Z
107,4,11,35.25,standard,2026-07-22T18:21:08Z
107,4,12,35.25,standard,2026-07-22T18:21:08Z
107,4,13,35.25,standard,2026-07-22T18:21:08Z
107,4,16,35.25,standard,2026-07-22T18:21:08Z
107,4,17,35.25,standard,2026-07-22T18:21:08Z
107,4,18,35.25,standard,2026-07-22T18:21:08Z
107,5,3,35.25,standard,2026-07-22T18:21:08Z
107,5,4,35.25,standard,2026-07-22T18:21:08Z
107,5,7,35.25,standard,2026-07-22T18:21:08Z
107,5,8,35.25,standard,2026-07-22T18:21:08Z
107,5,9,35.25,standard,2026-07-22T18:21:08Z
107,5,10,35.25,standard,2026-07-22T18:21:08Z
107,5,11,35.25,standard,2026-07-22T18:21:08Z
107,5,12,35.25,standard,2026-07-22T18:21:08Z
107,5,13,35.25,standard,2026-07-22T18:21:08Z
107,5,14,35.25,standard,2026-07-22T18:21:08Z
107,6,1,35.25,standard,2026-07-22T18:21:08Z
107,6,2,35.25,standard,2026-07-22T18:21:08Z
107,6,3,35.25,standard,2026-07-22T18:21:08Z
107,6,4,35.25,standard,2026-07-22T18:21:08Z
107,7,3,35.25,standard,2026-07-22T18:21:08Z
107,7,4,35.25,standard,2026-07-22T18:21:08Z
107,9,5,35.25,standard,2026-07-22T18:21:08Z
107,9,6,35.25,standard,2026-07-22T18:21:08Z
107,9,7,35.25,standard,2026-07-22T18:21:08Z
107,9,8,35.25,standard,2026-07-22T18:21:08Z
107,9,9,35.25,standard,2026-07-22T18:21:08Z
107,9,10,35.25,standard,2026-07-22T18:21:08Z
107,9,11,35.25,standard,2026-07-22T18:21:08Z
107,9,12,35.25,standard,2026-07-22T18:21:08Z
107,11,2,35.25,standard,2026-07-22T18:21:08Z
107,11,3,35.25,standard,2026-07-22T18:21:08Z
107,11,4,35.25,standard,2026-07-22T18:21:08Z
107,11,5,35.25,standard,2026-07-22T18:21:08Z
107,11,6,35.25,standard,2026-07-22T18:21:08Z
107,11,7,35.25,standard,2026-07-22T18:21:08Z
107,11,8,35.25,standard,2026-07-22T18:21:08Z
107,11,9,35.25,standard,2026-07-22T18:21:08Z
107,11,10,35.25,standard,2026-07-22T18:21:08Z
107,11,11,35.25,standard,2026-07-22T18:21:08Z
107,11,12,35.25,standard,2026-07-22T18:21:08Z
107,11,13,35.25,standard,2026-07-22T18:21:08Z
107,11,14,35.25,standard,2026-07-22T18:21:08Z
107,11,15,35.25,standard,2026-07-22T18:21:08Z
107,11,16,35.25,standard,2026-07-22T18:21:08Z
107,11,17,35.25,standard,2026-07-22T18:21:08Z
107,12,7,35.25,standard,2026-07-22T18:21:08Z
107,12,8,35.25,standard,2026-07-22T18:21:08Z
107,12,9,35.25,standard,2026-07-22T18:21:08Z
107,12,10,35.25,standard,2026-07-22T18:21:08Z
107,12,11,35.25,standard,2026-07-22T18:21:08Z
107,13,3,35.25,standard,2026-07-22T18:21:08Z
107,13,4,35.25,standard,2026-07-22T18:21:08Z
107,13,5,35.25,standard,2026-07-22T18:21:08Z
107,13,6,35.25,standard,2026-07-22T18:21:08Z
107,13,7,35.25,standard,2026-07-22T18:21:08Z
107,13,8,35.25,standard,2026-07-22T18:21:08Z
107,13,9,35.25,standard,2026-07-22T18:21:08Z
107,13,10,35.25,standard,2026-07-22T18:21:08Z
107,13,11,35.25,standard,2026-07-22T18:21:08Z
107,14,3,35.25,standard,2026-07-22T18:21:08Z
107,14,4,35.25,standard,2026-07-22T18:21:08Z
107,14,10,35.25,standard,2026-07-22T18:21:08Z
107,14,11,35.25,standard,2026-07-22T18:21:08Z
108,3,3,35.25,standard,2026-07-22T18:21:08Z
108,3,4,35.25,standard,2026-07-22T18:21:08Z
108,3,5,35.25,standard,2026-07-22T18:21:08Z
108,3,6,35.25,standard,2026-07-22T18:21:08Z
108,3,7,35.25,standard,2026-07-22T18:21:08Z
108,3,8,35.25,standard,2026-07-22T18:21:08Z
108,3,9,35.25,standard,2026-07-22T18:21:08Z
108,3,10,35.25,standard,2026-07-22T18:21:08Z
108,3,11,35.25,standard,2026-07-22T18:21:08Z
108,3,12,35.25,standard,2026-07-22T18:21:08Z
108,3,13,35.25,standard,2026-07-22T18:21:08Z
108,3,14,35.25,standard,2026-07-22T18:21:08Z
108,3,15,35.25,standard,2026-07-22T18:21:08Z
108,3,16,35.25,standard,2026-07-22T18:21:08Z
108,3,17,35.25,standard,2026-07-22T18:21:08Z
108,3,18,35.25,standard,2026-07-22T18:21:08Z
108,4,4,35.25,standard,2026-07-22T18:21:08Z
108,5,15,35.25,standard,2026-07-22T18:21:08Z
108,5,16,35.25,standard,2026-07-22T18:21:08Z
108,5,17,35.25,standard,2026-07-22T18:21:08Z
108,5,18,35.25,standard,2026-07-22T18:21:08Z
108,6,15,35.25,standard,2026-07-22T18:21:08Z
108,6,16,35.25,standard,2026-07-22T18:21:08Z
108,6,17,35.25,standard,2026-07-22T18:21:08Z
108,6,18,35.25,standard,2026-07-22T18:21:08Z
108,8,16,35.25,standard,2026-07-22T18:21:08Z
108,8,17,35.25,standard,2026-07-22T18:21:08Z
108,8,18,35.25,standard,2026-07-22T18:21:08Z
108,9,1,35.25,standard,2026-07-22T18:21:08Z
108,9,2,35.25,standard,2026-07-22T18:21:08Z
