section,row,seat,price_usd,selection_type,scraped_at
119,F,5,,,2026-07-05T18:23:29Z
119,F,6,,,2026-07-05T18:23:29Z
119,E,5,,,2026-07-05T18:23:29Z
119,E,6,,,2026-07-05T18:23:29Z
135,D,5,,,2026-07-05T18:23:29Z
135,D,6,,,2026-07-05T18:23:29Z
135,J,5,,,2026-07-05T18:23:29Z
135,J,6,,,2026-07-05T18:23:29Z
138,F,1,,,2026-07-05T18:23:29Z
138,F,2,,,2026-07-05T18:23:29Z
138,F,3,,,2026-07-05T18:23:29Z
138,F,4,,,2026-07-05T18:23:29Z
138,F,5,,,2026-07-05T18:23:29Z
138,F,6,,,2026-07-05T18:23:29Z
138,F,7,,,2026-07-05T18:23:29Z
138,F,8,,,2026-07-05T18:23:29Z
130,G,5,,,2026-07-05T18:23:29Z
130,G,6,,,2026-07-05T18:23:29Z
125,G,5,,,2026-07-05T18:23:29Z
125,G,6,,,2026-07-05T18:23:29Z
202,A,13,,,2026-07-05T18:23:29Z
202,A,14,,,2026-07-05T18:23:29Z
202,A,15,,,2026-07-05T18:23:29Z
202,A,16,,,2026-07-05T18:23:29Z
124,E,7,,,2026-07-05T18:23:29Z
124,E,8,,,2026-07-05T18:23:29Z
120,E,5,,,2026-07-05T18:23:29Z
120,E,6,,,2026-07-05T18:23:29Z
117,F,6,,,2026-07-05T18:23:29Z
117,F,7,,,2026-07-05T18:23:29Z
117,F,8,,,2026-07-05T18:23:29Z
117,F,9,,,2026-07-05T18:23:29Z
117,F,10,,,2026-07-05T18:23:29Z
248,AA,1,,,2026-07-05T18:23:29Z
248,AA,2,,,2026-07-05T18:23:29Z
248,AA,3,,,2026-07-05T18:23:29Z
248,AA,4,,,2026-07-05T18:23:29Z
248,AA,5,,,2026-07-05T18:23:29Z
248,AA,6,,,2026-07-05T18:23:29Z
248,AA,7,,,2026-07-05T18:23:29Z
248,AA,8,,,2026-07-05T18:23:29Z
209,BB,10,,,2026-07-05T18:23:29Z
209,BB,11,,,2026-07-05T18:23:29Z
209,BB,12,,,2026-07-05T18:23:29Z
209,BB,2,,,2026-07-05T18:23:29Z
209,BB,3,,,2026-07-05T18:23:29Z
209,BB,4,,,2026-07-05T18:23:29Z
209,BB,5,,,2026-07-05T18:23:29Z
209,BB,6,,,2026-07-05T18:23:29Z
209,BB,7,,,2026-07-05T18:23:29Z
209,BB,8,,,2026-07-05T18:23:29Z
209,BB,9,,,2026-07-05T18:23:29Z
209,AA,4,,,2026-07-05T18:23:29Z
209,AA,5,,,2026-07-05T18:23:29Z
209,AA,6,,,2026-07-05T18:23:29Z
209,AA,7,,,2026-07-05T18:23:29Z
209,AA,8,,,2026-07-05T18:23:29Z
209,AA,9,,,2026-07-05T18:23:29Z
209,AA,10,,,2026-07-05T18:23:29Z
207,AA,4,,,2026-07-05T18:23:29Z
207,AA,5,,,2026-07-05T18:23:29Z
207,AA,6,,,2026-07-05T18:23:29Z
207,AA,7,,,2026-07-05T18:23:29Z
207,AA,8,,,2026-07-05T18:23:29Z
207,AA,9,,,2026-07-05T18:23:29Z
207,AA,10,,,2026-07-05T18:23:29Z
207,AA,11,,,2026-07-05T18:23:29Z
207,AA,12,,,2026-07-05T18:23:29Z
237,KK,8,,,2026-07-05T18:23:29Z
237,KK,9,,,2026-07-05T18:23:29Z
237,KK,10,,,2026-07-05T18:23:29Z
237,KK,11,,,2026-07-05T18:23:29Z
237,HH,5,,,2026-07-05T18:23:29Z
237,HH,6,,,2026-07-05T18:23:29Z
237,HH,7,,,2026-07-05T18:23:29Z
237,HH,8,,,2026-07-05T18:23:29Z
237,JJ,1,,,2026-07-05T18:23:29Z
237,JJ,2,,,2026-07-05T18:23:29Z
237,JJ,3,,,2026-07-05T18:23:29Z
237,JJ,4,,,2026-07-05T18:23:29Z
237,JJ,5,,,2026-07-05T18:23:29Z
237,JJ,6,,,2026-07-05T18:23:29Z
236,JJ,3,,,2026-07-05T18:23:29Z
236,JJ,4,,,2026-07-05T18:23:29Z
236,JJ,5,,,2026-07-05T18:23:29Z
236,JJ,6,,,2026-07-05T18:23:29Z
236,JJ,7,,,2026-07-05T18:23:29Z
238,KK,1,,,2026-07-05T18:23:29Z
238,KK,2,,,2026-07-05T18:23:29Z
238,KK,3,,,2026-07-05T18:23:29Z
238,KK,4,,,2026-07-05T18:23:29Z
206,AA,1,,,2026-07-05T18:23:29Z
206,AA,2,,,2026-07-05T18:23:29Z
206,AA,3,,,2026-07-05T18:23:29Z
206,AA,4,,,2026-07-05T18:23:29Z
247,AA,13,,,2026-07-05T18:23:29Z
247,AA,10,,,2026-07-05T18:23:29Z
247,AA,11,,,2026-07-05T18:23:29Z
