section,row,seat,price_usd,selection_type,scraped_at
134,11,9,,,2026-07-27T21:46:40Z
134,11,10,,,2026-07-27T21:46:40Z
123,12,5,,,2026-07-27T21:46:40Z
123,12,6,,,2026-07-27T21:46:40Z
123,16,5,,,2026-07-27T21:46:40Z
123,16,6,,,2026-07-27T21:46:40Z
123,16,7,,,2026-07-27T21:46:40Z
123,16,8,,,2026-07-27T21:46:40Z
123,18,9,,,2026-07-27T21:46:40Z
123,18,10,,,2026-07-27T21:46:40Z
123,18,11,,,2026-07-27T21:46:40Z
123,18,12,,,2026-07-27T21:46:40Z
119,5,7,,,2026-07-27T21:46:40Z
119,5,8,,,2026-07-27T21:46:40Z
119,10,1,,,2026-07-27T21:46:40Z
119,10,2,,,2026-07-27T21:46:40Z
119,14,3,,,2026-07-27T21:46:40Z
119,14,4,,,2026-07-27T21:46:40Z
119,14,5,,,2026-07-27T21:46:40Z
119,14,6,,,2026-07-27T21:46:40Z
119,18,5,,,2026-07-27T21:46:40Z
119,18,6,,,2026-07-27T21:46:40Z
119,7,5,,,2026-07-27T21:46:40Z
119,7,6,,,2026-07-27T21:46:40Z
119,7,7,,,2026-07-27T21:46:40Z
119,7,8,,,2026-07-27T21:46:40Z
118,4,3,,,2026-07-27T21:46:40Z
118,4,4,,,2026-07-27T21:46:40Z
118,4,5,,,2026-07-27T21:46:40Z
118,4,6,,,2026-07-27T21:46:40Z
118,4,7,,,2026-07-27T21:46:40Z
118,4,8,,,2026-07-27T21:46:40Z
118,4,9,,,2026-07-27T21:46:40Z
118,4,10,,,2026-07-27T21:46:40Z
118,23,8,,,2026-07-27T21:46:40Z
118,23,9,,,2026-07-27T21:46:40Z
118,11,7,,,2026-07-27T21:46:40Z
118,11,8,,,2026-07-27T21:46:40Z
118,5,9,,,2026-07-27T21:46:40Z
118,5,10,,,2026-07-27T21:46:40Z
130,20,7,,,2026-07-27T21:46:40Z
130,20,8,,,2026-07-27T21:46:40Z
130,22,9,,,2026-07-27T21:46:40Z
130,22,10,,,2026-07-27T21:46:40Z
130,24,9,,,2026-07-27T21:46:40Z
