section,row,seat,price_usd,selection_type,scraped_at
104,22,11,147.3,standard,2026-04-09T00:27:03Z
104,22,12,147.3,standard,2026-04-09T00:27:03Z
104,BB,7,147.3,standard,2026-04-09T00:27:03Z
104,BB,8,147.3,standard,2026-04-09T00:27:03Z
108,10,4,77.35,resale,2026-04-09T00:27:03Z
108,10,5,77.35,resale,2026-04-09T00:27:03Z
108,19,18,77.35,resale,2026-04-09T00:27:03Z
108,19,19,77.35,resale,2026-04-09T00:27:03Z
110,21,9,78.3,standard,2026-04-09T00:27:03Z
110,21,10,78.3,standard,2026-04-09T00:27:03Z
110,FF,11,78.3,standard,2026-04-09T00:27:03Z
110,FF,12,78.3,standard,2026-04-09T00:27:03Z
112,21,7,65.45,resale,2026-04-09T00:27:03Z
112,21,8,65.45,resale,2026-04-09T00:27:03Z
114,8,6,67.83,resale,2026-04-09T00:27:03Z
114,8,7,67.83,resale,2026-04-09T00:27:03Z
116,GG,13,69.02,resale,2026-04-09T00:27:03Z
116,GG,14,69.02,resale,2026-04-09T00:27:03Z
120,9,14,58.31,resale,2026-04-09T00:27:03Z
120,9,15,58.31,resale,2026-04-09T00:27:03Z
120,13,8,58.31,resale,2026-04-09T00:27:03Z
120,13,9,58.31,resale,2026-04-09T00:27:03Z
120,SRO,17,58.31,resale,2026-04-09T00:27:03Z
120,SRO,18,58.31,resale,2026-04-09T00:27:03Z
124,3,11,235.35,standard,2026-04-09T00:27:03Z
124,3,12,235.35,standard,2026-04-09T00:27:03Z
126,1,15,192.78,resale,2026-04-09T00:27:03Z
126,1,16,192.78,resale,2026-04-09T00:27:03Z
126,6,7,192.78,resale,2026-04-09T00:27:03Z
126,6,8,192.78,resale,2026-04-09T00:27:03Z
126,11,13,192.78,resale,2026-04-09T00:27:03Z
126,11,14,192.78,resale,2026-04-09T00:27:03Z
126,11,15,192.78,resale,2026-04-09T00:27:03Z
126,11,16,192.78,resale,2026-04-09T00:27:03Z
126,11,17,192.78,resale,2026-04-09T00:27:03Z
126,11,18,192.78,resale,2026-04-09T00:27:03Z
126,20,17,192.78,resale,2026-04-09T00:27:03Z
126,20,18,192.78,resale,2026-04-09T00:27:03Z
130,8,11,174.93,resale,2026-04-09T00:27:03Z
130,8,12,174.93,resale,2026-04-09T00:27:03Z
132,14,3,65.45,resale,2026-04-09T00:27:03Z
132,14,4,65.45,resale,2026-04-09T00:27:03Z
132,14,5,65.45,resale,2026-04-09T00:27:03Z
132,14,6,65.45,resale,2026-04-09T00:27:03Z
132,17,16,65.45,resale,2026-04-09T00:27:03Z
132,17,17,65.45,resale,2026-04-09T00:27:03Z
132,18,1,65.45,resale,2026-04-09T00:27:03Z
132,18,2,65.45,resale,2026-04-09T00:27:03Z
134,5,17,58.75,standard,2026-04-09T00:27:03Z
134,5,18,58.75,standard,2026-04-09T00:27:03Z
134,EE,6,58.75,standard,2026-04-09T00:27:03Z
134,EE,7,58.75,standard,2026-04-09T00:27:03Z
134,EE,13,58.75,standard,2026-04-09T00:27:03Z
134,EE,14,58.75,standard,2026-04-09T00:27:03Z
138,18,3,89.25,resale,2026-04-09T00:27:03Z
138,18,4,89.25,resale,2026-04-09T00:27:03Z
140,13,1,58.75,standard,2026-04-09T00:27:03Z
140,13,2,58.75,standard,2026-04-09T00:27:03Z
140,15,7,58.75,standard,2026-04-09T00:27:03Z
140,15,8,58.75,standard,2026-04-09T00:27:03Z
140,15,12,58.75,standard,2026-04-09T00:27:03Z
140,15,13,58.75,standard,2026-04-09T00:27:03Z
140,19,4,58.75,standard,2026-04-09T00:27:03Z
140,19,5,58.75,standard,2026-04-09T00:27:03Z
140,22,5,58.75,standard,2026-04-09T00:27:03Z
