section,row,seat,price_usd,selection_type,scraped_at
102,15,15,252.89,resale,2026-04-11T00:03:57Z
102,15,16,252.89,resale,2026-04-11T00:03:57Z
102,19,15,252.89,resale,2026-04-11T00:03:57Z
102,19,16,252.89,resale,2026-04-11T00:03:57Z
104,18,10,198.44,resale,2026-04-11T00:03:57Z
104,18,9,198.44,resale,2026-04-11T00:03:57Z
104,19,1,198.44,resale,2026-04-11T00:03:57Z
104,19,2,198.44,resale,2026-04-11T00:03:57Z
104,2,15,198.44,resale,2026-04-11T00:03:57Z
104,2,16,198.44,resale,2026-04-11T00:03:57Z
104,3,9,198.44,resale,2026-04-11T00:03:57Z
104,3,10,198.44,resale,2026-04-11T00:03:57Z
104,7,5,198.44,resale,2026-04-11T00:03:57Z
104,7,6,198.44,resale,2026-04-11T00:03:57Z
104,7,7,198.44,resale,2026-04-11T00:03:57Z
104,7,8,198.44,resale,2026-04-11T00:03:57Z
104,7,11,198.44,resale,2026-04-11T00:03:57Z
104,7,12,198.44,resale,2026-04-11T00:03:57Z
104,AA,11,198.44,resale,2026-04-11T00:03:57Z
104,AA,12,198.44,resale,2026-04-11T00:03:57Z
106,17,1,211.75,resale,2026-04-11T00:03:57Z
106,17,2,211.75,resale,2026-04-11T00:03:57Z
106,13,21,211.75,resale,2026-04-11T00:03:57Z
106,13,22,211.75,resale,2026-04-11T00:03:57Z
106,16,20,211.75,resale,2026-04-11T00:03:57Z
106,16,21,211.75,resale,2026-04-11T00:03:57Z
106,16,22,211.75,resale,2026-04-11T00:03:57Z
106,16,23,211.75,resale,2026-04-11T00:03:57Z
106,7,1,211.75,resale,2026-04-11T00:03:57Z
106,7,2,211.75,resale,2026-04-11T00:03:57Z
108,17,5,142.15,standard,2026-04-11T00:03:57Z
108,17,6,142.15,standard,2026-04-11T00:03:57Z
108,10,4,142.15,standard,2026-04-11T00:03:57Z
108,10,5,142.15,standard,2026-04-11T00:03:57Z
108,12,10,142.15,standard,2026-04-11T00:03:57Z
108,12,11,142.15,standard,2026-04-11T00:03:57Z
108,19,8,142.15,standard,2026-04-11T00:03:57Z
108,19,9,142.15,standard,2026-04-11T00:03:57Z
108,21,19,142.15,standard,2026-04-11T00:03:57Z
108,21,20,142.15,standard,2026-04-11T00:03:57Z
110,18,11,163.35,resale,2026-04-11T00:03:57Z
110,18,12,163.35,resale,2026-04-11T00:03:57Z
110,1,11,163.35,resale,2026-04-11T00:03:57Z
110,1,12,163.35,resale,2026-04-11T00:03:57Z
110,21,10,163.35,resale,2026-04-11T00:03:57Z
110,21,9,163.35,resale,2026-04-11T00:03:57Z
110,2,11,163.35,resale,2026-04-11T00:03:57Z
110,2,12,163.35,resale,2026-04-11T00:03:57Z
