offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGM2TIMBXG44HYMJXMVSWGNZZGI4TK,1,1,105.3,resale,2026-03-27T23:52:20Z
GN6DCMJVGM3DENZQGM3XYMJXMVTDAN3CMIYDK,1,2,52.65,resale,2026-03-27T23:52:20Z
GN6DCMJUHEZDQMJWHEZHYMJXMUZGGYZWMQYDK,102,6,59.67,resale,2026-03-27T23:52:20Z
GN6DCMJUGEYTMMRYGU3HYMJXMM2DKNTGGJQTK,102,1,97.11,resale,2026-03-27T23:52:20Z
GN6DCMJVGM3DANBQGAZHYMJXMVSWMNLBMZSTK,103,2,76.05,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TCMBWG4ZXYMJXMVSWEMBTGZRDK,103,2,58.5,resale,2026-03-27T23:52:20Z
GN6DCMJVGMYDCOJYGI3HYMJXMVSDMZRXMEZTK,104,2,80.73,resale,2026-03-27T23:52:20Z
GN6DCMJQG42TQNRSGY3HYMJXMMYDOMBSGZTDK,104,2,152.1,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZTONRTGE4HYMJXMVSTGZJZGZSTK,104,2,97.11,resale,2026-03-27T23:52:20Z
GN6DCMJUG43TENZZGY4HYMJXMU2WIMJUGI4DK,104,2,99.45,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZDONZQGUZXYMJXMVSWGNBSG4ZDK,105,2,64.35,resale,2026-03-27T23:52:20Z
GN6DCMJUGU2TCMRQGU3XYMJXMQ3DCOBXGNQTK,106,2,117.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TINZSGA2HYMJXMVSWGYRTMU4TK,106,2,85.41,resale,2026-03-27T23:52:20Z
GJ6DC7BWGA,11,3,96.0,standard,2026-03-27T23:52:20Z
GN6DCMJUHEYTEMBRG42XYMJXMUZDKNJQGZSDK,11,4,98.28,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZTKMJSGU2HYMJXMVSWMZLFG4ZTK,11,2,40.95,resale,2026-03-27T23:52:20Z
GJ6DC7BWGE,115,3,266.25,standard,2026-03-27T23:52:20Z
GJ6DC7BWGI,115,4,217.6,standard,2026-03-27T23:52:20Z
GN6DCMJVGM2DSOBSGYYHYMJXMVSWCYRRHFTDK,116,4,119.34,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2DONRTHAZHYMJXMVSWKODBMU2TK,116,2,64.35,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2DEMJSGA4XYMJXMVSWKNJXHBTDK,117,2,65.52,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TQMZUG4YHYMJXMVSWKNLGMRSDK,117,2,46.8,resale,2026-03-27T23:52:20Z
GN6DCMJVGEZDCNZQHEZXYMJXMVSWGYTBGA4TK,118,2,58.5,resale,2026-03-27T23:52:20Z
GN6DCMJUGQ2TQNBZGY3HYMJXMQZDQZBSHAZTK,118,2,105.3,resale,2026-03-27T23:52:20Z
GN6DCMJUGEYTOMBSHAZXYMJXMVSGIZDDMM3DK,118,2,59.67,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZDSOBWGI4HYMJXMVSTAYLEMM2DK,119,2,52.65,resale,2026-03-27T23:52:20Z
GJ6DC7BVHE,12,4,119.05,standard,2026-03-27T23:52:20Z
GJ6DC7BWGA,12,2,96.0,standard,2026-03-27T23:52:20Z
GN6DCMJVGM3DGMBRGA2HYMJXMVTDAY3EMI3TK,12,2,70.2,resale,2026-03-27T23:52:20Z
GN6DCMJVGI2TCNZUGU3HYMJXMVRTGOLDGE3DK,12,2,115.83,resale,2026-03-27T23:52:20Z
GN6DCMBTG43TQOJRGIYHYMJXMMYDMZTDGZSDK,12,2,194.22,resale,2026-03-27T23:52:20Z
GJ6DC7BVHA,13,1,143.4,standard,2026-03-27T23:52:20Z
GN6DCMJUGM2DINJVG43HYMJXMVSGGNTCMM2TK,13,2,128.7,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZDQOJQHA4HYMJXMVSTAMZVGIYTK,14,4,93.6,resale,2026-03-27T23:52:20Z
GJ6DC7BVGQ,14,12,151.05,standard,2026-03-27T23:52:20Z
GJ6DC7BVGI,14,2,194.6,standard,2026-03-27T23:52:20Z
GN6DCMJVGM2DCOJTGU4XYMJXMVSTMMRSGEYDK,16,2,292.5,resale,2026-03-27T23:52:20Z
GN6DCMJVGI3DKMBUG4ZXYMJXMVSWCZDBMM3TK,16,2,193.05,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TCNBRG42HYMJXMVSWKOLGME2DK,17,2,210.6,resale,2026-03-27T23:52:20Z
GN6DCMJUHA4TCMRVGM2XYMJXMVSGMYRSGRTDK,18,4,177.84,resale,2026-03-27T23:52:20Z
GN6DCMJQGY2TIMZUGE2XYMJXMQ4TEYRUGBSTK,19,2,129.87,resale,2026-03-27T23:52:20Z
GN6DCMJVGI3TMNRXGY4HYMJXMVRWCMZSMU3TK,2,2,146.25,resale,2026-03-27T23:52:20Z
GN6DCMJTGE4DIOJRHAZHYMJXMMYDOMBWGI3DK,2,2,126.36,resale,2026-03-27T23:52:20Z
GN6DCMJVGE4TONRWGE4XYMJXMVQWMNDGG5RTK,2,2,105.3,resale,2026-03-27T23:52:20Z
GN6DCMJRGAYDGNBYGQYXYMJXMVSWEZLEGI4DK,20,2,216.45,resale,2026-03-27T23:52:20Z
GN6DCMJVGE3DCMBZGY4HYMJXMVRGEYLCGFRDK,20,1,99.45,resale,2026-03-27T23:52:20Z
GN6DCMJUGMYTAOBUHA2XYMJXMNTGIMRTGZSTK,20,4,104.13,resale,2026-03-27T23:52:20Z
GN6DCMJVGIZDENBQGY3HYMJXMVRGEYRVG44TK,20,1,99.45,resale,2026-03-27T23:52:20Z
GN6DCMJQHA2DGMBZGI2HYMJXMVSWCMRYGBSTK,20,2,93.6,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TQOJWGY4XYMJXMVSWKOLFMFSDK,204,4,22.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGIYTKMBZG42HYMJXMVRDQYJSMRSTK,204,2,24.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGM,204,2,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,204,2,45.5,standard,2026-03-27T23:52:20Z
GJ6DC7BXGE,207,9,58.3,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZR,207,9,58.3,standard,2026-03-27T23:52:20Z
GN6DCMBQGY3TCOJUGU4HYMJXMMYDMZTCMI4TK,207,4,81.9,resale,2026-03-27T23:52:20Z
GJ6DC7BXGU,207,4,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZV,207,4,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGEYDMNZVGMYHYMJXMVSWKYLCGM2TK,208,2,37.44,resale,2026-03-27T23:52:20Z
GJ6DC7BXGE,208,4,58.3,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZR,208,4,58.3,standard,2026-03-27T23:52:20Z
GN6DCMJVGM2DGMRSGUZXYMJXMVSTMZLEGY2DK,208,2,30.0,resale,2026-03-27T23:52:20Z
GN6DCMBTHA4TSMRWGY4HYMJXMVSWINDGG42TK,208,4,44.46,resale,2026-03-27T23:52:20Z
GJ6DC7BXGU,208,7,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZV,208,7,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGA4DSMBXGQ2XYMJXMVSDMY3EMY2DK,208,2,35.1,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZTANRSGY4XYMJXMVSTCMBQG4YTK,208,2,37.44,resale,2026-03-27T23:52:20Z
GN6DCMJSG4YTOMJYGI3XYMJXMVSWMMDCGZSDK,209,4,39.78,resale,2026-03-27T23:52:20Z
GN6DCMJVGMYDGNJYGU3XYMJXMVSDOYZSMJSDK,209,2,36.27,resale,2026-03-27T23:52:20Z
GJ6DC7BXGU,209,8,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZV,209,8,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJSG4YTOMJYGMZXYMJXMVSWKZTCHAZDK,210,2,31.0,resale,2026-03-27T23:52:20Z
GN6DCMJUGQYDAOBWHEZXYMJXMQYDEMRXGBQTK,210,2,46.8,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZDSOBWGA3HYMJXMVSWKNBRMMYDK,210,5,25.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGU,210,14,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZV,210,14,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGM2TOMJVGU2XYMJXMVSWIYZWHE3TK,210,2,33.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TSMJQGA4XYMJXMVSWKYRXHE4DK,210,2,24.0,resale,2026-03-27T23:52:20Z
GN6DCMJUG4ZTEOJRGQ2HYMJXMUYDKNDGGU2DK,210,2,29.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGMYDAOJQGE3XYMJXMVSDMNTBGBQTK,210,2,37.44,resale,2026-03-27T23:52:20Z
GN6DCMJUHE3TQMZRGI3XYMJXMVSDSNBTMM3TK,210,2,25.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2DOOJUGY4XYMJXMVSTSOLDMY2TK,212,2,50.31,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2DQMJVGY3HYMJXMVSTSYTEGM2TK,212,2,25.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGA3DKNZVGMZHYMJXMVSTENRSMJSTK,212,2,23.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGIYTKNJTGM2XYMJXMVTDAY3CHEYDK,214,5,35.1,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZDSNRWGU2XYMJXMVSTQZBRMJTDK,214,2,24.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGM,214,4,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,214,4,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGI3TOMBRGQ2HYMJXMVSTOOBXGZTDK,215,2,22.0,resale,2026-03-27T23:52:20Z
GN6DCMJUGU4DEOJZG42XYMJXMVSWCZJSGU3DK,215,2,27.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGEYDINZSGM4HYMJXMVSWCZDFMNTDK,216,2,28.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZTOMZVGAZXYMJXMVSTGZBVG44DK,216,2,24.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGMYTIOBXHE3XYMJXMVSTCM3DMUYTK,216,2,22.0,resale,2026-03-27T23:52:20Z
GN6DCMJRGM4TONBTGEZHYMJXMU2WEYRSMIYDK,216,2,25.0,resale,2026-03-27T23:52:20Z
GN6DCMJUGEZTENRTHAZHYMJXMVSWINDEMVSDK,217,2,21.0,resale,2026-03-27T23:52:20Z
GN6DCMBTHA4TSMRSGEZHYMJXMVSGIZBWMQ4DK,218,2,23.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGA3TMMRUGE2XYMJXMVSTMZBSG43DK,218,3,37.44,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2DOMZZHE3XYMJXMVSTSMLCMNSDK,218,4,35.04,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZTQMBXGQ3HYMJXMVSTIMDFGQ2TK,219,2,30.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGM,219,3,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,219,3,45.5,standard,2026-03-27T23:52:20Z
GJ6DC7BXGM,220,2,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,220,2,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJUGMYDCMZVGIZHYMJXMNRGMODBGY2DK,221,2,51.48,resale,2026-03-27T23:52:20Z
GN6DCMJVGMZDCMBZGQZXYMJXMVSGGZJYMYYDK,221,2,23.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TQMZXGU4HYMJXMVSWKNJZMNSDK,221,6,37.44,resale,2026-03-27T23:52:20Z
GJ6DC7BXGM,221,1,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,221,1,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGM2DIMBXGEZXYMJXMVSWMYRRMY4DK,222,2,19.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGE,223,25,58.3,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZR,223,25,58.3,standard,2026-03-27T23:52:20Z
GJ6DC7BXGU,223,9,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZV,223,9,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGM2TONJWGM4HYMJXMVSWKMRTMZRTK,223,4,30.0,resale,2026-03-27T23:52:20Z
GN6DCMJUHA2DEOBUGU3HYMJXMVSGMZLDGJRDK,223,2,25.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGE,224,4,58.3,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZR,224,4,58.3,standard,2026-03-27T23:52:20Z
GN6DCMJSGM3DSOBUHEYXYMJXMMYDMZTCMQZDK,225,2,30.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGE,225,4,58.3,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZR,225,4,58.3,standard,2026-03-27T23:52:20Z
GJ6DC7BXGU,226,7,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZV,226,7,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGMZDOOBQHA4XYMJXMVSGMN3FHBSDK,226,2,28.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGM,228,2,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,228,2,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGMZTENZRGMYHYMJXMVSTMMRRG5TDK,229,2,25.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TQNJWHE2XYMJXMVSWKNTFGZSTK,229,2,25.0,resale,2026-03-27T23:52:20Z
GJ6DC7BXGM,229,2,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,229,2,45.5,standard,2026-03-27T23:52:20Z
GJ6DC7BXGM,230,4,45.5,standard,2026-03-27T23:52:20Z
GJ6DGMBQGA3HYNZT,230,4,45.5,standard,2026-03-27T23:52:20Z
GN6DCMJVGI3TIMBSGU3XYMJXMVSTOZLGGZSDK,232,2,30.0,resale,2026-03-27T23:52:20Z
GN6DCMJVGM2TANRQGQZXYMJXMVSWKNJUHAZDK,3,2,93.6,resale,2026-03-27T23:52:20Z
GN6DCMJRHAZDANJUGAYHYMJXMMYDOMBTGJQTK,3,3,277.29,resale,2026-03-27T23:52:20Z
GN6DCMBTHA4TSMRUG44HYMJXMVSWINBSGZSDK,4,4,180.18,resale,2026-03-27T23:52:20Z
