section,row,seat,price_usd,selection_type,scraped_at
101,10,12,63.18,resale,2026-04-01T00:52:03Z
101,10,13,63.18,resale,2026-04-01T00:52:03Z
101,11,10,63.18,resale,2026-04-01T00:52:03Z
101,11,11,63.18,resale,2026-04-01T00:52:03Z
101,11,3,63.18,resale,2026-04-01T00:52:03Z
101,11,4,63.18,resale,2026-04-01T00:52:03Z
101,14,1,63.18,resale,2026-04-01T00:52:03Z
101,14,2,63.18,resale,2026-04-01T00:52:03Z
101,15,15,63.18,resale,2026-04-01T00:52:03Z
101,15,16,63.18,resale,2026-04-01T00:52:03Z
101,20,21,63.18,resale,2026-04-01T00:52:03Z
101,20,22,63.18,resale,2026-04-01T00:52:03Z
101,6,1,63.18,resale,2026-04-01T00:52:03Z
101,6,2,63.18,resale,2026-04-01T00:52:03Z
101,7,7,63.18,resale,2026-04-01T00:52:03Z
101,7,8,63.18,resale,2026-04-01T00:52:03Z
101,7,10,63.18,resale,2026-04-01T00:52:03Z
101,7,11,63.18,resale,2026-04-01T00:52:03Z
101,8,1,63.18,resale,2026-04-01T00:52:03Z
101,8,2,63.18,resale,2026-04-01T00:52:03Z
102,1,7,83.07,resale,2026-04-01T00:52:03Z
102,1,8,83.07,resale,2026-04-01T00:52:03Z
102,9,4,83.07,resale,2026-04-01T00:52:03Z
102,9,3,83.07,resale,2026-04-01T00:52:03Z
103,4,11,81.9,resale,2026-04-01T00:52:03Z
103,4,12,81.9,resale,2026-04-01T00:52:03Z
103,9,14,81.9,resale,2026-04-01T00:52:03Z
103,9,15,81.9,resale,2026-04-01T00:52:03Z
104,11,8,40.95,resale,2026-04-01T00:52:03Z
104,11,9,40.95,resale,2026-04-01T00:52:03Z
104,12,1,40.95,resale,2026-04-01T00:52:03Z
104,12,2,40.95,resale,2026-04-01T00:52:03Z
104,14,14,40.95,resale,2026-04-01T00:52:03Z
104,14,15,40.95,resale,2026-04-01T00:52:03Z
104,14,2,40.95,resale,2026-04-01T00:52:03Z
104,22,13,40.95,resale,2026-04-01T00:52:03Z
104,22,14,40.95,resale,2026-04-01T00:52:03Z
104,4,8,40.95,resale,2026-04-01T00:52:03Z
104,4,9,40.95,resale,2026-04-01T00:52:03Z
104,4,1,40.95,resale,2026-04-01T00:52:03Z
104,4,2,40.95,resale,2026-04-01T00:52:03Z
104,5,1,40.95,resale,2026-04-01T00:52:03Z
104,5,2,40.95,resale,2026-04-01T00:52:03Z
104,7,10,40.95,resale,2026-04-01T00:52:03Z
104,7,11,40.95,resale,2026-04-01T00:52:03Z
105,17,10,88.92,resale,2026-04-01T00:52:03Z
105,17,3,88.92,resale,2026-04-01T00:52:03Z
105,17,4,88.92,resale,2026-04-01T00:52:03Z
105,17,5,88.92,resale,2026-04-01T00:52:03Z
105,17,6,88.92,resale,2026-04-01T00:52:03Z
105,17,7,88.92,resale,2026-04-01T00:52:03Z
105,17,8,88.92,resale,2026-04-01T00:52:03Z
105,17,9,88.92,resale,2026-04-01T00:52:03Z
105,13,10,88.92,resale,2026-04-01T00:52:03Z
105,13,9,88.92,resale,2026-04-01T00:52:03Z
105,18,10,88.92,resale,2026-04-01T00:52:03Z
105,18,11,88.92,resale,2026-04-01T00:52:03Z
105,18,12,88.92,resale,2026-04-01T00:52:03Z
105,18,9,88.92,resale,2026-04-01T00:52:03Z
105,19,10,88.92,resale,2026-04-01T00:52:03Z
105,19,9,88.92,resale,2026-04-01T00:52:03Z
105,22,10,88.92,resale,2026-04-01T00:52:03Z
105,22,3,88.92,resale,2026-04-01T00:52:03Z
105,22,4,88.92,resale,2026-04-01T00:52:03Z
105,22,5,88.92,resale,2026-04-01T00:52:03Z
105,22,6,88.92,resale,2026-04-01T00:52:03Z
105,22,7,88.92,resale,2026-04-01T00:52:03Z
105,22,8,88.92,resale,2026-04-01T00:52:03Z
105,22,9,88.92,resale,2026-04-01T00:52:03Z
105,23,10,88.92,resale,2026-04-01T00:52:03Z
105,23,17,88.92,resale,2026-04-01T00:52:03Z
105,23,18,88.92,resale,2026-04-01T00:52:03Z
105,23,19,88.92,resale,2026-04-01T00:52:03Z
105,23,20,88.92,resale,2026-04-01T00:52:03Z
105,23,21,88.92,resale,2026-04-01T00:52:03Z
105,23,22,88.92,resale,2026-04-01T00:52:03Z
105,23,9,88.92,resale,2026-04-01T00:52:03Z
105,24,10,88.92,resale,2026-04-01T00:52:03Z
105,24,5,88.92,resale,2026-04-01T00:52:03Z
105,24,6,88.92,resale,2026-04-01T00:52:03Z
105,24,7,88.92,resale,2026-04-01T00:52:03Z
105,24,8,88.92,resale,2026-04-01T00:52:03Z
105,24,9,88.92,resale,2026-04-01T00:52:03Z
105,7,8,88.92,resale,2026-04-01T00:52:03Z
105,7,9,88.92,resale,2026-04-01T00:52:03Z
106,10,10,43.29,resale,2026-04-01T00:52:03Z
106,10,9,43.29,resale,2026-04-01T00:52:03Z
106,14,19,43.29,resale,2026-04-01T00:52:03Z
106,14,20,43.29,resale,2026-04-01T00:52:03Z
106,18,10,43.29,resale,2026-04-01T00:52:03Z
106,18,11,43.29,resale,2026-04-01T00:52:03Z
106,18,12,43.29,resale,2026-04-01T00:52:03Z
106,18,13,43.29,resale,2026-04-01T00:52:03Z
106,18,14,43.29,resale,2026-04-01T00:52:03Z
106,18,15,43.29,resale,2026-04-01T00:52:03Z
106,18,16,43.29,resale,2026-04-01T00:52:03Z
106,18,9,43.29,resale,2026-04-01T00:52:03Z
106,23,10,43.29,resale,2026-04-01T00:52:03Z
106,23,11,43.29,resale,2026-04-01T00:52:03Z
106,23,12,43.29,resale,2026-04-01T00:52:03Z
106,23,13,43.29,resale,2026-04-01T00:52:03Z
106,23,14,43.29,resale,2026-04-01T00:52:03Z
106,23,15,43.29,resale,2026-04-01T00:52:03Z
106,23,16,43.29,resale,2026-04-01T00:52:03Z
106,23,24,43.29,resale,2026-04-01T00:52:03Z
106,23,25,43.29,resale,2026-04-01T00:52:03Z
106,23,9,43.29,resale,2026-04-01T00:52:03Z
107,10,5,117.0,resale,2026-04-01T00:52:03Z
107,10,6,117.0,resale,2026-04-01T00:52:03Z
107,15,10,117.0,resale,2026-04-01T00:52:03Z
107,15,9,117.0,resale,2026-04-01T00:52:03Z
107,16,10,117.0,resale,2026-04-01T00:52:03Z
107,16,5,117.0,resale,2026-04-01T00:52:03Z
107,16,6,117.0,resale,2026-04-01T00:52:03Z
107,16,7,117.0,resale,2026-04-01T00:52:03Z
107,16,8,117.0,resale,2026-04-01T00:52:03Z
107,16,9,117.0,resale,2026-04-01T00:52:03Z
107,19,1,117.0,resale,2026-04-01T00:52:03Z
107,19,2,117.0,resale,2026-04-01T00:52:03Z
107,19,3,117.0,resale,2026-04-01T00:52:03Z
107,19,4,117.0,resale,2026-04-01T00:52:03Z
107,19,5,117.0,resale,2026-04-01T00:52:03Z
107,19,6,117.0,resale,2026-04-01T00:52:03Z
107,19,7,117.0,resale,2026-04-01T00:52:03Z
107,19,8,117.0,resale,2026-04-01T00:52:03Z
107,21,1,117.0,resale,2026-04-01T00:52:03Z
107,21,2,117.0,resale,2026-04-01T00:52:03Z
107,21,3,117.0,resale,2026-04-01T00:52:03Z
107,21,4,117.0,resale,2026-04-01T00:52:03Z
107,21,5,117.0,resale,2026-04-01T00:52:03Z
107,21,6,117.0,resale,2026-04-01T00:52:03Z
107,21,7,117.0,resale,2026-04-01T00:52:03Z
107,21,8,117.0,resale,2026-04-01T00:52:03Z
107,23,1,117.0,resale,2026-04-01T00:52:03Z
107,23,2,117.0,resale,2026-04-01T00:52:03Z
107,23,3,117.0,resale,2026-04-01T00:52:03Z
107,23,4,117.0,resale,2026-04-01T00:52:03Z
107,23,5,117.0,resale,2026-04-01T00:52:03Z
107,23,6,117.0,resale,2026-04-01T00:52:03Z
107,23,7,117.0,resale,2026-04-01T00:52:03Z
107,23,8,117.0,resale,2026-04-01T00:52:03Z
108,19,10,182.52,resale,2026-04-01T00:52:03Z
108,19,11,182.52,resale,2026-04-01T00:52:03Z
108,19,12,182.52,resale,2026-04-01T00:52:03Z
108,19,9,182.52,resale,2026-04-01T00:52:03Z
108,5,15,182.52,resale,2026-04-01T00:52:03Z
108,5,16,182.52,resale,2026-04-01T00:52:03Z
108,5,17,182.52,resale,2026-04-01T00:52:03Z
108,5,18,182.52,resale,2026-04-01T00:52:03Z
110,12,3,117.0,resale,2026-04-01T00:52:03Z
110,12,4,117.0,resale,2026-04-01T00:52:03Z
110,4,1,117.0,resale,2026-04-01T00:52:03Z
110,4,2,117.0,resale,2026-04-01T00:52:03Z
111,10,10,149.76,resale,2026-04-01T00:52:03Z
111,10,11,149.76,resale,2026-04-01T00:52:03Z
111,10,12,149.76,resale,2026-04-01T00:52:03Z
111,10,9,149.76,resale,2026-04-01T00:52:03Z
111,18,10,149.76,resale,2026-04-01T00:52:03Z
111,18,11,149.76,resale,2026-04-01T00:52:03Z
111,18,12,149.76,resale,2026-04-01T00:52:03Z
111,18,13,149.76,resale,2026-04-01T00:52:03Z
111,18,14,149.76,resale,2026-04-01T00:52:03Z
111,18,7,149.76,resale,2026-04-01T00:52:03Z
111,18,8,149.76,resale,2026-04-01T00:52:03Z
111,18,9,149.76,resale,2026-04-01T00:52:03Z
111,20,10,149.76,resale,2026-04-01T00:52:03Z
111,20,11,149.76,resale,2026-04-01T00:52:03Z
111,20,12,149.76,resale,2026-04-01T00:52:03Z
111,20,13,149.76,resale,2026-04-01T00:52:03Z
111,20,14,149.76,resale,2026-04-01T00:52:03Z
111,23,16,149.76,resale,2026-04-01T00:52:03Z
111,23,17,149.76,resale,2026-04-01T00:52:03Z
112,17,16,97.11,resale,2026-04-01T00:52:03Z
112,17,17,97.11,resale,2026-04-01T00:52:03Z
112,10,15,97.11,resale,2026-04-01T00:52:03Z
112,10,16,97.11,resale,2026-04-01T00:52:03Z
112,15,5,97.11,resale,2026-04-01T00:52:03Z
112,15,6,97.11,resale,2026-04-01T00:52:03Z
112,18,11,97.11,resale,2026-04-01T00:52:03Z
112,18,12,97.11,resale,2026-04-01T00:52:03Z
112,18,13,97.11,resale,2026-04-01T00:52:03Z
112,18,14,97.11,resale,2026-04-01T00:52:03Z
112,18,15,97.11,resale,2026-04-01T00:52:03Z
112,18,16,97.11,resale,2026-04-01T00:52:03Z
112,18,17,97.11,resale,2026-04-01T00:52:03Z
112,18,18,97.11,resale,2026-04-01T00:52:03Z
112,18,19,97.11,resale,2026-04-01T00:52:03Z
112,18,20,97.11,resale,2026-04-01T00:52:03Z
112,19,19,97.11,resale,2026-04-01T00:52:03Z
112,19,20,97.11,resale,2026-04-01T00:52:03Z
112,20,20,97.11,resale,2026-04-01T00:52:03Z
112,20,21,97.11,resale,2026-04-01T00:52:03Z
112,5,12,97.11,resale,2026-04-01T00:52:03Z
112,5,13,97.11,resale,2026-04-01T00:52:03Z
113,12,12,88.92,resale,2026-04-01T00:52:03Z
113,12,13,88.92,resale,2026-04-01T00:52:03Z
113,14,1,88.92,resale,2026-04-01T00:52:03Z
113,14,2,88.92,resale,2026-04-01T00:52:03Z
113,15,11,88.92,resale,2026-04-01T00:52:03Z
113,15,12,88.92,resale,2026-04-01T00:52:03Z
113,15,13,88.92,resale,2026-04-01T00:52:03Z
113,15,14,88.92,resale,2026-04-01T00:52:03Z
113,16,11,88.92,resale,2026-04-01T00:52:03Z
113,16,12,88.92,resale,2026-04-01T00:52:03Z
113,16,13,88.92,resale,2026-04-01T00:52:03Z
113,16,14,88.92,resale,2026-04-01T00:52:03Z
113,16,15,88.92,resale,2026-04-01T00:52:03Z
113,16,16,88.92,resale,2026-04-01T00:52:03Z
113,18,17,88.92,resale,2026-04-01T00:52:03Z
113,18,18,88.92,resale,2026-04-01T00:52:03Z
113,20,17,88.92,resale,2026-04-01T00:52:03Z
113,20,18,88.92,resale,2026-04-01T00:52:03Z
113,20,19,88.92,resale,2026-04-01T00:52:03Z
113,20,20,88.92,resale,2026-04-01T00:52:03Z
113,25,16,88.92,resale,2026-04-01T00:52:03Z
113,25,17,88.92,resale,2026-04-01T00:52:03Z
113,25,18,88.92,resale,2026-04-01T00:52:03Z
113,25,19,88.92,resale,2026-04-01T00:52:03Z
113,7,4,88.92,resale,2026-04-01T00:52:03Z
113,7,5,88.92,resale,2026-04-01T00:52:03Z
113,8,6,88.92,resale,2026-04-01T00:52:03Z
113,8,7,88.92,resale,2026-04-01T00:52:03Z
113,8,8,88.92,resale,2026-04-01T00:52:03Z
113,8,9,88.92,resale,2026-04-01T00:52:03Z
114,22,5,52.65,resale,2026-04-01T00:52:03Z
114,22,6,52.65,resale,2026-04-01T00:52:03Z
115,17,2,58.5,resale,2026-04-01T00:52:03Z
115,17,3,58.5,resale,2026-04-01T00:52:03Z
