section,row,seat,price_usd,selection_type,scraped_at
103,12,6,73.8,resale,2026-04-02T23:52:23Z
103,12,7,73.8,resale,2026-04-02T23:52:23Z
103,7,1,73.8,resale,2026-04-02T23:52:23Z
103,7,2,73.8,resale,2026-04-02T23:52:23Z
103,9,14,73.8,resale,2026-04-02T23:52:23Z
103,9,15,73.8,resale,2026-04-02T23:52:23Z
105,23,17,123.0,resale,2026-04-02T23:52:23Z
105,23,18,123.0,resale,2026-04-02T23:52:23Z
105,25,1,123.0,resale,2026-04-02T23:52:23Z
105,25,2,123.0,resale,2026-04-02T23:52:23Z
106,11,13,164.82,resale,2026-04-02T23:52:23Z
106,11,14,164.82,resale,2026-04-02T23:52:23Z
108,5,15,369.0,resale,2026-04-02T23:52:23Z
108,5,16,369.0,resale,2026-04-02T23:52:23Z
109,15,7,196.8,resale,2026-04-02T23:52:23Z
109,15,8,196.8,resale,2026-04-02T23:52:23Z
110,16,3,369.0,resale,2026-04-02T23:52:23Z
110,16,4,369.0,resale,2026-04-02T23:52:23Z
112,9,13,369.0,resale,2026-04-02T23:52:23Z
112,9,14,369.0,resale,2026-04-02T23:52:23Z
114,14,3,98.4,resale,2026-04-02T23:52:23Z
114,14,4,98.4,resale,2026-04-02T23:52:23Z
115,17,2,76.26,resale,2026-04-02T23:52:23Z
115,17,3,76.26,resale,2026-04-02T23:52:23Z
115,15,7,76.26,resale,2026-04-02T23:52:23Z
115,15,8,76.26,resale,2026-04-02T23:52:23Z
117,22,7,73.8,resale,2026-04-02T23:52:23Z
117,22,8,73.8,resale,2026-04-02T23:52:23Z
117,6,9,73.8,resale,2026-04-02T23:52:23Z
117,6,10,73.8,resale,2026-04-02T23:52:23Z
118,18,10,157.44,resale,2026-04-02T23:52:23Z
118,18,9,157.44,resale,2026-04-02T23:52:23Z
120,15,1,252.15,resale,2026-04-02T23:52:23Z
120,15,2,252.15,resale,2026-04-02T23:52:23Z
120,5,9,252.15,resale,2026-04-02T23:52:23Z
120,5,10,252.15,resale,2026-04-02T23:52:23Z
121,4,11,399.75,resale,2026-04-02T23:52:23Z
121,4,12,399.75,resale,2026-04-02T23:52:23Z
121,8,11,399.75,resale,2026-04-02T23:52:23Z
121,8,12,399.75,resale,2026-04-02T23:52:23Z
126,21,11,145.14,resale,2026-04-02T23:52:23Z
126,21,12,145.14,resale,2026-04-02T23:52:23Z
126,21,19,145.14,resale,2026-04-02T23:52:23Z
126,21,20,145.14,resale,2026-04-02T23:52:23Z
207,10,18,70.11,resale,2026-04-02T23:52:23Z
207,10,19,70.11,resale,2026-04-02T23:52:23Z
207,10,20,70.11,resale,2026-04-02T23:52:23Z
207,10,21,70.11,resale,2026-04-02T23:52:23Z
210,10,19,129.15,resale,2026-04-02T23:52:23Z
210,10,20,129.15,resale,2026-04-02T23:52:23Z
213,4,9,75.03,resale,2026-04-02T23:52:23Z
213,4,10,75.03,resale,2026-04-02T23:52:23Z
216,10,17,79.95,resale,2026-04-02T23:52:23Z
216,10,18,79.95,resale,2026-04-02T23:52:23Z
217,11,13,78.72,resale,2026-04-02T23:52:23Z
217,11,14,78.72,resale,2026-04-02T23:52:23Z
217,11,15,78.72,resale,2026-04-02T23:52:23Z
217,11,16,78.72,resale,2026-04-02T23:52:23Z
218,10,10,50.43,resale,2026-04-02T23:52:23Z
218,10,17,50.43,resale,2026-04-02T23:52:23Z
218,10,18,50.43,resale,2026-04-02T23:52:23Z
218,10,19,50.43,resale,2026-04-02T23:52:23Z
218,10,20,50.43,resale,2026-04-02T23:52:23Z
218,10,3,50.43,resale,2026-04-02T23:52:23Z
218,10,4,50.43,resale,2026-04-02T23:52:23Z
218,10,5,50.43,resale,2026-04-02T23:52:23Z
218,10,6,50.43,resale,2026-04-02T23:52:23Z
218,10,7,50.43,resale,2026-04-02T23:52:23Z
218,10,8,50.43,resale,2026-04-02T23:52:23Z
218,10,9,50.43,resale,2026-04-02T23:52:23Z
218,2,9,50.43,resale,2026-04-02T23:52:23Z
218,2,10,50.43,resale,2026-04-02T23:52:23Z
219,11,11,50.43,resale,2026-04-02T23:52:23Z
219,11,12,50.43,resale,2026-04-02T23:52:23Z
219,11,13,50.43,resale,2026-04-02T23:52:23Z
219,11,14,50.43,resale,2026-04-02T23:52:23Z
219,11,15,50.43,resale,2026-04-02T23:52:23Z
219,11,16,50.43,resale,2026-04-02T23:52:23Z
219,11,19,50.43,resale,2026-04-02T23:52:23Z
219,11,20,50.43,resale,2026-04-02T23:52:23Z
220,1,9,50.43,resale,2026-04-02T23:52:23Z
220,1,10,50.43,resale,2026-04-02T23:52:23Z
220,2,9,50.43,resale,2026-04-02T23:52:23Z
220,2,10,50.43,resale,2026-04-02T23:52:23Z
220,2,11,50.43,resale,2026-04-02T23:52:23Z
220,2,12,50.43,resale,2026-04-02T23:52:23Z
220,3,9,50.43,resale,2026-04-02T23:52:23Z
220,3,10,50.43,resale,2026-04-02T23:52:23Z
220,4,9,50.43,resale,2026-04-02T23:52:23Z
220,4,10,50.43,resale,2026-04-02T23:52:23Z
221,11,13,50.43,resale,2026-04-02T23:52:23Z
221,11,14,50.43,resale,2026-04-02T23:52:23Z
221,11,15,50.43,resale,2026-04-02T23:52:23Z
221,11,16,50.43,resale,2026-04-02T23:52:23Z
221,11,17,50.43,resale,2026-04-02T23:52:23Z
221,11,18,50.43,resale,2026-04-02T23:52:23Z
221,11,25,50.43,resale,2026-04-02T23:52:23Z
221,11,26,50.43,resale,2026-04-02T23:52:23Z
221,11,27,50.43,resale,2026-04-02T23:52:23Z
221,11,28,50.43,resale,2026-04-02T23:52:23Z
222,10,17,50.43,resale,2026-04-02T23:52:23Z
222,10,18,50.43,resale,2026-04-02T23:52:23Z
222,10,19,50.43,resale,2026-04-02T23:52:23Z
222,10,20,50.43,resale,2026-04-02T23:52:23Z
222,10,24,50.43,resale,2026-04-02T23:52:23Z
222,10,25,50.43,resale,2026-04-02T23:52:23Z
