section,row,seat,price_usd,selection_type,scraped_at
103,12,6,109.48,resale,2026-04-02T22:00:00Z
103,12,7,109.48,resale,2026-04-02T22:00:00Z
105,23,17,145.18,resale,2026-04-02T22:00:00Z
105,23,18,145.18,resale,2026-04-02T22:00:00Z
105,25,1,145.18,resale,2026-04-02T22:00:00Z
105,25,2,145.18,resale,2026-04-02T22:00:00Z
106,11,13,117.81,resale,2026-04-02T22:00:00Z
106,11,14,117.81,resale,2026-04-02T22:00:00Z
108,5,15,357.0,resale,2026-04-02T22:00:00Z
108,5,16,357.0,resale,2026-04-02T22:00:00Z
109,15,7,252.28,resale,2026-04-02T22:00:00Z
109,15,8,252.28,resale,2026-04-02T22:00:00Z
110,16,3,321.3,resale,2026-04-02T22:00:00Z
110,16,4,321.3,resale,2026-04-02T22:00:00Z
112,9,13,208.25,resale,2026-04-02T22:00:00Z
112,9,14,208.25,resale,2026-04-02T22:00:00Z
114,14,3,89.25,resale,2026-04-02T22:00:00Z
114,14,4,89.25,resale,2026-04-02T22:00:00Z
115,15,7,130.9,resale,2026-04-02T22:00:00Z
115,15,8,130.9,resale,2026-04-02T22:00:00Z
117,6,9,97.58,resale,2026-04-02T22:00:00Z
117,6,10,97.58,resale,2026-04-02T22:00:00Z
117,22,7,97.58,resale,2026-04-02T22:00:00Z
117,22,8,97.58,resale,2026-04-02T22:00:00Z
118,18,9,89.25,resale,2026-04-02T22:00:00Z
118,18,10,89.25,resale,2026-04-02T22:00:00Z
120,5,9,238.0,resale,2026-04-02T22:00:00Z
120,5,10,238.0,resale,2026-04-02T22:00:00Z
121,4,11,386.75,resale,2026-04-02T22:00:00Z
121,4,12,386.75,resale,2026-04-02T22:00:00Z
121,8,11,386.75,resale,2026-04-02T22:00:00Z
121,8,12,386.75,resale,2026-04-02T22:00:00Z
126,21,11,140.42,resale,2026-04-02T22:00:00Z
126,21,12,140.42,resale,2026-04-02T22:00:00Z
126,21,19,140.42,resale,2026-04-02T22:00:00Z
126,21,20,140.42,resale,2026-04-02T22:00:00Z
207,10,18,67.83,resale,2026-04-02T22:00:00Z
207,10,19,67.83,resale,2026-04-02T22:00:00Z
207,10,20,67.83,resale,2026-04-02T22:00:00Z
207,10,21,67.83,resale,2026-04-02T22:00:00Z
210,10,19,60.69,resale,2026-04-02T22:00:00Z
210,10,20,60.69,resale,2026-04-02T22:00:00Z
213,4,9,72.59,resale,2026-04-02T22:00:00Z
213,4,10,72.59,resale,2026-04-02T22:00:00Z
216,10,17,77.35,resale,2026-04-02T22:00:00Z
216,10,18,77.35,resale,2026-04-02T22:00:00Z
217,11,13,76.16,resale,2026-04-02T22:00:00Z
217,11,14,76.16,resale,2026-04-02T22:00:00Z
217,11,15,76.16,resale,2026-04-02T22:00:00Z
217,11,16,76.16,resale,2026-04-02T22:00:00Z
218,2,9,60.69,resale,2026-04-02T22:00:00Z
218,2,10,60.69,resale,2026-04-02T22:00:00Z
218,10,3,60.69,resale,2026-04-02T22:00:00Z
218,10,4,60.69,resale,2026-04-02T22:00:00Z
218,10,5,60.69,resale,2026-04-02T22:00:00Z
218,10,6,60.69,resale,2026-04-02T22:00:00Z
218,10,7,60.69,resale,2026-04-02T22:00:00Z
218,10,8,60.69,resale,2026-04-02T22:00:00Z
218,10,9,60.69,resale,2026-04-02T22:00:00Z
218,10,10,60.69,resale,2026-04-02T22:00:00Z
218,10,17,60.69,resale,2026-04-02T22:00:00Z
218,10,18,60.69,resale,2026-04-02T22:00:00Z
218,10,19,60.69,resale,2026-04-02T22:00:00Z
218,10,20,60.69,resale,2026-04-02T22:00:00Z
219,11,11,60.69,resale,2026-04-02T22:00:00Z
219,11,12,60.69,resale,2026-04-02T22:00:00Z
219,11,13,60.69,resale,2026-04-02T22:00:00Z
219,11,14,60.69,resale,2026-04-02T22:00:00Z
219,11,15,60.69,resale,2026-04-02T22:00:00Z
219,11,16,60.69,resale,2026-04-02T22:00:00Z
219,11,19,60.69,resale,2026-04-02T22:00:00Z
219,11,20,60.69,resale,2026-04-02T22:00:00Z
220,1,9,60.69,resale,2026-04-02T22:00:00Z
220,1,10,60.69,resale,2026-04-02T22:00:00Z
220,2,9,60.69,resale,2026-04-02T22:00:00Z
220,2,10,60.69,resale,2026-04-02T22:00:00Z
220,2,11,60.69,resale,2026-04-02T22:00:00Z
220,2,12,60.69,resale,2026-04-02T22:00:00Z
220,3,9,60.69,resale,2026-04-02T22:00:00Z
220,3,10,60.69,resale,2026-04-02T22:00:00Z
220,4,9,60.69,resale,2026-04-02T22:00:00Z
220,4,10,60.69,resale,2026-04-02T22:00:00Z
221,11,13,67.83,resale,2026-04-02T22:00:00Z
221,11,14,67.83,resale,2026-04-02T22:00:00Z
221,11,15,67.83,resale,2026-04-02T22:00:00Z
221,11,16,67.83,resale,2026-04-02T22:00:00Z
221,11,17,67.83,resale,2026-04-02T22:00:00Z
221,11,18,67.83,resale,2026-04-02T22:00:00Z
221,11,25,67.83,resale,2026-04-02T22:00:00Z
221,11,26,67.83,resale,2026-04-02T22:00:00Z
221,11,27,67.83,resale,2026-04-02T22:00:00Z
221,11,28,67.83,resale,2026-04-02T22:00:00Z
222,10,3,67.83,resale,2026-04-02T22:00:00Z
222,10,4,67.83,resale,2026-04-02T22:00:00Z
222,10,17,67.83,resale,2026-04-02T22:00:00Z
222,10,18,67.83,resale,2026-04-02T22:00:00Z
222,10,19,67.83,resale,2026-04-02T22:00:00Z
222,10,20,67.83,resale,2026-04-02T22:00:00Z
222,10,24,67.83,resale,2026-04-02T22:00:00Z
222,10,25,67.83,resale,2026-04-02T22:00:00Z
222,11,3,67.83,resale,2026-04-02T22:00:00Z
222,11,4,67.83,resale,2026-04-02T22:00:00Z
222,11,5,67.83,resale,2026-04-02T22:00:00Z
222,11,6,67.83,resale,2026-04-02T22:00:00Z
222,11,7,67.83,resale,2026-04-02T22:00:00Z
222,11,8,67.83,resale,2026-04-02T22:00:00Z
222,11,17,67.83,resale,2026-04-02T22:00:00Z
222,11,18,67.83,resale,2026-04-02T22:00:00Z
222,11,19,67.83,resale,2026-04-02T22:00:00Z
222,11,20,67.83,resale,2026-04-02T22:00:00Z
222,11,21,67.83,resale,2026-04-02T22:00:00Z
222,11,22,67.83,resale,2026-04-02T22:00:00Z
222,11,23,67.83,resale,2026-04-02T22:00:00Z
222,11,24,67.83,resale,2026-04-02T22:00:00Z
222,11,25,67.83,resale,2026-04-02T22:00:00Z
222,11,26,67.83,resale,2026-04-02T22:00:00Z
222,11,27,67.83,resale,2026-04-02T22:00:00Z
222,11,28,67.83,resale,2026-04-02T22:00:00Z
223,3,1,67.83,resale,2026-04-02T22:00:00Z
223,3,2,67.83,resale,2026-04-02T22:00:00Z
223,3,9,67.83,resale,2026-04-02T22:00:00Z
223,3,10,67.83,resale,2026-04-02T22:00:00Z
223,3,11,67.83,resale,2026-04-02T22:00:00Z
223,3,12,67.83,resale,2026-04-02T22:00:00Z
223,3,13,67.83,resale,2026-04-02T22:00:00Z
223,3,14,67.83,resale,2026-04-02T22:00:00Z
228,5,1,72.59,resale,2026-04-02T22:00:00Z
228,5,2,72.59,resale,2026-04-02T22:00:00Z
229,2,9,67.83,resale,2026-04-02T22:00:00Z
229,2,10,67.83,resale,2026-04-02T22:00:00Z
230,5,16,67.83,resale,2026-04-02T22:00:00Z
230,5,17,67.83,resale,2026-04-02T22:00:00Z
A102,26,8,148.75,resale,2026-04-02T22:00:00Z
A102,26,9,148.75,resale,2026-04-02T22:00:00Z
M24,3,14,95.2,resale,2026-04-02T22:00:00Z
M24,3,15,95.2,resale,2026-04-02T22:00:00Z
M28,4,12,327.25,resale,2026-04-02T22:00:00Z
M28,4,13,327.25,resale,2026-04-02T22:00:00Z
M32,3,10,89.25,resale,2026-04-02T22:00:00Z
M32,3,11,89.25,resale,2026-04-02T22:00:00Z
M33,2,6,95.2,resale,2026-04-02T22:00:00Z
M33,2,7,95.2,resale,2026-04-02T22:00:00Z
M5,3,15,71.4,resale,2026-04-02T22:00:00Z
M5,3,16,71.4,resale,2026-04-02T22:00:00Z
