section,row,seat,price_usd,selection_type,scraped_at
101,13,11,141.61,resale,2026-04-29T23:52:03Z
101,13,12,141.61,resale,2026-04-29T23:52:03Z
101,7,4,141.61,resale,2026-04-29T23:52:03Z
101,7,3,141.61,resale,2026-04-29T23:52:03Z
102,1,7,267.75,resale,2026-04-29T23:52:03Z
102,1,8,267.75,resale,2026-04-29T23:52:03Z
103,2,4,259.42,resale,2026-04-29T23:52:03Z
103,2,1,259.42,resale,2026-04-29T23:52:03Z
103,2,2,259.42,resale,2026-04-29T23:52:03Z
103,2,3,259.42,resale,2026-04-29T23:52:03Z
105,22,11,151.13,resale,2026-04-29T23:52:03Z
105,22,12,151.13,resale,2026-04-29T23:52:03Z
105,22,13,151.13,resale,2026-04-29T23:52:03Z
105,22,14,151.13,resale,2026-04-29T23:52:03Z
106,8,1,464.1,resale,2026-04-29T23:52:03Z
106,8,2,464.1,resale,2026-04-29T23:52:03Z
111,14,15,201.11,resale,2026-04-29T23:52:03Z
111,14,16,201.11,resale,2026-04-29T23:52:03Z
111,14,17,201.11,resale,2026-04-29T23:52:03Z
111,14,18,201.11,resale,2026-04-29T23:52:03Z
111,8,13,201.11,resale,2026-04-29T23:52:03Z
111,8,14,201.11,resale,2026-04-29T23:52:03Z
111,9,11,201.11,resale,2026-04-29T23:52:03Z
111,9,12,201.11,resale,2026-04-29T23:52:03Z
112,11,10,296.31,resale,2026-04-29T23:52:03Z
112,11,11,296.31,resale,2026-04-29T23:52:03Z
112,11,8,296.31,resale,2026-04-29T23:52:03Z
112,11,9,296.31,resale,2026-04-29T23:52:03Z
113,15,15,178.5,resale,2026-04-29T23:52:03Z
113,15,16,178.5,resale,2026-04-29T23:52:03Z
114,18,1,89.25,resale,2026-04-29T23:52:03Z
114,18,2,89.25,resale,2026-04-29T23:52:03Z
115,17,2,120.19,resale,2026-04-29T23:52:03Z
115,17,3,120.19,resale,2026-04-29T23:52:03Z
116,15,1,183.26,resale,2026-04-29T23:52:03Z
116,15,2,183.26,resale,2026-04-29T23:52:03Z
117,15,13,114.24,resale,2026-04-29T23:52:03Z
117,15,14,114.24,resale,2026-04-29T23:52:03Z
117,23,17,114.24,resale,2026-04-29T23:52:03Z
117,23,18,114.24,resale,2026-04-29T23:52:03Z
117,23,19,114.24,resale,2026-04-29T23:52:03Z
117,23,20,114.24,resale,2026-04-29T23:52:03Z
118,5,4,211.82,resale,2026-04-29T23:52:03Z
118,5,3,211.82,resale,2026-04-29T23:52:03Z
122,11,13,890.12,resale,2026-04-29T23:52:03Z
122,11,14,890.12,resale,2026-04-29T23:52:03Z
124,9,15,,,2026-04-29T23:52:03Z
124,9,16,,,2026-04-29T23:52:03Z
125,23,11,297.5,resale,2026-04-29T23:52:03Z
125,23,12,297.5,resale,2026-04-29T23:52:03Z
208,1,5,109.48,resale,2026-04-29T23:52:03Z
208,1,6,109.48,resale,2026-04-29T23:52:03Z
208,1,7,109.48,resale,2026-04-29T23:52:03Z
208,1,8,109.48,resale,2026-04-29T23:52:03Z
214,10,7,90.44,resale,2026-04-29T23:52:03Z
214,10,8,90.44,resale,2026-04-29T23:52:03Z
214,2,4,90.44,resale,2026-04-29T23:52:03Z
214,2,3,90.44,resale,2026-04-29T23:52:03Z
216,10,10,89.25,resale,2026-04-29T23:52:03Z
216,10,9,89.25,resale,2026-04-29T23:52:03Z
230,1,5,99.37,resale,2026-04-29T23:52:03Z
230,1,6,99.37,resale,2026-04-29T23:52:03Z
A103,26,1,8330.0,resale,2026-04-29T23:52:03Z
A103,26,2,8330.0,resale,2026-04-29T23:52:03Z
DRM19A,5,3,89.25,resale,2026-04-29T23:52:03Z
DRM19A,5,4,89.25,resale,2026-04-29T23:52:03Z
M20,4,17,148.75,resale,2026-04-29T23:52:03Z
M20,4,18,148.75,resale,2026-04-29T23:52:03Z
VIPF,3,15,1547.0,resale,2026-04-29T23:52:03Z
VIPF,3,16,1547.0,resale,2026-04-29T23:52:03Z
