section,row,seat,price_usd,selection_type,scraped_at
101,13,11,140.8,standard,2026-04-29T22:03:07Z
101,13,12,140.8,standard,2026-04-29T22:03:07Z
101,14,7,140.8,standard,2026-04-29T22:03:07Z
101,14,8,140.8,standard,2026-04-29T22:03:07Z
101,15,15,140.8,standard,2026-04-29T22:03:07Z
101,15,16,140.8,standard,2026-04-29T22:03:07Z
101,1,4,140.8,standard,2026-04-29T22:03:07Z
101,1,3,140.8,standard,2026-04-29T22:03:07Z
101,5,5,140.8,standard,2026-04-29T22:03:07Z
101,5,6,140.8,standard,2026-04-29T22:03:07Z
101,7,4,140.8,standard,2026-04-29T22:03:07Z
101,7,3,140.8,standard,2026-04-29T22:03:07Z
101,9,5,140.8,standard,2026-04-29T22:03:07Z
101,9,6,140.8,standard,2026-04-29T22:03:07Z
102,1,7,184.5,resale,2026-04-29T22:03:07Z
102,1,8,184.5,resale,2026-04-29T22:03:07Z
103,11,15,137.76,resale,2026-04-29T22:03:07Z
103,11,16,137.76,resale,2026-04-29T22:03:07Z
103,15,1,137.76,resale,2026-04-29T22:03:07Z
103,15,2,137.76,resale,2026-04-29T22:03:07Z
103,2,4,137.76,resale,2026-04-29T22:03:07Z
103,2,1,137.76,resale,2026-04-29T22:03:07Z
103,2,2,137.76,resale,2026-04-29T22:03:07Z
103,2,3,137.76,resale,2026-04-29T22:03:07Z
104,14,3,123.0,resale,2026-04-29T22:03:07Z
104,14,4,123.0,resale,2026-04-29T22:03:07Z
104,26,21,123.0,resale,2026-04-29T22:03:07Z
104,26,22,123.0,resale,2026-04-29T22:03:07Z
104,4,1,123.0,resale,2026-04-29T22:03:07Z
104,4,2,123.0,resale,2026-04-29T22:03:07Z
104,8,4,123.0,resale,2026-04-29T22:03:07Z
104,8,1,123.0,resale,2026-04-29T22:03:07Z
104,8,2,123.0,resale,2026-04-29T22:03:07Z
104,8,3,123.0,resale,2026-04-29T22:03:07Z
105,13,11,151.29,resale,2026-04-29T22:03:07Z
105,13,12,151.29,resale,2026-04-29T22:03:07Z
105,13,7,151.29,resale,2026-04-29T22:03:07Z
105,13,8,151.29,resale,2026-04-29T22:03:07Z
105,22,10,151.29,resale,2026-04-29T22:03:07Z
105,22,11,151.29,resale,2026-04-29T22:03:07Z
105,22,12,151.29,resale,2026-04-29T22:03:07Z
105,22,13,151.29,resale,2026-04-29T22:03:07Z
105,22,14,151.29,resale,2026-04-29T22:03:07Z
105,22,9,151.29,resale,2026-04-29T22:03:07Z
105,23,19,151.29,resale,2026-04-29T22:03:07Z
105,23,20,151.29,resale,2026-04-29T22:03:07Z
106,1,7,239.85,resale,2026-04-29T22:03:07Z
106,1,8,239.85,resale,2026-04-29T22:03:07Z
106,1,9,239.85,resale,2026-04-29T22:03:07Z
106,1,10,239.85,resale,2026-04-29T22:03:07Z
106,8,1,239.85,resale,2026-04-29T22:03:07Z
106,8,2,239.85,resale,2026-04-29T22:03:07Z
107,11,3,249.69,resale,2026-04-29T22:03:07Z
107,11,4,249.69,resale,2026-04-29T22:03:07Z
107,11,5,249.69,resale,2026-04-29T22:03:07Z
107,11,6,249.69,resale,2026-04-29T22:03:07Z
107,12,5,249.69,resale,2026-04-29T22:03:07Z
107,12,6,249.69,resale,2026-04-29T22:03:07Z
107,2,7,249.69,resale,2026-04-29T22:03:07Z
107,2,8,249.69,resale,2026-04-29T22:03:07Z
108,15,14,361.62,resale,2026-04-29T22:03:07Z
108,15,15,361.62,resale,2026-04-29T22:03:07Z
108,22,15,361.62,resale,2026-04-29T22:03:07Z
108,22,16,361.62,resale,2026-04-29T22:03:07Z
108,2,17,361.62,resale,2026-04-29T22:03:07Z
108,2,18,361.62,resale,2026-04-29T22:03:07Z
108,8,11,361.62,resale,2026-04-29T22:03:07Z
108,8,12,361.62,resale,2026-04-29T22:03:07Z
108,8,13,361.62,resale,2026-04-29T22:03:07Z
108,8,14,361.62,resale,2026-04-29T22:03:07Z
109,11,7,357.93,resale,2026-04-29T22:03:07Z
109,11,8,357.93,resale,2026-04-29T22:03:07Z
109,13,17,357.93,resale,2026-04-29T22:03:07Z
109,13,18,357.93,resale,2026-04-29T22:03:07Z
109,19,10,357.93,resale,2026-04-29T22:03:07Z
109,19,11,357.93,resale,2026-04-29T22:03:07Z
109,23,12,357.93,resale,2026-04-29T22:03:07Z
109,23,13,357.93,resale,2026-04-29T22:03:07Z
109,23,14,357.93,resale,2026-04-29T22:03:07Z
109,23,15,357.93,resale,2026-04-29T22:03:07Z
109,2,5,357.93,resale,2026-04-29T22:03:07Z
109,2,6,357.93,resale,2026-04-29T22:03:07Z
109,5,13,357.93,resale,2026-04-29T22:03:07Z
109,5,14,357.93,resale,2026-04-29T22:03:07Z
109,5,15,357.93,resale,2026-04-29T22:03:07Z
109,5,16,357.93,resale,2026-04-29T22:03:07Z
109,7,15,357.93,resale,2026-04-29T22:03:07Z
109,7,16,357.93,resale,2026-04-29T22:03:07Z
110,16,3,344.4,resale,2026-04-29T22:03:07Z
110,16,4,344.4,resale,2026-04-29T22:03:07Z
110,16,7,344.4,resale,2026-04-29T22:03:07Z
110,16,8,344.4,resale,2026-04-29T22:03:07Z
110,1,1,344.4,resale,2026-04-29T22:03:07Z
110,1,2,344.4,resale,2026-04-29T22:03:07Z
110,20,5,344.4,resale,2026-04-29T22:03:07Z
110,20,6,344.4,resale,2026-04-29T22:03:07Z
111,17,10,249.69,resale,2026-04-29T22:03:07Z
111,17,9,249.69,resale,2026-04-29T22:03:07Z
111,14,15,249.69,resale,2026-04-29T22:03:07Z
111,14,16,249.69,resale,2026-04-29T22:03:07Z
111,14,17,249.69,resale,2026-04-29T22:03:07Z
111,14,18,249.69,resale,2026-04-29T22:03:07Z
111,8,13,249.69,resale,2026-04-29T22:03:07Z
111,8,14,249.69,resale,2026-04-29T22:03:07Z
111,9,11,249.69,resale,2026-04-29T22:03:07Z
