section,row,seat,price_usd,selection_type,scraped_at
434,1,1,10.0,resale,2026-04-01T23:00:40Z
434,1,2,10.0,resale,2026-04-01T23:00:40Z
434,4,10,10.0,resale,2026-04-01T23:00:40Z
434,4,11,10.0,resale,2026-04-01T23:00:40Z
434,4,12,10.0,resale,2026-04-01T23:00:40Z
434,4,13,10.0,resale,2026-04-01T23:00:40Z
434,4,14,10.0,resale,2026-04-01T23:00:40Z
434,4,15,10.0,resale,2026-04-01T23:00:40Z
434,4,16,10.0,resale,2026-04-01T23:00:40Z
434,4,17,10.0,resale,2026-04-01T23:00:40Z
434,6,1,10.0,resale,2026-04-01T23:00:40Z
434,6,10,10.0,resale,2026-04-01T23:00:40Z
434,6,2,10.0,resale,2026-04-01T23:00:40Z
434,6,3,10.0,resale,2026-04-01T23:00:40Z
434,6,4,10.0,resale,2026-04-01T23:00:40Z
434,6,5,10.0,resale,2026-04-01T23:00:40Z
434,6,6,10.0,resale,2026-04-01T23:00:40Z
434,6,7,10.0,resale,2026-04-01T23:00:40Z
434,6,8,10.0,resale,2026-04-01T23:00:40Z
434,6,9,10.0,resale,2026-04-01T23:00:40Z
434,5,8,10.0,resale,2026-04-01T23:00:40Z
434,5,9,10.0,resale,2026-04-01T23:00:40Z
434,5,10,10.0,resale,2026-04-01T23:00:40Z
434,5,11,10.0,resale,2026-04-01T23:00:40Z
434,5,12,10.0,resale,2026-04-01T23:00:40Z
422,3,1,16.0,resale,2026-04-01T23:00:40Z
422,3,2,16.0,resale,2026-04-01T23:00:40Z
422,3,3,16.0,resale,2026-04-01T23:00:40Z
422,3,4,16.0,resale,2026-04-01T23:00:40Z
422,3,5,16.0,resale,2026-04-01T23:00:40Z
422,3,6,16.0,resale,2026-04-01T23:00:40Z
422,3,7,16.0,resale,2026-04-01T23:00:40Z
422,3,8,16.0,resale,2026-04-01T23:00:40Z
422,2,1,16.0,resale,2026-04-01T23:00:40Z
422,2,2,16.0,resale,2026-04-01T23:00:40Z
406,2,12,15.0,resale,2026-04-01T23:00:40Z
406,2,13,15.0,resale,2026-04-01T23:00:40Z
406,7,1,15.0,resale,2026-04-01T23:00:40Z
406,7,16,15.0,resale,2026-04-01T23:00:40Z
406,7,17,15.0,resale,2026-04-01T23:00:40Z
406,7,18,15.0,resale,2026-04-01T23:00:40Z
406,7,19,15.0,resale,2026-04-01T23:00:40Z
406,7,2,15.0,resale,2026-04-01T23:00:40Z
406,7,3,15.0,resale,2026-04-01T23:00:40Z
406,7,4,15.0,resale,2026-04-01T23:00:40Z
406,3,12,15.0,resale,2026-04-01T23:00:40Z
406,3,13,15.0,resale,2026-04-01T23:00:40Z
406,3,14,15.0,resale,2026-04-01T23:00:40Z
406,3,15,15.0,resale,2026-04-01T23:00:40Z
406,3,16,15.0,resale,2026-04-01T23:00:40Z
406,3,17,15.0,resale,2026-04-01T23:00:40Z
102,21,1,31.0,resale,2026-04-01T23:00:40Z
102,21,2,31.0,resale,2026-04-01T23:00:40Z
102,25,24,31.0,resale,2026-04-01T23:00:40Z
102,25,25,31.0,resale,2026-04-01T23:00:40Z
403,2,12,10.0,resale,2026-04-01T23:00:40Z
403,2,13,10.0,resale,2026-04-01T23:00:40Z
403,2,14,10.0,resale,2026-04-01T23:00:40Z
403,2,15,10.0,resale,2026-04-01T23:00:40Z
403,7,17,10.0,resale,2026-04-01T23:00:40Z
403,7,18,10.0,resale,2026-04-01T23:00:40Z
403,7,1,10.0,resale,2026-04-01T23:00:40Z
403,7,2,10.0,resale,2026-04-01T23:00:40Z
403,10,1,10.0,resale,2026-04-01T23:00:40Z
403,10,2,10.0,resale,2026-04-01T23:00:40Z
403,3,5,10.0,resale,2026-04-01T23:00:40Z
403,3,6,10.0,resale,2026-04-01T23:00:40Z
423,2,10,10.0,resale,2026-04-01T23:00:40Z
423,2,11,10.0,resale,2026-04-01T23:00:40Z
423,10,1,10.0,resale,2026-04-01T23:00:40Z
423,10,2,10.0,resale,2026-04-01T23:00:40Z
423,10,3,10.0,resale,2026-04-01T23:00:40Z
423,10,4,10.0,resale,2026-04-01T23:00:40Z
423,3,14,10.0,resale,2026-04-01T23:00:40Z
423,3,15,10.0,resale,2026-04-01T23:00:40Z
423,3,10,10.0,resale,2026-04-01T23:00:40Z
423,3,11,10.0,resale,2026-04-01T23:00:40Z
423,3,12,10.0,resale,2026-04-01T23:00:40Z
423,3,7,10.0,resale,2026-04-01T23:00:40Z
423,3,8,10.0,resale,2026-04-01T23:00:40Z
423,3,9,10.0,resale,2026-04-01T23:00:40Z
402,5,7,13.0,resale,2026-04-01T23:00:40Z
402,5,8,13.0,resale,2026-04-01T23:00:40Z
