section,row,seat,price_usd,selection_type,scraped_at
10,12,1,173.03,resale,2026-04-09T00:57:34Z
10,12,2,173.03,resale,2026-04-09T00:57:34Z
10,13,9,173.03,resale,2026-04-09T00:57:34Z
10,13,10,173.03,resale,2026-04-09T00:57:34Z
10,9,5,173.03,resale,2026-04-09T00:57:34Z
10,9,6,173.03,resale,2026-04-09T00:57:34Z
101,11,7,78.65,resale,2026-04-09T00:57:34Z
101,11,8,78.65,resale,2026-04-09T00:57:34Z
101,14,10,78.65,resale,2026-04-09T00:57:34Z
101,14,11,78.65,resale,2026-04-09T00:57:34Z
101,14,12,78.65,resale,2026-04-09T00:57:34Z
101,14,2,78.65,resale,2026-04-09T00:57:34Z
101,14,3,78.65,resale,2026-04-09T00:57:34Z
101,14,4,78.65,resale,2026-04-09T00:57:34Z
101,14,5,78.65,resale,2026-04-09T00:57:34Z
101,14,6,78.65,resale,2026-04-09T00:57:34Z
101,14,9,78.65,resale,2026-04-09T00:57:34Z
101,21,11,78.65,resale,2026-04-09T00:57:34Z
101,21,12,78.65,resale,2026-04-09T00:57:34Z
101,21,13,78.65,resale,2026-04-09T00:57:34Z
101,21,14,78.65,resale,2026-04-09T00:57:34Z
101,23,17,78.65,resale,2026-04-09T00:57:34Z
101,23,18,78.65,resale,2026-04-09T00:57:34Z
101,8,4,78.65,resale,2026-04-09T00:57:34Z
101,8,3,78.65,resale,2026-04-09T00:57:34Z
103,29,17,135.52,resale,2026-04-09T00:57:34Z
103,29,18,135.52,resale,2026-04-09T00:57:34Z
104,31,10,130.68,resale,2026-04-09T00:57:34Z
104,31,11,130.68,resale,2026-04-09T00:57:34Z
104,34,21,130.68,resale,2026-04-09T00:57:34Z
104,34,22,130.68,resale,2026-04-09T00:57:34Z
105,27,5,145.2,resale,2026-04-09T00:57:34Z
105,27,6,145.2,resale,2026-04-09T00:57:34Z
105,31,19,145.2,resale,2026-04-09T00:57:34Z
105,31,20,145.2,resale,2026-04-09T00:57:34Z
105,32,1,145.2,resale,2026-04-09T00:57:34Z
105,32,2,145.2,resale,2026-04-09T00:57:34Z
106,20,8,214.17,resale,2026-04-09T00:57:34Z
106,20,9,214.17,resale,2026-04-09T00:57:34Z
106,21,8,214.17,resale,2026-04-09T00:57:34Z
106,21,9,214.17,resale,2026-04-09T00:57:34Z
106,25,1,214.17,resale,2026-04-09T00:57:34Z
106,25,2,214.17,resale,2026-04-09T00:57:34Z
106,30,5,214.17,resale,2026-04-09T00:57:34Z
106,30,6,214.17,resale,2026-04-09T00:57:34Z
107,32,19,179.08,resale,2026-04-09T00:57:34Z
107,32,20,179.08,resale,2026-04-09T00:57:34Z
107,32,5,179.08,resale,2026-04-09T00:57:34Z
107,32,6,179.08,resale,2026-04-09T00:57:34Z
108,22,15,121.0,resale,2026-04-09T00:57:34Z
108,22,16,121.0,resale,2026-04-09T00:57:34Z
109,21,11,180.29,resale,2026-04-09T00:57:34Z
109,21,12,180.29,resale,2026-04-09T00:57:34Z
109,25,15,180.29,resale,2026-04-09T00:57:34Z
109,25,16,180.29,resale,2026-04-09T00:57:34Z
109,31,7,180.29,resale,2026-04-09T00:57:34Z
109,31,8,180.29,resale,2026-04-09T00:57:34Z
110,21,1,125.84,resale,2026-04-09T00:57:34Z
110,21,2,125.84,resale,2026-04-09T00:57:34Z
110,23,1,125.84,resale,2026-04-09T00:57:34Z
110,23,2,125.84,resale,2026-04-09T00:57:34Z
110,25,8,125.84,resale,2026-04-09T00:57:34Z
110,25,9,125.84,resale,2026-04-09T00:57:34Z
111,15,5,121.0,resale,2026-04-09T00:57:34Z
111,15,6,121.0,resale,2026-04-09T00:57:34Z
111,16,1,121.0,resale,2026-04-09T00:57:34Z
111,16,2,121.0,resale,2026-04-09T00:57:34Z
111,20,8,121.0,resale,2026-04-09T00:57:34Z
111,20,9,121.0,resale,2026-04-09T00:57:34Z
112,13,5,90.75,resale,2026-04-09T00:57:34Z
112,13,6,90.75,resale,2026-04-09T00:57:34Z
112,13,7,90.75,resale,2026-04-09T00:57:34Z
112,13,8,90.75,resale,2026-04-09T00:57:34Z
112,14,3,90.75,resale,2026-04-09T00:57:34Z
112,14,4,90.75,resale,2026-04-09T00:57:34Z
112,18,5,90.75,resale,2026-04-09T00:57:34Z
112,18,6,90.75,resale,2026-04-09T00:57:34Z
112,27,5,90.75,resale,2026-04-09T00:57:34Z
112,27,6,90.75,resale,2026-04-09T00:57:34Z
112,23,11,90.75,resale,2026-04-09T00:57:34Z
112,23,12,90.75,resale,2026-04-09T00:57:34Z
112,26,14,90.75,resale,2026-04-09T00:57:34Z
112,26,15,90.75,resale,2026-04-09T00:57:34Z
112,34,7,90.75,resale,2026-04-09T00:57:34Z
112,34,8,90.75,resale,2026-04-09T00:57:34Z
114,17,1,72.6,resale,2026-04-09T00:57:34Z
114,17,2,72.6,resale,2026-04-09T00:57:34Z
114,10,5,72.6,resale,2026-04-09T00:57:34Z
114,10,6,72.6,resale,2026-04-09T00:57:34Z
114,10,7,72.6,resale,2026-04-09T00:57:34Z
114,10,8,72.6,resale,2026-04-09T00:57:34Z
114,18,1,72.6,resale,2026-04-09T00:57:34Z
114,18,2,72.6,resale,2026-04-09T00:57:34Z
114,8,4,72.6,resale,2026-04-09T00:57:34Z
114,8,7,72.6,resale,2026-04-09T00:57:34Z
114,8,8,72.6,resale,2026-04-09T00:57:34Z
114,8,3,72.6,resale,2026-04-09T00:57:34Z
114,9,12,72.6,resale,2026-04-09T00:57:34Z
114,9,13,72.6,resale,2026-04-09T00:57:34Z
115,17,10,116.16,resale,2026-04-09T00:57:34Z
115,17,11,116.16,resale,2026-04-09T00:57:34Z
115,16,12,116.16,resale,2026-04-09T00:57:34Z
115,16,13,116.16,resale,2026-04-09T00:57:34Z
115,16,2,116.16,resale,2026-04-09T00:57:34Z
115,22,10,116.16,resale,2026-04-09T00:57:34Z
115,22,9,116.16,resale,2026-04-09T00:57:34Z
115,23,1,116.16,resale,2026-04-09T00:57:34Z
115,23,2,116.16,resale,2026-04-09T00:57:34Z
115,9,8,116.16,resale,2026-04-09T00:57:34Z
115,9,9,116.16,resale,2026-04-09T00:57:34Z
116,20,3,72.6,resale,2026-04-09T00:57:34Z
116,20,4,72.6,resale,2026-04-09T00:57:34Z
117,14,1,60.5,resale,2026-04-09T00:57:34Z
117,14,2,60.5,resale,2026-04-09T00:57:34Z
117,19,4,60.5,resale,2026-04-09T00:57:34Z
117,19,5,60.5,resale,2026-04-09T00:57:34Z
117,27,12,60.5,resale,2026-04-09T00:57:34Z
117,27,13,60.5,resale,2026-04-09T00:57:34Z
118,16,7,85.91,resale,2026-04-09T00:57:34Z
118,16,8,85.91,resale,2026-04-09T00:57:34Z
118,24,11,85.91,resale,2026-04-09T00:57:34Z
118,24,12,85.91,resale,2026-04-09T00:57:34Z
120,32,10,145.2,resale,2026-04-09T00:57:34Z
120,32,11,145.2,resale,2026-04-09T00:57:34Z
120,32,12,145.2,resale,2026-04-09T00:57:34Z
120,32,9,145.2,resale,2026-04-09T00:57:34Z
120,33,10,145.2,resale,2026-04-09T00:57:34Z
120,33,9,145.2,resale,2026-04-09T00:57:34Z
121,25,7,162.14,resale,2026-04-09T00:57:34Z
121,25,8,162.14,resale,2026-04-09T00:57:34Z
121,30,5,162.14,resale,2026-04-09T00:57:34Z
121,30,6,162.14,resale,2026-04-09T00:57:34Z
121,31,1,162.14,resale,2026-04-09T00:57:34Z
121,31,2,162.14,resale,2026-04-09T00:57:34Z
122,27,11,143.99,resale,2026-04-09T00:57:34Z
122,27,12,143.99,resale,2026-04-09T00:57:34Z
122,23,3,143.99,resale,2026-04-09T00:57:34Z
122,23,4,143.99,resale,2026-04-09T00:57:34Z
122,25,10,143.99,resale,2026-04-09T00:57:34Z
122,25,9,143.99,resale,2026-04-09T00:57:34Z
122,31,19,143.99,resale,2026-04-09T00:57:34Z
122,31,20,143.99,resale,2026-04-09T00:57:34Z
