section,row,seat,price_usd,selection_type,scraped_at
103,30,13,264.45,resale,2026-04-11T00:52:22Z
103,30,14,264.45,resale,2026-04-11T00:52:22Z
105,26,3,295.2,resale,2026-04-11T00:52:22Z
105,26,4,295.2,resale,2026-04-11T00:52:22Z
106,21,8,872.07,resale,2026-04-11T00:52:22Z
106,21,9,872.07,resale,2026-04-11T00:52:22Z
109,20,3,217.71,resale,2026-04-11T00:52:22Z
109,20,4,217.71,resale,2026-04-11T00:52:22Z
112,24,7,199.26,resale,2026-04-11T00:52:22Z
112,24,8,199.26,resale,2026-04-11T00:52:22Z
115,17,5,236.16,resale,2026-04-11T00:52:22Z
115,17,6,236.16,resale,2026-04-11T00:52:22Z
115,22,10,236.16,resale,2026-04-11T00:52:22Z
115,22,9,236.16,resale,2026-04-11T00:52:22Z
117,10,1,196.8,resale,2026-04-11T00:52:22Z
117,10,2,196.8,resale,2026-04-11T00:52:22Z
126,22,10,307.5,resale,2026-04-11T00:52:22Z
126,22,9,307.5,resale,2026-04-11T00:52:22Z
128,16,5,300.12,resale,2026-04-11T00:52:22Z
128,16,6,300.12,resale,2026-04-11T00:52:22Z
18,8,1,153.75,resale,2026-04-11T00:52:22Z
18,8,2,153.75,resale,2026-04-11T00:52:22Z
18,8,3,153.75,resale,2026-04-11T00:52:22Z
18,8,4,153.75,resale,2026-04-11T00:52:22Z
20,4,18,615.0,resale,2026-04-11T00:52:22Z
20,4,19,615.0,resale,2026-04-11T00:52:22Z
200,13,12,110.7,resale,2026-04-11T00:52:22Z
200,13,13,110.7,resale,2026-04-11T00:52:22Z
201,1,4,153.75,resale,2026-04-11T00:52:22Z
201,1,3,153.75,resale,2026-04-11T00:52:22Z
205,13,17,92.25,resale,2026-04-11T00:52:22Z
205,13,18,92.25,resale,2026-04-11T00:52:22Z
209,8,4,96.17,standard,2026-04-11T00:52:22Z
209,8,3,96.17,standard,2026-04-11T00:52:22Z
210,20,10,96.17,standard,2026-04-11T00:52:22Z
210,20,11,96.17,standard,2026-04-11T00:52:22Z
210,20,12,96.17,standard,2026-04-11T00:52:22Z
210,20,5,96.17,standard,2026-04-11T00:52:22Z
210,20,6,96.17,standard,2026-04-11T00:52:22Z
210,20,7,96.17,standard,2026-04-11T00:52:22Z
210,20,8,96.17,standard,2026-04-11T00:52:22Z
210,20,9,96.17,standard,2026-04-11T00:52:22Z
210,5,4,96.17,standard,2026-04-11T00:52:22Z
210,5,5,96.17,standard,2026-04-11T00:52:22Z
212,1,4,57.81,resale,2026-04-11T00:52:22Z
212,1,5,57.81,resale,2026-04-11T00:52:22Z
212,1,6,57.81,resale,2026-04-11T00:52:22Z
212,1,7,57.81,resale,2026-04-11T00:52:22Z
214,12,1,83.64,resale,2026-04-11T00:52:22Z
214,12,2,83.64,resale,2026-04-11T00:52:22Z
214,5,4,83.64,resale,2026-04-11T00:52:22Z
214,5,5,83.64,resale,2026-04-11T00:52:22Z
220,10,10,86.1,resale,2026-04-11T00:52:22Z
220,10,11,86.1,resale,2026-04-11T00:52:22Z
220,12,1,86.1,resale,2026-04-11T00:52:22Z
220,12,2,86.1,resale,2026-04-11T00:52:22Z
222,8,19,96.17,standard,2026-04-11T00:52:22Z
222,8,20,96.17,standard,2026-04-11T00:52:22Z
223,8,4,55.35,resale,2026-04-11T00:52:22Z
223,8,3,55.35,resale,2026-04-11T00:52:22Z
224,12,1,98.4,resale,2026-04-11T00:52:22Z
224,12,2,98.4,resale,2026-04-11T00:52:22Z
224,23,23,98.4,resale,2026-04-11T00:52:22Z
224,23,24,98.4,resale,2026-04-11T00:52:22Z
231,10,20,36.9,resale,2026-04-11T00:52:22Z
231,10,21,36.9,resale,2026-04-11T00:52:22Z
231,10,22,36.9,resale,2026-04-11T00:52:22Z
231,10,23,36.9,resale,2026-04-11T00:52:22Z
231,10,5,36.9,resale,2026-04-11T00:52:22Z
231,10,6,36.9,resale,2026-04-11T00:52:22Z
231,10,7,36.9,resale,2026-04-11T00:52:22Z
231,10,8,36.9,resale,2026-04-11T00:52:22Z
231,10,9,36.9,resale,2026-04-11T00:52:22Z
24,10,13,516.6,resale,2026-04-11T00:52:22Z
24,10,14,516.6,resale,2026-04-11T00:52:22Z
24,8,5,516.6,resale,2026-04-11T00:52:22Z
24,8,6,516.6,resale,2026-04-11T00:52:22Z
4,8,4,307.5,resale,2026-04-11T00:52:22Z
4,8,5,307.5,resale,2026-04-11T00:52:22Z
8,12,7,940.95,resale,2026-04-11T00:52:22Z
8,12,10,940.95,resale,2026-04-11T00:52:22Z
8,12,5,940.95,resale,2026-04-11T00:52:22Z
8,12,6,940.95,resale,2026-04-11T00:52:22Z
8,12,8,940.95,resale,2026-04-11T00:52:22Z
8,12,9,940.95,resale,2026-04-11T00:52:22Z
SB2B,3,3,362.85,resale,2026-04-11T00:52:22Z
SB2B,3,4,362.85,resale,2026-04-11T00:52:22Z
