section,row,seat,price_usd,selection_type,scraped_at
103,30,13,179.58,resale,2026-04-10T23:03:29Z
103,30,14,179.58,resale,2026-04-10T23:03:29Z
105,26,3,276.75,resale,2026-04-10T23:03:29Z
105,26,4,276.75,resale,2026-04-10T23:03:29Z
106,21,8,263.22,resale,2026-04-10T23:03:29Z
106,21,9,263.22,resale,2026-04-10T23:03:29Z
109,20,3,217.71,resale,2026-04-10T23:03:29Z
109,20,4,217.71,resale,2026-04-10T23:03:29Z
115,17,5,221.4,resale,2026-04-10T23:03:29Z
115,17,6,221.4,resale,2026-04-10T23:03:29Z
115,22,9,221.4,resale,2026-04-10T23:03:29Z
115,22,10,221.4,resale,2026-04-10T23:03:29Z
117,10,1,211.56,resale,2026-04-10T23:03:29Z
117,10,2,211.56,resale,2026-04-10T23:03:29Z
126,22,9,264.45,resale,2026-04-10T23:03:29Z
126,22,10,264.45,resale,2026-04-10T23:03:29Z
128,16,5,205.41,resale,2026-04-10T23:03:29Z
128,16,6,205.41,resale,2026-04-10T23:03:29Z
20,4,18,492.0,resale,2026-04-10T23:03:29Z
20,4,19,492.0,resale,2026-04-10T23:03:29Z
200,13,12,110.7,resale,2026-04-10T23:03:29Z
200,13,13,110.7,resale,2026-04-10T23:03:29Z
201,1,3,60.27,resale,2026-04-10T23:03:29Z
201,1,4,60.27,resale,2026-04-10T23:03:29Z
205,13,17,92.25,resale,2026-04-10T23:03:29Z
205,13,18,92.25,resale,2026-04-10T23:03:29Z
209,8,3,96.17,standard,2026-04-10T23:03:29Z
209,8,4,96.17,standard,2026-04-10T23:03:29Z
210,5,4,70.11,resale,2026-04-10T23:03:29Z
210,5,5,70.11,resale,2026-04-10T23:03:29Z
210,20,5,70.11,resale,2026-04-10T23:03:29Z
210,20,6,70.11,resale,2026-04-10T23:03:29Z
210,20,7,70.11,resale,2026-04-10T23:03:29Z
210,20,8,70.11,resale,2026-04-10T23:03:29Z
210,20,9,70.11,resale,2026-04-10T23:03:29Z
210,20,10,70.11,resale,2026-04-10T23:03:29Z
210,20,11,70.11,resale,2026-04-10T23:03:29Z
210,20,12,70.11,resale,2026-04-10T23:03:29Z
212,1,4,96.17,standard,2026-04-10T23:03:29Z
212,1,5,96.17,standard,2026-04-10T23:03:29Z
212,1,6,96.17,standard,2026-04-10T23:03:29Z
212,1,7,96.17,standard,2026-04-10T23:03:29Z
214,5,4,62.73,resale,2026-04-10T23:03:29Z
214,5,5,62.73,resale,2026-04-10T23:03:29Z
214,12,1,62.73,resale,2026-04-10T23:03:29Z
214,12,2,62.73,resale,2026-04-10T23:03:29Z
220,10,10,86.22,standard,2026-04-10T23:03:29Z
220,10,11,86.22,standard,2026-04-10T23:03:29Z
220,12,1,86.22,standard,2026-04-10T23:03:29Z
220,12,2,86.22,standard,2026-04-10T23:03:29Z
222,8,19,96.17,standard,2026-04-10T23:03:29Z
222,8,20,96.17,standard,2026-04-10T23:03:29Z
223,8,3,73.8,resale,2026-04-10T23:03:29Z
223,8,4,73.8,resale,2026-04-10T23:03:29Z
224,12,1,65.19,resale,2026-04-10T23:03:29Z
224,12,2,65.19,resale,2026-04-10T23:03:29Z
224,23,23,65.19,resale,2026-04-10T23:03:29Z
224,23,24,65.19,resale,2026-04-10T23:03:29Z
231,10,5,67.65,resale,2026-04-10T23:03:29Z
231,10,6,67.65,resale,2026-04-10T23:03:29Z
231,10,7,67.65,resale,2026-04-10T23:03:29Z
231,10,8,67.65,resale,2026-04-10T23:03:29Z
231,10,9,67.65,resale,2026-04-10T23:03:29Z
24,8,5,516.6,resale,2026-04-10T23:03:29Z
24,8,6,516.6,resale,2026-04-10T23:03:29Z
24,10,13,516.6,resale,2026-04-10T23:03:29Z
24,10,14,516.6,resale,2026-04-10T23:03:29Z
4,8,4,456.33,resale,2026-04-10T23:03:29Z
4,8,5,456.33,resale,2026-04-10T23:03:29Z
8,12,5,922.5,resale,2026-04-10T23:03:29Z
8,12,6,922.5,resale,2026-04-10T23:03:29Z
8,12,7,922.5,resale,2026-04-10T23:03:29Z
8,12,8,922.5,resale,2026-04-10T23:03:29Z
8,12,9,922.5,resale,2026-04-10T23:03:29Z
8,12,10,922.5,resale,2026-04-10T23:03:29Z
SB2B,3,3,362.85,resale,2026-04-10T23:03:29Z
SB2B,3,4,362.85,resale,2026-04-10T23:03:29Z
