section,row,seat,price_usd,selection_type,scraped_at
106,21,12,276.75,resale,2026-04-13T01:22:07Z
106,21,13,276.75,resale,2026-04-13T01:22:07Z
106,21,8,276.75,resale,2026-04-13T01:22:07Z
106,21,9,276.75,resale,2026-04-13T01:22:07Z
108,24,11,381.3,resale,2026-04-13T01:22:07Z
108,24,12,381.3,resale,2026-04-13T01:22:07Z
109,21,3,184.5,resale,2026-04-13T01:22:07Z
109,21,4,184.5,resale,2026-04-13T01:22:07Z
109,29,17,184.5,resale,2026-04-13T01:22:07Z
109,29,18,184.5,resale,2026-04-13T01:22:07Z
112,24,1,239.85,resale,2026-04-13T01:22:07Z
112,24,2,239.85,resale,2026-04-13T01:22:07Z
114,22,15,227.55,resale,2026-04-13T01:22:07Z
114,22,16,227.55,resale,2026-04-13T01:22:07Z
115,22,10,268.31,standard,2026-04-13T01:22:07Z
115,22,9,268.31,standard,2026-04-13T01:22:07Z
121,22,13,370.23,resale,2026-04-13T01:22:07Z
121,22,14,370.23,resale,2026-04-13T01:22:07Z
123,27,14,281.67,resale,2026-04-13T01:22:07Z
123,27,15,281.67,resale,2026-04-13T01:22:07Z
123,25,5,281.67,resale,2026-04-13T01:22:07Z
123,25,6,281.67,resale,2026-04-13T01:22:07Z
127,15,1,273.1,standard,2026-04-13T01:22:07Z
127,15,2,273.1,standard,2026-04-13T01:22:07Z
14,3,12,714.63,resale,2026-04-13T01:22:07Z
14,3,13,714.63,resale,2026-04-13T01:22:07Z
16,5,17,584.25,resale,2026-04-13T01:22:07Z
16,5,18,584.25,resale,2026-04-13T01:22:07Z
200,8,13,215.25,resale,2026-04-13T01:22:07Z
200,8,14,215.25,resale,2026-04-13T01:22:07Z
210,5,17,86.1,resale,2026-04-13T01:22:07Z
210,5,18,86.1,resale,2026-04-13T01:22:07Z
231,10,5,88.33,standard,2026-04-13T01:22:07Z
231,10,6,88.33,standard,2026-04-13T01:22:07Z
24,5,7,244.77,resale,2026-04-13T01:22:07Z
24,5,3,244.77,resale,2026-04-13T01:22:07Z
24,5,4,244.77,resale,2026-04-13T01:22:07Z
24,5,5,244.77,resale,2026-04-13T01:22:07Z
24,5,6,244.77,resale,2026-04-13T01:22:07Z
24,5,8,244.77,resale,2026-04-13T01:22:07Z
24,6,15,244.77,resale,2026-04-13T01:22:07Z
24,6,16,244.77,resale,2026-04-13T01:22:07Z
6,4,12,830.25,resale,2026-04-13T01:22:07Z
6,4,13,830.25,resale,2026-04-13T01:22:07Z
6,5,15,830.25,resale,2026-04-13T01:22:07Z
6,5,16,830.25,resale,2026-04-13T01:22:07Z
8,12,14,461.25,resale,2026-04-13T01:22:07Z
8,12,11,461.25,resale,2026-04-13T01:22:07Z
8,12,12,461.25,resale,2026-04-13T01:22:07Z
8,12,13,461.25,resale,2026-04-13T01:22:07Z
