section,row,seat,price_usd,selection_type,scraped_at
122,32,17,907.5,resale,2026-05-07T02:22:00Z
122,32,18,907.5,resale,2026-05-07T02:22:00Z
20,10,10,786.5,resale,2026-05-07T02:22:00Z
20,10,11,786.5,resale,2026-05-07T02:22:00Z
206,13,19,242.0,resale,2026-05-07T02:22:00Z
206,13,20,242.0,resale,2026-05-07T02:22:00Z
207,21,17,453.75,resale,2026-05-07T02:22:00Z
207,21,18,453.75,resale,2026-05-07T02:22:00Z
208,18,13,216.59,resale,2026-05-07T02:22:00Z
208,18,14,216.59,resale,2026-05-07T02:22:00Z
22,7,10,1815.0,resale,2026-05-07T02:22:00Z
22,7,9,1815.0,resale,2026-05-07T02:22:00Z
224,9,1,350.9,resale,2026-05-07T02:22:00Z
224,9,2,350.9,resale,2026-05-07T02:22:00Z
