offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJQGQYDMMBVGY4HYMJXMJSGMMJVME2TK,101,2,301.29,resale,2026-03-25T02:00:34Z
GJ6DC7BVGU,101,1,248.25,standard,2026-03-25T02:00:34Z
GJ6DC7BVGY,101,1,213.65,standard,2026-03-25T02:00:34Z
GJ6DC7BVGM,101,1,352.2,standard,2026-03-25T02:00:34Z
GN6DCMJVGAZDMNJUGQ3XYMJXMU2TSYZXGRTDK,102,3,242.0,resale,2026-03-25T02:00:34Z
GN6DCMJUG44DMOBUGQ2HYMJXMU2WCOBTMRSTK,102,2,260.15,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTONRSGE4HYMJXMU2TMODDMQ4DK,102,2,254.1,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTONRYHA4XYMJXMU2TMOJRHAZDK,102,2,245.63,resale,2026-03-25T02:00:34Z
GJ6DC7BVGU,102,2,248.25,standard,2026-03-25T02:00:34Z
GN6DCMJUG4ZTSMJTGQ3HYMJXMU2GENBRGQ4TK,102,2,363.0,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTGMBTGE2XYMJXMU2TENLFGZRDK,102,2,484.0,resale,2026-03-25T02:00:34Z
GN6DCMJTHAYTCNZYGUZHYMJXMU2DINRSMFRDK,102,2,363.0,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTIOBZGU4HYMJXMU2TQMZSGQZTK,102,2,266.2,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDAMBVGEYHYMJXMU2WCYZZGYYDK,103,2,277.09,resale,2026-03-25T02:00:34Z
GJ6DCMBUGAYDAMBSPQ2TG,103,2,334.85,standard,2026-03-25T02:00:34Z
GJ6DC7BVGU,103,2,248.25,standard,2026-03-25T02:00:34Z
GN6DCMJUHE4TMMJUGQ4XYMJXMU2GCOJYMI4TK,103,2,816.75,resale,2026-03-25T02:00:34Z
GN6DCMJUGY3DEMRSGMYXYMJXMQ4TQZBZGNQTK,103,2,229.9,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4TMMJUGUYXYMJXMU2WCMRSGQ4DK,103,2,727.21,resale,2026-03-25T02:00:34Z
GN6DSNJUHA3DKMRVHF6DCNZVMZSGMNRWGE2Q,103,2,847.0,resale,2026-03-25T02:00:34Z
GN6DCMJSGM3TMMBVGI2XYMJXG42DAOJSGYZDK,103,2,514.25,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDONZXGAZHYMJXMU2WCOBZGQYTK,103,4,211.75,resale,2026-03-25T02:00:34Z
GN6DCMBSG42DGNZVGQYHYMJXMU2TSOJYGY2DK,104,2,301.29,resale,2026-03-25T02:00:34Z
GJ6DC7BVG4,105,1,184.75,standard,2026-03-25T02:00:34Z
GN6DCMJUG44DEOBSGQYXYMJXMU2TCNDFGE4TK,105,2,482.79,resale,2026-03-25T02:00:34Z
GN6DCMJSGM2DKNRWG44HYMJXG4ZGGMLBG44TK,105,2,363.0,resale,2026-03-25T02:00:34Z
GN6DCMJUHA2DONJUGQZXYMJXMU2WCODBGBSTK,106,1,211.75,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDONJRGE3XYMJXMU2WCNRRMRRTK,106,2,139.15,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTCMJVGQ4XYMJXMU2TCOJQGJRDK,107,2,192.39,resale,2026-03-25T02:00:34Z
GN6DCMBWGQ2DMOJSHA3HYMJXGVTGIZRUGIZDK,108,2,544.5,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTKOJVHEYXYMJXMU2TOY3DMU3DK,108,2,163.35,resale,2026-03-25T02:00:34Z
GN6DCMJUHA2DEMZXHAZXYMJXMUYDKMZYMMYTK,108,2,244.42,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDCMBWG4YHYMJXMU2WCN3FMQ2TK,108,2,175.45,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDIOJQG43HYMJXMU2TQZLEGBQTK,108F,2,1210.0,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYDGNZWGM4XYMJXMU2WCYZYGMZTK,110,2,133.1,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYDSNJQGQ4XYMJXMU2WCNDBGFRDK,110,8,300.08,resale,2026-03-25T02:00:34Z
GN6DCMJTGY3TSOJVG4ZXYMJXMU2TINRXMNSTK,110,2,205.7,resale,2026-03-25T02:00:34Z
GN6DCMJUG43TGNZYHAZHYMJXMU2TOZLGGJSTK,110,1,193.6,resale,2026-03-25T02:00:34Z
GJ6DC7BVG4,111,1,184.75,standard,2026-03-25T02:00:34Z
GN6DCMJUHE4DONBVGEYXYMJXMU2DKOJQG5QTK,111,2,181.5,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDGMJWGU2HYMJXMU2TQMDCHA3DK,111,2,181.5,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDONRTGUYXYMJXMU2WEMRQHFRTK,111,2,165.77,resale,2026-03-25T02:00:34Z
GN6DCMBXHAZDMNJVGUYHYMJXMU2TCYLBMFSDK,111W,1,181.5,resale,2026-03-25T02:00:34Z
GJ6DC7BVGY,112,1,213.65,standard,2026-03-25T02:00:34Z
GN6DCMJVGAYTEMJYGQZHYMJXMU2WCZLBMZTDK,112,2,217.8,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DKOBSHAZXYMJXMU2DIYZWGUYTK,113,2,320.65,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDOMZRGMYXYMJXMU2WCNZZMY3TK,113,4,304.92,resale,2026-03-25T02:00:34Z
GJ6DCMBUGAYDAMBSPQ2TG,113,2,334.85,standard,2026-03-25T02:00:34Z
GN6DCMJUHAZTAMJRGYZHYMJXMU2DAMTEHFQTK,113,2,429.55,resale,2026-03-25T02:00:34Z
GN6DCMJUG42DGNZWGM3XYMJXMU2TQOJYMU4TK,113,4,229.9,resale,2026-03-25T02:00:34Z
GJ6DC7BVGU,113,3,248.25,standard,2026-03-25T02:00:34Z
GN6DCMJUHA2DQMBVG42HYMJXMUYDKNBRMM3TK,113,2,323.07,resale,2026-03-25T02:00:34Z
GN6DCMJUG42DMMJRGEZXYMJXMU2TSNTGG42TK,113,3,235.95,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDQMBVGY3HYMJXMU2WCOLGGQ4TK,113,1,338.8,resale,2026-03-25T02:00:34Z
GJ6DC7BVGM,113,4,352.2,standard,2026-03-25T02:00:34Z
GN6DSNRWG42DINRUGR6DCN3FGQYWEMLGMY2Q,114,2,1815.0,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTSMJSGY4XYMJXMU2TSMRQGE4DK,114,2,223.85,resale,2026-03-25T02:00:34Z
GN6DCMBRGQYTQOJRGY2HYMJXMU2WCZRUGZTDK,114,4,308.55,resale,2026-03-25T02:00:34Z
GJ6DC7BVGU,114,5,248.25,standard,2026-03-25T02:00:34Z
GN6DCMJRGE3DONZUGY3HYMJXMU2TAMDBGI2DK,114,4,297.66,resale,2026-03-25T02:00:34Z
GN6DCMJSGA4TKOBYHEYHYMJXMU2DINJSMEZDK,114,2,242.0,resale,2026-03-25T02:00:34Z
GJ6DC7BVGU,115,2,248.25,standard,2026-03-25T02:00:34Z
GJ6DC7BVGY,115,2,213.65,standard,2026-03-25T02:00:34Z
GN6DCMJVGAYTOMZUHA3XYMJXMU2TIZLEGQZTK,115,2,211.75,resale,2026-03-25T02:00:34Z
GN6DCMJUGMZDCNJVGI4XYMJXMU2DCNZUHA2DK,115,2,278.3,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYDGOBRGM2HYMJXMU2GKMRWGRQTK,115F,1,1185.8,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDMOBRHAZXYMJXMU2TSZJQHA2DK,116,1,301.29,resale,2026-03-25T02:00:34Z
GJ6DC7BVGY,116,2,213.65,standard,2026-03-25T02:00:34Z
GJ6DC7BVG4,116,2,184.75,standard,2026-03-25T02:00:34Z
GN6DCMJVGAYDENZZGQ4XYMJXMU2GIYZYGVSTK,116,2,634.04,resale,2026-03-25T02:00:34Z
GN6DCMJTGM4DQNZRGMYXYMJXMU2GIY3DMQ2DK,116,3,634.04,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDKMBSGIZXYMJXMU2WCODGGUZDK,116,4,191.18,resale,2026-03-25T02:00:34Z
GJ6DC7BVGU,117,4,248.25,standard,2026-03-25T02:00:34Z
GN6DCMJUHEZTEOJSGA3XYMJXMU2TCZLBGIYDK,117,4,199.65,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTSMJRGU4XYMJXMU2TKZBSHBSTK,118,2,605.0,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTSOJUHA2XYMJXMU2TMNBZMI4TK,119,2,181.5,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYDSNJVGA3XYMJXMU2TAZBQGBTDK,119,4,180.29,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DSMBZGU2XYMJXMU2DMMZQGA2TK,119,2,387.2,resale,2026-03-25T02:00:34Z
GJ6DC7BVGY,119,1,213.65,standard,2026-03-25T02:00:34Z
GN6DCMJVGAYDSMZZGU4HYMJXMU2TAYRWMY2DK,119,3,272.25,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTQOBVHAZXYMJXMU2TKYRQMU4TK,119,2,216.59,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTQOJSGY4HYMJXMU2WCMRRG4YDK,119,4,181.5,resale,2026-03-25T02:00:34Z
GN6DCMJQHE3DKMZWGMZXYMJXMU2WCNJRMYYTK,120,1,217.8,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDANBUG44HYMJXMU2TMOBWGQ4DK,120F,3,797.39,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DMMBZHA2XYMJXMU2WCMBZHE4TK,121,2,154.88,resale,2026-03-25T02:00:34Z
GJ6DC7BVHA,122,1,161.65,standard,2026-03-25T02:00:34Z
GJ6DC7BVGY,122,1,213.65,standard,2026-03-25T02:00:34Z
GJ6DC7BVHA,122W,1,161.65,standard,2026-03-25T02:00:34Z
GJ6DC7BVGU,123,4,248.25,standard,2026-03-25T02:00:34Z
GN6DCMJUHE3TSNJRGQYHYMJXMU2TONDFGYYDK,123,2,268.62,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDIOJTHA3HYMJXMU2TQZRVMUZDK,123F,2,605.0,resale,2026-03-25T02:00:34Z
GJ6DC7BVGU,124,1,248.25,standard,2026-03-25T02:00:34Z
GJ6DC7BVGY,124,6,213.65,standard,2026-03-25T02:00:34Z
GN6DCMJVGAYDEOJWGUYXYMJXMU2TSZBZMZSDK,124,2,187.55,resale,2026-03-25T02:00:34Z
GJ6DC7BVG4,124,1,184.75,standard,2026-03-25T02:00:34Z
GN6DCMJVGAZDKOBTHE4HYMJXMU2WCZRVGQ2DK,124,2,205.7,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDCMBWGU3XYMJXMU2WCNTEMJTDK,206,2,87.12,resale,2026-03-25T02:00:34Z
GN6DCMJUHEYDINRXG4YHYMJXMU2WCY3FGFRDK,209,6,117.37,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DSMBSGM4XYMJXMU2WCY3DMNRTK,212,8,128.26,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDANJRGQYHYMJXMU2TMOJXGYZTK,212,1,84.7,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDINJXHAZHYMJXMU2TQYTGMQ4DK,214,1,84.7,resale,2026-03-25T02:00:34Z
GN6DSNJUG4YDEMBWGJ6DCN3BMQ3GINTBGE2Q,215,2,203.28,resale,2026-03-25T02:00:34Z
GN6DCMJUG43TMNZYHAYHYMJXMUYDKNBXHAYTK,217W,2,242.0,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDMNJVGAYHYMJXMU2WCN3FGU3DK,223,1,,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDOMZUGU4HYMJXMU2WCODBMIZTK,224,1,,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DONZVHEZHYMJXMU2WCNRZG5QTK,224,4,,resale,2026-03-25T02:00:34Z
GN6DCMJUHEYDIOBQG44XYMJXMU2WCMRUGNSTK,224,8,163.35,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTSMRXG4ZXYMJXMU2TKZLEGEYTK,226,1,84.7,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTAMJYHA2HYMJXMU2TCMLFGE2TK,227,1,84.7,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DONZVHA3XYMJXMU2WCMRZMM2TK,228,4,121.0,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DONRZGI2HYMJXMU2WCMRVMQ3DK,228,4,131.89,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DONZVHA4XYMJXMU2WCMTDGNTDK,228,4,128.26,resale,2026-03-25T02:00:34Z
GN6DCMJUGMZDCOJXHEZHYMJXMU2WCMLEG5QTK,229,5,146.41,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DONZVHEYHYMJXMU2WCMLCGUZDK,230,4,136.73,resale,2026-03-25T02:00:34Z
