offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BVGI,101,1,874.05,standard,2026-03-29T00:59:59Z
GJ6DCMBUGAYDAMBSPQ2TG,101,3,301.4,standard,2026-03-29T00:59:59Z
GN6DCMJQGQYDMMJSGA2XYMJXMEZDAMBZMJTDK,101,2,291.55,resale,2026-03-29T00:59:59Z
GJ6DC7BVGY,101,1,219.4,standard,2026-03-29T00:59:59Z
GN6DCMJVGQ2DGOBUGA3XYMJXMYYWKNLBMZSDK,102,2,178.5,resale,2026-03-29T00:59:59Z
GJ6DC7BVGU,102,2,248.25,standard,2026-03-29T00:59:59Z
GN6DCMJVGQ2DGNZSG43HYMJXMYYWMOBRGNSDK,102,2,595.0,resale,2026-03-29T00:59:59Z
GJ6DCMBUGAYDAMBSPQ2TG,103,1,301.4,standard,2026-03-29T00:59:59Z
GJ6DC7BVGU,103,1,248.25,standard,2026-03-29T00:59:59Z
GN6DCMJVGQZTSNZQGYZXYMJXMYYWEZBSMFTDK,103,1,172.55,resale,2026-03-29T00:59:59Z
GJ6DC7BVGY,103,1,219.4,standard,2026-03-29T00:59:59Z
GN6DCMJVGQZTANJRGQ3XYMJXMYYWKZLCGFTDK,103,2,185.64,resale,2026-03-29T00:59:59Z
GJ6DC7BVGM,103,2,317.55,standard,2026-03-29T00:59:59Z
GN6DCMJVGQZTANBWGQZXYMJXMYYWKZLGMI2DK,103,2,173.74,resale,2026-03-29T00:59:59Z
GN6DCMJVGQZTOMZXG42XYMJXMYYWCYJTGIYTK,103,2,267.75,resale,2026-03-29T00:59:59Z
GN6DCMJTGE4DANZZG44HYMJXMYYWINRVGMYTK,103,2,208.25,resale,2026-03-29T00:59:59Z
GN6DCMJUHE3TAMBYGQZHYMJXMUZWMOBQMIYDK,103F,2,1830.22,resale,2026-03-29T00:59:59Z
GN6DCMBXGAZTMMRQGMYXYMJXMRTGKYTFG5QTK,104,2,273.7,resale,2026-03-29T00:59:59Z
GJ6DC7BVGY,104,9,219.4,standard,2026-03-29T00:59:59Z
GJ6DC7BVG4,104,2,190.55,standard,2026-03-29T00:59:59Z
GN6DCMJVGQ2DAMRUGQYHYMJXMYYWGOBZGM4DK,104,1,189.21,resale,2026-03-29T00:59:59Z
GJ6DC7BVGU,104,1,248.25,standard,2026-03-29T00:59:59Z
GJ6DC7BVGU,105,5,248.25,standard,2026-03-29T00:59:59Z
GJ6DC7BVG4,105,4,190.55,standard,2026-03-29T00:59:59Z
GN6DCMJQHAZDSNBVGIYHYMJXMYYGGMTDGY4DK,105,4,190.4,resale,2026-03-29T00:59:59Z
GN6DCMJUGIZTQMJYGQ4XYMJXMYYWCYRZGJRDK,105,2,124.95,resale,2026-03-29T00:59:59Z
GN6DCMJVGQZTENZUGAZHYMJXMYYWGMLCG5QTK,106,2,172.55,resale,2026-03-29T00:59:59Z
GN6DCMJVGM3TCMRQHA4XYMJXMYYWMNRZMYZDK,106,2,117.81,resale,2026-03-29T00:59:59Z
GN6DCMJVGQ2DKMBZGUZHYMJXMYYWMNZVG43TK,106,1,90.44,resale,2026-03-29T00:59:59Z
GJ6DC7BVHE,107,2,150.1,standard,2026-03-29T00:59:59Z
GN6DCMJUHA3TMOJQGM2HYMJXMYYWMMBYMYZTK,107,1,103.53,resale,2026-03-29T00:59:59Z
GN6DCMJVGQZDMNBUHE2HYMJXMYYWMNZVMUZTK,107,2,89.25,resale,2026-03-29T00:59:59Z
