section,row,seat,price_usd,selection_type,scraped_at
101,15,11,225.15,standard,2026-04-08T02:02:57Z
101,15,12,225.15,standard,2026-04-08T02:02:57Z
102,5,17,362.85,resale,2026-04-08T02:02:57Z
102,5,18,362.85,resale,2026-04-08T02:02:57Z
103,9,5,246.0,resale,2026-04-08T02:02:57Z
103,9,6,246.0,resale,2026-04-08T02:02:57Z
105,27,3,235.6,standard,2026-04-08T02:02:57Z
105,27,4,235.6,standard,2026-04-08T02:02:57Z
108F,D,8,969.24,resale,2026-04-08T02:02:57Z
108F,D,9,969.24,resale,2026-04-08T02:02:57Z
109,8,1,207.85,standard,2026-04-08T02:02:57Z
109,8,2,207.85,standard,2026-04-08T02:02:57Z
109,14,2,207.85,standard,2026-04-08T02:02:57Z
109,14,3,207.85,standard,2026-04-08T02:02:57Z
113,10,9,235.6,standard,2026-04-08T02:02:57Z
113,10,10,235.6,standard,2026-04-08T02:02:57Z
114,13,17,344.4,resale,2026-04-08T02:02:57Z
114,13,18,344.4,resale,2026-04-08T02:02:57Z
114,19,3,344.4,resale,2026-04-08T02:02:57Z
114,19,4,344.4,resale,2026-04-08T02:02:57Z
116,4,5,225.15,standard,2026-04-08T02:02:57Z
116,4,6,225.15,standard,2026-04-08T02:02:57Z
119,27C,5,180.81,resale,2026-04-08T02:02:57Z
119,27C,6,180.81,resale,2026-04-08T02:02:57Z
227W,1,1,89.79,resale,2026-04-08T02:02:57Z
227W,1,2,89.79,resale,2026-04-08T02:02:57Z
