section,row,seat,price_usd,selection_type,scraped_at
101,15,11,225.15,standard,2026-04-08T02:02:57Z
101,15,12,225.15,standard,2026-04-08T02:02:57Z
102,10,21,362.85,resale,2026-04-08T02:02:57Z
102,10,22,362.85,resale,2026-04-08T02:02:57Z
102,3,9,362.85,resale,2026-04-08T02:02:57Z
102,3,10,362.85,resale,2026-04-08T02:02:57Z
102,5,17,362.85,resale,2026-04-08T02:02:57Z
102,5,18,362.85,resale,2026-04-08T02:02:57Z
102,9,5,362.85,resale,2026-04-08T02:02:57Z
102,9,6,362.85,resale,2026-04-08T02:02:57Z
103,11,3,246.0,resale,2026-04-08T02:02:57Z
103,11,4,246.0,resale,2026-04-08T02:02:57Z
103,9,5,246.0,resale,2026-04-08T02:02:57Z
103,9,6,246.0,resale,2026-04-08T02:02:57Z
105,27,3,235.6,standard,2026-04-08T02:02:57Z
105,27,4,235.6,standard,2026-04-08T02:02:57Z
106,28,15,172.2,resale,2026-04-08T02:02:57Z
106,28,16,172.2,resale,2026-04-08T02:02:57Z
107,17,1,135.3,resale,2026-04-08T02:02:57Z
107,17,2,135.3,resale,2026-04-08T02:02:57Z
107,11,16,135.3,resale,2026-04-08T02:02:57Z
107,11,17,135.3,resale,2026-04-08T02:02:57Z
108,19,17,166.05,resale,2026-04-08T02:02:57Z
108,19,18,166.05,resale,2026-04-08T02:02:57Z
108,19,19,166.05,resale,2026-04-08T02:02:57Z
108,19,20,166.05,resale,2026-04-08T02:02:57Z
108,7,4,166.05,resale,2026-04-08T02:02:57Z
108,7,18,166.05,resale,2026-04-08T02:02:57Z
108,7,19,166.05,resale,2026-04-08T02:02:57Z
108,7,3,166.05,resale,2026-04-08T02:02:57Z
108F,C,18,969.24,resale,2026-04-08T02:02:57Z
108F,C,19,969.24,resale,2026-04-08T02:02:57Z
108F,D,8,969.24,resale,2026-04-08T02:02:57Z
108F,D,9,969.24,resale,2026-04-08T02:02:57Z
109,14,2,207.85,standard,2026-04-08T02:02:57Z
109,14,3,207.85,standard,2026-04-08T02:02:57Z
109,8,1,207.85,standard,2026-04-08T02:02:57Z
109,8,2,207.85,standard,2026-04-08T02:02:57Z
110,17,13,190.55,standard,2026-04-08T02:02:57Z
110,17,14,190.55,standard,2026-04-08T02:02:57Z
111,18,10,159.9,resale,2026-04-08T02:02:57Z
111,18,11,159.9,resale,2026-04-08T02:02:57Z
111,18,6,159.9,resale,2026-04-08T02:02:57Z
111,18,7,159.9,resale,2026-04-08T02:02:57Z
111,24,16,159.9,resale,2026-04-08T02:02:57Z
111,24,17,159.9,resale,2026-04-08T02:02:57Z
112,24,15,225.15,standard,2026-04-08T02:02:57Z
112,24,16,225.15,standard,2026-04-08T02:02:57Z
113,10,10,235.6,standard,2026-04-08T02:02:57Z
113,10,9,235.6,standard,2026-04-08T02:02:57Z
114,10,10,344.4,resale,2026-04-08T02:02:57Z
114,10,9,344.4,resale,2026-04-08T02:02:57Z
114,13,17,344.4,resale,2026-04-08T02:02:57Z
114,13,18,344.4,resale,2026-04-08T02:02:57Z
114,19,3,344.4,resale,2026-04-08T02:02:57Z
114,19,4,344.4,resale,2026-04-08T02:02:57Z
114,1,7,344.4,resale,2026-04-08T02:02:57Z
114,1,8,344.4,resale,2026-04-08T02:02:57Z
114,1,9,344.4,resale,2026-04-08T02:02:57Z
114,1,10,344.4,resale,2026-04-08T02:02:57Z
115,11,3,246.0,resale,2026-04-08T02:02:57Z
115,11,4,246.0,resale,2026-04-08T02:02:57Z
116,4,5,225.15,standard,2026-04-08T02:02:57Z
116,4,6,225.15,standard,2026-04-08T02:02:57Z
116,8,4,225.15,standard,2026-04-08T02:02:57Z
116,8,3,225.15,standard,2026-04-08T02:02:57Z
118,16,3,123.0,resale,2026-04-08T02:02:57Z
118,16,4,123.0,resale,2026-04-08T02:02:57Z
118,1,1,123.0,resale,2026-04-08T02:02:57Z
118,1,2,123.0,resale,2026-04-08T02:02:57Z
119,12,1,180.81,resale,2026-04-08T02:02:57Z
119,12,2,180.81,resale,2026-04-08T02:02:57Z
119,27C,5,180.81,resale,2026-04-08T02:02:57Z
119,27C,6,180.81,resale,2026-04-08T02:02:57Z
120,10,1,183.27,resale,2026-04-08T02:02:57Z
120,10,2,183.27,resale,2026-04-08T02:02:57Z
120,14,11,183.27,resale,2026-04-08T02:02:57Z
120,14,12,183.27,resale,2026-04-08T02:02:57Z
121,10,1,221.4,resale,2026-04-08T02:02:57Z
121,10,2,221.4,resale,2026-04-08T02:02:57Z
209,11,11,87.33,resale,2026-04-08T02:02:57Z
209,11,12,87.33,resale,2026-04-08T02:02:57Z
211,10,5,67.65,resale,2026-04-08T02:02:57Z
211,10,6,67.65,resale,2026-04-08T02:02:57Z
211,6,4,67.65,resale,2026-04-08T02:02:57Z
211,6,3,67.65,resale,2026-04-08T02:02:57Z
211,7,17,67.65,resale,2026-04-08T02:02:57Z
211,7,18,67.65,resale,2026-04-08T02:02:57Z
211,9,7,67.65,resale,2026-04-08T02:02:57Z
211,9,8,67.65,resale,2026-04-08T02:02:57Z
211,9,9,67.65,resale,2026-04-08T02:02:57Z
211,9,10,67.65,resale,2026-04-08T02:02:57Z
211W,1,1,89.79,resale,2026-04-08T02:02:57Z
211W,1,2,89.79,resale,2026-04-08T02:02:57Z
212,8,19,78.72,resale,2026-04-08T02:02:57Z
212,8,20,78.72,resale,2026-04-08T02:02:57Z
213,6,5,61.5,resale,2026-04-08T02:02:57Z
213,6,6,61.5,resale,2026-04-08T02:02:57Z
213,7,1,61.5,resale,2026-04-08T02:02:57Z
213,7,2,61.5,resale,2026-04-08T02:02:57Z
215,2,14,72.57,resale,2026-04-08T02:02:57Z
215,2,15,72.57,resale,2026-04-08T02:02:57Z
215,7,15,72.57,resale,2026-04-08T02:02:57Z
215,7,16,72.57,resale,2026-04-08T02:02:57Z
216,13,15,92.25,resale,2026-04-08T02:02:57Z
216,13,16,92.25,resale,2026-04-08T02:02:57Z
216,13,17,92.25,resale,2026-04-08T02:02:57Z
216,13,18,92.25,resale,2026-04-08T02:02:57Z
220,13,5,116.85,resale,2026-04-08T02:02:57Z
220,13,6,116.85,resale,2026-04-08T02:02:57Z
223,10,20,86.1,resale,2026-04-08T02:02:57Z
223,10,21,86.1,resale,2026-04-08T02:02:57Z
225,12,17,98.4,resale,2026-04-08T02:02:57Z
225,12,18,98.4,resale,2026-04-08T02:02:57Z
227W,1,1,89.79,resale,2026-04-08T02:02:57Z
227W,1,2,89.79,resale,2026-04-08T02:02:57Z
227W,1,7,89.79,resale,2026-04-08T02:02:57Z
227W,1,8,89.79,resale,2026-04-08T02:02:57Z
228,11,1,47.97,resale,2026-04-08T02:02:57Z
228,11,2,47.97,resale,2026-04-08T02:02:57Z
230,13,1,73.8,resale,2026-04-08T02:02:57Z
230,13,2,73.8,resale,2026-04-08T02:02:57Z
230,13,3,73.8,resale,2026-04-08T02:02:57Z
230,13,4,73.8,resale,2026-04-08T02:02:57Z
230,5,19,73.8,resale,2026-04-08T02:02:57Z
230,5,20,73.8,resale,2026-04-08T02:02:57Z
230,7,15,73.8,resale,2026-04-08T02:02:57Z
230,7,16,73.8,resale,2026-04-08T02:02:57Z
231,5,23,103.95,standard,2026-04-08T02:02:57Z
231,5,24,103.95,standard,2026-04-08T02:02:57Z
231,6,19,103.95,standard,2026-04-08T02:02:57Z
231,6,20,103.95,standard,2026-04-08T02:02:57Z
232,7,4,92.25,resale,2026-04-08T02:02:57Z
232,7,1,92.25,resale,2026-04-08T02:02:57Z
232,7,2,92.25,resale,2026-04-08T02:02:57Z
232,7,3,92.25,resale,2026-04-08T02:02:57Z
