section,row,seat,price_usd,selection_type,scraped_at
102,5,17,375.25,standard,2026-04-09T02:52:07Z
102,5,18,375.25,standard,2026-04-09T02:52:07Z
104,9,1,236.7,standard,2026-04-09T02:52:07Z
104,9,2,236.7,standard,2026-04-09T02:52:07Z
117F,C,3,1168.5,resale,2026-04-09T02:52:07Z
117F,C,4,1168.5,resale,2026-04-09T02:52:07Z
232,7,4,148.83,resale,2026-04-09T02:52:07Z
232,7,1,148.83,resale,2026-04-09T02:52:07Z
232,7,2,148.83,resale,2026-04-09T02:52:07Z
232,7,3,148.83,resale,2026-04-09T02:52:07Z
