section,row,seat,price_usd,selection_type,scraped_at
103,K,3,425.25,resale,2026-05-05T23:33:01Z
103,K,4,425.25,resale,2026-05-05T23:33:01Z
103,M,16,425.25,resale,2026-05-05T23:33:01Z
103,M,17,425.25,resale,2026-05-05T23:33:01Z
103,R,22,425.25,resale,2026-05-05T23:33:01Z
103,R,23,425.25,resale,2026-05-05T23:33:01Z
106,G,17,680.2,standard,2026-05-05T23:33:01Z
106,G,18,680.2,standard,2026-05-05T23:33:01Z
109,J,11,340.2,resale,2026-05-05T23:33:01Z
109,J,12,340.2,resale,2026-05-05T23:33:01Z
109,J,13,340.2,resale,2026-05-05T23:33:01Z
109,J,14,340.2,resale,2026-05-05T23:33:01Z
115,K,1,782.46,resale,2026-05-05T23:33:01Z
115,K,2,782.46,resale,2026-05-05T23:33:01Z
117,D,9,,,2026-05-05T23:33:01Z
117,D,10,,,2026-05-05T23:33:01Z
207,G,15,479.93,resale,2026-05-05T23:33:01Z
207,G,16,479.93,resale,2026-05-05T23:33:01Z
219,H,3,362.07,resale,2026-05-05T23:33:01Z
219,H,4,362.07,resale,2026-05-05T23:33:01Z
220,D,13,352.35,resale,2026-05-05T23:33:01Z
220,D,14,352.35,resale,2026-05-05T23:33:01Z
224,F,5,479.93,resale,2026-05-05T23:33:01Z
224,F,6,479.93,resale,2026-05-05T23:33:01Z
301,L,1,161.6,resale,2026-05-05T23:33:01Z
301,L,2,161.6,resale,2026-05-05T23:33:01Z
301,P,5,161.6,resale,2026-05-05T23:33:01Z
301,P,6,161.6,resale,2026-05-05T23:33:01Z
302,Q,6,136.08,resale,2026-05-05T23:33:01Z
302,Q,7,136.08,resale,2026-05-05T23:33:01Z
303,N,10,162.81,resale,2026-05-05T23:33:01Z
303,N,11,162.81,resale,2026-05-05T23:33:01Z
303,N,12,162.81,resale,2026-05-05T23:33:01Z
303,N,13,162.81,resale,2026-05-05T23:33:01Z
303,N,14,162.81,resale,2026-05-05T23:33:01Z
303,N,15,162.81,resale,2026-05-05T23:33:01Z
303,N,16,162.81,resale,2026-05-05T23:33:01Z
303,N,17,162.81,resale,2026-05-05T23:33:01Z
303,N,18,162.81,resale,2026-05-05T23:33:01Z
307,N,16,133.65,resale,2026-05-05T23:33:01Z
307,N,17,133.65,resale,2026-05-05T23:33:01Z
312,CA,1,151.88,resale,2026-05-05T23:33:01Z
312,CA,2,151.88,resale,2026-05-05T23:33:01Z
312,L,5,151.88,resale,2026-05-05T23:33:01Z
312,L,6,151.88,resale,2026-05-05T23:33:01Z
314,N,9,143.37,resale,2026-05-05T23:33:01Z
314,N,10,143.37,resale,2026-05-05T23:33:01Z
314,N,11,143.37,resale,2026-05-05T23:33:01Z
314,N,12,143.37,resale,2026-05-05T23:33:01Z
315,G,14,245.43,resale,2026-05-05T23:33:01Z
315,G,15,245.43,resale,2026-05-05T23:33:01Z
315,K,19,245.43,resale,2026-05-05T23:33:01Z
315,K,20,245.43,resale,2026-05-05T23:33:01Z
317,K,19,182.25,resale,2026-05-05T23:33:01Z
317,K,20,182.25,resale,2026-05-05T23:33:01Z
317,K,21,182.25,resale,2026-05-05T23:33:01Z
317,K,22,182.25,resale,2026-05-05T23:33:01Z
318,Q,24,182.25,resale,2026-05-05T23:33:01Z
318,Q,25,182.25,resale,2026-05-05T23:33:01Z
320,Q,2,155.52,resale,2026-05-05T23:33:01Z
320,Q,3,155.52,resale,2026-05-05T23:33:01Z
324,R,16,182.25,resale,2026-05-05T23:33:01Z
324,R,17,182.25,resale,2026-05-05T23:33:01Z
324,R,18,182.25,resale,2026-05-05T23:33:01Z
324,R,19,182.25,resale,2026-05-05T23:33:01Z
325,J,17,182.25,resale,2026-05-05T23:33:01Z
325,J,18,182.25,resale,2026-05-05T23:33:01Z
325,M,11,182.25,resale,2026-05-05T23:33:01Z
325,M,12,182.25,resale,2026-05-05T23:33:01Z
325,R,17,182.25,resale,2026-05-05T23:33:01Z
325,R,18,182.25,resale,2026-05-05T23:33:01Z
327,N,15,155.52,resale,2026-05-05T23:33:01Z
327,N,16,155.52,resale,2026-05-05T23:33:01Z
327,R,15,155.52,resale,2026-05-05T23:33:01Z
327,R,16,155.52,resale,2026-05-05T23:33:01Z
327,R,17,155.52,resale,2026-05-05T23:33:01Z
327,R,18,155.52,resale,2026-05-05T23:33:01Z
327,R,19,155.52,resale,2026-05-05T23:33:01Z
327,R,20,155.52,resale,2026-05-05T23:33:01Z
327,R,21,155.52,resale,2026-05-05T23:33:01Z
327,R,22,155.52,resale,2026-05-05T23:33:01Z
329,F,7,138.51,resale,2026-05-05T23:33:01Z
329,F,8,138.51,resale,2026-05-05T23:33:01Z
329,J,3,138.51,resale,2026-05-05T23:33:01Z
329,J,4,138.51,resale,2026-05-05T23:33:01Z
329,J,15,138.51,resale,2026-05-05T23:33:01Z
329,J,16,138.51,resale,2026-05-05T23:33:01Z
329,K,7,138.51,resale,2026-05-05T23:33:01Z
329,K,8,138.51,resale,2026-05-05T23:33:01Z
329,K,21,138.51,resale,2026-05-05T23:33:01Z
329,K,22,138.51,resale,2026-05-05T23:33:01Z
LT201,C,9,,,2026-05-05T23:33:01Z
LT201,C,10,,,2026-05-05T23:33:01Z
