section,row,seat,price_usd,selection_type,scraped_at
105,N,13,729.0,resale,2026-05-19T01:22:11Z
105,N,14,729.0,resale,2026-05-19T01:22:11Z
105,R,6,729.0,resale,2026-05-19T01:22:11Z
105,R,7,729.0,resale,2026-05-19T01:22:11Z
106,E,15,607.5,resale,2026-05-19T01:22:11Z
106,E,16,607.5,resale,2026-05-19T01:22:11Z
109,TT,4,303.75,resale,2026-05-19T01:22:11Z
109,TT,5,303.75,resale,2026-05-19T01:22:11Z
110,L,1,172.53,resale,2026-05-19T01:22:11Z
110,L,2,172.53,resale,2026-05-19T01:22:11Z
110,Q,11,172.53,resale,2026-05-19T01:22:11Z
110,Q,12,172.53,resale,2026-05-19T01:22:11Z
115,R,7,264.87,resale,2026-05-19T01:22:11Z
115,R,8,264.87,resale,2026-05-19T01:22:11Z
116,P,15,546.75,resale,2026-05-19T01:22:11Z
116,P,16,546.75,resale,2026-05-19T01:22:11Z
118,J,4,394.88,resale,2026-05-19T01:22:11Z
118,J,3,394.88,resale,2026-05-19T01:22:11Z
119,N,20,360.2,standard,2026-05-19T01:22:11Z
119,N,21,360.2,standard,2026-05-19T01:22:11Z
120,M,1,243.0,resale,2026-05-19T01:22:11Z
120,M,2,243.0,resale,2026-05-19T01:22:11Z
120,P,9,243.0,resale,2026-05-19T01:22:11Z
120,P,10,243.0,resale,2026-05-19T01:22:11Z
120,P,11,243.0,resale,2026-05-19T01:22:11Z
120,P,12,243.0,resale,2026-05-19T01:22:11Z
212,D,13,285.53,resale,2026-05-19T01:22:11Z
212,D,14,285.53,resale,2026-05-19T01:22:11Z
213,H,1,115.43,resale,2026-05-19T01:22:11Z
213,H,2,115.43,resale,2026-05-19T01:22:11Z
218,C,9,303.75,resale,2026-05-19T01:22:11Z
218,C,10,303.75,resale,2026-05-19T01:22:11Z
224,D,1,729.0,resale,2026-05-19T01:22:11Z
224,D,2,729.0,resale,2026-05-19T01:22:11Z
227,G,4,243.0,resale,2026-05-19T01:22:11Z
227,G,3,243.0,resale,2026-05-19T01:22:11Z
301,L,4,91.13,resale,2026-05-19T01:22:11Z
301,L,1,91.13,resale,2026-05-19T01:22:11Z
301,L,2,91.13,resale,2026-05-19T01:22:11Z
301,L,3,91.13,resale,2026-05-19T01:22:11Z
302,G,18,85.05,resale,2026-05-19T01:22:11Z
302,G,19,85.05,resale,2026-05-19T01:22:11Z
303,G,7,103.28,resale,2026-05-19T01:22:11Z
303,G,8,103.28,resale,2026-05-19T01:22:11Z
303,G,9,103.28,resale,2026-05-19T01:22:11Z
303,G,10,103.28,resale,2026-05-19T01:22:11Z
304,G,14,97.2,resale,2026-05-19T01:22:11Z
304,G,15,97.2,resale,2026-05-19T01:22:11Z
306,K,7,230.85,resale,2026-05-19T01:22:11Z
306,K,8,230.85,resale,2026-05-19T01:22:11Z
307,N,4,121.5,resale,2026-05-19T01:22:11Z
307,N,5,121.5,resale,2026-05-19T01:22:11Z
311,N,21,151.88,resale,2026-05-19T01:22:11Z
311,N,22,151.88,resale,2026-05-19T01:22:11Z
311,N,23,151.88,resale,2026-05-19T01:22:11Z
311,N,24,151.88,resale,2026-05-19T01:22:11Z
314,N,1,128.79,resale,2026-05-19T01:22:11Z
314,N,2,128.79,resale,2026-05-19T01:22:11Z
314,P,18,128.79,resale,2026-05-19T01:22:11Z
314,P,19,128.79,resale,2026-05-19T01:22:11Z
315,M,4,134.87,resale,2026-05-19T01:22:11Z
315,M,5,134.87,resale,2026-05-19T01:22:11Z
315,M,10,134.87,resale,2026-05-19T01:22:11Z
315,M,11,134.87,resale,2026-05-19T01:22:11Z
315,M,12,134.87,resale,2026-05-19T01:22:11Z
315,M,13,134.87,resale,2026-05-19T01:22:11Z
315,M,2,134.87,resale,2026-05-19T01:22:11Z
315,M,3,134.87,resale,2026-05-19T01:22:11Z
317,K,19,204.2,standard,2026-05-19T01:22:11Z
317,K,20,204.2,standard,2026-05-19T01:22:11Z
317,K,21,204.2,standard,2026-05-19T01:22:11Z
317,K,22,204.2,standard,2026-05-19T01:22:11Z
318,G,10,97.2,resale,2026-05-19T01:22:11Z
318,G,11,97.2,resale,2026-05-19T01:22:11Z
318,M,9,97.2,resale,2026-05-19T01:22:11Z
318,M,10,97.2,resale,2026-05-19T01:22:11Z
