section,row,seat,price_usd,selection_type,scraped_at
101,L,4,394.88,resale,2026-05-20T23:33:42Z
101,L,3,394.88,resale,2026-05-20T23:33:42Z
101,M,1,394.88,resale,2026-05-20T23:33:42Z
101,M,2,394.88,resale,2026-05-20T23:33:42Z
101,TT,7,394.88,resale,2026-05-20T23:33:42Z
101,TT,8,394.88,resale,2026-05-20T23:33:42Z
102,P,13,,,2026-05-20T23:33:42Z
102,P,14,,,2026-05-20T23:33:42Z
103,R,22,544.32,resale,2026-05-20T23:33:42Z
103,R,23,544.32,resale,2026-05-20T23:33:42Z
109,M,7,479.93,resale,2026-05-20T23:33:42Z
109,M,8,479.93,resale,2026-05-20T23:33:42Z
111,GG,3,739.94,resale,2026-05-20T23:33:42Z
111,GG,4,739.94,resale,2026-05-20T23:33:42Z
111,LL,7,739.94,resale,2026-05-20T23:33:42Z
111,LL,8,739.94,resale,2026-05-20T23:33:42Z
112,K,7,529.74,resale,2026-05-20T23:33:42Z
112,K,8,529.74,resale,2026-05-20T23:33:42Z
113,E,5,911.25,resale,2026-05-20T23:33:42Z
113,E,6,911.25,resale,2026-05-20T23:33:42Z
114,F,9,744.8,resale,2026-05-20T23:33:42Z
114,F,10,744.8,resale,2026-05-20T23:33:42Z
114,M,9,744.8,resale,2026-05-20T23:33:42Z
114,M,10,744.8,resale,2026-05-20T23:33:42Z
114,S,4,744.8,resale,2026-05-20T23:33:42Z
114,S,1,744.8,resale,2026-05-20T23:33:42Z
114,S,2,744.8,resale,2026-05-20T23:33:42Z
114,S,3,744.8,resale,2026-05-20T23:33:42Z
115,K,1,934.34,resale,2026-05-20T23:33:42Z
115,K,2,934.34,resale,2026-05-20T23:33:42Z
115,P,9,934.34,resale,2026-05-20T23:33:42Z
115,P,10,934.34,resale,2026-05-20T23:33:42Z
116,D,17,1044.9,resale,2026-05-20T23:33:42Z
116,D,18,1044.9,resale,2026-05-20T23:33:42Z
116,M,4,1044.9,resale,2026-05-20T23:33:42Z
116,M,3,1044.9,resale,2026-05-20T23:33:42Z
116,Q,9,1044.9,resale,2026-05-20T23:33:42Z
116,Q,10,1044.9,resale,2026-05-20T23:33:42Z
119,P,16,524.88,resale,2026-05-20T23:33:42Z
119,P,17,524.88,resale,2026-05-20T23:33:42Z
119,P,18,524.88,resale,2026-05-20T23:33:42Z
119,P,19,524.88,resale,2026-05-20T23:33:42Z
119,S,19,524.88,resale,2026-05-20T23:33:42Z
119,S,20,524.88,resale,2026-05-20T23:33:42Z
119,S,21,524.88,resale,2026-05-20T23:33:42Z
119,S,22,524.88,resale,2026-05-20T23:33:42Z
120,LL,5,364.5,resale,2026-05-20T23:33:42Z
120,LL,6,364.5,resale,2026-05-20T23:33:42Z
120,QQ,5,364.5,resale,2026-05-20T23:33:42Z
120,QQ,6,364.5,resale,2026-05-20T23:33:42Z
120,QQ,7,364.5,resale,2026-05-20T23:33:42Z
120,QQ,8,364.5,resale,2026-05-20T23:33:42Z
