section,row,seat,price_usd,selection_type,scraped_at
101,CC,5,,,2026-07-11T19:18:00Z
101,CC,6,,,2026-07-11T19:18:00Z
101,EE,3,,,2026-07-11T19:18:00Z
101,EE,4,,,2026-07-11T19:18:00Z
101,M,1,,,2026-07-11T19:18:00Z
101,M,2,,,2026-07-11T19:18:00Z
102,CC,5,,,2026-07-11T19:18:00Z
102,CC,6,,,2026-07-11T19:18:00Z
102,H,11,,,2026-07-11T19:18:00Z
102,H,12,,,2026-07-11T19:18:00Z
102,H,13,,,2026-07-11T19:18:00Z
102,H,14,,,2026-07-11T19:18:00Z
102,K,4,,,2026-07-11T19:18:00Z
102,K,3,,,2026-07-11T19:18:00Z
102,M,13,,,2026-07-11T19:18:00Z
102,M,14,,,2026-07-11T19:18:00Z
103,C,13,,,2026-07-11T19:18:00Z
103,C,14,,,2026-07-11T19:18:00Z
103,D,6,,,2026-07-11T19:18:00Z
103,D,7,,,2026-07-11T19:18:00Z
103,J,1,,,2026-07-11T19:18:00Z
103,J,2,,,2026-07-11T19:18:00Z
104,C,4,,,2026-07-11T19:18:00Z
104,C,3,,,2026-07-11T19:18:00Z
104,CC,11,,,2026-07-11T19:18:00Z
104,CC,12,,,2026-07-11T19:18:00Z
104,D,4,,,2026-07-11T19:18:00Z
104,D,5,,,2026-07-11T19:18:00Z
105,E,5,,,2026-07-11T19:18:00Z
105,E,6,,,2026-07-11T19:18:00Z
105,H,6,,,2026-07-11T19:18:00Z
105,H,7,,,2026-07-11T19:18:00Z
106,CC,1,,,2026-07-11T19:18:00Z
106,CC,2,,,2026-07-11T19:18:00Z
106,D,10,,,2026-07-11T19:18:00Z
106,D,11,,,2026-07-11T19:18:00Z
106,N,1,,,2026-07-11T19:18:00Z
106,N,2,,,2026-07-11T19:18:00Z
107,B,10,,,2026-07-11T19:18:00Z
107,B,11,,,2026-07-11T19:18:00Z
107,BB,3,,,2026-07-11T19:18:00Z
107,BB,4,,,2026-07-11T19:18:00Z
107,D,4,,,2026-07-11T19:18:00Z
107,D,1,,,2026-07-11T19:18:00Z
107,D,2,,,2026-07-11T19:18:00Z
107,D,3,,,2026-07-11T19:18:00Z
107,H,1,,,2026-07-11T19:18:00Z
107,H,2,,,2026-07-11T19:18:00Z
108,L,1,,,2026-07-11T19:18:00Z
108,L,2,,,2026-07-11T19:18:00Z
109,C,4,,,2026-07-11T19:18:00Z
109,C,1,,,2026-07-11T19:18:00Z
109,C,2,,,2026-07-11T19:18:00Z
109,C,3,,,2026-07-11T19:18:00Z
109,EE,3,,,2026-07-11T19:18:00Z
109,EE,4,,,2026-07-11T19:18:00Z
109,J,1,,,2026-07-11T19:18:00Z
109,J,2,,,2026-07-11T19:18:00Z
110,A,5,,,2026-07-11T19:18:00Z
110,A,6,,,2026-07-11T19:18:00Z
110,G,9,,,2026-07-11T19:18:00Z
110,G,10,,,2026-07-11T19:18:00Z
110,K,1,,,2026-07-11T19:18:00Z
110,K,2,,,2026-07-11T19:18:00Z
111,B,8,,,2026-07-11T19:18:00Z
111,B,9,,,2026-07-11T19:18:00Z
111,BB,11,,,2026-07-11T19:18:00Z
111,BB,12,,,2026-07-11T19:18:00Z
111,BB,4,,,2026-07-11T19:18:00Z
111,BB,5,,,2026-07-11T19:18:00Z
111,H,9,,,2026-07-11T19:18:00Z
111,H,10,,,2026-07-11T19:18:00Z
112,F,11,,,2026-07-11T19:18:00Z
112,F,12,,,2026-07-11T19:18:00Z
112,H,7,,,2026-07-11T19:18:00Z
112,H,8,,,2026-07-11T19:18:00Z
113,D,1,,,2026-07-11T19:18:00Z
113,D,2,,,2026-07-11T19:18:00Z
113,L,11,,,2026-07-11T19:18:00Z
113,L,12,,,2026-07-11T19:18:00Z
114,BB,10,,,2026-07-11T19:18:00Z
114,BB,11,,,2026-07-11T19:18:00Z
114,BB,12,,,2026-07-11T19:18:00Z
114,BB,5,,,2026-07-11T19:18:00Z
114,BB,6,,,2026-07-11T19:18:00Z
114,BB,7,,,2026-07-11T19:18:00Z
114,BB,8,,,2026-07-11T19:18:00Z
114,BB,9,,,2026-07-11T19:18:00Z
114,K,5,,,2026-07-11T19:18:00Z
114,K,6,,,2026-07-11T19:18:00Z
114,K,7,,,2026-07-11T19:18:00Z
114,K,8,,,2026-07-11T19:18:00Z
114,L,1,,,2026-07-11T19:18:00Z
114,L,11,,,2026-07-11T19:18:00Z
114,L,12,,,2026-07-11T19:18:00Z
114,L,13,,,2026-07-11T19:18:00Z
114,L,14,,,2026-07-11T19:18:00Z
114,L,2,,,2026-07-11T19:18:00Z
114,M,4,,,2026-07-11T19:18:00Z
114,M,1,,,2026-07-11T19:18:00Z
114,M,2,,,2026-07-11T19:18:00Z
114,M,3,,,2026-07-11T19:18:00Z
115,AA,4,,,2026-07-11T19:18:00Z
115,AA,5,,,2026-07-11T19:18:00Z
