section,row,seat,price_usd,selection_type,scraped_at
1,10,3,,,2026-07-15T23:02:48Z
1,10,4,,,2026-07-15T23:02:48Z
1,16,8,,,2026-07-15T23:02:48Z
1,16,9,,,2026-07-15T23:02:48Z
102,6,17,,,2026-07-15T23:02:48Z
102,6,18,,,2026-07-15T23:02:48Z
103,11,3,,,2026-07-15T23:02:48Z
103,11,4,,,2026-07-15T23:02:48Z
103,8,15,,,2026-07-15T23:02:48Z
103,8,16,,,2026-07-15T23:02:48Z
103,9,15,,,2026-07-15T23:02:48Z
103,9,16,,,2026-07-15T23:02:48Z
104,10,10,,,2026-07-15T23:02:48Z
104,10,11,,,2026-07-15T23:02:48Z
104,12,13,,,2026-07-15T23:02:48Z
104,12,14,,,2026-07-15T23:02:48Z
105,6,1,,,2026-07-15T23:02:48Z
105,6,2,,,2026-07-15T23:02:48Z
106,2,2,,,2026-07-15T23:02:48Z
106,2,3,,,2026-07-15T23:02:48Z
106,6,5,,,2026-07-15T23:02:48Z
106,6,6,,,2026-07-15T23:02:48Z
11,12,1,,,2026-07-15T23:02:48Z
11,12,2,,,2026-07-15T23:02:48Z
11,4,15,,,2026-07-15T23:02:48Z
11,4,16,,,2026-07-15T23:02:48Z
114,10,1,,,2026-07-15T23:02:48Z
114,10,2,,,2026-07-15T23:02:48Z
114,1,11,,,2026-07-15T23:02:48Z
114,1,12,,,2026-07-15T23:02:48Z
116,8,11,,,2026-07-15T23:02:48Z
116,8,12,,,2026-07-15T23:02:48Z
117,3,7,,,2026-07-15T23:02:48Z
117,3,8,,,2026-07-15T23:02:48Z
117,5,9,,,2026-07-15T23:02:48Z
117,5,10,,,2026-07-15T23:02:48Z
117,7,4,,,2026-07-15T23:02:48Z
117,7,5,,,2026-07-15T23:02:48Z
117,7,6,,,2026-07-15T23:02:48Z
117,7,11,,,2026-07-15T23:02:48Z
117,7,12,,,2026-07-15T23:02:48Z
117,7,3,,,2026-07-15T23:02:48Z
118,10,14,,,2026-07-15T23:02:48Z
118,10,15,,,2026-07-15T23:02:48Z
118,9,9,,,2026-07-15T23:02:48Z
118,9,10,,,2026-07-15T23:02:48Z
119,7,9,,,2026-07-15T23:02:48Z
119,7,10,,,2026-07-15T23:02:48Z
