section,row,seat,price_usd,selection_type,scraped_at
101,M,11,,,2026-07-10T01:04:05Z
101,M,12,,,2026-07-10T01:04:05Z
101,O,17,,,2026-07-10T01:04:05Z
101,O,18,,,2026-07-10T01:04:05Z
102,D,4,,,2026-07-10T01:04:05Z
102,D,9,,,2026-07-10T01:04:05Z
102,D,10,,,2026-07-10T01:04:05Z
102,D,3,,,2026-07-10T01:04:05Z
102,M,7,,,2026-07-10T01:04:05Z
102,M,8,,,2026-07-10T01:04:05Z
102,M,9,,,2026-07-10T01:04:05Z
102,M,10,,,2026-07-10T01:04:05Z
102,N,4,,,2026-07-10T01:04:05Z
102,N,5,,,2026-07-10T01:04:05Z
102,N,6,,,2026-07-10T01:04:05Z
102,N,1,,,2026-07-10T01:04:05Z
102,N,2,,,2026-07-10T01:04:05Z
102,N,3,,,2026-07-10T01:04:05Z
103,B,7,,,2026-07-10T01:04:05Z
103,B,8,,,2026-07-10T01:04:05Z
105,K,9,,,2026-07-10T01:04:05Z
105,K,10,,,2026-07-10T01:04:05Z
105,L,23,,,2026-07-10T01:04:05Z
105,L,24,,,2026-07-10T01:04:05Z
105,N,19,,,2026-07-10T01:04:05Z
105,N,20,,,2026-07-10T01:04:05Z
106,KK,5,,,2026-07-10T01:04:05Z
106,KK,6,,,2026-07-10T01:04:05Z
108,D,7,,,2026-07-10T01:04:05Z
108,D,8,,,2026-07-10T01:04:05Z
108,D,9,,,2026-07-10T01:04:05Z
108,D,10,,,2026-07-10T01:04:05Z
108,H,11,,,2026-07-10T01:04:05Z
108,H,12,,,2026-07-10T01:04:05Z
108,H,13,,,2026-07-10T01:04:05Z
108,H,14,,,2026-07-10T01:04:05Z
108,M,21,,,2026-07-10T01:04:05Z
108,M,22,,,2026-07-10T01:04:05Z
108,N,10,,,2026-07-10T01:04:05Z
108,N,11,,,2026-07-10T01:04:05Z
108,O,16,,,2026-07-10T01:04:05Z
108,O,17,,,2026-07-10T01:04:05Z
109,J,4,,,2026-07-10T01:04:05Z
109,J,5,,,2026-07-10T01:04:05Z
110,O,23,,,2026-07-10T01:04:05Z
110,O,24,,,2026-07-10T01:04:05Z
112,DD,15,,,2026-07-10T01:04:05Z
112,DD,16,,,2026-07-10T01:04:05Z
112,E,17,,,2026-07-10T01:04:05Z
112,E,18,,,2026-07-10T01:04:05Z
112,P,4,,,2026-07-10T01:04:05Z
112,P,3,,,2026-07-10T01:04:05Z
113,G,9,,,2026-07-10T01:04:05Z
113,G,10,,,2026-07-10T01:04:05Z
113,G,15,,,2026-07-10T01:04:05Z
113,G,16,,,2026-07-10T01:04:05Z
113,H,11,,,2026-07-10T01:04:05Z
113,H,12,,,2026-07-10T01:04:05Z
113,H,13,,,2026-07-10T01:04:05Z
113,H,14,,,2026-07-10T01:04:05Z
113,M,13,,,2026-07-10T01:04:05Z
113,M,14,,,2026-07-10T01:04:05Z
113,O,15,,,2026-07-10T01:04:05Z
113,O,16,,,2026-07-10T01:04:05Z
114,P,20,,,2026-07-10T01:04:05Z
114,P,21,,,2026-07-10T01:04:05Z
115,G,4,,,2026-07-10T01:04:05Z
115,G,3,,,2026-07-10T01:04:05Z
117,JJ,7,,,2026-07-10T01:04:05Z
117,JJ,8,,,2026-07-10T01:04:05Z
117,L,13,,,2026-07-10T01:04:05Z
117,L,14,,,2026-07-10T01:04:05Z
118,H,5,,,2026-07-10T01:04:05Z
118,H,6,,,2026-07-10T01:04:05Z
119,D,5,,,2026-07-10T01:04:05Z
119,D,6,,,2026-07-10T01:04:05Z
119,L,17,,,2026-07-10T01:04:05Z
119,L,18,,,2026-07-10T01:04:05Z
119,M,4,,,2026-07-10T01:04:05Z
119,M,5,,,2026-07-10T01:04:05Z
119,M,6,,,2026-07-10T01:04:05Z
119,M,3,,,2026-07-10T01:04:05Z
120,F,4,,,2026-07-10T01:04:05Z
120,F,3,,,2026-07-10T01:04:05Z
121,H,13,,,2026-07-10T01:04:05Z
121,H,14,,,2026-07-10T01:04:05Z
122,L,5,,,2026-07-10T01:04:05Z
122,L,6,,,2026-07-10T01:04:05Z
122,O,5,,,2026-07-10T01:04:05Z
122,O,6,,,2026-07-10T01:04:05Z
202,H,5,,,2026-07-10T01:04:05Z
202,H,6,,,2026-07-10T01:04:05Z
202,K,7,,,2026-07-10T01:04:05Z
202,K,8,,,2026-07-10T01:04:05Z
205,M,1,,,2026-07-10T01:04:05Z
205,M,2,,,2026-07-10T01:04:05Z
206,D,1,,,2026-07-10T01:04:05Z
206,D,2,,,2026-07-10T01:04:05Z
209,C,1,,,2026-07-10T01:04:05Z
209,C,2,,,2026-07-10T01:04:05Z
210,A,4,,,2026-07-10T01:04:05Z
210,A,5,,,2026-07-10T01:04:05Z
211,L,15,,,2026-07-10T01:04:05Z
211,L,16,,,2026-07-10T01:04:05Z
215,H,11,,,2026-07-10T01:04:05Z
215,H,12,,,2026-07-10T01:04:05Z
215,L,7,,,2026-07-10T01:04:05Z
215,L,8,,,2026-07-10T01:04:05Z
215,L,9,,,2026-07-10T01:04:05Z
215,L,10,,,2026-07-10T01:04:05Z
216,N,4,,,2026-07-10T01:04:05Z
216,N,3,,,2026-07-10T01:04:05Z
218,A,4,,,2026-07-10T01:04:05Z
218,A,3,,,2026-07-10T01:04:05Z
221,E,10,,,2026-07-10T01:04:05Z
221,E,11,,,2026-07-10T01:04:05Z
221,F,10,,,2026-07-10T01:04:05Z
221,F,11,,,2026-07-10T01:04:05Z
221,O,11,,,2026-07-10T01:04:05Z
221,O,12,,,2026-07-10T01:04:05Z
222,E,1,,,2026-07-10T01:04:05Z
222,E,2,,,2026-07-10T01:04:05Z
222,K,11,,,2026-07-10T01:04:05Z
222,K,12,,,2026-07-10T01:04:05Z
224,J,15,,,2026-07-10T01:04:05Z
224,J,16,,,2026-07-10T01:04:05Z
225,J,11,,,2026-07-10T01:04:05Z
225,J,12,,,2026-07-10T01:04:05Z
226,E,1,,,2026-07-10T01:04:05Z
226,E,2,,,2026-07-10T01:04:05Z
226,N,1,,,2026-07-10T01:04:05Z
226,N,2,,,2026-07-10T01:04:05Z
226,P,9,,,2026-07-10T01:04:05Z
226,P,10,,,2026-07-10T01:04:05Z
227,P,5,,,2026-07-10T01:04:05Z
227,P,6,,,2026-07-10T01:04:05Z
229,D,4,,,2026-07-10T01:04:05Z
229,D,1,,,2026-07-10T01:04:05Z
229,D,2,,,2026-07-10T01:04:05Z
229,D,3,,,2026-07-10T01:04:05Z
230,G,5,,,2026-07-10T01:04:05Z
230,G,6,,,2026-07-10T01:04:05Z
230,H,1,,,2026-07-10T01:04:05Z
230,H,13,,,2026-07-10T01:04:05Z
230,H,14,,,2026-07-10T01:04:05Z
230,H,2,,,2026-07-10T01:04:05Z
230,J,4,,,2026-07-10T01:04:05Z
230,J,3,,,2026-07-10T01:04:05Z
302,K,4,,,2026-07-10T01:04:05Z
302,K,12,,,2026-07-10T01:04:05Z
302,K,13,,,2026-07-10T01:04:05Z
302,K,3,,,2026-07-10T01:04:05Z
302,L,4,,,2026-07-10T01:04:05Z
302,L,3,,,2026-07-10T01:04:05Z
303,G,4,,,2026-07-10T01:04:05Z
303,G,3,,,2026-07-10T01:04:05Z
304,K,8,,,2026-07-10T01:04:05Z
304,K,9,,,2026-07-10T01:04:05Z
305,H,13,,,2026-07-10T01:04:05Z
305,H,14,,,2026-07-10T01:04:05Z
305,J,11,,,2026-07-10T01:04:05Z
305,J,12,,,2026-07-10T01:04:05Z
307,D,4,,,2026-07-10T01:04:05Z
307,D,5,,,2026-07-10T01:04:05Z
307,F,5,,,2026-07-10T01:04:05Z
307,F,6,,,2026-07-10T01:04:05Z
310,D,4,,,2026-07-10T01:04:05Z
310,D,3,,,2026-07-10T01:04:05Z
310,E,1,,,2026-07-10T01:04:05Z
310,E,2,,,2026-07-10T01:04:05Z
312,C,5,,,2026-07-10T01:04:05Z
312,C,6,,,2026-07-10T01:04:05Z
313,G,9,,,2026-07-10T01:04:05Z
313,G,10,,,2026-07-10T01:04:05Z
313,G,11,,,2026-07-10T01:04:05Z
313,G,12,,,2026-07-10T01:04:05Z
314,C,4,,,2026-07-10T01:04:05Z
314,C,3,,,2026-07-10T01:04:05Z
314,E,1,,,2026-07-10T01:04:05Z
314,E,2,,,2026-07-10T01:04:05Z
314,G,5,,,2026-07-10T01:04:05Z
314,G,6,,,2026-07-10T01:04:05Z
314,J,1,,,2026-07-10T01:04:05Z
314,J,2,,,2026-07-10T01:04:05Z
315,D,5,,,2026-07-10T01:04:05Z
315,D,6,,,2026-07-10T01:04:05Z
315,F,4,,,2026-07-10T01:04:05Z
315,F,3,,,2026-07-10T01:04:05Z
315,H,12,,,2026-07-10T01:04:05Z
315,H,13,,,2026-07-10T01:04:05Z
315,J,9,,,2026-07-10T01:04:05Z
315,J,10,,,2026-07-10T01:04:05Z
316,K,4,,,2026-07-10T01:04:05Z
316,K,3,,,2026-07-10T01:04:05Z
316,L,1,,,2026-07-10T01:04:05Z
316,L,2,,,2026-07-10T01:04:05Z
318,J,1,,,2026-07-10T01:04:05Z
318,J,2,,,2026-07-10T01:04:05Z
318,L,15,,,2026-07-10T01:04:05Z
318,L,16,,,2026-07-10T01:04:05Z
319,A,9,,,2026-07-10T01:04:05Z
319,A,10,,,2026-07-10T01:04:05Z
319,H,7,,,2026-07-10T01:04:05Z
319,H,8,,,2026-07-10T01:04:05Z
320,K,17,,,2026-07-10T01:04:05Z
320,K,18,,,2026-07-10T01:04:05Z
326,C,1,,,2026-07-10T01:04:05Z
326,C,2,,,2026-07-10T01:04:05Z
327,C,7,,,2026-07-10T01:04:05Z
327,C,8,,,2026-07-10T01:04:05Z
327,D,1,,,2026-07-10T01:04:05Z
327,D,2,,,2026-07-10T01:04:05Z
328,A,1,,,2026-07-10T01:04:05Z
328,A,2,,,2026-07-10T01:04:05Z
328,C,5,,,2026-07-10T01:04:05Z
328,C,6,,,2026-07-10T01:04:05Z
328,D,9,,,2026-07-10T01:04:05Z
328,D,10,,,2026-07-10T01:04:05Z
330,G,5,,,2026-07-10T01:04:05Z
330,G,6,,,2026-07-10T01:04:05Z
330,L,7,,,2026-07-10T01:04:05Z
330,L,8,,,2026-07-10T01:04:05Z
333,F,1,,,2026-07-10T01:04:05Z
333,F,2,,,2026-07-10T01:04:05Z
333,H,1,,,2026-07-10T01:04:05Z
333,H,2,,,2026-07-10T01:04:05Z
333,J,9,,,2026-07-10T01:04:05Z
333,J,10,,,2026-07-10T01:04:05Z
333,L,8,,,2026-07-10T01:04:05Z
333,L,9,,,2026-07-10T01:04:05Z
333,L,17,,,2026-07-10T01:04:05Z
333,L,18,,,2026-07-10T01:04:05Z
334,B,11,,,2026-07-10T01:04:05Z
334,B,12,,,2026-07-10T01:04:05Z
334,M,15,,,2026-07-10T01:04:05Z
334,M,16,,,2026-07-10T01:04:05Z
