section,row,seat,price_usd,selection_type,scraped_at
104,8,15,,,2026-07-08T00:46:13Z
104,8,16,,,2026-07-08T00:46:13Z
108,4,7,,,2026-07-08T00:46:13Z
108,4,8,,,2026-07-08T00:46:13Z
108,4,11,,,2026-07-08T00:46:13Z
108,4,12,,,2026-07-08T00:46:13Z
109,4,7,,,2026-07-08T00:46:13Z
109,4,8,,,2026-07-08T00:46:13Z
114,7,16,,,2026-07-08T00:46:13Z
114,7,17,,,2026-07-08T00:46:13Z
118,7,8,,,2026-07-08T00:46:13Z
118,7,9,,,2026-07-08T00:46:13Z
120,3,7,,,2026-07-08T00:46:13Z
120,3,8,,,2026-07-08T00:46:13Z
120,8,5,,,2026-07-08T00:46:13Z
120,8,6,,,2026-07-08T00:46:13Z
123,5,10,,,2026-07-08T00:46:13Z
123,5,11,,,2026-07-08T00:46:13Z
125,7,7,,,2026-07-08T00:46:13Z
125,7,8,,,2026-07-08T00:46:13Z
126,1,1,,,2026-07-08T00:46:13Z
126,1,2,,,2026-07-08T00:46:13Z
126,8,7,,,2026-07-08T00:46:13Z
126,8,8,,,2026-07-08T00:46:13Z
128,8,5,,,2026-07-08T00:46:13Z
128,8,6,,,2026-07-08T00:46:13Z
128,8,7,,,2026-07-08T00:46:13Z
128,8,8,,,2026-07-08T00:46:13Z
13,18,4,,,2026-07-08T00:46:13Z
13,18,3,,,2026-07-08T00:46:13Z
15,12,1,,,2026-07-08T00:46:13Z
15,12,2,,,2026-07-08T00:46:13Z
15,18,12,,,2026-07-08T00:46:13Z
15,18,13,,,2026-07-08T00:46:13Z
15,20,8,,,2026-07-08T00:46:13Z
15,20,9,,,2026-07-08T00:46:13Z
17,10,4,,,2026-07-08T00:46:13Z
17,10,3,,,2026-07-08T00:46:13Z
17,11,4,,,2026-07-08T00:46:13Z
17,11,3,,,2026-07-08T00:46:13Z
17,8,3,,,2026-07-08T00:46:13Z
17,8,4,,,2026-07-08T00:46:13Z
17,9,3,,,2026-07-08T00:46:13Z
17,9,4,,,2026-07-08T00:46:13Z
19,20,1,,,2026-07-08T00:46:13Z
19,20,2,,,2026-07-08T00:46:13Z
202,3,5,,,2026-07-08T00:46:13Z
202,3,6,,,2026-07-08T00:46:13Z
202,3,15,,,2026-07-08T00:46:13Z
202,3,16,,,2026-07-08T00:46:13Z
202,3,17,,,2026-07-08T00:46:13Z
202,3,18,,,2026-07-08T00:46:13Z
202,4,4,,,2026-07-08T00:46:13Z
202,4,5,,,2026-07-08T00:46:13Z
202,4,6,,,2026-07-08T00:46:13Z
202,4,9,,,2026-07-08T00:46:13Z
202,4,1,,,2026-07-08T00:46:13Z
202,4,10,,,2026-07-08T00:46:13Z
202,4,11,,,2026-07-08T00:46:13Z
202,4,12,,,2026-07-08T00:46:13Z
202,4,14,,,2026-07-08T00:46:13Z
202,4,15,,,2026-07-08T00:46:13Z
202,4,16,,,2026-07-08T00:46:13Z
202,4,17,,,2026-07-08T00:46:13Z
202,4,18,,,2026-07-08T00:46:13Z
202,4,2,,,2026-07-08T00:46:13Z
202,4,3,,,2026-07-08T00:46:13Z
202,5,9,,,2026-07-08T00:46:13Z
202,5,10,,,2026-07-08T00:46:13Z
202,5,13,,,2026-07-08T00:46:13Z
202,5,14,,,2026-07-08T00:46:13Z
202,5,15,,,2026-07-08T00:46:13Z
202,5,16,,,2026-07-08T00:46:13Z
202,6,4,,,2026-07-08T00:46:13Z
202,6,5,,,2026-07-08T00:46:13Z
202,6,6,,,2026-07-08T00:46:13Z
202,6,7,,,2026-07-08T00:46:13Z
202,6,8,,,2026-07-08T00:46:13Z
202,6,9,,,2026-07-08T00:46:13Z
202,6,1,,,2026-07-08T00:46:13Z
202,6,10,,,2026-07-08T00:46:13Z
202,6,14,,,2026-07-08T00:46:13Z
202,6,15,,,2026-07-08T00:46:13Z
202,6,16,,,2026-07-08T00:46:13Z
202,6,17,,,2026-07-08T00:46:13Z
202,6,18,,,2026-07-08T00:46:13Z
202,6,2,,,2026-07-08T00:46:13Z
202,6,3,,,2026-07-08T00:46:13Z
202,9,15,,,2026-07-08T00:46:13Z
202,9,16,,,2026-07-08T00:46:13Z
203WC,7W,3,,,2026-07-08T00:46:13Z
203WC,7W,4,,,2026-07-08T00:46:13Z
203WC,7W,5,,,2026-07-08T00:46:13Z
203WC,7W,6,,,2026-07-08T00:46:13Z
203WC,7W,7,,,2026-07-08T00:46:13Z
203WC,7W,8,,,2026-07-08T00:46:13Z
204,6,4,,,2026-07-08T00:46:13Z
204,6,9,,,2026-07-08T00:46:13Z
204,6,1,,,2026-07-08T00:46:13Z
204,6,10,,,2026-07-08T00:46:13Z
204,6,11,,,2026-07-08T00:46:13Z
204,6,12,,,2026-07-08T00:46:13Z
204,6,13,,,2026-07-08T00:46:13Z
204,6,14,,,2026-07-08T00:46:13Z
204,6,2,,,2026-07-08T00:46:13Z
204,6,3,,,2026-07-08T00:46:13Z
204,7,4,,,2026-07-08T00:46:13Z
204,7,3,,,2026-07-08T00:46:13Z
205,12,10,,,2026-07-08T00:46:13Z
205,12,9,,,2026-07-08T00:46:13Z
205,13,17,,,2026-07-08T00:46:13Z
205,13,18,,,2026-07-08T00:46:13Z
205,13,3,,,2026-07-08T00:46:13Z
205,13,4,,,2026-07-08T00:46:13Z
205,13,5,,,2026-07-08T00:46:13Z
205,13,6,,,2026-07-08T00:46:13Z
205,7,5,,,2026-07-08T00:46:13Z
205,7,6,,,2026-07-08T00:46:13Z
205,9,11,,,2026-07-08T00:46:13Z
205,9,12,,,2026-07-08T00:46:13Z
206,17,23,,,2026-07-08T00:46:13Z
206,17,24,,,2026-07-08T00:46:13Z
206,10,23,,,2026-07-08T00:46:13Z
206,10,24,,,2026-07-08T00:46:13Z
206,12,10,,,2026-07-08T00:46:13Z
206,12,5,,,2026-07-08T00:46:13Z
206,12,6,,,2026-07-08T00:46:13Z
206,12,7,,,2026-07-08T00:46:13Z
206,12,8,,,2026-07-08T00:46:13Z
206,12,9,,,2026-07-08T00:46:13Z
206,13,10,,,2026-07-08T00:46:13Z
206,13,11,,,2026-07-08T00:46:13Z
206,13,12,,,2026-07-08T00:46:13Z
206,13,17,,,2026-07-08T00:46:13Z
206,13,18,,,2026-07-08T00:46:13Z
206,13,19,,,2026-07-08T00:46:13Z
206,13,20,,,2026-07-08T00:46:13Z
206,13,21,,,2026-07-08T00:46:13Z
206,13,22,,,2026-07-08T00:46:13Z
206,13,25,,,2026-07-08T00:46:13Z
206,13,26,,,2026-07-08T00:46:13Z
206,13,3,,,2026-07-08T00:46:13Z
206,13,4,,,2026-07-08T00:46:13Z
206,13,5,,,2026-07-08T00:46:13Z
206,13,6,,,2026-07-08T00:46:13Z
206,13,9,,,2026-07-08T00:46:13Z
206,18,19,,,2026-07-08T00:46:13Z
206,18,20,,,2026-07-08T00:46:13Z
207,12,19,,,2026-07-08T00:46:13Z
207,12,20,,,2026-07-08T00:46:13Z
207,12,3,,,2026-07-08T00:46:13Z
207,12,4,,,2026-07-08T00:46:13Z
207,12,5,,,2026-07-08T00:46:13Z
207,12,6,,,2026-07-08T00:46:13Z
207WC,2W,10,,,2026-07-08T00:46:13Z
207WC,2W,7,,,2026-07-08T00:46:13Z
207WC,2W,8,,,2026-07-08T00:46:13Z
207WC,2W,9,,,2026-07-08T00:46:13Z
209,17,17,,,2026-07-08T00:46:13Z
209,17,18,,,2026-07-08T00:46:13Z
209,17,19,,,2026-07-08T00:46:13Z
209,17,20,,,2026-07-08T00:46:13Z
209,17,21,,,2026-07-08T00:46:13Z
209,17,22,,,2026-07-08T00:46:13Z
209,17,25,,,2026-07-08T00:46:13Z
209,17,26,,,2026-07-08T00:46:13Z
209,17,3,,,2026-07-08T00:46:13Z
209,17,4,,,2026-07-08T00:46:13Z
209,17,5,,,2026-07-08T00:46:13Z
209,12,17,,,2026-07-08T00:46:13Z
209,12,18,,,2026-07-08T00:46:13Z
209,13,12,,,2026-07-08T00:46:13Z
209,13,13,,,2026-07-08T00:46:13Z
209,13,14,,,2026-07-08T00:46:13Z
209,13,15,,,2026-07-08T00:46:13Z
210,17,10,,,2026-07-08T00:46:13Z
210,17,3,,,2026-07-08T00:46:13Z
210,17,4,,,2026-07-08T00:46:13Z
210,17,5,,,2026-07-08T00:46:13Z
210,17,6,,,2026-07-08T00:46:13Z
210,17,9,,,2026-07-08T00:46:13Z
210,11,15,,,2026-07-08T00:46:13Z
210,11,16,,,2026-07-08T00:46:13Z
210,11,17,,,2026-07-08T00:46:13Z
210,11,18,,,2026-07-08T00:46:13Z
210,11,19,,,2026-07-08T00:46:13Z
210,11,20,,,2026-07-08T00:46:13Z
210,11,21,,,2026-07-08T00:46:13Z
210,16,25,,,2026-07-08T00:46:13Z
210,16,26,,,2026-07-08T00:46:13Z
211,11,1,,,2026-07-08T00:46:13Z
211,11,2,,,2026-07-08T00:46:13Z
211,11,3,,,2026-07-08T00:46:13Z
211,11,4,,,2026-07-08T00:46:13Z
211,12,10,,,2026-07-08T00:46:13Z
211,12,11,,,2026-07-08T00:46:13Z
211,12,18,,,2026-07-08T00:46:13Z
211,12,19,,,2026-07-08T00:46:13Z
211,12,2,,,2026-07-08T00:46:13Z
211,12,3,,,2026-07-08T00:46:13Z
211,12,4,,,2026-07-08T00:46:13Z
211,12,5,,,2026-07-08T00:46:13Z
211,12,6,,,2026-07-08T00:46:13Z
211,12,7,,,2026-07-08T00:46:13Z
211,12,8,,,2026-07-08T00:46:13Z
212,6,9,,,2026-07-08T00:46:13Z
212,6,10,,,2026-07-08T00:46:13Z
212,6,11,,,2026-07-08T00:46:13Z
212,6,12,,,2026-07-08T00:46:13Z
212,6,2,,,2026-07-08T00:46:13Z
212,6,21,,,2026-07-08T00:46:13Z
212,6,22,,,2026-07-08T00:46:13Z
212,6,3,,,2026-07-08T00:46:13Z
212,7,4,,,2026-07-08T00:46:13Z
212,7,1,,,2026-07-08T00:46:13Z
212,7,2,,,2026-07-08T00:46:13Z
212,7,3,,,2026-07-08T00:46:13Z
212WC,7W,4,,,2026-07-08T00:46:13Z
212WC,7W,5,,,2026-07-08T00:46:13Z
213,4,11,,,2026-07-08T00:46:13Z
213,4,12,,,2026-07-08T00:46:13Z
213,5,9,,,2026-07-08T00:46:13Z
213,5,1,,,2026-07-08T00:46:13Z
213,5,10,,,2026-07-08T00:46:13Z
213,5,11,,,2026-07-08T00:46:13Z
213,5,12,,,2026-07-08T00:46:13Z
213,5,17,,,2026-07-08T00:46:13Z
213,5,18,,,2026-07-08T00:46:13Z
213,5,19,,,2026-07-08T00:46:13Z
213,5,2,,,2026-07-08T00:46:13Z
213,5,20,,,2026-07-08T00:46:13Z
