section,row,seat,price_usd,selection_type,scraped_at
225,A,9,,,2026-07-14T00:02:53Z
225,A,10,,,2026-07-14T00:02:53Z
225,A,11,,,2026-07-14T00:02:53Z
225,A,12,,,2026-07-14T00:02:53Z
225,A,13,,,2026-07-14T00:02:53Z
225,A,14,,,2026-07-14T00:02:53Z
225,B,7,,,2026-07-14T00:02:53Z
225,B,8,,,2026-07-14T00:02:53Z
225,B,9,,,2026-07-14T00:02:53Z
225,B,10,,,2026-07-14T00:02:53Z
225,B,11,,,2026-07-14T00:02:53Z
225,B,12,,,2026-07-14T00:02:53Z
136,Z,7,,,2026-07-14T00:02:53Z
136,Z,8,,,2026-07-14T00:02:53Z
136,Z,9,,,2026-07-14T00:02:53Z
136,Z,10,,,2026-07-14T00:02:53Z
136,Z,11,,,2026-07-14T00:02:53Z
136,Z,12,,,2026-07-14T00:02:53Z
106,Z,12,,,2026-07-14T00:02:53Z
106,Z,13,,,2026-07-14T00:02:53Z
106,Z,14,,,2026-07-14T00:02:53Z
106,Z,15,,,2026-07-14T00:02:53Z
106,Z,16,,,2026-07-14T00:02:53Z
106,Z,17,,,2026-07-14T00:02:53Z
237,G,1,,,2026-07-14T00:02:53Z
237,G,2,,,2026-07-14T00:02:53Z
237,G,3,,,2026-07-14T00:02:53Z
237,G,4,,,2026-07-14T00:02:53Z
237,G,5,,,2026-07-14T00:02:53Z
237,G,6,,,2026-07-14T00:02:53Z
126,Z,10,,,2026-07-14T00:02:53Z
126,Z,11,,,2026-07-14T00:02:53Z
126,Z,12,,,2026-07-14T00:02:53Z
126,Z,13,,,2026-07-14T00:02:53Z
126,Z,14,,,2026-07-14T00:02:53Z
126,Z,15,,,2026-07-14T00:02:53Z
104,X,4,,,2026-07-14T00:02:53Z
104,X,5,,,2026-07-14T00:02:53Z
104,X,6,,,2026-07-14T00:02:53Z
104,X,7,,,2026-07-14T00:02:53Z
104,X,8,,,2026-07-14T00:02:53Z
104,X,9,,,2026-07-14T00:02:53Z
104,H,4,,,2026-07-14T00:02:53Z
104,H,5,,,2026-07-14T00:02:53Z
104,H,6,,,2026-07-14T00:02:53Z
104,H,7,,,2026-07-14T00:02:53Z
104,H,8,,,2026-07-14T00:02:53Z
104,H,9,,,2026-07-14T00:02:53Z
101,P,1,,,2026-07-14T00:02:53Z
101,P,2,,,2026-07-14T00:02:53Z
101,P,3,,,2026-07-14T00:02:53Z
101,P,4,,,2026-07-14T00:02:53Z
