section,row,seat,price_usd,selection_type,scraped_at
101,2,4,,,2026-07-10T01:02:09Z
101,2,5,,,2026-07-10T01:02:09Z
101F,C,22,,,2026-07-10T01:02:09Z
101F,C,23,,,2026-07-10T01:02:09Z
102,8,16,,,2026-07-10T01:02:09Z
102,8,17,,,2026-07-10T01:02:09Z
102,9,11,,,2026-07-10T01:02:09Z
102,9,12,,,2026-07-10T01:02:09Z
102,9,13,,,2026-07-10T01:02:09Z
102,9,14,,,2026-07-10T01:02:09Z
102,11,10,,,2026-07-10T01:02:09Z
102,11,11,,,2026-07-10T01:02:09Z
102,11,12,,,2026-07-10T01:02:09Z
102,11,13,,,2026-07-10T01:02:09Z
102,12,11,,,2026-07-10T01:02:09Z
102,12,12,,,2026-07-10T01:02:09Z
102,12,13,,,2026-07-10T01:02:09Z
102,12,14,,,2026-07-10T01:02:09Z
102,12,15,,,2026-07-10T01:02:09Z
102,12,16,,,2026-07-10T01:02:09Z
103,3,14,,,2026-07-10T01:02:09Z
103,3,15,,,2026-07-10T01:02:09Z
104,19,3,,,2026-07-10T01:02:09Z
104,19,4,,,2026-07-10T01:02:09Z
105,2,10,,,2026-07-10T01:02:09Z
105,2,11,,,2026-07-10T01:02:09Z
105,11,21,,,2026-07-10T01:02:09Z
105,11,22,,,2026-07-10T01:02:09Z
105,25,3,,,2026-07-10T01:02:09Z
105,25,4,,,2026-07-10T01:02:09Z
106,13,2,,,2026-07-10T01:02:09Z
106,13,3,,,2026-07-10T01:02:09Z
106,13,4,,,2026-07-10T01:02:09Z
106,13,5,,,2026-07-10T01:02:09Z
106,28,25,,,2026-07-10T01:02:09Z
106,28,26,,,2026-07-10T01:02:09Z
107,21,12,,,2026-07-10T01:02:09Z
107,21,13,,,2026-07-10T01:02:09Z
108,10,12,,,2026-07-10T01:02:09Z
108,10,13,,,2026-07-10T01:02:09Z
108,10,20,,,2026-07-10T01:02:09Z
108,10,21,,,2026-07-10T01:02:09Z
108,27,4,,,2026-07-10T01:02:09Z
108,27,5,,,2026-07-10T01:02:09Z
109,27,12,,,2026-07-10T01:02:09Z
109,27,13,,,2026-07-10T01:02:09Z
110,25,13,,,2026-07-10T01:02:09Z
110,25,14,,,2026-07-10T01:02:09Z
110,26,3,,,2026-07-10T01:02:09Z
110,26,4,,,2026-07-10T01:02:09Z
111,7,3,,,2026-07-10T01:02:09Z
111,7,4,,,2026-07-10T01:02:09Z
111,28,19,,,2026-07-10T01:02:09Z
111,28,20,,,2026-07-10T01:02:09Z
113,7,1,,,2026-07-10T01:02:09Z
113,7,2,,,2026-07-10T01:02:09Z
113,7,14,,,2026-07-10T01:02:09Z
113,7,15,,,2026-07-10T01:02:09Z
113,8,14,,,2026-07-10T01:02:09Z
113,8,15,,,2026-07-10T01:02:09Z
113,14,15,,,2026-07-10T01:02:09Z
113,14,16,,,2026-07-10T01:02:09Z
113,18,5,,,2026-07-10T01:02:09Z
113,18,6,,,2026-07-10T01:02:09Z
113,21,4,,,2026-07-10T01:02:09Z
113,21,5,,,2026-07-10T01:02:09Z
113F,C,9,,,2026-07-10T01:02:09Z
113F,C,10,,,2026-07-10T01:02:09Z
114,8,17,,,2026-07-10T01:02:09Z
114,8,18,,,2026-07-10T01:02:09Z
114,9,7,,,2026-07-10T01:02:09Z
114,9,8,,,2026-07-10T01:02:09Z
114,11,21,,,2026-07-10T01:02:09Z
114,11,22,,,2026-07-10T01:02:09Z
114,19,17,,,2026-07-10T01:02:09Z
114,19,18,,,2026-07-10T01:02:09Z
114,24,14,,,2026-07-10T01:02:09Z
114,24,15,,,2026-07-10T01:02:09Z
115,1,3,,,2026-07-10T01:02:09Z
115,1,4,,,2026-07-10T01:02:09Z
115,1,5,,,2026-07-10T01:02:09Z
115,1,6,,,2026-07-10T01:02:09Z
115,6,5,,,2026-07-10T01:02:09Z
115,6,6,,,2026-07-10T01:02:09Z
115,9,11,,,2026-07-10T01:02:09Z
115,9,12,,,2026-07-10T01:02:09Z
115,9,13,,,2026-07-10T01:02:09Z
115,9,14,,,2026-07-10T01:02:09Z
115,9,15,,,2026-07-10T01:02:09Z
115,9,16,,,2026-07-10T01:02:09Z
115,16,3,,,2026-07-10T01:02:09Z
115,16,4,,,2026-07-10T01:02:09Z
115F,A,20,,,2026-07-10T01:02:09Z
115F,A,21,,,2026-07-10T01:02:09Z
117,10,17,,,2026-07-10T01:02:09Z
117,10,18,,,2026-07-10T01:02:09Z
117,11,16,,,2026-07-10T01:02:09Z
117,11,17,,,2026-07-10T01:02:09Z
117,11,18,,,2026-07-10T01:02:09Z
117,11,19,,,2026-07-10T01:02:09Z
117,12,3,,,2026-07-10T01:02:09Z
117,12,4,,,2026-07-10T01:02:09Z
118,14,1,,,2026-07-10T01:02:09Z
118,14,2,,,2026-07-10T01:02:09Z
120,3,6,,,2026-07-10T01:02:09Z
120,3,7,,,2026-07-10T01:02:09Z
121,22C,7,,,2026-07-10T01:02:09Z
121,22C,8,,,2026-07-10T01:02:09Z
122,6,10,,,2026-07-10T01:02:09Z
122,6,11,,,2026-07-10T01:02:09Z
122,12,3,,,2026-07-10T01:02:09Z
122,12,4,,,2026-07-10T01:02:09Z
123,8,7,,,2026-07-10T01:02:09Z
123,8,8,,,2026-07-10T01:02:09Z
124,22,6,,,2026-07-10T01:02:09Z
124,22,7,,,2026-07-10T01:02:09Z
202,5,12,,,2026-07-10T01:02:09Z
202,5,13,,,2026-07-10T01:02:09Z
203,12,3,,,2026-07-10T01:02:09Z
203,12,4,,,2026-07-10T01:02:09Z
211,6,8,,,2026-07-10T01:02:09Z
211,6,9,,,2026-07-10T01:02:09Z
214,5,10,,,2026-07-10T01:02:09Z
214,5,11,,,2026-07-10T01:02:09Z
218,9,14,,,2026-07-10T01:02:09Z
218,9,15,,,2026-07-10T01:02:09Z
221W,1,8,,,2026-07-10T01:02:09Z
221W,1,9,,,2026-07-10T01:02:09Z
224,2,12,,,2026-07-10T01:02:09Z
224,2,13,,,2026-07-10T01:02:09Z
224,4,14,,,2026-07-10T01:02:09Z
224,4,15,,,2026-07-10T01:02:09Z
228,10,8,,,2026-07-10T01:02:09Z
228,10,9,,,2026-07-10T01:02:09Z
