section,row,seat,price_usd,selection_type,scraped_at
101,2,4,,,2026-07-10T01:02:09Z
101,2,5,,,2026-07-10T01:02:09Z
101,6,10,,,2026-07-10T01:02:09Z
101,6,11,,,2026-07-10T01:02:09Z
101,9,13,,,2026-07-10T01:02:09Z
101,9,14,,,2026-07-10T01:02:09Z
101F,C,22,,,2026-07-10T01:02:09Z
101F,C,23,,,2026-07-10T01:02:09Z
102,11,10,,,2026-07-10T01:02:09Z
102,11,11,,,2026-07-10T01:02:09Z
102,11,12,,,2026-07-10T01:02:09Z
102,11,13,,,2026-07-10T01:02:09Z
102,12,11,,,2026-07-10T01:02:09Z
102,12,12,,,2026-07-10T01:02:09Z
102,12,13,,,2026-07-10T01:02:09Z
102,12,14,,,2026-07-10T01:02:09Z
102,12,15,,,2026-07-10T01:02:09Z
102,12,16,,,2026-07-10T01:02:09Z
102,12,17,,,2026-07-10T01:02:09Z
102,12,18,,,2026-07-10T01:02:09Z
102,16,21,,,2026-07-10T01:02:09Z
102,16,22,,,2026-07-10T01:02:09Z
102,18,21,,,2026-07-10T01:02:09Z
102,18,22,,,2026-07-10T01:02:09Z
102,3,19,,,2026-07-10T01:02:09Z
102,3,20,,,2026-07-10T01:02:09Z
102,8,16,,,2026-07-10T01:02:09Z
102,8,17,,,2026-07-10T01:02:09Z
102,9,9,,,2026-07-10T01:02:09Z
102,9,10,,,2026-07-10T01:02:09Z
102,9,11,,,2026-07-10T01:02:09Z
102,9,12,,,2026-07-10T01:02:09Z
102,9,13,,,2026-07-10T01:02:09Z
102,9,14,,,2026-07-10T01:02:09Z
103,2,14,,,2026-07-10T01:02:09Z
103,2,15,,,2026-07-10T01:02:09Z
103,3,14,,,2026-07-10T01:02:09Z
103,3,15,,,2026-07-10T01:02:09Z
103,5,4,,,2026-07-10T01:02:09Z
103,5,1,,,2026-07-10T01:02:09Z
103,5,2,,,2026-07-10T01:02:09Z
103,5,3,,,2026-07-10T01:02:09Z
103,6,5,,,2026-07-10T01:02:09Z
103,6,6,,,2026-07-10T01:02:09Z
103,6,7,,,2026-07-10T01:02:09Z
103,6,8,,,2026-07-10T01:02:09Z
104,19,10,,,2026-07-10T01:02:09Z
104,19,11,,,2026-07-10T01:02:09Z
104,19,12,,,2026-07-10T01:02:09Z
104,19,3,,,2026-07-10T01:02:09Z
104,19,4,,,2026-07-10T01:02:09Z
104,19,8,,,2026-07-10T01:02:09Z
104,19,9,,,2026-07-10T01:02:09Z
104,21,11,,,2026-07-10T01:02:09Z
104,21,12,,,2026-07-10T01:02:09Z
104,26,10,,,2026-07-10T01:02:09Z
104,26,7,,,2026-07-10T01:02:09Z
104,26,8,,,2026-07-10T01:02:09Z
104,26,9,,,2026-07-10T01:02:09Z
104,2,4,,,2026-07-10T01:02:09Z
104,2,3,,,2026-07-10T01:02:09Z
105,11,21,,,2026-07-10T01:02:09Z
105,11,22,,,2026-07-10T01:02:09Z
105,25,3,,,2026-07-10T01:02:09Z
105,25,4,,,2026-07-10T01:02:09Z
105,2,10,,,2026-07-10T01:02:09Z
105,2,11,,,2026-07-10T01:02:09Z
105,8,15,,,2026-07-10T01:02:09Z
105,8,16,,,2026-07-10T01:02:09Z
106,13,2,,,2026-07-10T01:02:09Z
106,13,3,,,2026-07-10T01:02:09Z
106,13,4,,,2026-07-10T01:02:09Z
106,13,5,,,2026-07-10T01:02:09Z
106,28,25,,,2026-07-10T01:02:09Z
106,28,26,,,2026-07-10T01:02:09Z
107,21,12,,,2026-07-10T01:02:09Z
107,21,13,,,2026-07-10T01:02:09Z
108,10,12,,,2026-07-10T01:02:09Z
108,10,13,,,2026-07-10T01:02:09Z
108,10,20,,,2026-07-10T01:02:09Z
108,10,21,,,2026-07-10T01:02:09Z
108,27,4,,,2026-07-10T01:02:09Z
108,27,5,,,2026-07-10T01:02:09Z
109,27,12,,,2026-07-10T01:02:09Z
109,27,13,,,2026-07-10T01:02:09Z
110,20,3,,,2026-07-10T01:02:09Z
110,20,4,,,2026-07-10T01:02:09Z
110,20,5,,,2026-07-10T01:02:09Z
110,20,6,,,2026-07-10T01:02:09Z
110,25,13,,,2026-07-10T01:02:09Z
110,25,14,,,2026-07-10T01:02:09Z
110,26,3,,,2026-07-10T01:02:09Z
110,26,4,,,2026-07-10T01:02:09Z
111,13,10,,,2026-07-10T01:02:09Z
111,13,11,,,2026-07-10T01:02:09Z
111,15,7,,,2026-07-10T01:02:09Z
111,15,8,,,2026-07-10T01:02:09Z
111,16,8,,,2026-07-10T01:02:09Z
111,16,9,,,2026-07-10T01:02:09Z
111,28,19,,,2026-07-10T01:02:09Z
111,28,20,,,2026-07-10T01:02:09Z
111,5,2,,,2026-07-10T01:02:09Z
111,5,3,,,2026-07-10T01:02:09Z
111,7,4,,,2026-07-10T01:02:09Z
111,7,3,,,2026-07-10T01:02:09Z
112,17,10,,,2026-07-10T01:02:09Z
112,17,11,,,2026-07-10T01:02:09Z
112,17,12,,,2026-07-10T01:02:09Z
112,17,7,,,2026-07-10T01:02:09Z
112,17,8,,,2026-07-10T01:02:09Z
112,17,9,,,2026-07-10T01:02:09Z
113,14,15,,,2026-07-10T01:02:09Z
113,14,16,,,2026-07-10T01:02:09Z
113,18,5,,,2026-07-10T01:02:09Z
113,18,6,,,2026-07-10T01:02:09Z
113,21,4,,,2026-07-10T01:02:09Z
113,21,5,,,2026-07-10T01:02:09Z
113,7,8,,,2026-07-10T01:02:09Z
113,7,9,,,2026-07-10T01:02:09Z
113,7,1,,,2026-07-10T01:02:09Z
113,7,14,,,2026-07-10T01:02:09Z
113,7,15,,,2026-07-10T01:02:09Z
113,7,2,,,2026-07-10T01:02:09Z
113,8,14,,,2026-07-10T01:02:09Z
113,8,15,,,2026-07-10T01:02:09Z
113F,C,10,,,2026-07-10T01:02:09Z
113F,C,9,,,2026-07-10T01:02:09Z
114,11,21,,,2026-07-10T01:02:09Z
114,11,22,,,2026-07-10T01:02:09Z
114,11,5,,,2026-07-10T01:02:09Z
114,11,6,,,2026-07-10T01:02:09Z
114,18,3,,,2026-07-10T01:02:09Z
114,18,4,,,2026-07-10T01:02:09Z
114,19,17,,,2026-07-10T01:02:09Z
114,19,18,,,2026-07-10T01:02:09Z
114,21,14,,,2026-07-10T01:02:09Z
114,21,15,,,2026-07-10T01:02:09Z
114,24,14,,,2026-07-10T01:02:09Z
114,24,15,,,2026-07-10T01:02:09Z
114,2,13,,,2026-07-10T01:02:09Z
114,2,14,,,2026-07-10T01:02:09Z
114,8,17,,,2026-07-10T01:02:09Z
114,8,18,,,2026-07-10T01:02:09Z
114,8,19,,,2026-07-10T01:02:09Z
114,8,20,,,2026-07-10T01:02:09Z
114,9,7,,,2026-07-10T01:02:09Z
114,9,8,,,2026-07-10T01:02:09Z
114F,B,14,,,2026-07-10T01:02:09Z
114F,B,15,,,2026-07-10T01:02:09Z
115,16,3,,,2026-07-10T01:02:09Z
115,16,4,,,2026-07-10T01:02:09Z
115,18,5,,,2026-07-10T01:02:09Z
115,18,6,,,2026-07-10T01:02:09Z
115,18,7,,,2026-07-10T01:02:09Z
115,18,8,,,2026-07-10T01:02:09Z
115,18,9,,,2026-07-10T01:02:09Z
115,1,4,,,2026-07-10T01:02:09Z
115,1,5,,,2026-07-10T01:02:09Z
115,1,6,,,2026-07-10T01:02:09Z
115,1,3,,,2026-07-10T01:02:09Z
115,6,5,,,2026-07-10T01:02:09Z
115,6,6,,,2026-07-10T01:02:09Z
115,9,11,,,2026-07-10T01:02:09Z
115,9,12,,,2026-07-10T01:02:09Z
115,9,13,,,2026-07-10T01:02:09Z
115,9,14,,,2026-07-10T01:02:09Z
115,9,15,,,2026-07-10T01:02:09Z
115,9,16,,,2026-07-10T01:02:09Z
115F,A,11,,,2026-07-10T01:02:09Z
115F,A,12,,,2026-07-10T01:02:09Z
115F,A,16,,,2026-07-10T01:02:09Z
115F,A,17,,,2026-07-10T01:02:09Z
115F,A,20,,,2026-07-10T01:02:09Z
115F,A,21,,,2026-07-10T01:02:09Z
116,26,12,,,2026-07-10T01:02:09Z
116,26,13,,,2026-07-10T01:02:09Z
116,26,14,,,2026-07-10T01:02:09Z
116,26,15,,,2026-07-10T01:02:09Z
116,26,16,,,2026-07-10T01:02:09Z
116,26,17,,,2026-07-10T01:02:09Z
116,4,4,,,2026-07-10T01:02:09Z
116,4,3,,,2026-07-10T01:02:09Z
117,10,17,,,2026-07-10T01:02:09Z
117,10,18,,,2026-07-10T01:02:09Z
117,11,16,,,2026-07-10T01:02:09Z
117,11,17,,,2026-07-10T01:02:09Z
117,11,18,,,2026-07-10T01:02:09Z
117,11,19,,,2026-07-10T01:02:09Z
117,12,3,,,2026-07-10T01:02:09Z
117,12,4,,,2026-07-10T01:02:09Z
118,14,1,,,2026-07-10T01:02:09Z
118,14,2,,,2026-07-10T01:02:09Z
118,1,4,,,2026-07-10T01:02:09Z
118,1,3,,,2026-07-10T01:02:09Z
119,17,1,,,2026-07-10T01:02:09Z
119,17,2,,,2026-07-10T01:02:09Z
119,17,3,,,2026-07-10T01:02:09Z
119,17,4,,,2026-07-10T01:02:09Z
120,3,6,,,2026-07-10T01:02:09Z
120,3,7,,,2026-07-10T01:02:09Z
121,16,3,,,2026-07-10T01:02:09Z
121,16,4,,,2026-07-10T01:02:09Z
121,20,1,,,2026-07-10T01:02:09Z
121,20,2,,,2026-07-10T01:02:09Z
121,22C,7,,,2026-07-10T01:02:09Z
121,22C,8,,,2026-07-10T01:02:09Z
122,12,3,,,2026-07-10T01:02:09Z
122,12,4,,,2026-07-10T01:02:09Z
122,6,10,,,2026-07-10T01:02:09Z
122,6,11,,,2026-07-10T01:02:09Z
123,17,4,,,2026-07-10T01:02:09Z
123,17,5,,,2026-07-10T01:02:09Z
123,8,7,,,2026-07-10T01:02:09Z
123,8,8,,,2026-07-10T01:02:09Z
124,27,2,,,2026-07-10T01:02:09Z
124,27,3,,,2026-07-10T01:02:09Z
124,22,13,,,2026-07-10T01:02:09Z
124,22,14,,,2026-07-10T01:02:09Z
124,22,6,,,2026-07-10T01:02:09Z
124,22,7,,,2026-07-10T01:02:09Z
124,24,15,,,2026-07-10T01:02:09Z
124,24,16,,,2026-07-10T01:02:09Z
124,26,11,,,2026-07-10T01:02:09Z
124,26,12,,,2026-07-10T01:02:09Z
124,26,13,,,2026-07-10T01:02:09Z
124,26,14,,,2026-07-10T01:02:09Z
124,26,15,,,2026-07-10T01:02:09Z
124,26,16,,,2026-07-10T01:02:09Z
124,4,9,,,2026-07-10T01:02:09Z
124,4,10,,,2026-07-10T01:02:09Z
202,5,12,,,2026-07-10T01:02:09Z
202,5,13,,,2026-07-10T01:02:09Z
203,12,3,,,2026-07-10T01:02:09Z
203,12,4,,,2026-07-10T01:02:09Z
208,2,9,,,2026-07-10T01:02:09Z
208,2,10,,,2026-07-10T01:02:09Z
208,2,11,,,2026-07-10T01:02:09Z
208,2,12,,,2026-07-10T01:02:09Z
208,2,13,,,2026-07-10T01:02:09Z
208,2,14,,,2026-07-10T01:02:09Z
208,2,15,,,2026-07-10T01:02:09Z
208,2,16,,,2026-07-10T01:02:09Z
208,4,17,,,2026-07-10T01:02:09Z
208,4,18,,,2026-07-10T01:02:09Z
208,4,19,,,2026-07-10T01:02:09Z
208,4,20,,,2026-07-10T01:02:09Z
208,4,21,,,2026-07-10T01:02:09Z
208,4,22,,,2026-07-10T01:02:09Z
210,2,10,,,2026-07-10T01:02:09Z
210,2,11,,,2026-07-10T01:02:09Z
210,2,12,,,2026-07-10T01:02:09Z
210,2,13,,,2026-07-10T01:02:09Z
210,2,14,,,2026-07-10T01:02:09Z
210,2,15,,,2026-07-10T01:02:09Z
210,2,16,,,2026-07-10T01:02:09Z
210,2,17,,,2026-07-10T01:02:09Z
211,6,8,,,2026-07-10T01:02:09Z
211,6,9,,,2026-07-10T01:02:09Z
214,5,10,,,2026-07-10T01:02:09Z
214,5,11,,,2026-07-10T01:02:09Z
217,8,18,,,2026-07-10T01:02:09Z
217,8,19,,,2026-07-10T01:02:09Z
217,8,20,,,2026-07-10T01:02:09Z
217,8,21,,,2026-07-10T01:02:09Z
217W,1,10,,,2026-07-10T01:02:09Z
217W,1,9,,,2026-07-10T01:02:09Z
218,9,14,,,2026-07-10T01:02:09Z
218,9,15,,,2026-07-10T01:02:09Z
221W,1,8,,,2026-07-10T01:02:09Z
221W,1,9,,,2026-07-10T01:02:09Z
224,2,12,,,2026-07-10T01:02:09Z
224,2,13,,,2026-07-10T01:02:09Z
224,4,14,,,2026-07-10T01:02:09Z
224,4,15,,,2026-07-10T01:02:09Z
228,10,8,,,2026-07-10T01:02:09Z
228,10,9,,,2026-07-10T01:02:09Z
228,2,13,,,2026-07-10T01:02:09Z
228,2,14,,,2026-07-10T01:02:09Z
228,2,15,,,2026-07-10T01:02:09Z
228,2,16,,,2026-07-10T01:02:09Z
228,2,17,,,2026-07-10T01:02:09Z
228,2,18,,,2026-07-10T01:02:09Z
228,2,19,,,2026-07-10T01:02:09Z
228,2,20,,,2026-07-10T01:02:09Z
228,5,15,,,2026-07-10T01:02:09Z
228,5,16,,,2026-07-10T01:02:09Z
228,6,13,,,2026-07-10T01:02:09Z
228,6,14,,,2026-07-10T01:02:09Z
228,6,15,,,2026-07-10T01:02:09Z
228,6,16,,,2026-07-10T01:02:09Z
228,6,17,,,2026-07-10T01:02:09Z
228,6,18,,,2026-07-10T01:02:09Z
228,6,19,,,2026-07-10T01:02:09Z
228,6,20,,,2026-07-10T01:02:09Z
230,4,13,,,2026-07-10T01:02:09Z
230,4,14,,,2026-07-10T01:02:09Z
230,4,15,,,2026-07-10T01:02:09Z
230,4,16,,,2026-07-10T01:02:09Z
