section,row,seat,price_usd,selection_type,scraped_at
101,D,6,,,2026-07-31T00:46:42Z
101,D,7,,,2026-07-31T00:46:42Z
101,D,8,,,2026-07-31T00:46:42Z
101,D,9,,,2026-07-31T00:46:42Z
101,K,7,,,2026-07-31T00:46:42Z
101,K,8,,,2026-07-31T00:46:42Z
102,B,16,,,2026-07-31T00:46:42Z
102,B,17,,,2026-07-31T00:46:42Z
102,C,17,,,2026-07-31T00:46:42Z
102,C,18,,,2026-07-31T00:46:42Z
105,P,12,,,2026-07-31T00:46:42Z
105,P,13,,,2026-07-31T00:46:42Z
106,B,8,,,2026-07-31T00:46:42Z
106,B,9,,,2026-07-31T00:46:42Z
106,E,1,,,2026-07-31T00:46:42Z
106,E,2,,,2026-07-31T00:46:42Z
106,FF,7,,,2026-07-31T00:46:42Z
106,FF,8,,,2026-07-31T00:46:42Z
107,CC,4,,,2026-07-31T00:46:42Z
107,CC,5,,,2026-07-31T00:46:42Z
107,F,1,,,2026-07-31T00:46:42Z
107,F,2,,,2026-07-31T00:46:42Z
107,L,7,,,2026-07-31T00:46:42Z
107,L,8,,,2026-07-31T00:46:42Z
107,L,9,,,2026-07-31T00:46:42Z
107,L,10,,,2026-07-31T00:46:42Z
107,P,5,,,2026-07-31T00:46:42Z
107,P,6,,,2026-07-31T00:46:42Z
107,P,7,,,2026-07-31T00:46:42Z
107,P,8,,,2026-07-31T00:46:42Z
109,E,5,,,2026-07-31T00:46:42Z
109,E,6,,,2026-07-31T00:46:42Z
111,BB,3,,,2026-07-31T00:46:42Z
111,BB,4,,,2026-07-31T00:46:42Z
111,CC,1,,,2026-07-31T00:46:42Z
111,CC,2,,,2026-07-31T00:46:42Z
111,DD,6,,,2026-07-31T00:46:42Z
111,DD,7,,,2026-07-31T00:46:42Z
111,H,1,,,2026-07-31T00:46:42Z
111,H,2,,,2026-07-31T00:46:42Z
111,Q,9,,,2026-07-31T00:46:42Z
111,Q,10,,,2026-07-31T00:46:42Z
112,E,6,,,2026-07-31T00:46:42Z
112,E,7,,,2026-07-31T00:46:42Z
112,J,11,,,2026-07-31T00:46:42Z
112,J,12,,,2026-07-31T00:46:42Z
112,L,1,,,2026-07-31T00:46:42Z
112,L,2,,,2026-07-31T00:46:42Z
113,L,1,,,2026-07-31T00:46:42Z
113,L,2,,,2026-07-31T00:46:42Z
113,P,5,,,2026-07-31T00:46:42Z
113,P,6,,,2026-07-31T00:46:42Z
115,F,9,,,2026-07-31T00:46:42Z
115,F,10,,,2026-07-31T00:46:42Z
115,F,11,,,2026-07-31T00:46:42Z
115,F,12,,,2026-07-31T00:46:42Z
115,H,8,,,2026-07-31T00:46:42Z
115,H,9,,,2026-07-31T00:46:42Z
120,G,9,,,2026-07-31T00:46:42Z
120,G,10,,,2026-07-31T00:46:42Z
121,J,5,,,2026-07-31T00:46:42Z
121,J,6,,,2026-07-31T00:46:42Z
122,F,9,,,2026-07-31T00:46:42Z
122,F,10,,,2026-07-31T00:46:42Z
122,F,11,,,2026-07-31T00:46:42Z
122,F,12,,,2026-07-31T00:46:42Z
123,G,4,,,2026-07-31T00:46:42Z
123,G,12,,,2026-07-31T00:46:42Z
123,G,13,,,2026-07-31T00:46:42Z
123,G,3,,,2026-07-31T00:46:42Z
124,AA,11,,,2026-07-31T00:46:42Z
124,AA,12,,,2026-07-31T00:46:42Z
124,H,9,,,2026-07-31T00:46:42Z
124,H,10,,,2026-07-31T00:46:42Z
124,L,7,,,2026-07-31T00:46:42Z
124,L,8,,,2026-07-31T00:46:42Z
125,B,7,,,2026-07-31T00:46:42Z
125,B,8,,,2026-07-31T00:46:42Z
125,D,5,,,2026-07-31T00:46:42Z
125,D,6,,,2026-07-31T00:46:42Z
125,DD,5,,,2026-07-31T00:46:42Z
125,DD,6,,,2026-07-31T00:46:42Z
125,K,8,,,2026-07-31T00:46:42Z
125,K,9,,,2026-07-31T00:46:42Z
125,K,10,,,2026-07-31T00:46:42Z
125,K,11,,,2026-07-31T00:46:42Z
126,AA,3,,,2026-07-31T00:46:42Z
126,AA,4,,,2026-07-31T00:46:42Z
126,BB,4,,,2026-07-31T00:46:42Z
126,BB,5,,,2026-07-31T00:46:42Z
126,J,1,,,2026-07-31T00:46:42Z
126,J,2,,,2026-07-31T00:46:42Z
126,N,7,,,2026-07-31T00:46:42Z
126,N,8,,,2026-07-31T00:46:42Z
127,B,8,,,2026-07-31T00:46:42Z
127,B,9,,,2026-07-31T00:46:42Z
127,CC,3,,,2026-07-31T00:46:42Z
