section,row,seat,price_usd,selection_type,scraped_at
SUITE A 53,SEAT,6,,,2026-07-07T01:01:03Z
SUITE A 53,SEAT,7,,,2026-07-07T01:01:03Z
PREMIER 4,10,9,,,2026-07-07T01:01:03Z
PREMIER 4,10,10,,,2026-07-07T01:01:03Z
PREMIER 4,10,11,,,2026-07-07T01:01:03Z
PREMIER 4,10,12,,,2026-07-07T01:01:03Z
PREMIER 4,10,13,,,2026-07-07T01:01:03Z
PREMIER 4,10,14,,,2026-07-07T01:01:03Z
PREMIER 4,11,11,,,2026-07-07T01:01:03Z
PREMIER 4,11,12,,,2026-07-07T01:01:03Z
PREMIER 4,11,13,,,2026-07-07T01:01:03Z
PREMIER 4,11,14,,,2026-07-07T01:01:03Z
PREMIER 4,11,15,,,2026-07-07T01:01:03Z
PREMIER 4,11,16,,,2026-07-07T01:01:03Z
SUITE B 4,SEAT,7,,,2026-07-07T01:01:03Z
SUITE B 4,SEAT,10,,,2026-07-07T01:01:03Z
SUITE B 4,SEAT,11,,,2026-07-07T01:01:03Z
SUITE B 4,SEAT,12,,,2026-07-07T01:01:03Z
SUITE B 4,SEAT,8,,,2026-07-07T01:01:03Z
SUITE B 4,SEAT,9,,,2026-07-07T01:01:03Z
SUITE B 4,BSTL,1,,,2026-07-07T01:01:03Z
SUITE B 4,BSTL,2,,,2026-07-07T01:01:03Z
SUITE B 4,BSTL,3,,,2026-07-07T01:01:03Z
SUITE B 4,BSTL,4,,,2026-07-07T01:01:03Z
SUITE B 4,BSTL,5,,,2026-07-07T01:01:03Z
SUITE B 4,BSTL,6,,,2026-07-07T01:01:03Z
PREMIER 2,5,3,,,2026-07-07T01:01:03Z
PREMIER 2,5,4,,,2026-07-07T01:01:03Z
PREMIER 2,5,5,,,2026-07-07T01:01:03Z
PREMIER 2,5,6,,,2026-07-07T01:01:03Z
PREMIER 2,11,7,,,2026-07-07T01:01:03Z
PREMIER 2,11,8,,,2026-07-07T01:01:03Z
PREMIER 2,11,9,,,2026-07-07T01:01:03Z
PREMIER 2,11,10,,,2026-07-07T01:01:03Z
PREMIER 2,11,11,,,2026-07-07T01:01:03Z
PREMIER 2,11,12,,,2026-07-07T01:01:03Z
PREMIER 2,9,1,,,2026-07-07T01:01:03Z
PREMIER 2,9,2,,,2026-07-07T01:01:03Z
PREMIER 2,9,3,,,2026-07-07T01:01:03Z
PREMIER 2,9,4,,,2026-07-07T01:01:03Z
PREMIER 2,9,5,,,2026-07-07T01:01:03Z
PREMIER 2,9,6,,,2026-07-07T01:01:03Z
PREMIER 10,5,1,,,2026-07-07T01:01:03Z
PREMIER 10,5,2,,,2026-07-07T01:01:03Z
PREMIER 10,7,3,,,2026-07-07T01:01:03Z
PREMIER 10,7,4,,,2026-07-07T01:01:03Z
PREMIER 10,7,5,,,2026-07-07T01:01:03Z
PREMIER 10,7,6,,,2026-07-07T01:01:03Z
PREMIER 10,7,7,,,2026-07-07T01:01:03Z
PREMIER 10,7,8,,,2026-07-07T01:01:03Z
PREMIER 10,12,1,,,2026-07-07T01:01:03Z
PREMIER 10,12,2,,,2026-07-07T01:01:03Z
PREMIER 10,12,3,,,2026-07-07T01:01:03Z
PREMIER 10,12,4,,,2026-07-07T01:01:03Z
PREMIER 10,12,5,,,2026-07-07T01:01:03Z
PREMIER 10,12,6,,,2026-07-07T01:01:03Z
PREMIER 10,10,11,,,2026-07-07T01:01:03Z
PREMIER 10,10,12,,,2026-07-07T01:01:03Z
PREMIER 10,10,13,,,2026-07-07T01:01:03Z
PREMIER 10,10,14,,,2026-07-07T01:01:03Z
PREMIER 7,6,1,,,2026-07-07T01:01:03Z
PREMIER 7,6,2,,,2026-07-07T01:01:03Z
PREMIER 7,7,5,,,2026-07-07T01:01:03Z
PREMIER 7,7,6,,,2026-07-07T01:01:03Z
PREMIER 7,7,7,,,2026-07-07T01:01:03Z
PREMIER 7,7,8,,,2026-07-07T01:01:03Z
PREMIER 7,7,9,,,2026-07-07T01:01:03Z
PREMIER 7,7,10,,,2026-07-07T01:01:03Z
PREMIER 7,11,1,,,2026-07-07T01:01:03Z
PREMIER 7,11,2,,,2026-07-07T01:01:03Z
PREMIER 7,11,3,,,2026-07-07T01:01:03Z
PREMIER 7,11,4,,,2026-07-07T01:01:03Z
PREMIER 7,9,7,,,2026-07-07T01:01:03Z
PREMIER 7,9,8,,,2026-07-07T01:01:03Z
PREMIER 7,9,9,,,2026-07-07T01:01:03Z
PREMIER 7,9,10,,,2026-07-07T01:01:03Z
PREMIER 7,9,11,,,2026-07-07T01:01:03Z
PREMIER 7,9,12,,,2026-07-07T01:01:03Z
PREMIER 18,5,1,,,2026-07-07T01:01:03Z
PREMIER 18,5,2,,,2026-07-07T01:01:03Z
PREMIER 18,5,3,,,2026-07-07T01:01:03Z
PREMIER 18,5,4,,,2026-07-07T01:01:03Z
PREMIER 18,5,5,,,2026-07-07T01:01:03Z
PREMIER 18,5,6,,,2026-07-07T01:01:03Z
PREMIER 18,11,7,,,2026-07-07T01:01:03Z
PREMIER 18,11,8,,,2026-07-07T01:01:03Z
PREMIER 18,11,9,,,2026-07-07T01:01:03Z
PREMIER 18,11,10,,,2026-07-07T01:01:03Z
PREMIER 18,11,11,,,2026-07-07T01:01:03Z
PREMIER 18,11,12,,,2026-07-07T01:01:03Z
PREMIER 18,8,3,,,2026-07-07T01:01:03Z
PREMIER 18,8,4,,,2026-07-07T01:01:03Z
PREMIER 18,8,5,,,2026-07-07T01:01:03Z
PREMIER 18,8,6,,,2026-07-07T01:01:03Z
PREMIER 18,8,7,,,2026-07-07T01:01:03Z
PREMIER 18,8,8,,,2026-07-07T01:01:03Z
PREMIER 11,8,9,,,2026-07-07T01:01:03Z
PREMIER 11,8,10,,,2026-07-07T01:01:03Z
PREMIER 11,8,11,,,2026-07-07T01:01:03Z
PREMIER 11,8,12,,,2026-07-07T01:01:03Z
PREMIER 11,9,1,,,2026-07-07T01:01:03Z
PREMIER 11,9,2,,,2026-07-07T01:01:03Z
PREMIER 11,9,3,,,2026-07-07T01:01:03Z
PREMIER 11,9,4,,,2026-07-07T01:01:03Z
PREMIER 11,9,5,,,2026-07-07T01:01:03Z
PREMIER 11,9,6,,,2026-07-07T01:01:03Z
PREMIER 11,11,1,,,2026-07-07T01:01:03Z
PREMIER 11,11,2,,,2026-07-07T01:01:03Z
PREMIER 11,11,3,,,2026-07-07T01:01:03Z
PREMIER 11,11,4,,,2026-07-07T01:01:03Z
PREMIER 11,11,5,,,2026-07-07T01:01:03Z
PREMIER 11,11,6,,,2026-07-07T01:01:03Z
SUITE B 53,BSTL,1,,,2026-07-07T01:01:03Z
SUITE B 53,BSTL,2,,,2026-07-07T01:01:03Z
SUITE B 53,BSTL,3,,,2026-07-07T01:01:03Z
SUITE B 53,BSTL,4,,,2026-07-07T01:01:03Z
SUITE B 53,SEAT,1,,,2026-07-07T01:01:03Z
SUITE B 53,SEAT,2,,,2026-07-07T01:01:03Z
SUITE C 38,SEAT,7,,,2026-07-07T01:01:03Z
SUITE C 38,SEAT,8,,,2026-07-07T01:01:03Z
SUITE C 38,BSTL,3,,,2026-07-07T01:01:03Z
SUITE C 38,BSTL,4,,,2026-07-07T01:01:03Z
SUITE C 38,BSTL,5,,,2026-07-07T01:01:03Z
SUITE C 38,BSTL,6,,,2026-07-07T01:01:03Z
SUITE C 37,SEAT,7,,,2026-07-07T01:01:03Z
SUITE C 37,SEAT,8,,,2026-07-07T01:01:03Z
SUITE C 37,BSTL,1,,,2026-07-07T01:01:03Z
SUITE C 37,BSTL,2,,,2026-07-07T01:01:03Z
SUITE C 42,SEAT,7,,,2026-07-07T01:01:03Z
SUITE C 42,SEAT,8,,,2026-07-07T01:01:03Z
SUITE C 42,SEAT,9,,,2026-07-07T01:01:03Z
SUITE C 42,SEAT,10,,,2026-07-07T01:01:03Z
SUITE C 42,SEAT,11,,,2026-07-07T01:01:03Z
SUITE C 42,SEAT,12,,,2026-07-07T01:01:03Z
SUITE C 42,BSTL,1,,,2026-07-07T01:01:03Z
SUITE C 42,BSTL,2,,,2026-07-07T01:01:03Z
SUITE C 42,BSTL,3,,,2026-07-07T01:01:03Z
SUITE C 42,BSTL,4,,,2026-07-07T01:01:03Z
SUITE C 42,BSTL,5,,,2026-07-07T01:01:03Z
SUITE C 42,BSTL,6,,,2026-07-07T01:01:03Z
SUITE A 19,BSTL,1,,,2026-07-07T01:01:03Z
SUITE A 19,BSTL,2,,,2026-07-07T01:01:03Z
SUITE A 19,BSTL,3,,,2026-07-07T01:01:03Z
SUITE A 19,BSTL,4,,,2026-07-07T01:01:03Z
