section,row,seat,price_usd,selection_type,scraped_at
PREMIER 2,7,5,,,2026-07-09T01:05:21Z
PREMIER 2,7,6,,,2026-07-09T01:05:21Z
PREMIER 2,7,7,,,2026-07-09T01:05:21Z
PREMIER 2,7,8,,,2026-07-09T01:05:21Z
PREMIER 2,10,5,,,2026-07-09T01:05:21Z
PREMIER 2,10,6,,,2026-07-09T01:05:21Z
PREMIER 2,8,9,,,2026-07-09T01:05:21Z
PREMIER 2,8,10,,,2026-07-09T01:05:21Z
PREMIER 2,8,11,,,2026-07-09T01:05:21Z
PREMIER 2,8,12,,,2026-07-09T01:05:21Z
PREMIER 4,10,10,,,2026-07-09T01:05:21Z
PREMIER 4,10,11,,,2026-07-09T01:05:21Z
108,8,3,,,2026-07-09T01:05:21Z
108,8,4,,,2026-07-09T01:05:21Z
108,11,12,,,2026-07-09T01:05:21Z
108,11,13,,,2026-07-09T01:05:21Z
108,11,14,,,2026-07-09T01:05:21Z
108,11,15,,,2026-07-09T01:05:21Z
112,13,20,,,2026-07-09T01:05:21Z
112,13,21,,,2026-07-09T01:05:21Z
110,17,8,,,2026-07-09T01:05:21Z
110,17,9,,,2026-07-09T01:05:21Z
110,13,12,,,2026-07-09T01:05:21Z
110,13,13,,,2026-07-09T01:05:21Z
SUITE B 3,SEAT,1,,,2026-07-09T01:05:21Z
SUITE B 3,SEAT,2,,,2026-07-09T01:05:21Z
208,4,3,,,2026-07-09T01:05:21Z
208,4,4,,,2026-07-09T01:05:21Z
208,2,3,,,2026-07-09T01:05:21Z
208,2,4,,,2026-07-09T01:05:21Z
208,7,2,,,2026-07-09T01:05:21Z
208,7,3,,,2026-07-09T01:05:21Z
PREMIER 3,9,7,,,2026-07-09T01:05:21Z
PREMIER 3,9,8,,,2026-07-09T01:05:21Z
PREMIER 3,9,9,,,2026-07-09T01:05:21Z
PREMIER 3,9,10,,,2026-07-09T01:05:21Z
PREMIER 3,11,13,,,2026-07-09T01:05:21Z
PREMIER 3,11,14,,,2026-07-09T01:05:21Z
PREMIER 3,10,3,,,2026-07-09T01:05:21Z
PREMIER 3,10,4,,,2026-07-09T01:05:21Z
SUITE B 6,SEAT,9,,,2026-07-09T01:05:21Z
SUITE B 6,SEAT,10,,,2026-07-09T01:05:21Z
PREMIER 1,7,1,,,2026-07-09T01:05:21Z
PREMIER 1,7,2,,,2026-07-09T01:05:21Z
PREMIER 1,10,13,,,2026-07-09T01:05:21Z
PREMIER 1,10,14,,,2026-07-09T01:05:21Z
PREMIER 1,11,5,,,2026-07-09T01:05:21Z
PREMIER 1,11,6,,,2026-07-09T01:05:21Z
PREMIER 1,8,5,,,2026-07-09T01:05:21Z
PREMIER 1,8,6,,,2026-07-09T01:05:21Z
PREMIER 15,10,7,,,2026-07-09T01:05:21Z
PREMIER 15,10,8,,,2026-07-09T01:05:21Z
SUITE B 5,SEAT,1,,,2026-07-09T01:05:21Z
SUITE B 5,SEAT,2,,,2026-07-09T01:05:21Z
SUITE B 5,SEAT,3,,,2026-07-09T01:05:21Z
SUITE B 5,SEAT,4,,,2026-07-09T01:05:21Z
115,11,5,,,2026-07-09T01:05:21Z
115,11,6,,,2026-07-09T01:05:21Z
115,10,16,,,2026-07-09T01:05:21Z
115,10,17,,,2026-07-09T01:05:21Z
SUITE B 38,SEAT,9,,,2026-07-09T01:05:21Z
SUITE B 38,SEAT,10,,,2026-07-09T01:05:21Z
SUITE B 62,SEAT,2,,,2026-07-09T01:05:21Z
SUITE B 62,SEAT,3,,,2026-07-09T01:05:21Z
SUITE B 62,SEAT,4,,,2026-07-09T01:05:21Z
SUITE B 62,SEAT,5,,,2026-07-09T01:05:21Z
SUITE C 42,SEAT,1,,,2026-07-09T01:05:21Z
SUITE C 42,SEAT,2,,,2026-07-09T01:05:21Z
SUITE C 42,SEAT,3,,,2026-07-09T01:05:21Z
SUITE C 42,SEAT,4,,,2026-07-09T01:05:21Z
SUITE C 42,SEAT,5,,,2026-07-09T01:05:21Z
SUITE C 42,SEAT,6,,,2026-07-09T01:05:21Z
