section,row,seat,price_usd,selection_type,scraped_at
10,A5,4,,,2026-07-21T01:04:13Z
10,A5,3,,,2026-07-21T01:04:13Z
101,4,10,,,2026-07-21T01:04:13Z
101,4,11,,,2026-07-21T01:04:13Z
101,7,1,,,2026-07-21T01:04:13Z
101,7,2,,,2026-07-21T01:04:13Z
102,SRO,11,,,2026-07-21T01:04:13Z
102,SRO,12,,,2026-07-21T01:04:13Z
104,13,17,,,2026-07-21T01:04:13Z
104,13,18,,,2026-07-21T01:04:13Z
105,12,3,,,2026-07-21T01:04:13Z
105,12,4,,,2026-07-21T01:04:13Z
108,27,5,,,2026-07-21T01:04:13Z
108,27,6,,,2026-07-21T01:04:13Z
108,7,4,,,2026-07-21T01:04:13Z
108,7,3,,,2026-07-21T01:04:13Z
109,14,4,,,2026-07-21T01:04:13Z
109,14,5,,,2026-07-21T01:04:13Z
114,12,12,,,2026-07-21T01:04:13Z
114,12,13,,,2026-07-21T01:04:13Z
115,13,3,,,2026-07-21T01:04:13Z
115,13,4,,,2026-07-21T01:04:13Z
115,5,9,,,2026-07-21T01:04:13Z
115,5,10,,,2026-07-21T01:04:13Z
116,5,13,,,2026-07-21T01:04:13Z
116,5,14,,,2026-07-21T01:04:13Z
123,24,12,,,2026-07-21T01:04:13Z
123,24,13,,,2026-07-21T01:04:13Z
15,A2,5,,,2026-07-21T01:04:13Z
15,A2,6,,,2026-07-21T01:04:13Z
15,A2,21,,,2026-07-21T01:04:13Z
15,A2,22,,,2026-07-21T01:04:13Z
205,7,13,,,2026-07-21T01:04:13Z
205,7,14,,,2026-07-21T01:04:13Z
209,4,6,,,2026-07-21T01:04:13Z
209,4,7,,,2026-07-21T01:04:13Z
214,4,15,,,2026-07-21T01:04:13Z
214,4,16,,,2026-07-21T01:04:13Z
216,5,7,,,2026-07-21T01:04:13Z
216,5,8,,,2026-07-21T01:04:13Z
216,5,9,,,2026-07-21T01:04:13Z
216,5,10,,,2026-07-21T01:04:13Z
218,6,11,,,2026-07-21T01:04:13Z
218,6,12,,,2026-07-21T01:04:13Z
220,16,7,,,2026-07-21T01:04:13Z
220,16,8,,,2026-07-21T01:04:13Z
221,20,21,,,2026-07-21T01:04:13Z
221,20,22,,,2026-07-21T01:04:13Z
221,20,23,,,2026-07-21T01:04:13Z
221,20,24,,,2026-07-21T01:04:13Z
222,16,17,,,2026-07-21T01:04:13Z
222,16,18,,,2026-07-21T01:04:13Z
223,9,15,,,2026-07-21T01:04:13Z
223,9,16,,,2026-07-21T01:04:13Z
224,9,4,,,2026-07-21T01:04:13Z
224,9,3,,,2026-07-21T01:04:13Z
