section,row,seat,price_usd,selection_type,scraped_at
101,H,12,,,2026-07-12T23:47:42Z
101,H,13,,,2026-07-12T23:47:42Z
101,M,15,,,2026-07-12T23:47:42Z
101,M,16,,,2026-07-12T23:47:42Z
104,H,4,,,2026-07-12T23:47:42Z
104,H,3,,,2026-07-12T23:47:42Z
104,S,7,,,2026-07-12T23:47:42Z
104,S,8,,,2026-07-12T23:47:42Z
105,O,17,,,2026-07-12T23:47:42Z
105,O,18,,,2026-07-12T23:47:42Z
106,F,4,,,2026-07-12T23:47:42Z
106,F,5,,,2026-07-12T23:47:42Z
106,P,4,,,2026-07-12T23:47:42Z
106,P,1,,,2026-07-12T23:47:42Z
106,P,2,,,2026-07-12T23:47:42Z
106,P,3,,,2026-07-12T23:47:42Z
107,G,4,,,2026-07-12T23:47:42Z
107,G,3,,,2026-07-12T23:47:42Z
107,P,8,,,2026-07-12T23:47:42Z
107,P,9,,,2026-07-12T23:47:42Z
109,T,4,,,2026-07-12T23:47:42Z
109,T,15,,,2026-07-12T23:47:42Z
109,T,16,,,2026-07-12T23:47:42Z
109,T,3,,,2026-07-12T23:47:42Z
110,S,9,,,2026-07-12T23:47:42Z
110,S,10,,,2026-07-12T23:47:42Z
112,N,20,,,2026-07-12T23:47:42Z
112,N,21,,,2026-07-12T23:47:42Z
112,R,21,,,2026-07-12T23:47:42Z
112,R,22,,,2026-07-12T23:47:42Z
113,JJ,6,,,2026-07-12T23:47:42Z
113,JJ,7,,,2026-07-12T23:47:42Z
113,P,7,,,2026-07-12T23:47:42Z
113,P,8,,,2026-07-12T23:47:42Z
113,T,5,,,2026-07-12T23:47:42Z
113,T,6,,,2026-07-12T23:47:42Z
114,D,5,,,2026-07-12T23:47:42Z
114,D,6,,,2026-07-12T23:47:42Z
114,D,7,,,2026-07-12T23:47:42Z
114,D,8,,,2026-07-12T23:47:42Z
114,U,19,,,2026-07-12T23:47:42Z
114,U,20,,,2026-07-12T23:47:42Z
114,V,17,,,2026-07-12T23:47:42Z
114,V,18,,,2026-07-12T23:47:42Z
115,V,1,,,2026-07-12T23:47:42Z
115,V,14,,,2026-07-12T23:47:42Z
115,V,15,,,2026-07-12T23:47:42Z
115,V,2,,,2026-07-12T23:47:42Z
116,A,4,,,2026-07-12T23:47:42Z
116,A,5,,,2026-07-12T23:47:42Z
116,A,6,,,2026-07-12T23:47:42Z
116,A,7,,,2026-07-12T23:47:42Z
116,A,1,,,2026-07-12T23:47:42Z
116,A,2,,,2026-07-12T23:47:42Z
116,A,3,,,2026-07-12T23:47:42Z
116,B,5,,,2026-07-12T23:47:42Z
116,B,6,,,2026-07-12T23:47:42Z
116,O,6,,,2026-07-12T23:47:42Z
116,O,7,,,2026-07-12T23:47:42Z
116,P,13,,,2026-07-12T23:47:42Z
116,P,14,,,2026-07-12T23:47:42Z
118,J,4,,,2026-07-12T23:47:42Z
118,J,5,,,2026-07-12T23:47:42Z
118,J,6,,,2026-07-12T23:47:42Z
118,J,7,,,2026-07-12T23:47:42Z
118,J,8,,,2026-07-12T23:47:42Z
118,J,9,,,2026-07-12T23:47:42Z
118,J,10,,,2026-07-12T23:47:42Z
118,J,11,,,2026-07-12T23:47:42Z
118,J,2,,,2026-07-12T23:47:42Z
118,J,3,,,2026-07-12T23:47:42Z
118,O,6,,,2026-07-12T23:47:42Z
118,O,7,,,2026-07-12T23:47:42Z
118,R,4,,,2026-07-12T23:47:42Z
118,R,3,,,2026-07-12T23:47:42Z
120,D,15,,,2026-07-12T23:47:42Z
120,D,16,,,2026-07-12T23:47:42Z
120,N,15,,,2026-07-12T23:47:42Z
120,N,16,,,2026-07-12T23:47:42Z
120,P,17,,,2026-07-12T23:47:42Z
120,P,18,,,2026-07-12T23:47:42Z
120,V,4,,,2026-07-12T23:47:42Z
120,V,5,,,2026-07-12T23:47:42Z
121,H,1,,,2026-07-12T23:47:42Z
121,H,2,,,2026-07-12T23:47:42Z
121,O,1,,,2026-07-12T23:47:42Z
121,O,2,,,2026-07-12T23:47:42Z
121,P,10,,,2026-07-12T23:47:42Z
121,P,11,,,2026-07-12T23:47:42Z
121,T,12,,,2026-07-12T23:47:42Z
121,T,13,,,2026-07-12T23:47:42Z
121,U,15,,,2026-07-12T23:47:42Z
