offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMBSGMYTKNJRGM4XYMJXMYZWEYRXHE4TK,101,2,264.5,resale,2026-03-29T21:28:08Z
GN6DCMJRHE3TGMJTGAYXYMJXMY2DCOJXMRSTK,101,2,212.75,resale,2026-03-29T21:28:08Z
GN6DCMJUHA4DSMBWGYYHYMJXMY2DENRZGQYDK,101,2,230.0,resale,2026-03-29T21:28:08Z
GN6DCMJVGM4DAMRRG4YXYMJXMYZWEYTBGA3TK,101,2,241.5,resale,2026-03-29T21:28:08Z
GN6DCMBZGEZTMNJQGI4HYMJXMYZWEYZXGIYDK,101,4,362.25,resale,2026-03-29T21:28:08Z
GN6DCMJVGUYDAOBSGA4XYMJXMY2DANLBHBSTK,101,3,224.25,resale,2026-03-29T21:28:08Z
GN6DCMJVGM3DINRZGM4HYMJXMY2DANDDG5SDK,101,2,195.5,resale,2026-03-29T21:28:08Z
GN6DCMJVGUYDCNRVHE4HYMJXMY2DAZBWHE2DK,101,1,258.75,resale,2026-03-29T21:28:08Z
GN6DCMJVGUYDAOBVGA3XYMJXMY2DANJZG4YTK,102,4,241.5,resale,2026-03-29T21:28:08Z
GN6DSOJVGAZTOOJYGJ6DCN3GGNRGGOJZGA2Q,102,2,241.5,resale,2026-03-29T21:28:08Z
GN6DCMBSGMYTKNRVGEZHYMJXMYZWEY3CGE4DK,102,3,241.5,resale,2026-03-29T21:28:08Z
GN6DCMJVGQYTQNJWGMZHYMJXMY2DCODGGE2DK,102,2,201.25,resale,2026-03-29T21:28:08Z
GN6DCMJVGM4DKOJSGI4XYMJXMY2DANDEGI2TK,102,1,230.0,resale,2026-03-29T21:28:08Z
GN6DCMJUGE3TANZVGMZHYMJXMVSWCMTFGEZDK,103,2,138.0,resale,2026-03-29T21:28:08Z
GN6DCMJUGAYTCOBZHA3HYMJXMU3WGNLGMQ3TK,103,4,143.75,resale,2026-03-29T21:28:08Z
GN6DCMJVGUYDGNRVGU3XYMJXMY2DCZRSMJSTK,103,2,80.5,resale,2026-03-29T21:28:08Z
GN6DCMJVGQ4DIOJRGU3HYMJXMYZWMYTBGIYDK,104,3,74.75,resale,2026-03-29T21:28:08Z
GN6DCMJUGU3TQMRXGUYHYMJXMU3WGNLDGA3TK,104,2,97.75,resale,2026-03-29T21:28:08Z
GN6DCMJVGQ4TEMRTGAZXYMJXMYZWCOLBMM2DK,105,2,109.25,resale,2026-03-29T21:28:08Z
GN6DCMJVGQ4TGMZUGA4HYMJXMY2DEMLGGNSDK,106,2,74.75,resale,2026-03-29T21:28:08Z
GN6DSOJUGU2DMMJWGJ6DCN3GGNRTGMBSGQ2Q,106,2,88.55,resale,2026-03-29T21:28:08Z
GN6DCMJTGE4TINBSGI2HYMJXMVRTAZBXMNSDK,106,2,95.45,resale,2026-03-29T21:28:08Z
GJ6DC7BXGU,107,2,495.0,standard,2026-03-29T21:28:08Z
GN6DCMJVGQ4TENJUGUZXYMJXMY2DANBWHA3DK,107,2,301.3,resale,2026-03-29T21:28:08Z
GN6DCMJVGQZTGOJVGU3HYMJXMY2DCYRTMI3DK,107,2,57.5,resale,2026-03-29T21:28:08Z
GN6DCMJVGM4DEMJTHAZHYMJXMY2DCYLCMRSDK,108,2,51.75,resale,2026-03-29T21:28:08Z
GN6DCMJTGY2TOMZSHA4HYMJXMYZWGMTGGNTDK,109,2,86.25,resale,2026-03-29T21:28:08Z
GN6DCMJVGM3DKMRVGA3XYMJXMY2DAMRXGY4DK,111,2,805.0,resale,2026-03-29T21:28:08Z
GJ6DC7BXGY,111,2,425.0,standard,2026-03-29T21:28:08Z
GN6DCMJVGQ4TCMZUGA4HYMJXMYZTSZLGGA4TK,111,2,195.5,resale,2026-03-29T21:28:08Z
GJ6DC7BUHE,112,33,251.0,standard,2026-03-29T21:28:08Z
GN6DCMJSGMYDINJTHAYHYMJXMU3WGNJXMUZDK,112,2,517.5,resale,2026-03-29T21:28:08Z
GN6DCMJSGM4TINBWGEYHYMJXMU3WGNJUMVSTK,112,2,1725.0,resale,2026-03-29T21:28:08Z
GN6DCMJSGIZDKMJVGIZXYMJXMYZWEY3GMQ3DK,112,4,241.5,resale,2026-03-29T21:28:08Z
GN6DCMJVGM4DANBVHEYXYMJXMYZWEZBYGY4DK,112,2,241.5,resale,2026-03-29T21:28:08Z
GN6DCMJRGQ3TMMJRHA4XYMJXMVQTGNRQGZRDK,112,2,287.5,resale,2026-03-29T21:28:08Z
GN6DCMJVGQ4TMNZXGU4HYMJXMYZWIZBXGYYTK,112,2,454.25,resale,2026-03-29T21:28:08Z
GN6DCMJVGQ4TIMBWGY3XYMJXMYZWEYZZMFSDK,112,2,172.5,resale,2026-03-29T21:28:08Z
GJ6DC7BUHA,113,11,289.0,standard,2026-03-29T21:28:08Z
GN6DCMJVGQ4TSMBZHEZHYMJXMYZWMNZRGMYDK,113,2,177.1,resale,2026-03-29T21:28:08Z
GJ6DC7BVGI,114,33,142.0,standard,2026-03-29T21:28:08Z
GN6DCMJVGUYDAMZXGE3HYMJXMY2DAMLDGI2DK,114,2,92.0,resale,2026-03-29T21:28:08Z
GN6DCMJUHAZTOOBSGA2HYMJXMY2DEMZXGQ2DK,115,2,97.75,resale,2026-03-29T21:28:08Z
GN6DCMJVGM2TQMBXGMYXYMJXMVSWKNBRHA4TK,116,2,80.5,resale,2026-03-29T21:28:08Z
GN6DCMJUGY4DENJWGEYXYMJXMU3WGNRQMRSDK,116,1,138.0,resale,2026-03-29T21:28:08Z
GN6DCMJVGUYDGNZZGEZXYMJXMY2DEMBWGA4TK,116,1,74.75,resale,2026-03-29T21:28:08Z
