offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGAYTMNBSGE2XYMJXMVSWCNZVMQYDK,BAL301,4,142.8,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZTEMBTHA3XYMJXMVTDAMBXME4TK,BAL301,2,95.2,resale,2026-03-28T00:22:21Z
GN6DCMJUHAZTINJZGY4XYMJXMVSWCNZWGZSTK,BAL301,2,183.69,resale,2026-03-28T00:22:21Z
GN6DCMBQHEZDCMJYHE4XYMJXMVSWCNTGMNSTK,BAL301,2,232.83,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYDKOJUGU3HYMJXMVSWCN3CGIZTK,BAL301,2,234.0,resale,2026-03-28T00:22:21Z
GN6DCMJVGM3DANJTGE2HYMJXMVSWMNRYMFQTK,BAL301,2,136.85,resale,2026-03-28T00:22:21Z
GN6DCMJTGA4TOMBWGYZXYMJXMVSWCNZTHBRTK,BAL301,2,129.71,resale,2026-03-28T00:22:21Z
GN6DCMJVGAYTENJXG4ZXYMJXMVSWKNRZMY4DK,BAL302,2,147.42,resale,2026-03-28T00:22:21Z
GN6DCMJVGEZTCOBUHEZXYMJXMVSWCNTGGJRDK,BAL302,2,157.95,resale,2026-03-28T00:22:21Z
GN6DCMJVGE3TINBWGEZXYMJXMVTDCYJQMIYDK,BAL302,2,83.3,resale,2026-03-28T00:22:21Z
GN6DCMJUGUYDQNBUGUZXYMJXMVTDCZRTGY2TK,BAL302,2,89.25,resale,2026-03-28T00:22:21Z
GN6DCMJUHA3TQMBQG4ZXYMJXMVTDAMJUGM3DK,BAL302,2,119.0,resale,2026-03-28T00:22:21Z
GN6DCMJVGA2TQMBRGAZXYMJXMVSWCNTGMY3DK,BAL302,2,162.63,resale,2026-03-28T00:22:21Z
GN6DCMJRHAZDANJTGUYXYMJXMVTDAYJXGVSTK,BAL303,3,89.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYDCMBZHE3HYMJXMVSWCOBRGJSDK,BAL303,2,141.61,resale,2026-03-28T00:22:21Z
GN6DCMJVGI4TQMJZGMYXYMJXMVSWCN3EGVSDK,BAL304,2,113.05,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DSNZQGEYHYMJXMVSWMNBWGVRTK,BAL304,2,78.54,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DMMBXHE2HYMJXMVTDANBTG5TDK,BAL304,2,83.3,resale,2026-03-28T00:22:21Z
GN6DCMJVGI3TGMBWHEYXYMJXMVTDAZLBHE4TK,BAL305,2,71.4,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TCNJQGM3HYMJXMVSWIYRZGMYDK,BAL305,2,94.01,resale,2026-03-28T00:22:21Z
GN6DCMJVGAZDKMRZGAYXYMJXMVTDAOJYMYZTK,BAL305,2,82.11,resale,2026-03-28T00:22:21Z
GN6DCMJVGAZDOMRUHAYXYMJXMVTDANBXGI2DK,BAL305,2,95.2,resale,2026-03-28T00:22:21Z
GN6DCMJVGIYTAOJSGM3XYMJXMVSWCNZWHA3DK,BAL305,1,163.8,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DGMRVGE2HYMJXMVSWCNZUG4ZTK,BAL305,1,119.0,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DGMJSGYZXYMJXMVSWCNZVGI3TK,BAL305,1,119.0,resale,2026-03-28T00:22:21Z
GN6DCMJUHE2TKNZTGU3XYMJXMVTDCYZQMYYTK,BAL305,4,47.6,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTCNBQGAYXYMJXMVSWCN3BGY4DK,BAL306,2,95.2,resale,2026-03-28T00:22:21Z
GN6DCMJVGE3TQNBQGU2XYMJXMVSWMY3FMU3DK,BAL306,2,83.3,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TANBYGY3XYMJXMVSWMNBRGJTDK,BAL307,2,82.11,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZTKMJWHE3HYMJXMVSWCNZWME4DK,BAL307,2,77.35,resale,2026-03-28T00:22:21Z
GN6DCMJUHEYDQNRYGYYHYMJXMVSWCNZZMUZDK,BAL308,2,128.52,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TOMZXGY4HYMJXMVTDAMBXMJRTK,BAL308,4,84.49,resale,2026-03-28T00:22:21Z
GN6DCMJVGA2DMNZRG42HYMJXMVSWCNZYGJRDK,BAL308,2,89.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZDKMZXGA2XYMJXMVSWCNZWGA3TK,BAL309,2,116.62,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZDQOJTGU2HYMJXMVSWCNZWME2TK,BAL309,2,119.0,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DIOBVGA2HYMJXMVSWCNZYGY2TK,BAL309,2,95.2,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTSMBXHA4XYMJXMVSWCNZXGU2TK,BAL310,2,101.15,resale,2026-03-28T00:22:21Z
GN6DCMBYG44TINJRGUZXYMJXMVSWCNZZMI4TK,BAL310,2,105.91,resale,2026-03-28T00:22:21Z
GN6DCMJVGM3DGMJVGIYHYMJXMVTDAYRRGRSDK,BAL310,1,97.58,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTOOJVGU4HYMJXMVSWCOBRGQYTK,BAL311,2,82.11,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZTSNRQGA3XYMJXMVSWCN3DHE3DK,BAL312,2,103.53,resale,2026-03-28T00:22:21Z
GN6DCMBUGYYTONJXG44HYMJXMVSWCNZXGFRTK,BAL313,2,128.52,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TMNRTGEYHYMJXMVSWIOLFGJSDK,BAL313,2,119.0,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTSMBXGMYXYMJXMVSWCN3BGZRTK,BAL313,2,83.3,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTQOBSGYZXYMJXMVSWCNZYMVSDK,BAL313,2,89.25,resale,2026-03-28T00:22:21Z
GN6DCMJUGU3TONBRGI2XYMJXMVTDAMZXGU3TK,BAL313,2,69.02,resale,2026-03-28T00:22:21Z
GN6DCMJVGIYDGNRQHE3XYMJXMVSWCN3EGRTDK,BAL314,2,117.81,resale,2026-03-28T00:22:21Z
GN6DCMBTHA2DOMJQGQYXYMJXMVSWCNZVMIYTK,BAL314,2,97.58,resale,2026-03-28T00:22:21Z
GN6DCMJVGI3DMMBRGE2XYMJXMVSWCN3DHA3DK,BAL314,2,130.9,resale,2026-03-28T00:22:21Z
GN6DCMJVGI3DGNBSGA4HYMJXMVSWKZTGMQ3DK,BAL314,2,102.34,resale,2026-03-28T00:22:21Z
GN6DCMJVGM3DEMZQGI4HYMJXMVTDANJZMFSDK,BAL315,2,86.87,resale,2026-03-28T00:22:21Z
GN6DCMJTGU3TOMJQGI2HYMJXMVSWCNZYGBTDK,BAL315,2,117.81,resale,2026-03-28T00:22:21Z
GN6DCMJVGEZDAOBXGY3HYMJXMVSWCNZYGMYDK,BAL315,2,157.95,resale,2026-03-28T00:22:21Z
GN6DSNJXG44TKOBRG56DCN3FMVQTMZBZMY2Q,BAL315,2,130.9,resale,2026-03-28T00:22:21Z
GN6DCMJTG4ZTKMZTGY2XYMJXMVSWCN3BGJSTK,BAL315,2,186.03,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TSNRTGY4HYMJXMVTDAM3FMM4TK,BAL315,2,89.25,resale,2026-03-28T00:22:21Z
GN6DCMJTGE2DGMZSGE2HYMJXMVSWCNZQHFSTK,BAL315,4,159.12,resale,2026-03-28T00:22:21Z
GN6DSNZQHEYTMNZRHB6DCN3FMVQTOYJSGA2Q,BAL315,2,136.85,resale,2026-03-28T00:22:21Z
GN6DCMJUGQ3TKNZUG42HYMJXMVSWCNZZMNRTK,BAL315,2,146.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZDENZYGU4XYMJXMVSWCNZYGVRTK,BAL316,2,119.0,resale,2026-03-28T00:22:21Z
GN6DCMJVGA3DANRVGM3HYMJXMVSWCNZVGAZDK,BAL316,4,175.5,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TENRWGE3HYMJXMVSWEODCG5QTK,BAL316,2,175.5,resale,2026-03-28T00:22:21Z
GN6DCMJVGE2TONZZGMYXYMJXMVSWCNZYMQZTK,BAL316,2,146.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYDGMRYHE4XYMJXMVSWCNZUGYZTK,BAL316,3,164.97,resale,2026-03-28T00:22:21Z
GN6DCMJVGIYDCMZRHAZHYMJXMVTDAMDDMRRDK,BAL317,2,142.8,resale,2026-03-28T00:22:21Z
GN6DSNRTGMZDINRWGR6DCN3FMVSDEMZQGY2Q,BAL317,2,95.2,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DCMZRGI3XYMJXMVSWCNZUG4ZDK,BAL317,2,116.62,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZDQNRXGYZXYMJXMVSWCNZWGA4TK,BAL317,2,169.65,resale,2026-03-28T00:22:21Z
GN6DCMBUGU2TSMBZGQ4HYMJXMVSWINLGG5STK,BAL317,2,113.05,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTSMZWGU4XYMJXMVSWMMRWHBRTK,BAL317,2,105.91,resale,2026-03-28T00:22:21Z
GN6DCMJVGE3DCMRTGM4HYMJXMVSWCNTGGJRTK,BAL319,2,142.8,resale,2026-03-28T00:22:21Z
GN6DCMJUGEYTQNRRGQZXYMJXMVSWKZDGHFSDK,BAL319,1,117.81,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DMMJZGIZHYMJXMVSWCN3EGZSTK,BAL320,2,89.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZTQMJSGM3HYMJXMVSWKYTEGYYTK,BAL321,1,119.0,resale,2026-03-28T00:22:21Z
GN6DCMJUHAYDSNZSG4YHYMJXMVTDANRUMQ3TK,BAL321,2,74.97,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TMMZUHA3HYMJXMVSWINZZGQ4TK,BAL322,2,78.54,resale,2026-03-28T00:22:21Z
GN6DCMJRHAZDGNZWGQZXYMJXMVSWCNZUGJSDK,BAL323,2,145.18,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZDOMRZGY3XYMJXMVSWKOLEHBSDK,BAL323,2,77.35,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZTGNRUHE3HYMJXMVSWCN3EGZQTK,BAL324,2,97.58,resale,2026-03-28T00:22:21Z
GN6DCMJVGAZDONZXHAYXYMJXMVSWCN3BGQ4TK,BAL325,1,117.81,resale,2026-03-28T00:22:21Z
GJ6DC7BXGA,BAL325,2,102.0,standard,2026-03-28T00:22:21Z
GN6DCMJUHE4DAMZTG43HYMJXMVSWEYRQMQ4DK,BAL325,2,77.35,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DMNJUHA4HYMJXMVSWMOBYGUZTK,BAL326,2,78.54,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTQNJRGI4XYMJXMVSWCN3CMM3TK,BAL326,2,80.92,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZTANZQGE3XYMJXMVSWCNZWME3TK,BAL327,2,89.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGI2TCNJUGMYHYMJXMVTDCMDFME2DK,BAL328,4,95.2,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZDQNBYGQZHYMJXMVSWCNZXGVRTK,BAL328,2,95.2,resale,2026-03-28T00:22:21Z
GN6DCMJTG4ZDOMBTHE3XYMJXMVSWCNZTHEZDK,BAL328,2,129.71,resale,2026-03-28T00:22:21Z
GN6DCMJUGAZTENRSGU4XYMJXMVSWCNZUGM3DK,BAL328,2,91.63,resale,2026-03-28T00:22:21Z
GN6DCMJRGYYTGMBSGA2HYMJXMVSWCNZVMIZTK,BAL329,2,146.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGA3TKMJTGY4XYMJXMVSWCNZYGJSDK,BAL329,3,130.9,resale,2026-03-28T00:22:21Z
GN6DCMJVGE3TCNRXGIZXYMJXMVSWKNZXGBQTK,BAL329,2,101.15,resale,2026-03-28T00:22:21Z
GN6DCMJUHAYDKNRQHEYXYMJXMVSWCNTGGE3DK,BAL329,2,152.1,resale,2026-03-28T00:22:21Z
GN6DCMJVGM3DCNJQG42HYMJXMVTDAN3CHE4DK,BAL329,2,71.4,resale,2026-03-28T00:22:21Z
GN6DCMJVGA3DMMRQGYZHYMJXMVTDCZBZGBSDK,BAL330,2,47.6,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2TKMZWGU4XYMJXMVSWGZTBMEYDK,BAL330,1,147.56,resale,2026-03-28T00:22:21Z
GN6DCMJVGMZTGNRZGM4HYMJXMVSWCNZTMM3TK,BAL330,2,136.85,resale,2026-03-28T00:22:21Z
GN6DCMJVGE2DSNRRGQ3HYMJXMVSWKNBVMU3TK,BAL330,4,95.2,resale,2026-03-28T00:22:21Z
GN6DCMBQGU3TMOBVGE2HYMJXMVTDAYZRGFSDK,LOGE1,2,290.16,resale,2026-03-28T00:22:21Z
GN6DCMJTGAYTGNBWHE4HYMJXMVSWCNZUMU2DK,LOGE1,2,420.03,resale,2026-03-28T00:22:21Z
GN6DCMJVGM3DGOJUGYZXYMJXMVTDEMBUGFRDK,LOGE1,2,177.84,resale,2026-03-28T00:22:21Z
GN6DCMJUGU2TANRWGM4XYMJXMVSWCNZUGM4TK,LOGE1,2,380.25,resale,2026-03-28T00:22:21Z
GN6DCMJVGMYTQNRWGAYHYMJXMVSWCNZSGRSTK,LOGE1,1,432.9,resale,2026-03-28T00:22:21Z
GN6DCMJVGM2DENRRGM3HYMJXMVSWCNZYGYZDK,LOGE1,4,351.0,resale,2026-03-28T00:22:21Z
GN6DCMJTGEZDQNBWGUYHYMJXMVSWCN3BGI4TK,LOGE1,2,468.0,resale,2026-03-28T00:22:21Z
GN6DCMJUG43TCMRTGMYHYMJXMVSWCN3BGM3DK,LOGE1,2,462.15,resale,2026-03-28T00:22:21Z
GN6DCMJTGE4DCOJQGU2XYMJXMVSWCNZZMJSDK,LOGE1,2,549.9,resale,2026-03-28T00:22:21Z
GN6DCMBTHA3TIMZXHE2XYMJXMVTDAOBUG5STK,LOGE1,2,228.15,resale,2026-03-28T00:22:21Z
GN6DCMBSHE3DGNRTGYZXYMJXMVSWCNZQHE3DK,LOGE1,2,369.72,resale,2026-03-28T00:22:21Z
GN6DCMJUHA4TCMJZGE2XYMJXMVTDANRUGFRTK,LOGE10,1,119.0,resale,2026-03-28T00:22:21Z
