offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGA3TSNBTGA3HYMJXMU4DQZDEHBQTK,1,2,631.62,resale,2026-03-25T23:41:57Z
GN6DCMJUHA3TSOJTGAYHYMJXMU4DQNRXHBRDK,1,4,1210.0,resale,2026-03-25T23:41:57Z
GN6DCMJUG43DANZZHA4XYMJXMUYDKNDCHA4DK,1,2,1089.0,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTQMJWG44HYMJXMU4GCMRWMY4DK,1,2,363.0,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTMNRSG43HYMJXMU4GCOLBGIZTK,1,2,300.08,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4DIOBQGU2XYMJXMU3TQNRTGI4DK,1,2,544.5,resale,2026-03-25T23:41:57Z
GN6DCMJUHAZDKMJVGA2HYMJXMU3TKNBYG5RTK,101,2,127.05,resale,2026-03-25T23:41:57Z
GJ6DC7BWGA,101,1,74.59,standard,2026-03-25T23:41:57Z
GN6DCMJVGAYTANJQHA2XYMJXMU2TCNBSMM2TK,101,1,101.64,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYDIMBSHE4HYMJXMU4DEY3DMFTDK,101,1,75.02,resale,2026-03-25T23:41:57Z
GN6DCMJVGAZTSMZZHA2HYMJXMU4GCNRQMRSTK,101,1,66.55,resale,2026-03-25T23:41:57Z
GN6DCMJVGAZDMMBQGA3XYMJXMU4DIYJWGE2TK,101,2,42.35,resale,2026-03-25T23:41:57Z
GJ6DC7BWGI,101,2,65.59,standard,2026-03-25T23:41:57Z
GN6DCMJUGM2TKNJZGM4HYMJXMU4DIYLDMMZTK,101,2,41.14,resale,2026-03-25T23:41:57Z
GN6DCMJUHA4DAMBWG42XYMJXMUYTIN3CGU2TK,101,2,83.49,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4TQOBTGAYXYMJXMU4DQNTEMMYTK,101,1,54.45,resale,2026-03-25T23:41:57Z
GN6DCMBYHAZDOMZVGA4HYMJXME4DONTBME2TK,101,2,134.31,resale,2026-03-25T23:41:57Z
GJ6DC7BVHE,102,2,91.96,standard,2026-03-25T23:41:57Z
GN6DCMJVGA4DQNJWG4YHYMJXMU4DIOLGMRTDK,102,2,39.93,resale,2026-03-25T23:41:57Z
GN6DCMJTG4YTCOJUGY2XYMJXMU3WGNTCGBTDK,102,2,53.24,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4TSNZRGE2XYMJXMU4DIYJXGRTDK,102,2,37.51,resale,2026-03-25T23:41:57Z
GN6DCMJUHE4DONRWGQ2HYMJXMU2DKYJWGBRDK,103,2,154.88,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTQNJTGE4HYMJXMU4GCNZSGM4DK,103,1,145.2,resale,2026-03-25T23:41:57Z
GN6DCMJVGA3DOMBWG4ZXYMJXMU3GMYRSGJRDK,103,2,302.5,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4TGMJUGEYHYMJXMU4DMM3BHA3TK,103,2,78.65,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTGOBYGQYXYMJXMU4DOOJXGRRDK,103,2,119.79,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4DEOBRGM3HYMJXMU3TONBSGQ4TK,103,1,90.75,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4DEOBRGM3HYMJXMU3TONBSGQ4TK,103,1,90.75,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYDSMRRHEYXYMJXMU4GCNZQGA4DK,103,1,61.71,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4DEOBRGQYXYMJXMU3TONBWHEYDK,103,1,90.75,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4DEOBRGQYXYMJXMU3TONBWHEYDK,103,1,90.75,resale,2026-03-25T23:41:57Z
GN6DCMBXG44DQOBRG42XYMJXME4DONRWMVRDK,103A,2,96.8,resale,2026-03-25T23:41:57Z
GN6DCMJRGM4TQNZXGY2XYMJXME4DONRWGE4TK,103A,2,91.96,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTOOBUGI3HYMJXMU4DSZJUG42DK,103A,2,17.0,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTEMBSGAYXYMJXMU4DSMZSMI4TK,103A,2,36.3,resale,2026-03-25T23:41:57Z
GN6DCMJRGM4TQNZXGY2XYMJXME4DONRWGE4TK,103A,1,91.96,resale,2026-03-25T23:41:57Z
GN6DCMJVGA4TGMJTG4YXYMJXMU3WGYRUGRSDK,103A,2,60.5,resale,2026-03-25T23:41:57Z
GN6DCMJUGQYTIMBRGI4HYMJXMU4DIYJYGVSDK,103A,2,33.88,resale,2026-03-25T23:41:57Z
GN6DCMJTGAZTAMBTGA4HYMJXME4DONTCG5SDK,103A,1,84.7,resale,2026-03-25T23:41:57Z
GJ6DC7BWGE,103A,1,66.59,standard,2026-03-25T23:41:57Z
GN6DCMJVGEYTGNZUG44HYMJXMU4DOOBWHE4DK,103A,2,58.08,resale,2026-03-25T23:41:57Z
GN6DCMJVGA3DINZVGY3XYMJXMU4DOMRYGBSTK,103A,2,28.0,resale,2026-03-25T23:41:57Z
GN6DCMBQGUYDEOBTGQYHYMJXME4DONTCGM4TK,103A,1,102.85,resale,2026-03-25T23:41:57Z
GN6DCMJTGU4TSNZRGYYXYMJXMNTGGYTFG42DK,104,2,320.65,resale,2026-03-25T23:41:57Z
GN6DCMJUGY4DCOBYGU2HYMJXMU2TMYZTMQ4DK,104,2,181.5,resale,2026-03-25T23:41:57Z
GN6DCMJVGAYTGNJVGE2XYMJXMU3WMZRVGFRTK,104,2,181.5,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTAOBTGUYHYMJXMU4GCOJWMM4TK,104,2,62.92,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTGOBZHE4HYMJXMU4DOOJTHBRTK,104,2,133.1,resale,2026-03-25T23:41:57Z
GN6DCMJUGAZDCNZSGU3XYMJXMNTGGYJXMVSDK,104,2,280.72,resale,2026-03-25T23:41:57Z
GJ6DC7BVGI,104,4,153.98,standard,2026-03-25T23:41:57Z
GN6DCMJVGAYTQNJYGY3XYMJXMU4DAM3CHA4DK,104,1,163.35,resale,2026-03-25T23:41:57Z
GN6DCMJVGEYTIOBVGA3HYMJXMU4DQMLEG5TDK,105,2,297.66,resale,2026-03-25T23:41:57Z
GN6DCMJUHE4DGNZUHAYHYMJXMU2DGYZZHA3TK,105,4,269.83,resale,2026-03-25T23:41:57Z
GJ6DC7BUHA,105,1,225.98,standard,2026-03-25T23:41:57Z
GN6DCMJVGA4TCNBZGE3XYMJXMU4DSMTDMVTDK,105,2,151.25,resale,2026-03-25T23:41:57Z
GN6DCMJUGU4DIOBSGI2XYMJXMU4GCODDMY4DK,105,2,77.44,resale,2026-03-25T23:41:57Z
