offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUGUYTAMJRGY4XYMJXMQ3DIOBRMMYDK,101,2,121.16,resale,2026-03-19T22:17:44Z
GN6DCMJUGU2TCMBYGYZXYMJXMQ3DIN3CHA2DK,101,2,203.88,resale,2026-03-19T22:17:44Z
GN6DCMJRHA2DEOJUGA4XYMJXME2WKM3BGZSDK,101,2,128.15,resale,2026-03-19T22:17:44Z
GJ6DK7BWGY,101,1,100.0,standard,2026-03-19T22:17:44Z
GN6DCMJUGQ4TKNZWHEYHYMJXMQZWMOJSMU4TK,101,1,233.0,resale,2026-03-19T22:17:44Z
GN6DCMJTGQYDGMBWGU3HYMJXMQ3DGYLDHE2DK,101,2,99.03,resale,2026-03-19T22:17:44Z
GN6DCMJTGM2TCOJYHE2XYMJXMNTGGZRVMM2DK,101,2,104.85,resale,2026-03-19T22:17:44Z
GN6DCMJUGU3TKNRVG4ZHYMJXMQ3TANZUMQ3DK,102,3,153.78,resale,2026-03-19T22:17:44Z
GN6DCMJQHEZTKMBRGQYHYMJXMQ3TEMJVG5STK,102,3,116.5,resale,2026-03-19T22:17:44Z
GJ6DK7BWGU,102,7,106.0,standard,2026-03-19T22:17:44Z
GN6DCMJQG42TCNBVGU4XYMJXME2WKM3DGY4DK,102,2,174.75,resale,2026-03-19T22:17:44Z
GN6DCMJUGU2DGNZRGEYXYMJXMQ3DIN3GMM4TK,102,2,114.17,resale,2026-03-19T22:17:44Z
GN6DCMJUGU3TANZRHA2XYMJXMQ3GKMRSHEYDK,103,2,198.05,resale,2026-03-19T22:17:44Z
GN6DCMJUGMYDSNBVGEZXYMJXMQ3GMZTCMM4DK,103,1,94.37,resale,2026-03-19T22:17:44Z
GN6DCMJTHAZDIMRRGM4XYMJXMI2GEMZYMI2DK,103,2,151.45,resale,2026-03-19T22:17:44Z
GN6DCMJUGUYTSNBXGU2XYMJXMQ3TCN3EGVSDK,103,2,142.13,resale,2026-03-19T22:17:44Z
GJ6DK7BWGU,103,2,106.0,standard,2026-03-19T22:17:44Z
GN6DCMJUGU3TGMJRGYYHYMJXMQ3GMNRUMRSTK,103,2,151.45,resale,2026-03-19T22:17:44Z
GN6DCMJTGM4DOOJWGA2HYMJXME2WKNBWGM3DK,103,2,163.1,resale,2026-03-19T22:17:44Z
