offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQ3TSOBWGMZHYMJXMYZWCNRWGE4TK,101,2,233.0,resale,2026-03-29T22:52:11Z
GN6DCMJTGQYDGMRVGQ2HYMJXMVSTMYZYGQZTK,101,2,231.84,resale,2026-03-29T22:52:11Z
GN6DCMJVGQYDCNZVGQYHYMJXMYYDOZLEHE3DK,101,2,276.11,resale,2026-03-29T22:52:11Z
GN6DCMJVGQYDCNZVGQYXYMJXMYYDOZRTGNQTK,101,2,256.3,resale,2026-03-29T22:52:11Z
GJ6DK7BWGU,102,4,288.3,standard,2026-03-29T22:52:11Z
GJ6DK7BWG4,102,1,279.22,standard,2026-03-29T22:52:11Z
GJ6DK7BWG4,103,2,279.22,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ4TKOJUHAYXYMJXMYZWKYZQGUZDK,103,2,267.95,resale,2026-03-29T22:52:11Z
GN6DCMJVGAYDMOBYGMYXYMJXMVSTMYZWGZSDK,103,2,325.04,resale,2026-03-29T22:52:11Z
GN6DCMJVGQ4TQMRUHA3HYMJXMYZWKZDEGBSDK,103,2,267.95,resale,2026-03-29T22:52:11Z
GN6DCMJVGI2TKNBQGU2XYMJXMVSTMY3FHAZDK,103,2,276.11,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDMNRVGQYXYMJXMY2DGOJYMMYDK,104,2,476.49,resale,2026-03-29T22:52:11Z
GJ6DK7BVHA,104,2,547.53,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ3TGMJWG43XYMJXMY2DGNTEGY3TK,104,1,320.38,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDGNBRGAZHYMJXMY2DCY3EMJSTK,105,2,692.01,resale,2026-03-29T22:52:11Z
GN6DCMJVGQ4TEMZUG42XYMJXMY2DIZLCGI4DK,105,1,1165.0,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDIOJZGUYHYMJXMY2DIZRTGJSDK,106,1,798.03,resale,2026-03-29T22:52:11Z
GN6DCMJVGQYDCMZZHEZXYMJXMYYDOYRZHFRTK,106,1,407.75,resale,2026-03-29T22:52:11Z
GJ6DK7BWGU,107,3,288.3,standard,2026-03-29T22:52:11Z
GN6DCMJVGE4TQOJWGA2HYMJXMYZTMOJWGI2DK,107,2,308.73,resale,2026-03-29T22:52:11Z
GJ6DK7BWG4,108,2,279.22,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ2DOMJUGUYXYMJXMY2DCMDCGIZTK,108,2,230.67,resale,2026-03-29T22:52:11Z
GJ6DK7BWGY,109,3,288.3,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ4DKOJTGY3XYMJXMYZTQNLGMQYDK,109,5,291.25,resale,2026-03-29T22:52:11Z
GJ6DK7BWG4,109,3,279.22,standard,2026-03-29T22:52:11Z
GN6DCMJVGE4TINJQGE3XYMJXMVSTMZBQGAYDK,109,4,340.18,resale,2026-03-29T22:52:11Z
GJ6DK7BWG4,110,8,279.22,standard,2026-03-29T22:52:11Z
GJ6DK7BWGQ,112,1,391.09,standard,2026-03-29T22:52:11Z
GJ6DK7BWGU,112,2,288.3,standard,2026-03-29T22:52:11Z
GN6DCMJVGUYDINJXHE3XYMJXMY2DENZUGZTDK,112,4,222.52,resale,2026-03-29T22:52:11Z
GN6DCMJVGA4TKNJQGAZXYMJXMY2DGNTCMQ3TK,113,2,489.3,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDGMRTHE3HYMJXMY2DEYJZHBTDK,113,2,291.25,resale,2026-03-29T22:52:11Z
GJ6DK7BWGE,113,2,573.6,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ4TONBQHEYXYMJXMY2DENRTG44TK,114,2,431.05,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDAOBWGQYHYMJXMY2DEOJZGU2TK,114,2,413.58,resale,2026-03-29T22:52:11Z
GN6DCMJUHA4DKNRTGQYXYMJXMVSTMYZZGY2DK,116,4,305.23,resale,2026-03-29T22:52:11Z
GJ6DK7BWGU,116,4,288.3,standard,2026-03-29T22:52:11Z
GN6DCMJVGQZTSMRQGI3XYMJXMYYWEODBG5STK,116,2,270.28,resale,2026-03-29T22:52:11Z
GJ6DK7BWG4,116,1,279.22,standard,2026-03-29T22:52:11Z
GN6DCMJVGUYDCMZQGY4HYMJXMY2DAOJYGBSDK,116,3,369.31,resale,2026-03-29T22:52:11Z
GJ6DK7BWGU,117,5,288.3,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ4DCOBSGI2XYMJXMY2DANZWMUYTK,117,1,259.8,resale,2026-03-29T22:52:11Z
GJ6DK7BWG4,117,1,279.22,standard,2026-03-29T22:52:11Z
GJ6DK7BWGQ,118,2,391.09,standard,2026-03-29T22:52:11Z
GN6DCMJVGQZDIMZYGAZHYMJXMYYTGMTCHFRTK,118,2,815.5,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDKNRYG4YXYMJXMY2DGMBWGA2TK,202,2,85.05,resale,2026-03-29T22:52:11Z
GJ6DK7BXGQ,203,20,92.78,standard,2026-03-29T22:52:11Z
GJ6DK7BXGI,204,3,108.58,standard,2026-03-29T22:52:11Z
GJ6DK7BXGQ,204,2,92.78,standard,2026-03-29T22:52:11Z
GJ6DK7BXGQ,205,2,92.78,standard,2026-03-29T22:52:11Z
GN6DCMJVGUYDSMZRGI4XYMJXMY2DKMBQMMYDK,205,2,52.43,resale,2026-03-29T22:52:11Z
GJ6DK7BXGQ,206,21,92.78,standard,2026-03-29T22:52:11Z
GJ6DK7BXGU,206,15,82.67,standard,2026-03-29T22:52:11Z
GJ6DK7BXGA,207,2,149.76,standard,2026-03-29T22:52:11Z
GJ6DK7BXGI,207,4,108.58,standard,2026-03-29T22:52:11Z
GN6DCMJUG43DENRVGYYHYMJXMVSTMY3GMYZDK,208,2,174.75,resale,2026-03-29T22:52:11Z
GJ6DK7BXGE,209,4,134.39,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ4DOMRSGMYHYMJXMYZWMNTBMFQTK,209,2,121.16,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDCOJXHAZHYMJXMY2DCMDFMFRTK,209,2,86.21,resale,2026-03-29T22:52:11Z
GJ6DK7BXGM,209,7,108.58,standard,2026-03-29T22:52:11Z
GJ6DK7BXGI,210,2,108.58,standard,2026-03-29T22:52:11Z
GJ6DK7BXGI,211,2,108.58,standard,2026-03-29T22:52:11Z
GJ6DK7BXGQ,211,12,92.78,standard,2026-03-29T22:52:11Z
GJ6DK7BXGU,211,3,82.67,standard,2026-03-29T22:52:11Z
GN6DCMJVGUYDIMZVGEYXYMJXMY2DENJZGIYTK,212,1,128.15,resale,2026-03-29T22:52:11Z
GJ6DK7BXGU,212,6,82.67,standard,2026-03-29T22:52:11Z
GJ6DK7BXGI,213,3,108.58,standard,2026-03-29T22:52:11Z
