offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DK7BWGY,101,1,288.3,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ3TSOBWGMZHYMJXMYZWCNRWGE4TK,101,2,233.0,resale,2026-03-29T21:31:46Z
GN6DCMJTGQYDGMRVGQ2HYMJXMVSTMYZYGQZTK,101,2,231.84,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDCNZVGQYHYMJXMYYDOZLEHE3DK,101,2,276.11,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDCNZVGQYXYMJXMYYDOZRTGNQTK,101,2,256.3,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDIMJWGUYHYMJXMY2DENZWMU4DK,102,2,235.33,resale,2026-03-29T21:31:46Z
GJ6DK7BWGU,102,4,288.3,standard,2026-03-29T21:31:46Z
GJ6DK7BWG4,102,1,279.22,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ4TINJWGEZHYMJXMY2DEMDEMIZTK,102,2,226.01,resale,2026-03-29T21:31:46Z
GJ6DK7BWG4,103,2,279.22,standard,2026-03-29T21:31:46Z
GJ6DK7BWGU,103,2,288.3,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ4TKOJUHAYXYMJXMYZWKYZQGUZDK,103,2,267.95,resale,2026-03-29T21:31:46Z
GN6DCMJVGAYDMOBYGMYXYMJXMVSTMYZWGZSDK,103,2,325.04,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TQMRUHA3HYMJXMYZWKZDEGBSDK,103,2,267.95,resale,2026-03-29T21:31:46Z
GN6DCMJVGI2TKNBQGU2XYMJXMVSTMY3FHAZDK,103,2,276.11,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4DONRTGA4HYMJXMY2DEMZZG43TK,103,2,203.88,resale,2026-03-29T21:31:46Z
GJ6DK7BVHA,104,4,547.53,standard,2026-03-29T21:31:46Z
GN6DCMJVGM2DGNJUHE4XYMJXMY2DCMBWGAYDK,104,2,316.88,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ3TGMJWG43XYMJXMYZWENRRMYYDK,104,1,320.38,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDGNBRGAZHYMJXMY2DCY3EMJSTK,105,2,692.01,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TEMZUG42XYMJXMY2DAYJYMRRDK,105,1,1165.0,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4DEOBYGIZHYMJXMYZTMOJYGA2TK,106,1,703.66,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDCMZZHEZXYMJXMYYDOYRZHFRTK,106,1,407.75,resale,2026-03-29T21:31:46Z
GN6DCMJUG42DONZQGQYHYMJXMVSTMY3BMNRDK,107,2,371.64,resale,2026-03-29T21:31:46Z
GN6DCMJVGE4TQOJWGA2HYMJXMYZTMOJWGI2DK,107,2,308.73,resale,2026-03-29T21:31:46Z
GJ6DK7BWGU,107,1,288.3,standard,2026-03-29T21:31:46Z
GJ6DK7BWG4,108,2,279.22,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ2DOMJUGUYXYMJXMY2DCMDCGIZTK,108,2,226.01,resale,2026-03-29T21:31:46Z
GJ6DK7BWG4,109,6,279.22,standard,2026-03-29T21:31:46Z
GJ6DK7BWGY,109,3,288.3,standard,2026-03-29T21:31:46Z
GN6DCMJVGUYDCOJXGUYHYMJXMY2DCZLFGMZTK,109,2,237.66,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4DKOJTGY3XYMJXMYZTQNLGMQYDK,109,5,291.25,resale,2026-03-29T21:31:46Z
GN6DCMJVGE4TINJQGE3XYMJXMVSTMZBQGAYDK,109,4,340.18,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TGOJWGAYHYMJXMYZWEYTGMM2TK,110,2,457.85,resale,2026-03-29T21:31:46Z
GJ6DK7BWG4,110,4,279.22,standard,2026-03-29T21:31:46Z
GJ6DK7BUHA,112,2,3096.53,standard,2026-03-29T21:31:46Z
GJ6DK7BWGQ,112,1,391.09,standard,2026-03-29T21:31:46Z
GJ6DK7BWGU,112,3,288.3,standard,2026-03-29T21:31:46Z
GN6DCMJVGUYDINJXHE3XYMJXMY2DENZUGZTDK,112,4,222.52,resale,2026-03-29T21:31:46Z
GN6DCMJVGA4TKNJQGAZXYMJXMYYWCMBYGE3DK,113,2,1135.88,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDGMRTHE3HYMJXMY2DENLDGAYDK,113,3,291.25,resale,2026-03-29T21:31:46Z
GJ6DK7BWGE,113,2,573.6,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ4TKOBTGI2XYMJXMY2DCZDEGUZTK,114,2,436.88,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TONBQHEYXYMJXMY2DENRTG44TK,114,2,431.05,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDAOBWGQYHYMJXMY2DEOJZGU2TK,114,2,,resale,2026-03-29T21:31:46Z
GN6DCMJUHA4DKNRTGQYXYMJXMVSTMYZZGY2DK,116,4,305.23,resale,2026-03-29T21:31:46Z
