offer_id,section,quantity,price_usd,selection_type,scraped_at
HB6DSNJUHE4DMNJZGV6DCN3GG4ZDEYJZMI2Q,117,2,11.0,resale,2026-03-31T00:00:00Z
HB6DSNJUHE4DMNJWGZ6DCN3GG4ZDENBYGI2Q,139,2,10.0,resale,2026-03-31T00:00:00Z
HB6DSNJUHE4DMNRWGZ6DCN3GG4ZDGMZXMI2Q,139,2,10.0,resale,2026-03-31T00:00:00Z
HB6DSNJUHE4DMNJUHF6DCN3GG4ZDEODFMY2Q,140,2,11.0,resale,2026-03-31T00:00:00Z
HB6DSNJUHE4DMNRRHF6DCN3GG4ZDEZBXME2Q,139,2,11.0,resale,2026-03-31T00:00:00Z
HB6DCMJVGMYTKNZZGQYHYMJXMY3GKYZSME2TK,139,3,16.0,resale,2026-03-31T00:00:00Z
HB6DSNJUHE4DMNRWGN6DCN3GG4ZDGYJZMM2Q,140,2,10.0,resale,2026-03-31T00:00:00Z
HB6DSNJUHE4DMNRQHB6DCN3GG4ZDEMZZGU2Q,101,2,10.0,resale,2026-03-31T00:00:00Z
HB6DSNJUHE4DMNJZGF6DCN3GG4ZDENZYMM2Q,138,2,11.0,resale,2026-03-31T00:00:00Z
HB6DSNJXHEYTMOJRGR6DCN3GG4ZDEOJTMY2Q,101,4,11.0,resale,2026-03-31T00:00:00Z
HB6DSNRVG42TENBZHF6DCN3GG4YGEMDEGM2Q,110,3,18.0,resale,2026-03-31T00:00:00Z
HB6DCMBSHEZDEOJUG4ZXYMJXMY3GMZRXHE3DK,11,2,50.82,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TIMZQGYYHYMJXMY3TENZVMI3DK,139,2,27.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TIMZQG4YXYMJXMY3GKYZRGBRTK,123,2,29.04,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TIMZRGI3XYMJXMY3GKYZTGQ4DK,130,2,21.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRYGM3XYMJXMY3GKYZUMM4TK,140,4,17.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRYGQ2XYMJXMY3GKYZQMJQTK,16,2,73.81,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRYHA3HYMJXMY3GKYTBGQ2DK,9,2,65.34,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRXHA2HYMJXMY3GKYZTGA2TK,116,4,16.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRYHE2XYMJXMY3TAODCGJSTK,101,2,17.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZGAYXYMJXMY3GKYRTMQZTK,124,3,17.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRYHEYXYMJXMY3TAYZZMNRTK,128,3,19.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZGM2HYMJXMY3GKYZWGU3DK,133,2,22.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZG44XYMJXMY3TAOBVHE4DK,22,2,53.24,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZGIYXYMJXMY3GKYZWMU3TK,113,4,41.14,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZGYYHYMJXMY3TEODBGI2TK,105,4,26.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZGY2HYMJXMY3GKYTDHBTDK,125,2,16.0,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZHEZXYMJXMY3GKYTEMIYTK,8,2,83.49,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZGM4HYMJXMY3GKYRQMY4DK,12,2,78.65,resale,2026-03-31T00:00:00Z
HB6DCMBTHA4TONRZG43HYMJXMY3GKYRTGIYDK,118,2,15.0,resale,2026-03-31T00:00:00Z
HB6DCMBXG4ZTCNBYHEYXYMJXMY3TEOBZMY2TK,129,2,33.88,resale,2026-03-31T00:00:00Z
HB6DCMBZGQYTSNRUGMYXYMJXMY3GKYTGGU4TK,137,2,17.0,resale,2026-03-31T00:00:00Z
HB6DCMJRGM4TKMZYGQZXYMJXMY3GKYTDGU4TK,116,2,22.0,resale,2026-03-31T00:00:00Z
HB6DCMJRGU3DQMJSGYYHYMJXMY3GKYTBMEYDK,116,2,21.0,resale,2026-03-31T00:00:00Z
HB6DCMJRHAZTINBSGMZHYMJXMY3GKYZQGFTDK,132,2,26.0,resale,2026-03-31T00:00:00Z
HB6DCMJRHA3DMOJRGU4XYMJXMY3GKYZWMYZTK,121,2,26.0,resale,2026-03-31T00:00:00Z
HB6DCMJSGA4TSMBXGAYXYMJXMY3TENZVHE2TK,119,2,30.25,resale,2026-03-31T00:00:00Z
HB6DCMJSGMZTQOBUGYYHYMJXMY3GKYTGHAZDK,127,2,16.0,resale,2026-03-31T00:00:00Z
HB6DCMJSGQ2DCMJVGA4HYMJXMY3GKYZRMFRTK,19,2,98.01,resale,2026-03-31T00:00:00Z
