offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUGM2DAOJVGEYXYMJXMQ3GMZJUMQ2DK,101,2,59.29,resale,2026-03-20T01:17:44Z
GN6DCMJUGU4DIMZSGMZXYMJXMQ3TQNTFGIYTK,101,2,151.25,resale,2026-03-20T01:17:44Z
GN6DCMJTHAZDGMRVGIYHYMJXMQ3GMZJXHBSDK,101,4,58.08,resale,2026-03-20T01:17:44Z
GN6DCMJUGU3TONZSGE4HYMJXMQ3TCZRYGMZTK,101,2,78.65,resale,2026-03-20T01:17:44Z
GN6DCMJUGU4DGNZUGQYHYMJXMQ3TKZRWGQYDK,101,2,77.44,resale,2026-03-20T01:17:44Z
GN6DCMJRGI2TEMBRGIYXYMJXME2WENBVGJSTK,101,4,108.9,resale,2026-03-20T01:17:44Z
GN6DCMJTGIYTOMBXGMYHYMJXMQ3TOY3GG5QTK,101,2,33.88,resale,2026-03-20T01:17:44Z
GN6DCMJUGM4TOOBTGAZXYMJXMQYDEMTBMJSDK,101,2,60.5,resale,2026-03-20T01:17:44Z
GN6DCMJUGU3TOMJWGY3XYMJXMQ3TIN3CGIYDK,101,4,36.3,resale,2026-03-20T01:17:44Z
GN6DCMJTHA3DEMJWGQ3XYMJXMQZGIZLEGI3TK,101,2,54.45,resale,2026-03-20T01:17:44Z
GN6DCMJUGU3TQMBQGM3XYMJXMQ3TEMJRGFTDK,101,2,36.3,resale,2026-03-20T01:17:44Z
GN6DCMJUGI4TGOBWG42XYMJXMNRGGMDDGQZTK,101,2,60.5,resale,2026-03-20T01:17:44Z
GN6DCMJUGU4DOOBYGQ2XYMJXMQ3TOZDBGUYDK,102,4,42.35,resale,2026-03-20T01:17:44Z
GN6DCMJUGE3DKOJUGI4XYMJXMQ3GGYJXGI2DK,103,2,60.5,resale,2026-03-20T01:17:44Z
GN6DSNJUGY4DOMZVGF6DCN3EGZTGKYLCGU2Q,103,2,62.92,resale,2026-03-20T01:17:44Z
GN6DCMJTGE2DKNZWGE3HYMJXMQ3GMZLBMNQTK,103,2,58.08,resale,2026-03-20T01:17:44Z
GN6DCMJTG44DINBSG44HYMJXMQ2WCNZUMM2DK,103,2,58.08,resale,2026-03-20T01:17:44Z
GN6DCMJUGU3TIMBVGEYHYMJXMQ3TGZRUMRRDK,103,4,42.35,resale,2026-03-20T01:17:44Z
GN6DCMJUGU4DIMRZGAZHYMJXMQ3TMMTCMYZDK,103,2,36.3,resale,2026-03-20T01:17:44Z
GN6DCMJUGU2TONZZGUYXYMJXMQ3GMZJWMYYTK,103,6,45.98,resale,2026-03-20T01:17:44Z
GN6DCMJUGU4DINRUGMZXYMJXMQ3TMNZSHA4TK,104,2,181.5,resale,2026-03-20T01:17:44Z
GN6DSNJUGY4TKMJYGR6DCN3EGZTGKNLCGI2Q,104,2,64.13,resale,2026-03-20T01:17:44Z
GN6DCMBRHEYTOMBQGIYHYMJXME2WENBWHBSDK,104,2,302.5,resale,2026-03-20T01:17:44Z
GN6DCMJTGEZDCNJTGQ2XYMJXMQ3DINJUMNSTK,104,2,61.71,resale,2026-03-20T01:17:44Z
GN6DCMJUGI3DQNBQHAZHYMJXMNTGIMZSGE3TK,104,2,90.75,resale,2026-03-20T01:17:44Z
GN6DCMJUGU3DINBSGI3XYMJXMQ3GGOBYMU3TK,104,2,60.5,resale,2026-03-20T01:17:44Z
GN6DCMJUGU4DKNJXGU2XYMJXMQ3TOY3CHE3TK,104,2,47.19,resale,2026-03-20T01:17:44Z
GN6DCMJUGUYDCMJQGIYXYMJXMQ3DIMLEME2TK,105,2,36.3,resale,2026-03-20T01:17:44Z
GN6DSNJUGY4DMNZYHF6DCN3EGZTGKZDBHE2Q,106,2,127.05,resale,2026-03-20T01:17:44Z
GN6DCMBSG43TKMJSGY3XYMJXMQ3GMMZYGFRDK,106,2,242.0,resale,2026-03-20T01:17:44Z
GN6DCMJUGU3TGNRWHAZHYMJXMQ3TEOLCGU2TK,106,4,107.69,resale,2026-03-20T01:17:44Z
GN6DCMJUGU4DEMZZGI2XYMJXMQ3TIZRQGY3DK,106,2,78.65,resale,2026-03-20T01:17:44Z
GN6DCMJUGI3TSOBYGQ2XYMJXMQ3DAMDFHA4DK,106,2,64.13,resale,2026-03-20T01:17:44Z
GN6DCMJTHAZTINRRGMYHYMJXMQ3GMZJUGA2DK,106,6,68.97,resale,2026-03-20T01:17:44Z
GN6DCMJUGM3DKOJZGUYHYMJXMNSTQYRYHEYDK,106,2,96.8,resale,2026-03-20T01:17:44Z
