offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BWGA,101,2,233.56,standard,2026-03-30T23:30:00Z
GN6DCMJVGU3TSMZYHAYHYMJXMY3TAMRVHBTDK,101,2,208.25,resale,2026-03-30T23:30:00Z
GJ6DC7BWGQ,101,4,120.27,standard,2026-03-30T23:30:00Z
GN6DCMJVGU4DGNJXGU3XYMJXMY3TEYTCGNTDK,101,1,83.3,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3DMNRQGMZHYMJXMY3TEYJVGI4DK,102,2,98.77,resale,2026-03-30T23:30:00Z
GN6DCMJVGUYTIOBQG42HYMJXMY2DQYLBGZRTK,102,2,138.04,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3DKNZSGU3XYMJXMY3DSMZRGFRTK,102,1,160.65,resale,2026-03-30T23:30:00Z
GN6DCMJSHE3TENZXGAZXYMJXMY3DSZLBGQ4DK,102,2,148.75,resale,2026-03-30T23:30:00Z
GJ6DC7BWGM,102,9,130.79,standard,2026-03-30T23:30:00Z
GN6DCMJVGUYTENRRGUZXYMJXMY2DOMRSGM2DK,102,2,143.99,resale,2026-03-30T23:30:00Z
GN6DCMBQHE3TCNRQGQZXYMJXME3WKYLGGFRDK,102,1,180.88,resale,2026-03-30T23:30:00Z
GN6DCMJVGUYDSNZVGU3XYMJXMY3TEMRQHBRDK,102,2,94.01,resale,2026-03-30T23:30:00Z
GN6DCMJVGU4DINZRGI2HYMJXMY3TEYLDGQYDK,102,2,71.4,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TMNBSGYZHYMJXMY3DGYRQGZRTK,103,2,159.46,resale,2026-03-30T23:30:00Z
GJ6DC7BWGI,103,35,149.49,standard,2026-03-30T23:30:00Z
GN6DCMJVGU4DIMZUG44XYMJXMY3TGMBZMUZDK,103,2,,resale,2026-03-30T23:30:00Z
GN6DCMJVGUZTOOBRHE3HYMJXMY3DOODEMZQTK,103,1,178.5,resale,2026-03-30T23:30:00Z
GJ6DC7BWGE,104,16,185.69,standard,2026-03-30T23:30:00Z
GN6DCMJTGI3TMNRZGUZXYMJXME3WKOLDMYZTK,104,2,160.65,resale,2026-03-30T23:30:00Z
GN6DCMJVGU4DCNZRGI2HYMJXMY3TCMTEMNRDK,104,4,116.62,resale,2026-03-30T23:30:00Z
GJ6DC7BVGM,105,6,739.2,standard,2026-03-30T23:30:00Z
GJ6DC7BVGU,105,1,325.82,standard,2026-03-30T23:30:00Z
GN6DCMBRGA2DGOBYGE4HYMJXMYZDAZDGMEZTK,105,4,261.8,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TKNBQGUYXYMJXMY3GKZBQMVTDK,105,2,184.45,resale,2026-03-30T23:30:00Z
GN6DCMJVGU4DEOBXGI4XYMJXMY3TCY3CGQYTK,105,2,238.0,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TKMBVGAZHYMJXMY3DEZJSMUZTK,105,2,208.25,resale,2026-03-30T23:30:00Z
GJ6DC7BVHE,105,15,233.56,standard,2026-03-30T23:30:00Z
GN6DCMJVGEYDGMBVGU2HYMJXMY3DEMRUGJSTK,105,2,196.35,resale,2026-03-30T23:30:00Z
GN6DCMJVGU4DAMZWG42XYMJXMY3TEODDMQ2DK,106,2,216.58,resale,2026-03-30T23:30:00Z
GN6DCMJQGUZDGMJSGY4XYMJXMY2TSZTGGRSDK,106,2,267.75,resale,2026-03-30T23:30:00Z
GN6DCMJVGQ4TSNZTHEZHYMJXMY3TCNJVGIZDK,106,2,296.31,resale,2026-03-30T23:30:00Z
GJ6DC7BVGY,106,2,325.82,standard,2026-03-30T23:30:00Z
GN6DCMJVGU4DIMZUGE4XYMJXMY3TEOLEMVRTK,106,2,153.51,resale,2026-03-30T23:30:00Z
GN6DCMJVGUYTIOJYG42HYMJXMY2WCYLDHBSTK,106,2,208.25,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3TKNZUGA4HYMJXMY3TENTEGZQTK,106,4,240.38,resale,2026-03-30T23:30:00Z
GJ6DC7BVG4,106,2,279.11,standard,2026-03-30T23:30:00Z
GN6DCMJSGI2TQOBQG4YXYMJXMVRDEYJQGYZDK,106,2,357.0,resale,2026-03-30T23:30:00Z
GN6DCMJTHEYTSMBWGY3XYMJXMNTDSZLGGAYDK,107,2,605.71,resale,2026-03-30T23:30:00Z
GN6DCMJVGU4DCNZWG43XYMJXMY3TCMZTGVSTK,107,4,261.8,resale,2026-03-30T23:30:00Z
GJ6DC7BVGM,107,1,739.2,standard,2026-03-30T23:30:00Z
GN6DCMJVGU2TQNZRHEYXYMJXMY3DKMRRMVTDK,107,2,416.5,resale,2026-03-30T23:30:00Z
GJ6DC7BVGY,107,2,325.82,standard,2026-03-30T23:30:00Z
GN6DCMJTGE4DENZYHE4XYMJXMYZTINLFHBQTK,107,2,267.75,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2DQMRRGAZHYMJXMY3TGMDBGZTDK,107,2,208.25,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TGMJQG43XYMJXMY3DCOBWHFSDK,107,3,327.25,resale,2026-03-30T23:30:00Z
GN6DCMJVGI3TSMBYGYYHYMJXMY3GIN3BGI2TK,107,2,172.55,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3TAMBQGA3HYMJXMY3GEOLDMYYDK,107,1,285.6,resale,2026-03-30T23:30:00Z
GJ6DC7BVG4,107,6,279.11,standard,2026-03-30T23:30:00Z
GN6DCMJVGU4DGMJXHE2HYMJXMY3TCZRRME3DK,107,2,172.55,resale,2026-03-30T23:30:00Z
GJ6DC7BVG4,107,2,279.11,standard,2026-03-30T23:30:00Z
GJ6DC7BVGI,108,2,980.95,standard,2026-03-30T23:30:00Z
GN6DCMJVGU4DKMJXG43HYMJXMY3TEZTDMFRDK,108,1,297.5,resale,2026-03-30T23:30:00Z
GJ6DC7BVGU,108,2,325.82,standard,2026-03-30T23:30:00Z
GN6DCMJVGU4DCMBSGE3XYMJXMY3TAZDBHAYTK,108,4,142.8,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3DQOBRGIZXYMJXMY3GCZJVGEYTK,108,2,178.5,resale,2026-03-30T23:30:00Z
GN6DCMBXGA4DSNBSHEZXYMJXMY2WKZRQGU4DK,108,2,179.69,resale,2026-03-30T23:30:00Z
GJ6DC7BVHE,108,9,233.56,standard,2026-03-30T23:30:00Z
GN6DCMJVGU2TCMZUGMYXYMJXMY3GMMRZGAZDK,108,2,145.18,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TMNBQGM3HYMJXMY3TEOJSMQYTK,108,2,163.03,resale,2026-03-30T23:30:00Z
GJ6DC7BWGE,109,15,185.69,standard,2026-03-30T23:30:00Z
GN6DSOJXGYZTOOBYGV6DCN3GG4ZTAZBTHA2Q,109,2,,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3TKNJUGA2XYMJXMY3TENJVHA2TK,109,2,119.0,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3TKNRVHE3HYMJXMY3TENBTMQ3DK,109,2,119.0,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3TKMRXG4YXYMJXMY3GIZRUMUZDK,109,4,136.85,resale,2026-03-30T23:30:00Z
GN6DCMJVGAYTKNRWGUZHYMJXMY3TEMBTGFRDK,109,2,94.01,resale,2026-03-30T23:30:00Z
GJ6DC7BWGI,110,16,149.49,standard,2026-03-30T23:30:00Z
GN6DCMBYGYZTSMBUGAYHYMJXME3WKYJQHE4TK,110,2,236.81,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TINBQHAZHYMJXMY3DENTFMU4TK,110,2,160.65,resale,2026-03-30T23:30:00Z
GN6DCMBSGI4TSMZZGE3HYMJXMY3TCNBYMUYTK,110,2,117.81,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3TSOJQGU4HYMJXMY3TANLEMVSDK,110,2,89.25,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3DINBQGEYHYMJXMY3GIODBHFSDK,110,2,95.2,resale,2026-03-30T23:30:00Z
GN6DCMJVGU4DINRUG42XYMJXMY3TEOLGMMZTK,111,2,178.5,resale,2026-03-30T23:30:00Z
GN6DCMJUG43TCMRXGE3HYMJXMRSDQOBRGVRTK,111,1,946.05,resale,2026-03-30T23:30:00Z
GN6DCMJVGUYDMMZUGE3HYMJXMY2DGOBTGFQTK,111,1,160.65,resale,2026-03-30T23:30:00Z
GJ6DC7BWGM,111,10,130.79,standard,2026-03-30T23:30:00Z
GJ6DC7BWGA,111,1,233.56,standard,2026-03-30T23:30:00Z
GN6DCMJVGQ4TCMZUGE4HYMJXMYZTSZRQHFRTK,111,1,297.5,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3DAOJWGY4XYMJXMY3DMYJSGA2TK,111,2,202.3,resale,2026-03-30T23:30:00Z
GN6DCMJVGU4DGNRZGEZHYMJXMY3TGMDGG5RDK,111,2,,resale,2026-03-30T23:30:00Z
GJ6DC7BWGA,112,6,233.56,standard,2026-03-30T23:30:00Z
GN6DCMJVGQ4TINZRGQ2HYMJXMY3TENBQMMZTK,112,4,120.19,resale,2026-03-30T23:30:00Z
GJ6DC7BWGQ,112,16,120.27,standard,2026-03-30T23:30:00Z
GN6DCMJUGA4TSNBUGQ2HYMJXMNTGGYRXMQ2DK,112,2,166.6,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TEMRTGQ3XYMJXMY3TEZLGGMZDK,112,2,102.34,resale,2026-03-30T23:30:00Z
GJ6DC7BWGQ,113,5,120.27,standard,2026-03-30T23:30:00Z
GJ6DC7BWGA,113,8,233.56,standard,2026-03-30T23:30:00Z
GN6DCMJVGEZDEMRRHA4HYMJXMU4GGNLDGFQTK,113,2,171.36,resale,2026-03-30T23:30:00Z
GN6DCMJUHE2DANZTGIYHYMJXMUZTEM3DMNRDK,113,2,224.91,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TAMZYGU4HYMJXMY2WMYJWMU2DK,113,2,142.8,resale,2026-03-30T23:30:00Z
GN6DCMJRGY2TMMZSGEYXYMJXMYYGIMTEGUZDK,113,2,178.5,resale,2026-03-30T23:30:00Z
GN6DCMJUHA3TONBRGE2XYMJXMUYWKZRYMEYTK,113,1,148.75,resale,2026-03-30T23:30:00Z
GN6DCMJVGU2TEOJQGUYHYMJXMY3DCNRWGVRTK,113,2,95.2,resale,2026-03-30T23:30:00Z
GN6DCMJVGU3DQOJUGU3HYMJXMY3GCZRUGMYTK,114,2,135.66,resale,2026-03-30T23:30:00Z
GJ6DC7BWGM,114,2,130.79,standard,2026-03-30T23:30:00Z
GN6DCMJVGU3TSMZYGEZHYMJXMY3TAMTDGMZTK,114,2,107.1,resale,2026-03-30T23:30:00Z
GN6DCMJVGE2TONJYGM3HYMJXMY3TGMBZMM3TK,114,2,95.2,resale,2026-03-30T23:30:00Z
GN6DCMBYGUYTKMRRGE4XYMJXMY3TAYTBMNRDK,114,2,232.05,resale,2026-03-30T23:30:00Z
