offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQZDQOBXGQYHYMJXMY2DAY3FGQZDK,1,2,65.52,resale,2026-03-29T22:52:11Z
GN6DCMJVGIZDCMRSGQZXYMJXMY2DAYZXGQ2TK,1,2,64.35,resale,2026-03-29T22:52:11Z
GJ6DC7BWHA,1,2,83.25,standard,2026-03-29T22:52:11Z
GN6DCMJVGQ3TGNJVGY3XYMJXMY2DIMRYGJRDK,1,3,58.5,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDMMJRHE4HYMJXMY2DGNJRGA3TK,1,2,85.41,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDGOJQGU3XYMJXMY2DIMLCGI3TK,1,1,64.35,resale,2026-03-29T22:52:11Z
GJ6DC7BWGM,1,3,133.05,standard,2026-03-29T22:52:11Z
GN6DCMJVGEYDCMBVGIZHYMJXMY2DAYZWMUZTK,1,3,157.95,resale,2026-03-29T22:52:11Z
GJ6DC7BVHE,10,2,141.25,standard,2026-03-29T22:52:11Z
GJ6DC7BWGA,10,2,131.0,standard,2026-03-29T22:52:11Z
GN6DCMJVGE4TAMRRHE4XYMJXMY2DAYZSGQZDK,10,2,92.43,resale,2026-03-29T22:52:11Z
GJ6DC7BVHA,10,2,156.65,standard,2026-03-29T22:52:11Z
GN6DCMJUHE4DCMRTGE4HYMJXMYZTOZDFHE4TK,10,2,152.1,resale,2026-03-29T22:52:11Z
GN6DCMJSG4ZDEMBUGY3XYMJXMY2DEMBRGM4DK,104,2,54.99,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDEMBYHAZHYMJXMY2DCMDGGVRDK,104,2,53.82,resale,2026-03-29T22:52:11Z
GN6DCMJVGI3DIMZVHA3HYMJXMY2DCZRZMIZDK,104,2,54.99,resale,2026-03-29T22:52:11Z
GN6DSNJUGY4DANJQGR6DCN3GGQYGGOBUMM2Q,105,2,69.03,resale,2026-03-29T22:52:11Z
GN6DCMJVGQ4TSMRRGE2XYMJXMY2DGYJTME2TK,105,2,44.46,resale,2026-03-29T22:52:11Z
GN6DCMJVGQ3TKNRQG4YXYMJXMY2DCZRSMFRTK,107,2,86.58,resale,2026-03-29T22:52:11Z
GN6DCMJVGM2TMMRXGAZHYMJXMY2DCZRZG5STK,107,8,93.6,resale,2026-03-29T22:52:11Z
GN6DCMJVGE4DOOJZGQYXYMJXMY2DEM3GME2DK,107,3,84.24,resale,2026-03-29T22:52:11Z
GN6DCMJVGMZTKMRTHEYXYMJXMY2DAZBVGJSTK,108,2,114.66,resale,2026-03-29T22:52:11Z
GN6DCMJVGMYDKMZSGMYHYMJXMY2DCZTFHEZDK,109,3,81.9,resale,2026-03-29T22:52:11Z
GN6DCMJVGQ3TCNJXHA2XYMJXMY2DCZRVMVQTK,111,2,57.33,resale,2026-03-29T22:52:11Z
GN6DCMJVGQ3TGMBQGU2XYMJXMY2DCZLCGM3DK,112,2,53.82,resale,2026-03-29T22:52:11Z
GJ6DC7BWGU,12,2,103.75,standard,2026-03-29T22:52:11Z
GN6DSNRWGAYDKOBSGR6DCN3GGQYGINLBG42Q,12,2,87.75,resale,2026-03-29T22:52:11Z
GN6DCMJUGY2TCNZZHE3XYMJXMY2DAYZYGVSDK,12,2,77.22,resale,2026-03-29T22:52:11Z
GN6DCMJVGUYDMNBXG43XYMJXMY2DGOJRG5SDK,120,3,46.8,resale,2026-03-29T22:52:11Z
GN6DCMJSGYYTAMJSGEZXYMJXMY2DCZRSMYYTK,120,2,56.16,resale,2026-03-29T22:52:11Z
GN6DCMJVGE4DOOJYG43HYMJXMY2DAYZXME3DK,122,2,74.88,resale,2026-03-29T22:52:11Z
