offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BVHA,102,16,392.4,standard,2026-03-28T01:52:20Z
GJ6DC7BVHE,102,17,273.95,standard,2026-03-28T01:52:20Z
GN6DCMJVGA2DGNBTHE4XYMJXMVSWKODFGNQTK,102,2,178.5,resale,2026-03-28T01:52:20Z
GN6DCMJVGMZTMNZZHAZHYMJXMVTDANRWHA4TK,102,2,199.92,resale,2026-03-28T01:52:20Z
GN6DCMJVGM3DGMJTHAYHYMJXMVTDAYRSGRTDK,102,3,282.03,resale,2026-03-28T01:52:20Z
GN6DCMJVGMYDINRUGEZXYMJXMVTDANTCMI2DK,102,4,296.31,resale,2026-03-28T01:52:20Z
GN6DCMJVGIYTQOBYHAYHYMJXMVRGCM3DHA3TK,102,2,342.72,resale,2026-03-28T01:52:20Z
GN6DCMJVGM2TEOBYGQ4HYMJXMVSWEYLDGUZDK,104,2,190.4,resale,2026-03-28T01:52:20Z
GJ6DC7BWGE,104,8,169.95,standard,2026-03-28T01:52:20Z
GJ6DC7BWGE,104,8,169.95,standard,2026-03-28T01:52:20Z
GN6DCMJVGA4TOMBXGIYXYMJXMVTDAZBRGI2DK,104,2,134.47,resale,2026-03-28T01:52:20Z
GJ6DC7BWGA,104,24,275.0,standard,2026-03-28T01:52:20Z
GN6DCMJSG44DSOBWGQYXYMJXMU3TGNRQG5RTK,104,2,416.5,resale,2026-03-28T01:52:20Z
GJ6DC7BVG4,104,2,500.55,standard,2026-03-28T01:52:20Z
GN6DCMJTGM2DOOBRGU3HYMJXMNTGIMRSGAYTK,104,2,416.5,resale,2026-03-28T01:52:20Z
GN6DCMJVGM3DIOBSGI4XYMJXMVTDCYLCGU4DK,106,2,104.72,resale,2026-03-28T01:52:20Z
GN6DCMJUGY3DAMJWGQ3XYMJXMQ4WKMZWGNQTK,106,2,141.61,resale,2026-03-28T01:52:20Z
GJ6DC7BWGQ,106,2,112.3,standard,2026-03-28T01:52:20Z
GN6DCMJVGM3DGNJXGQZXYMJXMVTDEMBRMY2TK,106,2,99.96,resale,2026-03-28T01:52:20Z
GJ6DC7BWG4,108,2,96.85,standard,2026-03-28T01:52:20Z
GN6DCMJUHEYTCMRVGE3HYMJXMVTDEOJRGY4DK,108,2,89.25,resale,2026-03-28T01:52:20Z
GN6DCMJVGMZTANJQGQYHYMJXMVSWKZTFGU3TK,108,1,95.2,resale,2026-03-28T01:52:20Z
GN6DCMJVGE4TKMZZGE3XYMJXMVTDKNBQGQYTK,108,2,23.8,resale,2026-03-28T01:52:20Z
GJ6DC7BWGY,110,2,118.45,standard,2026-03-28T01:52:20Z
GN6DCMJTGMZDQMBRGY3XYMJXMU4WMZRZGI2DK,110,2,115.43,resale,2026-03-28T01:52:20Z
GN6DCMJVGM3DIMRYGM3XYMJXMVTDCNLBGBQTK,110,2,95.2,resale,2026-03-28T01:52:20Z
GJ6DC7BWG4,110,4,96.85,standard,2026-03-28T01:52:20Z
GJ6DC7BWGI,110,3,222.45,standard,2026-03-28T01:52:20Z
GN6DSOJSGAYDIMZRGR6DCN3FMM3WINZTGA2Q,110,2,153.51,resale,2026-03-28T01:52:20Z
GJ6DC7BWGU,110,2,132.85,standard,2026-03-28T01:52:20Z
GN6DCMJVGMYTOMRYGE4HYMJXMVTDIOJQG42TK,112,2,29.75,resale,2026-03-28T01:52:20Z
GJ6DC7BWHA,114,1,91.7,standard,2026-03-28T01:52:20Z
GN6DCMJQHE2TKMJWGEYXYMJXGYZDGYRTMRTDK,116,4,164.22,resale,2026-03-28T01:52:20Z
GN6DCMJUGQYDQMRYGMYHYMJXMRTDENTGGIYDK,116,2,142.8,resale,2026-03-28T01:52:20Z
GN6DCMJVGM3DSMZVHA3XYMJXMVTDINDFHA2DK,116,2,101.15,resale,2026-03-28T01:52:20Z
GN6DCMJSGYYTCMJUGM4HYMJXMVTDEOLCMZSDK,116,2,85.68,resale,2026-03-28T01:52:20Z
GJ6DC7BWGI,116,6,222.45,standard,2026-03-28T01:52:20Z
GJ6DC7BWGU,116,2,132.85,standard,2026-03-28T01:52:20Z
GJ6DC7BWG4,118,1,96.85,standard,2026-03-28T01:52:20Z
GN6DCMJUGQYDAMJUGEZXYMJXMVSTMYZZMNRDK,120,2,99.96,resale,2026-03-28T01:52:20Z
GJ6DC7BWGA,122,14,275.0,standard,2026-03-28T01:52:20Z
GN6DCMJVGMZTINJXGQYHYMJXMVSWMNRTMUZTK,122,2,142.8,resale,2026-03-28T01:52:20Z
GJ6DC7BWGE,122,2,169.95,standard,2026-03-28T01:52:20Z
GN6DCMJVGA4DKMJTGQ4HYMJXMVTDINZSGQ3DK,122,4,105.91,resale,2026-03-28T01:52:20Z
GJ6DC7BVHA,124,14,392.4,standard,2026-03-28T01:52:20Z
GN6DCMJVGIYDONJTGI3XYMJXMVTDENLEGBRDK,124,2,160.65,resale,2026-03-28T01:52:20Z
GJ6DC7BVHE,124,10,273.95,standard,2026-03-28T01:52:20Z
GN6DCMJVGAZTSNZWG4ZHYMJXMVTDGNJTGMYDK,124,2,151.13,resale,2026-03-28T01:52:20Z
GN6DCMJVGMZTSOJXGI3HYMJXMVSTKMJSGU4TK,124,2,178.5,resale,2026-03-28T01:52:20Z
GJ6DC7BVHA,126,11,392.4,standard,2026-03-28T01:52:20Z
GN6DCMJUGQZDAOBQGUYHYMJXMVTDCNDDHE2TK,126,2,238.0,resale,2026-03-28T01:52:20Z
GJ6DC7BVHE,126,26,273.95,standard,2026-03-28T01:52:20Z
GN6DCMJVGEYTMOBVGY3HYMJXMVSWGMBSGQ3DK,126,4,196.35,resale,2026-03-28T01:52:20Z
GN6DCMJUHEZDENBRG44XYMJXMVSWKM3BMQZTK,126,2,238.0,resale,2026-03-28T01:52:20Z
GN6DCMJTGQYDQNZZGQ2HYMJXMVSWCYRZHE2DK,126,4,273.7,resale,2026-03-28T01:52:20Z
GN6DCMJSGMYTMNJSGMZXYMJXMNTGGZRXGU2TK,128,2,241.57,resale,2026-03-28T01:52:20Z
GJ6DC7BWGE,128,3,169.95,standard,2026-03-28T01:52:20Z
GJ6DC7BWGA,128,10,275.0,standard,2026-03-28T01:52:20Z
GN6DCMJVGM2TGMZVGQZXYMJXMVSWEZLFGNSTK,130,2,145.18,resale,2026-03-28T01:52:20Z
GN6DCMJVGAYTQMJZGA3HYMJXMVSDMYJWGIZTK,130,2,142.8,resale,2026-03-28T01:52:20Z
GJ6DC7BWGQ,130,2,112.3,standard,2026-03-28T01:52:20Z
GN6DCMJVGI3TQNZVHA2HYMJXMVTDGYRSGZTDK,130,2,82.11,resale,2026-03-28T01:52:20Z
GN6DCMJVGM3DQMJVGYZHYMJXMVTDGOBUMIYTK,130,2,139.23,resale,2026-03-28T01:52:20Z
GN6DCMJSGY4TGMRRGA3XYMJXMVSWIMRZGA4DK,130,2,287.98,resale,2026-03-28T01:52:20Z
GN6DCMJVGM2TKNZQGA2XYMJXMVTDIYZYMU2TK,130,2,95.2,resale,2026-03-28T01:52:20Z
GN6DCMJVGM2TSNZWGY2XYMJXMVSWKZRTGUYDK,132,2,115.43,resale,2026-03-28T01:52:20Z
GN6DCMJUGU4TINZZGY4XYMJXMQ4WKMRYMVQTK,132,2,136.85,resale,2026-03-28T01:52:20Z
GN6DCMJUGU4TINZZHEZXYMJXMQ4WKNBVMM3TK,134,1,136.85,resale,2026-03-28T01:52:20Z
GN6DCMJVGM3DOOJXGMYHYMJXMVTDGNZSMJSDK,134,2,59.5,resale,2026-03-28T01:52:20Z
GN6DCMJQGMYTANBTGA3XYMJXGYZDGYTGGIYDK,134,2,174.93,resale,2026-03-28T01:52:20Z
GN6DCMJUGQ4TANZZG42XYMJXMVTDCNBXHAZDK,134,2,89.25,resale,2026-03-28T01:52:20Z
GJ6DC7BWGU,134,2,132.85,standard,2026-03-28T01:52:20Z
