offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BVHA,102,1,633.4,standard,2026-03-30T02:52:22Z
GN6DCMJVGMZDSNZTGY4HYMJXMVSTAOJSME2TK,102,3,643.5,resale,2026-03-30T02:52:22Z
GN6DCMJVGI2TENJUHE4XYMJXMYZTGZDEGI2TK,102,2,409.5,resale,2026-03-30T02:52:22Z
GN6DCMJVGAZTOOBVGEYHYMJXMYYTMNJRG5STK,102,4,526.5,resale,2026-03-30T02:52:22Z
GN6DCMJVGUYDQNZQGM2XYMJXMY2DSMTCMVTDK,102,2,175.5,resale,2026-03-30T02:52:22Z
GN6DCMJTGA2DSNJZGIYHYMJXMY2DSYTBMNTDK,102,2,216.45,resale,2026-03-30T02:52:22Z
GJ6DC7BVHE,102,2,440.8,standard,2026-03-30T02:52:22Z
GN6DCMJVGUYTCNBXGE4HYMJXMY2DMNLBMNQTK,102,2,402.48,resale,2026-03-30T02:52:22Z
GN6DCMJUHA4TANRRGUZHYMJXMUYWKZRUMJTDK,102,2,614.25,resale,2026-03-30T02:52:22Z
GN6DCMJQHAZTSMBZHE4HYMJXMYYTAZDEMVTDK,102,2,456.3,resale,2026-03-30T02:52:22Z
GN6DCMJTGY2TSNRZHA4XYMJXMY2DSOBUMU2DK,102,2,263.25,resale,2026-03-30T02:52:22Z
GJ6DC7BWGE,104,6,275.0,standard,2026-03-30T02:52:22Z
GN6DCMJVGI3TSNRUGY2HYMJXMY2GEZBZMY2DK,104,2,87.75,resale,2026-03-30T02:52:22Z
GJ6DC7BWGE,104,6,275.0,standard,2026-03-30T02:52:22Z
GN6DCMJVGQ4TGOJRG44HYMJXMY2GCODBGZRDK,104,4,157.95,resale,2026-03-30T02:52:22Z
GJ6DC7BWGA,104,16,442.85,standard,2026-03-30T02:52:22Z
GN6DCMBQGMZDENZXGY3HYMJXMY2DQYZXG4YDK,104,2,210.6,resale,2026-03-30T02:52:22Z
GN6DCMJVGUYTOMZSGI4XYMJXMY2GCNLFHFRDK,106,1,146.25,resale,2026-03-30T02:52:22Z
GN6DCMJVGQZTAMJVG43XYMJXMY2GEZJSGAYTK,106,2,134.55,resale,2026-03-30T02:52:22Z
GN6DCMJVGEZTAOJQHAZXYMJXMYZWIZTFGBRTK,106,2,175.5,resale,2026-03-30T02:52:22Z
