offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQ3TOMZVG42XYMJXMY2DCYRQMVTDK,1,2,47.6,resale,2026-03-29T21:31:46Z
GN6DCMJUHEYDKNZQG4ZHYMJXMU4TANDDGNRDK,1,2,89.25,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ3TSMJYGAZXYMJXMY2DAYRTGAZTK,1,2,61.88,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ2DCMJUHEYXYMJXMY2DAMDCMU2DK,1,2,53.55,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ3TQNZZGIZHYMJXMYZTIMZUGM2TK,1,2,83.3,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TMOBTHAYXYMJXMY2DCYLFGAYDK,1,2,25.0,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ2DSNRQG4ZHYMJXMYZDCYJRMU3DK,1,2,105.91,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4DMNBUGE2HYMJXMY2DCZJRGFRDK,1,4,49.98,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ2DSNRXGQYXYMJXMYZDCYLBGYYDK,1,2,105.91,resale,2026-03-29T21:31:46Z
GN6DCMJVGM4DGOJXGUZHYMJXMYZWCYJVMMYTK,102,2,53.55,resale,2026-03-29T21:31:46Z
GN6DCMJTGEZTMMBZGA2XYMJXMMYDMZTEGI4TK,102,2,59.5,resale,2026-03-29T21:31:46Z
GN6DCMJVGM3DIMZWGE3XYMJXMVTDCNZTG43DK,102,2,57.12,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDIMBVGA3XYMJXMY2DEMZXGE4DK,102,2,52.36,resale,2026-03-29T21:31:46Z
GN6DCMJRGM4TAMBXGUYHYMJXMNSTKNBXGIYDK,103,2,90.44,resale,2026-03-29T21:31:46Z
GN6DCMJVGQZTEMBXGE2HYMJXMY2DANDBG4YTK,104,2,51.17,resale,2026-03-29T21:31:46Z
GN6DCMJTGAZDKMRYHA4XYMJXMMYDMZRZGY4DK,104,4,95.2,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TCOJRGE2HYMJXMYZWCNJQGMYDK,104,2,83.3,resale,2026-03-29T21:31:46Z
GN6DCMJVGMYTKMJRGY3HYMJXMY2DANBZMU2DK,104,2,63.07,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TINJWGQYHYMJXMY2DCYZXMY3DK,104,2,27.0,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ3TQMRSHAZXYMJXMY2DCZBTGQ2DK,105,2,29.0,resale,2026-03-29T21:31:46Z
GN6DCMJVGAZDKOBYGYYXYMJXMY2DANDCGQYTK,105,2,82.11,resale,2026-03-29T21:31:46Z
GN6DCMJVGM4TQMRXGEZXYMJXMY2DCZTDMI2TK,105,2,29.0,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ3TINBQGEYXYMJXMY2DCY3FGA4TK,105,2,32.13,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ3TQNBUHA2XYMJXMYZWGMRQMQ2TK,105,2,53.55,resale,2026-03-29T21:31:46Z
GN6DSNZYGAYTOMRQGR6DCN3GGQYDIY3EMU2Q,105,2,63.07,resale,2026-03-29T21:31:46Z
GN6DCMBVHA4DKOBUG4ZHYMJXMMYDOMBQMI3TK,105,2,124.95,resale,2026-03-29T21:31:46Z
GN6DCMJVGM4TONZRGE4XYMJXMY2DANJVHBSTK,105,2,61.88,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TIMBXG4YHYMJXMYZWEZBQGUZDK,106,4,94.01,resale,2026-03-29T21:31:46Z
