offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJQGQYDMMBVGY4HYMJXMJSGMMJVME2TK,101,2,301.29,resale,2026-03-25T02:00:34Z
GN6DCMJUG44DMOBUGQ2HYMJXMU2WCOBTMRSTK,102,2,260.15,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTIOBZGU4HYMJXMU2TQMZSGQZTK,102,2,266.2,resale,2026-03-25T02:00:34Z
GN6DCMJUGY3DEMRSGMYXYMJXMQ4TQZBZGNQTK,103,2,229.9,resale,2026-03-25T02:00:34Z
GN6DCMJSGM2DKNRWG44HYMJXG4ZGGMLBG44TK,105,2,363.0,resale,2026-03-25T02:00:34Z
GN6DCMJTGY3TSOJVG4ZXYMJXMU2TINRXMNSTK,110,2,205.7,resale,2026-03-25T02:00:34Z
GJ6DC7BVGM,113,4,352.2,standard,2026-03-25T02:00:34Z
GJ6DCMBUGAYDAMBSPQ2TG,113,2,334.85,standard,2026-03-25T02:00:34Z
GN6DCMJUHE4DKOBSHAZXYMJXMU2DIYZWGUYTK,113,2,320.65,resale,2026-03-25T02:00:34Z
GN6DCMJUHAZTAMJRGYZHYMJXMU2DAMTEHFQTK,113,2,429.55,resale,2026-03-25T02:00:34Z
GN6DCMJUHA2DQMBVG42HYMJXMUYDKNBRMM3TK,113,2,323.07,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDQMBVGY3HYMJXMU2WCOLGGQ4TK,113,1,338.8,resale,2026-03-25T02:00:34Z
GN6DCMJRGE3DONZUGY3HYMJXMU2TAMDBGI2DK,114,4,297.66,resale,2026-03-25T02:00:34Z
GN6DCMJSGA4TKOBYHEYHYMJXMU2DINJSMEZDK,114,2,242.0,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYTOMZUHA3XYMJXMU2TIZLEGQZTK,115,2,211.75,resale,2026-03-25T02:00:34Z
GN6DCMJUGMZDCNJVGI4XYMJXMU2DCNZUHA2DK,115,2,278.3,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDMOBRHAZXYMJXMU2TSZJQHA2DK,116,1,301.29,resale,2026-03-25T02:00:34Z
GN6DCMJVGAYDSNJVGA3XYMJXMU2TAZBQGBTDK,119,4,180.29,resale,2026-03-25T02:00:34Z
GN6DCMJUHE4DSMBZGU2XYMJXMU2DMMZQGA2TK,119,2,387.2,resale,2026-03-25T02:00:34Z
GN6DCMJVGAZDANBUG44HYMJXMU2TMOBWGQ4DK,120F,3,797.39,resale,2026-03-25T02:00:34Z
GJ6DC7BVHA,122W,1,161.65,standard,2026-03-25T02:00:34Z
GJ6DC7BVGU,124,1,248.25,standard,2026-03-25T02:00:34Z
GJ6DC7BVG4,124,1,184.75,standard,2026-03-25T02:00:34Z
GJ6DC7BVGY,EBW,2,213.65,standard,2026-03-25T02:00:34Z
GJ6DC7BVGQ,WBW,2,461.85,standard,2026-03-25T02:00:34Z
