offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQ2DSOJQGM3XYMJXMYZDCYZWGYZDK,101,2,253.94,resale,2026-03-30T00:22:21Z
GN6DCMJUHE2TMOJXGU3XYMJXMVRTKYJSHEZTK,102,2,233.28,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDSMZZGA4HYMJXMY2DKMJRGQZTK,102,1,109.35,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYTANJWGIYXYMJXMY2DKYTDGMZDK,102,2,164.03,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ3TKNJYHE2HYMJXMYZTENBZHBSTK,103,2,243.0,resale,2026-03-30T00:22:21Z
GN6DCMJUGM4TCNRTGU2HYMJXMY2DOYZVGA3DK,103,2,78.98,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDINBXGU4HYMJXMY2DMNTEMJTDK,104,2,121.5,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4DCNBWGE4XYMJXMY2DGMDGME3TK,105,2,364.5,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4TENRSHA3HYMJXMY2DKNRUGE2DK,105,2,145.8,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYTCOBYHA3HYMJXMY2DMY3DGQ2DK,105,2,182.25,resale,2026-03-30T00:22:21Z
GN6DCMJVGEZTAMJVGAYHYMJXMU4TAYRRGI2DK,105,2,729.0,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4DOMJWG4ZHYMJXMY2DKOLCMQ2TK,106,1,911.25,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4TSNRSHE4XYMJXMYZWMYZTGEYDK,106,2,324.41,resale,2026-03-30T00:22:21Z
GJ6DC7BVGU,107,2,265.2,standard,2026-03-30T00:22:21Z
GN6DCMJVGQ4TSNBYGYYHYMJXMY2DEYLGGE4TK,107,2,218.7,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4DCNZTGA3XYMJXMY2DMNLDGE2TK,107,2,134.87,resale,2026-03-30T00:22:21Z
GJ6DC7BVGY,107,9,220.2,standard,2026-03-30T00:22:21Z
GN6DCMJVGQ4DMMRXGAZXYMJXMY2DKZDGMNQTK,107,3,121.5,resale,2026-03-30T00:22:21Z
GN6DCMJVGI4DCNJXGE2XYMJXMVRWGYZYGA3TK,107,2,727.79,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4DMMRXGA2HYMJXMY2DGYTFGA2DK,107,2,170.1,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDSMZZG4ZHYMJXMY2DKMJZGZQTK,108,1,121.5,resale,2026-03-30T00:22:21Z
GN6DCMJTGM2DCNBYGYYXYMJXMY2DCNLGGMZTK,109,2,151.88,resale,2026-03-30T00:22:21Z
GN6DCMJUHAYDIOBWHA3HYMJXMUYDKNBSG42TK,109,2,267.3,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4TOOBWG43XYMJXMY2DKMJUMYYDK,110,2,157.95,resale,2026-03-30T00:22:21Z
GN6DCMJQGMYTEMBYGEZHYMJXME3WKOJTHEYDK,110,2,200.48,resale,2026-03-30T00:22:21Z
GN6DCMBXGUZDCNRZGU2HYMJXME3WKOLCME2TK,110,2,270.95,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ2TAMRWG43HYMJXMYZDCZRXMJSTK,111,1,273.38,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDSNRTGQ2XYMJXMY2DKNBRGQ2DK,112,2,109.35,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDSMBYGMZHYMJXMY2DKN3GGFSDK,113,6,170.1,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYTCMJQGQ2HYMJXMY2DMMZWMVQTK,113,3,133.65,resale,2026-03-30T00:22:21Z
GN6DCMJUG42DSMJSGU4XYMJXMUYDKNBRGU3DK,113,1,411.89,resale,2026-03-30T00:22:21Z
GJ6DC7BVGQ,114,6,415.2,standard,2026-03-30T00:22:21Z
GJ6DC7BVGU,114,7,265.2,standard,2026-03-30T00:22:21Z
GJ6DC7BVGY,114,2,220.2,standard,2026-03-30T00:22:21Z
GN6DCMJUG42TAMJQHEYHYMJXMYZTCOBRME4TK,115,2,516.38,resale,2026-03-30T00:22:21Z
GN6DCMJUHEZDIMRXGM3XYMJXMY2DOMLEHBRDK,115,4,273.38,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4DINZRHA2XYMJXMY2DKYJTMFQTK,115,2,303.75,resale,2026-03-30T00:22:21Z
GN6DCMBXGA3TAMZYHE3XYMJXMY2DONTFGA3TK,115,2,119.07,resale,2026-03-30T00:22:21Z
GN6DCMBTHA4TQNJQG4YXYMJXMY2DIZJUMYYDK,115,2,324.41,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ4TONZVGQZHYMJXMY2DOYLGMM3DK,115,1,121.5,resale,2026-03-30T00:22:21Z
GN6DCMJVGI2TINRSG4ZXYMJXMVRTINDDGZQTK,116,2,771.53,resale,2026-03-30T00:22:21Z
GN6DCMJUGUYTGNZWGEYXYMJXMQ3DIN3BMJTDK,117,2,947.7,resale,2026-03-30T00:22:21Z
GN6DCMBSHAYDOMBQGYZXYMJXMY2DOMZVGAZDK,117,1,85.05,resale,2026-03-30T00:22:21Z
GN6DCMBYGM4TMMJQGU4HYMJXMMZWMNBUHE3TK,118,2,334.13,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDGMBYGM3XYMJXMY2DIMTEGU2TK,119,2,121.5,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDGMZTGY2XYMJXMY2DCYZYMY3TK,120,2,145.8,resale,2026-03-30T00:22:21Z
GN6DCMJVGM3TINZSGM4XYMJXMVTDOYJVG5RDK,204,1,157.95,resale,2026-03-30T00:22:21Z
GN6DCMJVGUYDMNBYHE3HYMJXMY2DKZTBGQ2DK,204,1,66.83,resale,2026-03-30T00:22:21Z
GN6DCMJUGQYDEMRZGAYXYMJXMY2DEN3FGBRDK,205,2,156.74,resale,2026-03-30T00:22:21Z
GN6DCMJVGMYDCNRTGA3XYMJXMVSTMMJVGI4TK,207,2,243.0,resale,2026-03-30T00:22:21Z
GN6DCMJVGQYTGMRWGMZHYMJXMYYGKMBSMIYDK,207,2,236.93,resale,2026-03-30T00:22:21Z
GN6DCMJVGQYTGMRWGMZXYMJXMYYWCNBZGMZDK,207,2,236.93,resale,2026-03-30T00:22:21Z
GN6DCMJVGQ3TOMBZGY2HYMJXMYZTGM3CG4ZTK,207,1,267.3,resale,2026-03-30T00:22:21Z
GN6DCMJTGQ4DCMJVG43HYMJXMU4TAOJTGE4TK,208,2,334.13,resale,2026-03-30T00:22:21Z
