offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGU3DOMRUGM4HYMJXMY3TIMBVG5RDK,101,2,218.7,resale,2026-03-31T00:30:00Z
GN6DCMJVGQ4TGMJXGI4XYMJXMY3TIZJZMNSDK,101,2,133.65,resale,2026-03-31T00:30:00Z
GN6DCMJUGE4TQNRTGUYXYMJXMY3TAMLGMUYDK,101,3,147.02,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DGOJZGQZHYMJXMY3TIZJUMUYTK,101,3,121.5,resale,2026-03-31T00:30:00Z
GN6DCMJVGEYTANJVGQ3XYMJXMY3TEOLDGMYTK,101,5,103.28,resale,2026-03-31T00:30:00Z
GN6DCMJVGI3TGMZRGAYXYMJXMY3TCNJWHAZDK,101,2,108.14,resale,2026-03-31T00:30:00Z
GJ6DC7BVHA,101,4,117.7,standard,2026-03-31T00:30:00Z
GJ6DC7BVHE,101,2,105.7,standard,2026-03-31T00:30:00Z
GN6DCMJVGM2TIOJXGEZHYMJXMY3TIZTBGBSTK,101,1,54.68,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DCNRUGQ2XYMJXMY3TKMBTGY4TK,102,4,127.58,resale,2026-03-31T00:30:00Z
GN6DCMBXHE2DKMZQGA4HYMJXMY3GCMBYGNQTK,102,2,212.63,resale,2026-03-31T00:30:00Z
GN6DCMJVGUZDMNJUGUYHYMJXMY3TEMLGGRRDK,102,2,102.06,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYTANRZGI3HYMJXMY3GIYZUGIZDK,102,2,85.05,resale,2026-03-31T00:30:00Z
GJ6DC7BVHA,102,3,117.7,standard,2026-03-31T00:30:00Z
GN6DCMJUHA2DANRWHE3HYMJXMUYDKNBRGQZDK,102,2,200.48,resale,2026-03-31T00:30:00Z
GN6DCMJVGU4DAOJSGI4XYMJXMY3TAY3CGI4DK,102,2,139.73,resale,2026-03-31T00:30:00Z
GN6DCMJUHA3TQMRXGUYHYMJXMY2WCNLFGQ4DK,102,4,91.13,resale,2026-03-31T00:30:00Z
GN6DCMJTGYZTOMRWGE4XYMJXMY3TCNRRHAYTK,102,2,116.64,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TANJYGUZHYMJXMY3TGNJYMVSDK,102,2,66.83,resale,2026-03-31T00:30:00Z
GN6DCMJUG43TAMRVGIYHYMJXMY3TAYRVGQZTK,102,2,72.9,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TMNBTGAZHYMJXMY3GKOBYGQ2DK,102,2,91.13,resale,2026-03-31T00:30:00Z
GN6DCMJVGU4DQNRQGI2HYMJXMY3TIZRZMEYDK,102,2,102.06,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TGMRYGUYXYMJXMY3GIZRYGI2DK,102,2,145.8,resale,2026-03-31T00:30:00Z
GN6DCMJVGEZDONZYGQ3XYMJXMY2GGZDFGBSDK,103,2,182.25,resale,2026-03-31T00:30:00Z
GN6DCMJVGQ2TCNRSGM2XYMJXMYZDEYZTGEYDK,103,2,173.75,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TSNJQG42HYMJXMY3TINJRHFRTK,103,2,72.9,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TIMRQHE4XYMJXMY3DEMZVMFTDK,103,2,154.31,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2DKMZUGYZHYMJXMY3TGZRWGFRDK,103,1,126.36,resale,2026-03-31T00:30:00Z
GJ6DC7BVGQ,104,2,390.2,standard,2026-03-31T00:30:00Z
GN6DCMBTGAYDGOBUG43HYMJXMY3TGNZUMYYDK,104,1,520.02,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TMOJXGU3HYMJXMY3GKZDGMM2DK,104,1,255.15,resale,2026-03-31T00:30:00Z
GN6DCMBTGAYDGOBUG43XYMJXMY3TGNZWHE4TK,104,1,235.71,resale,2026-03-31T00:30:00Z
GN6DCMBTGAYDGOBUG44HYMJXMY3TGNTGGIZDK,104,1,235.71,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DSMZZG43XYMJXMY3TIYZUGZRTK,104,2,243.0,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TGNJQG44HYMJXMY3TGNDGGI2DK,105,2,302.54,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2DOMBQGYYHYMJXMY3TEYZQMJTDK,105,4,151.88,resale,2026-03-31T00:30:00Z
GN6DCMJUG4ZTQMZXGYZXYMJXMUYDKNJTGY4TK,105,1,551.61,resale,2026-03-31T00:30:00Z
GN6DCMJUGEZDGOJTHAZXYMJXMY3GGMZTMU3TK,105,4,334.13,resale,2026-03-31T00:30:00Z
GN6DCMJVGUZDGMBQHA2XYMJXMY3TCZBYGVRDK,105,2,546.75,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TAOJQGIYHYMJXMY3DAMRZMM3DK,105,2,425.25,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DAMRSGEYXYMJXMY3TIMBRGYZDK,105,2,182.25,resale,2026-03-31T00:30:00Z
GN6DCMJTHE4DGNRXG4YHYMJXMY3TIZJVMIYDK,105,2,143.37,resale,2026-03-31T00:30:00Z
GN6DCMJVGUZDGNRQGUYXYMJXMY3TEMDCGM2TK,106,2,364.5,resale,2026-03-31T00:30:00Z
GJ6DC7BVGQ,106,6,390.2,standard,2026-03-31T00:30:00Z
GN6DCMJVGE3DSOJTGI3XYMJXMY2WEM3EMJRDK,106,2,303.75,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TSMRZHAYXYMJXMY3GKYJRGBSTK,106,2,212.63,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TIMBSHA3HYMJXMY3GKNTFG4ZDK,107,2,759.38,resale,2026-03-31T00:30:00Z
GN6DCMJUGMZTQMZVGUZHYMJXMY3GEOJWGFSDK,107,2,486.0,resale,2026-03-31T00:30:00Z
GJ6DC7BVGY,107,16,174.7,standard,2026-03-31T00:30:00Z
GN6DCMJTGAYTOOBUGU3HYMJXMY3DSZJWHE4DK,107,4,151.88,resale,2026-03-31T00:30:00Z
