section,row,seat,price_usd,selection_type,scraped_at
102,BB,6,380.14,resale,2026-04-03T22:00:00Z
102,BB,7,380.14,resale,2026-04-03T22:00:00Z
106,25,3,135.95,standard,2026-04-03T22:00:00Z
106,25,4,135.95,standard,2026-04-03T22:00:00Z
108,22,1,180.19,resale,2026-04-03T22:00:00Z
108,22,2,180.19,resale,2026-04-03T22:00:00Z
109,3,11,202.28,resale,2026-04-03T22:00:00Z
109,3,12,202.28,resale,2026-04-03T22:00:00Z
109,4,13,202.28,resale,2026-04-03T22:00:00Z
109,4,14,202.28,resale,2026-04-03T22:00:00Z
109,4,15,202.28,resale,2026-04-03T22:00:00Z
109,4,16,202.28,resale,2026-04-03T22:00:00Z
111,12,12,228.25,standard,2026-04-03T22:00:00Z
111,12,13,228.25,standard,2026-04-03T22:00:00Z
112,17,15,520.8,resale,2026-04-03T22:00:00Z
112,17,16,520.8,resale,2026-04-03T22:00:00Z
112,17,17,520.8,resale,2026-04-03T22:00:00Z
112,17,18,520.8,resale,2026-04-03T22:00:00Z
113,13,5,448.7,standard,2026-04-03T22:00:00Z
113,13,6,448.7,standard,2026-04-03T22:00:00Z
113,6,9,448.7,standard,2026-04-03T22:00:00Z
113,6,10,448.7,standard,2026-04-03T22:00:00Z
113,6,11,448.7,standard,2026-04-03T22:00:00Z
113,6,12,448.7,standard,2026-04-03T22:00:00Z
113,6,13,448.7,standard,2026-04-03T22:00:00Z
113,6,14,448.7,standard,2026-04-03T22:00:00Z
114,9,13,309.05,standard,2026-04-03T22:00:00Z
114,9,14,309.05,standard,2026-04-03T22:00:00Z
115,CC,10,273.19,resale,2026-04-03T22:00:00Z
115,CC,11,273.19,resale,2026-04-03T22:00:00Z
115,CC,12,273.19,resale,2026-04-03T22:00:00Z
115,CC,13,273.19,resale,2026-04-03T22:00:00Z
115,CC,14,273.19,resale,2026-04-03T22:00:00Z
115,CC,9,273.19,resale,2026-04-03T22:00:00Z
118,18,3,135.95,standard,2026-04-03T22:00:00Z
118,18,4,135.95,standard,2026-04-03T22:00:00Z
119,15,10,168.56,resale,2026-04-03T22:00:00Z
119,15,11,168.56,resale,2026-04-03T22:00:00Z
119,15,12,168.56,resale,2026-04-03T22:00:00Z
119,15,9,168.56,resale,2026-04-03T22:00:00Z
119,7,1,168.56,resale,2026-04-03T22:00:00Z
119,7,2,168.56,resale,2026-04-03T22:00:00Z
121,25,10,139.5,resale,2026-04-03T22:00:00Z
121,25,9,139.5,resale,2026-04-03T22:00:00Z
122,18,6,228.25,standard,2026-04-03T22:00:00Z
122,18,7,228.25,standard,2026-04-03T22:00:00Z
122,18,8,228.25,standard,2026-04-03T22:00:00Z
122,18,9,228.25,standard,2026-04-03T22:00:00Z
123,20,7,222.04,resale,2026-04-03T22:00:00Z
123,20,8,222.04,resale,2026-04-03T22:00:00Z
123,AA,7,222.04,resale,2026-04-03T22:00:00Z
123,AA,8,222.04,resale,2026-04-03T22:00:00Z
123,BB,5,222.04,resale,2026-04-03T22:00:00Z
123,BB,6,222.04,resale,2026-04-03T22:00:00Z
204,10,3,93.25,standard,2026-04-03T22:00:00Z
204,10,4,93.25,standard,2026-04-03T22:00:00Z
207A,1,17,144.15,resale,2026-04-03T22:00:00Z
207A,1,18,144.15,resale,2026-04-03T22:00:00Z
211,8,18,125.55,standard,2026-04-03T22:00:00Z
211,8,19,125.55,standard,2026-04-03T22:00:00Z
212,14,7,148.8,resale,2026-04-03T22:00:00Z
212,14,8,148.8,resale,2026-04-03T22:00:00Z
213,10,10,105.95,standard,2026-04-03T22:00:00Z
213,10,11,105.95,standard,2026-04-03T22:00:00Z
213,13,15,105.95,standard,2026-04-03T22:00:00Z
213,13,16,105.95,standard,2026-04-03T22:00:00Z
214,10,11,167.4,resale,2026-04-03T22:00:00Z
214,10,12,167.4,resale,2026-04-03T22:00:00Z
214,10,13,167.4,resale,2026-04-03T22:00:00Z
214,10,14,167.4,resale,2026-04-03T22:00:00Z
214,10,15,167.4,resale,2026-04-03T22:00:00Z
214,10,16,167.4,resale,2026-04-03T22:00:00Z
214,10,17,167.4,resale,2026-04-03T22:00:00Z
214,13,19,167.4,resale,2026-04-03T22:00:00Z
214,13,20,167.4,resale,2026-04-03T22:00:00Z
215,13,23,93.0,resale,2026-04-03T22:00:00Z
215,13,24,93.0,resale,2026-04-03T22:00:00Z
215,14,15,93.0,resale,2026-04-03T22:00:00Z
215,14,16,93.0,resale,2026-04-03T22:00:00Z
215,15,11,93.0,resale,2026-04-03T22:00:00Z
215,15,12,93.0,resale,2026-04-03T22:00:00Z
215,15,13,93.0,resale,2026-04-03T22:00:00Z
