section,row,seat,price_usd,selection_type,scraped_at
101,7,15,340.2,standard,2026-04-12T21:02:17Z
101,7,16,340.2,standard,2026-04-12T21:02:17Z
101,BB,11,340.2,standard,2026-04-12T21:02:17Z
101,BB,12,340.2,standard,2026-04-12T21:02:17Z
102,17,13,191.81,resale,2026-04-12T21:02:17Z
102,17,14,191.81,resale,2026-04-12T21:02:17Z
102,1,4,191.81,resale,2026-04-12T21:02:17Z
102,1,3,191.81,resale,2026-04-12T21:02:17Z
102,5,14,191.81,resale,2026-04-12T21:02:17Z
102,5,15,191.81,resale,2026-04-12T21:02:17Z
102,6,7,191.81,resale,2026-04-12T21:02:17Z
102,6,8,191.81,resale,2026-04-12T21:02:17Z
102,6,1,191.81,resale,2026-04-12T21:02:17Z
102,6,2,191.81,resale,2026-04-12T21:02:17Z
102,8,10,191.81,resale,2026-04-12T21:02:17Z
102,8,11,191.81,resale,2026-04-12T21:02:17Z
102,AA,1,191.81,resale,2026-04-12T21:02:17Z
102,AA,2,191.81,resale,2026-04-12T21:02:17Z
102,AA,5,191.81,resale,2026-04-12T21:02:17Z
102,AA,6,191.81,resale,2026-04-12T21:02:17Z
103,15,1,95.33,resale,2026-04-12T21:02:17Z
103,15,2,95.33,resale,2026-04-12T21:02:17Z
103,15,5,95.33,resale,2026-04-12T21:02:17Z
103,15,6,95.33,resale,2026-04-12T21:02:17Z
104,9,4,98.81,resale,2026-04-12T21:02:17Z
104,9,3,98.81,resale,2026-04-12T21:02:17Z
105,13,1,82.54,resale,2026-04-12T21:02:17Z
105,13,2,82.54,resale,2026-04-12T21:02:17Z
105,19,3,82.54,resale,2026-04-12T21:02:17Z
105,19,4,82.54,resale,2026-04-12T21:02:17Z
106,19,1,86.03,resale,2026-04-12T21:02:17Z
106,19,2,86.03,resale,2026-04-12T21:02:17Z
106,23,8,86.03,resale,2026-04-12T21:02:17Z
106,23,9,86.03,resale,2026-04-12T21:02:17Z
106,25,3,86.03,resale,2026-04-12T21:02:17Z
106,25,4,86.03,resale,2026-04-12T21:02:17Z
107,2,9,87.19,resale,2026-04-12T21:02:17Z
107,2,10,87.19,resale,2026-04-12T21:02:17Z
108,26,1,87.19,resale,2026-04-12T21:02:17Z
108,26,2,87.19,resale,2026-04-12T21:02:17Z
111,20,10,81.38,resale,2026-04-12T21:02:17Z
111,20,11,81.38,resale,2026-04-12T21:02:17Z
111,20,12,81.38,resale,2026-04-12T21:02:17Z
111,20,13,81.38,resale,2026-04-12T21:02:17Z
112,10,17,168.56,resale,2026-04-12T21:02:17Z
112,10,18,168.56,resale,2026-04-12T21:02:17Z
112,10,19,168.56,resale,2026-04-12T21:02:17Z
112,10,20,168.56,resale,2026-04-12T21:02:17Z
112,5,4,168.56,resale,2026-04-12T21:02:17Z
112,5,3,168.56,resale,2026-04-12T21:02:17Z
112,7,19,168.56,resale,2026-04-12T21:02:17Z
112,7,20,168.56,resale,2026-04-12T21:02:17Z
112,CC,11,168.56,resale,2026-04-12T21:02:17Z
112,CC,12,168.56,resale,2026-04-12T21:02:17Z
113,2,16,203.44,resale,2026-04-12T21:02:17Z
113,2,17,203.44,resale,2026-04-12T21:02:17Z
113,4,7,203.44,resale,2026-04-12T21:02:17Z
113,4,8,203.44,resale,2026-04-12T21:02:17Z
113,4,15,203.44,resale,2026-04-12T21:02:17Z
113,4,16,203.44,resale,2026-04-12T21:02:17Z
113,5,1,203.44,resale,2026-04-12T21:02:17Z
113,5,2,203.44,resale,2026-04-12T21:02:17Z
113,9,11,203.44,resale,2026-04-12T21:02:17Z
113,9,12,203.44,resale,2026-04-12T21:02:17Z
114,BB,1,110.44,resale,2026-04-12T21:02:17Z
114,BB,2,110.44,resale,2026-04-12T21:02:17Z
116,17,17,87.19,resale,2026-04-12T21:02:17Z
116,17,18,87.19,resale,2026-04-12T21:02:17Z
116,20,11,87.19,resale,2026-04-12T21:02:17Z
116,20,12,87.19,resale,2026-04-12T21:02:17Z
118A,1,5,98.81,resale,2026-04-12T21:02:17Z
118A,1,6,98.81,resale,2026-04-12T21:02:17Z
119A,1,1,145.31,resale,2026-04-12T21:02:17Z
119A,1,2,145.31,resale,2026-04-12T21:02:17Z
119A,1,3,145.31,resale,2026-04-12T21:02:17Z
119A,1,4,145.31,resale,2026-04-12T21:02:17Z
120,4,9,116.35,standard,2026-04-12T21:02:17Z
120,4,10,116.35,standard,2026-04-12T21:02:17Z
121,25,23,69.75,resale,2026-04-12T21:02:17Z
121,25,24,69.75,resale,2026-04-12T21:02:17Z
121,26,16,69.75,resale,2026-04-12T21:02:17Z
121,26,17,69.75,resale,2026-04-12T21:02:17Z
121,26,18,69.75,resale,2026-04-12T21:02:17Z
121,26,19,69.75,resale,2026-04-12T21:02:17Z
121,26,20,69.75,resale,2026-04-12T21:02:17Z
121,26,21,69.75,resale,2026-04-12T21:02:17Z
121,26,22,69.75,resale,2026-04-12T21:02:17Z
121,26,23,69.75,resale,2026-04-12T21:02:17Z
121,26,24,69.75,resale,2026-04-12T21:02:17Z
123,11,1,139.5,resale,2026-04-12T21:02:17Z
123,11,2,139.5,resale,2026-04-12T21:02:17Z
123,19,8,139.5,resale,2026-04-12T21:02:17Z
123,19,9,139.5,resale,2026-04-12T21:02:17Z
123,8,9,139.5,resale,2026-04-12T21:02:17Z
123,8,10,139.5,resale,2026-04-12T21:02:17Z
