section,row,seat,price_usd,selection_type,scraped_at
101,C,13,231.15,resale,2026-04-12T23:31:50Z
101,C,14,231.15,resale,2026-04-12T23:31:50Z
101,D,17,231.15,resale,2026-04-12T23:31:50Z
101,D,18,231.15,resale,2026-04-12T23:31:50Z
102,A,3,155.0,standard,2026-04-12T23:31:50Z
102,A,4,155.0,standard,2026-04-12T23:31:50Z
102,D,4,155.0,standard,2026-04-12T23:31:50Z
102,D,5,155.0,standard,2026-04-12T23:31:50Z
102,D,6,155.0,standard,2026-04-12T23:31:50Z
102,D,7,155.0,standard,2026-04-12T23:31:50Z
102,D,8,155.0,standard,2026-04-12T23:31:50Z
102,L,15,155.0,standard,2026-04-12T23:31:50Z
102,L,16,155.0,standard,2026-04-12T23:31:50Z
103,L,3,108.0,standard,2026-04-12T23:31:50Z
103,L,4,108.0,standard,2026-04-12T23:31:50Z
111,K,15,155.0,standard,2026-04-12T23:31:50Z
111,K,16,155.0,standard,2026-04-12T23:31:50Z
112,L,7,201.0,standard,2026-04-12T23:31:50Z
112,L,8,201.0,standard,2026-04-12T23:31:50Z
112,L,13,201.0,standard,2026-04-12T23:31:50Z
112,L,14,201.0,standard,2026-04-12T23:31:50Z
112,O,19,201.0,standard,2026-04-12T23:31:50Z
112,O,20,201.0,standard,2026-04-12T23:31:50Z
117,AA,11,87.5,standard,2026-04-12T23:31:50Z
117,AA,12,87.5,standard,2026-04-12T23:31:50Z
119,JJ,3,86.25,resale,2026-04-12T23:31:50Z
119,JJ,4,86.25,resale,2026-04-12T23:31:50Z
122,C,11,281.75,resale,2026-04-12T23:31:50Z
122,C,12,281.75,resale,2026-04-12T23:31:50Z
201,J,9,151.0,standard,2026-04-12T23:31:50Z
201,J,10,151.0,standard,2026-04-12T23:31:50Z
212,M,1,77.5,standard,2026-04-12T23:31:50Z
212,M,2,77.5,standard,2026-04-12T23:31:50Z
214,J,7,85.5,standard,2026-04-12T23:31:50Z
214,J,8,85.5,standard,2026-04-12T23:31:50Z
214,L,1,85.5,standard,2026-04-12T23:31:50Z
214,L,2,85.5,standard,2026-04-12T23:31:50Z
214,L,3,85.5,standard,2026-04-12T23:31:50Z
214,L,4,85.5,standard,2026-04-12T23:31:50Z
217,E,7,172.5,resale,2026-04-12T23:31:50Z
217,E,8,172.5,resale,2026-04-12T23:31:50Z
219,H,7,92.0,resale,2026-04-12T23:31:50Z
219,H,8,92.0,resale,2026-04-12T23:31:50Z
221,E,5,46.0,resale,2026-04-12T23:31:50Z
221,E,6,46.0,resale,2026-04-12T23:31:50Z
