section,row,seat,price_usd,selection_type,scraped_at
101,A,7,231.15,resale,2026-04-12T23:31:50Z
101,A,8,231.15,resale,2026-04-12T23:31:50Z
101,C,13,231.15,resale,2026-04-12T23:31:50Z
101,C,14,231.15,resale,2026-04-12T23:31:50Z
101,D,17,231.15,resale,2026-04-12T23:31:50Z
101,D,18,231.15,resale,2026-04-12T23:31:50Z
101,DD,13,231.15,resale,2026-04-12T23:31:50Z
101,DD,14,231.15,resale,2026-04-12T23:31:50Z
101,DD,15,231.15,resale,2026-04-12T23:31:50Z
101,DD,16,231.15,resale,2026-04-12T23:31:50Z
101,F,9,231.15,resale,2026-04-12T23:31:50Z
101,F,10,231.15,resale,2026-04-12T23:31:50Z
101,F,18,231.15,resale,2026-04-12T23:31:50Z
101,F,19,231.15,resale,2026-04-12T23:31:50Z
102,A,4,155.0,standard,2026-04-12T23:31:50Z
102,A,3,155.0,standard,2026-04-12T23:31:50Z
102,CC,10,155.0,standard,2026-04-12T23:31:50Z
102,CC,9,155.0,standard,2026-04-12T23:31:50Z
102,D,4,155.0,standard,2026-04-12T23:31:50Z
102,D,5,155.0,standard,2026-04-12T23:31:50Z
102,D,6,155.0,standard,2026-04-12T23:31:50Z
102,D,7,155.0,standard,2026-04-12T23:31:50Z
102,D,8,155.0,standard,2026-04-12T23:31:50Z
102,L,15,155.0,standard,2026-04-12T23:31:50Z
102,L,16,155.0,standard,2026-04-12T23:31:50Z
103,H,1,108.0,standard,2026-04-12T23:31:50Z
103,H,2,108.0,standard,2026-04-12T23:31:50Z
103,L,4,108.0,standard,2026-04-12T23:31:50Z
103,L,9,108.0,standard,2026-04-12T23:31:50Z
103,L,10,108.0,standard,2026-04-12T23:31:50Z
103,L,3,108.0,standard,2026-04-12T23:31:50Z
105,NN,8,87.5,standard,2026-04-12T23:31:50Z
105,NN,9,87.5,standard,2026-04-12T23:31:50Z
105,O,19,87.5,standard,2026-04-12T23:31:50Z
105,O,20,87.5,standard,2026-04-12T23:31:50Z
107,D,7,87.5,standard,2026-04-12T23:31:50Z
107,D,8,87.5,standard,2026-04-12T23:31:50Z
111,AA,3,155.0,standard,2026-04-12T23:31:50Z
111,AA,4,155.0,standard,2026-04-12T23:31:50Z
111,K,15,155.0,standard,2026-04-12T23:31:50Z
111,K,16,155.0,standard,2026-04-12T23:31:50Z
112,L,7,201.0,standard,2026-04-12T23:31:50Z
112,L,8,201.0,standard,2026-04-12T23:31:50Z
112,L,13,201.0,standard,2026-04-12T23:31:50Z
112,L,14,201.0,standard,2026-04-12T23:31:50Z
112,O,19,201.0,standard,2026-04-12T23:31:50Z
112,O,20,201.0,standard,2026-04-12T23:31:50Z
113,F,4,155.0,standard,2026-04-12T23:31:50Z
113,F,3,155.0,standard,2026-04-12T23:31:50Z
116,F,13,89.7,resale,2026-04-12T23:31:50Z
116,F,14,89.7,resale,2026-04-12T23:31:50Z
117,AA,11,87.5,standard,2026-04-12T23:31:50Z
117,AA,12,87.5,standard,2026-04-12T23:31:50Z
117,GG,10,87.5,standard,2026-04-12T23:31:50Z
117,GG,9,87.5,standard,2026-04-12T23:31:50Z
117,KK,10,87.5,standard,2026-04-12T23:31:50Z
117,KK,9,87.5,standard,2026-04-12T23:31:50Z
119,FF,3,86.25,resale,2026-04-12T23:31:50Z
119,FF,4,86.25,resale,2026-04-12T23:31:50Z
119,JJ,3,86.25,resale,2026-04-12T23:31:50Z
119,JJ,4,86.25,resale,2026-04-12T23:31:50Z
119,PP,3,86.25,resale,2026-04-12T23:31:50Z
119,PP,4,86.25,resale,2026-04-12T23:31:50Z
122,1,4,281.75,resale,2026-04-12T23:31:50Z
122,1,3,281.75,resale,2026-04-12T23:31:50Z
122,B,5,281.75,resale,2026-04-12T23:31:50Z
122,B,6,281.75,resale,2026-04-12T23:31:50Z
122,C,11,281.75,resale,2026-04-12T23:31:50Z
122,C,12,281.75,resale,2026-04-12T23:31:50Z
