section,row,seat,price_usd,selection_type,scraped_at
101,9,1,308.0,standard,2026-04-01T23:00:40Z
101,9,2,308.0,standard,2026-04-01T23:00:40Z
102,13,13,200.48,standard,2026-04-01T23:00:40Z
102,13,14,200.48,standard,2026-04-01T23:00:40Z
103,15,9,173.6,standard,2026-04-01T23:00:40Z
103,15,10,173.6,standard,2026-04-01T23:00:40Z
106,18,3,148.75,resale,2026-04-01T23:00:40Z
106,18,4,148.75,resale,2026-04-01T23:00:40Z
110,6,13,200.48,standard,2026-04-01T23:00:40Z
110,6,14,200.48,standard,2026-04-01T23:00:40Z
111,5,5,250.0,resale,2026-04-01T23:00:40Z
111,5,6,250.0,resale,2026-04-01T23:00:40Z
111,14,7,250.0,resale,2026-04-01T23:00:40Z
111,14,8,250.0,resale,2026-04-01T23:00:40Z
112,12,11,187.5,resale,2026-04-01T23:00:40Z
112,12,12,187.5,resale,2026-04-01T23:00:40Z
113,7,3,187.5,resale,2026-04-01T23:00:40Z
113,7,4,187.5,resale,2026-04-01T23:00:40Z
113,19,1,187.5,resale,2026-04-01T23:00:40Z
113,19,2,187.5,resale,2026-04-01T23:00:40Z
114,10,1,155.0,resale,2026-04-01T23:00:40Z
114,10,2,155.0,resale,2026-04-01T23:00:40Z
114,15,10,155.0,resale,2026-04-01T23:00:40Z
114,15,11,155.0,resale,2026-04-01T23:00:40Z
118,19,25,136.64,standard,2026-04-01T23:00:40Z
118,19,26,136.64,standard,2026-04-01T23:00:40Z
118,H,1,136.64,standard,2026-04-01T23:00:40Z
118,H,2,136.64,standard,2026-04-01T23:00:40Z
118,K,1,136.64,standard,2026-04-01T23:00:40Z
118,K,2,136.64,standard,2026-04-01T23:00:40Z
121,6,9,112.5,resale,2026-04-01T23:00:40Z
121,6,10,112.5,resale,2026-04-01T23:00:40Z
121,17,13,112.5,resale,2026-04-01T23:00:40Z
121,17,14,112.5,resale,2026-04-01T23:00:40Z
121,18,9,112.5,resale,2026-04-01T23:00:40Z
121,18,10,112.5,resale,2026-04-01T23:00:40Z
122,16,3,150.0,resale,2026-04-01T23:00:40Z
122,16,4,150.0,resale,2026-04-01T23:00:40Z
202,5,3,165.0,resale,2026-04-01T23:00:40Z
202,5,4,165.0,resale,2026-04-01T23:00:40Z
202,7,3,165.0,resale,2026-04-01T23:00:40Z
202,7,4,165.0,resale,2026-04-01T23:00:40Z
207,8,1,125.0,resale,2026-04-01T23:00:40Z
207,8,2,125.0,resale,2026-04-01T23:00:40Z
216,1,17,100.0,resale,2026-04-01T23:00:40Z
216,1,18,100.0,resale,2026-04-01T23:00:40Z
216,2,17,100.0,resale,2026-04-01T23:00:40Z
216,2,18,100.0,resale,2026-04-01T23:00:40Z
222,3,9,123.75,resale,2026-04-01T23:00:40Z
222,3,10,123.75,resale,2026-04-01T23:00:40Z
226,7,9,87.5,resale,2026-04-01T23:00:40Z
226,7,10,87.5,resale,2026-04-01T23:00:40Z
231,1,1,117.6,standard,2026-04-01T23:00:40Z
231,1,2,117.6,standard,2026-04-01T23:00:40Z
231,1,11,117.6,standard,2026-04-01T23:00:40Z
231,1,12,117.6,standard,2026-04-01T23:00:40Z
231,2,5,117.6,standard,2026-04-01T23:00:40Z
231,2,6,117.6,standard,2026-04-01T23:00:40Z
301,9,19,77.5,resale,2026-04-01T23:00:40Z
301,9,20,77.5,resale,2026-04-01T23:00:40Z
303,2,10,54.88,standard,2026-04-01T23:00:40Z
303,2,11,54.88,standard,2026-04-01T23:00:40Z
315,1,1,54.88,standard,2026-04-01T23:00:40Z
315,1,2,54.88,standard,2026-04-01T23:00:40Z
323,17,1,50.4,standard,2026-04-01T23:00:40Z
323,17,2,50.4,standard,2026-04-01T23:00:40Z
330,5,5,50.4,standard,2026-04-01T23:00:40Z
330,5,6,50.4,standard,2026-04-01T23:00:40Z
330,5,7,50.4,standard,2026-04-01T23:00:40Z
330,5,8,50.4,standard,2026-04-01T23:00:40Z
330,5,9,50.4,standard,2026-04-01T23:00:40Z
334,8,9,82.5,resale,2026-04-01T23:00:40Z
334,8,10,82.5,resale,2026-04-01T23:00:40Z
