section,row,seat,price_usd,selection_type,scraped_at
101,11,19,430.0,resale,2026-04-10T23:00:12Z
101,11,20,430.0,resale,2026-04-10T23:00:12Z
110,7,9,281.25,resale,2026-04-10T23:00:12Z
110,7,10,281.25,resale,2026-04-10T23:00:12Z
110,7,11,281.25,resale,2026-04-10T23:00:12Z
110,7,12,281.25,resale,2026-04-10T23:00:12Z
111,10,15,312.5,resale,2026-04-10T23:00:12Z
111,10,16,312.5,resale,2026-04-10T23:00:12Z
112,5,7,423.75,resale,2026-04-10T23:00:12Z
112,5,8,423.75,resale,2026-04-10T23:00:12Z
113,1,5,352.8,standard,2026-04-10T23:00:12Z
113,1,6,352.8,standard,2026-04-10T23:00:12Z
122,7,17,246.25,resale,2026-04-10T23:00:12Z
122,7,18,246.25,resale,2026-04-10T23:00:12Z
122,9,17,246.25,resale,2026-04-10T23:00:12Z
122,9,18,246.25,resale,2026-04-10T23:00:12Z
122,9,19,246.25,resale,2026-04-10T23:00:12Z
122,9,20,246.25,resale,2026-04-10T23:00:12Z
202,7,5,268.75,resale,2026-04-10T23:00:12Z
202,7,6,268.75,resale,2026-04-10T23:00:12Z
222,3,11,191.25,resale,2026-04-10T23:00:12Z
222,3,12,191.25,resale,2026-04-10T23:00:12Z
231,1,1,162.4,standard,2026-04-10T23:00:12Z
231,1,2,162.4,standard,2026-04-10T23:00:12Z
231,6,4,162.4,standard,2026-04-10T23:00:12Z
231,6,3,162.4,standard,2026-04-10T23:00:12Z
234,2,11,275.0,resale,2026-04-10T23:00:12Z
234,2,12,275.0,resale,2026-04-10T23:00:12Z
234,2,15,275.0,resale,2026-04-10T23:00:12Z
234,2,16,275.0,resale,2026-04-10T23:00:12Z
301,10,1,81.25,resale,2026-04-10T23:00:12Z
301,10,2,81.25,resale,2026-04-10T23:00:12Z
307,10,15,54.88,standard,2026-04-10T23:00:12Z
307,10,16,54.88,standard,2026-04-10T23:00:12Z
307,10,17,54.88,standard,2026-04-10T23:00:12Z
307,10,18,54.88,standard,2026-04-10T23:00:12Z
307,10,19,54.88,standard,2026-04-10T23:00:12Z
307,10,20,54.88,standard,2026-04-10T23:00:12Z
307,6,13,54.88,standard,2026-04-10T23:00:12Z
307,6,14,54.88,standard,2026-04-10T23:00:12Z
307,9,19,54.88,standard,2026-04-10T23:00:12Z
307,9,20,54.88,standard,2026-04-10T23:00:12Z
313,10,10,54.88,standard,2026-04-10T23:00:12Z
313,10,9,54.88,standard,2026-04-10T23:00:12Z
313,7,5,54.88,standard,2026-04-10T23:00:12Z
313,7,6,54.88,standard,2026-04-10T23:00:12Z
315,1,1,75.04,standard,2026-04-10T23:00:12Z
315,1,2,75.04,standard,2026-04-10T23:00:12Z
317,2,19,126.25,resale,2026-04-10T23:00:12Z
317,2,20,126.25,resale,2026-04-10T23:00:12Z
321,9,4,56.25,resale,2026-04-10T23:00:12Z
321,9,3,56.25,resale,2026-04-10T23:00:12Z
322,12,1,63.75,resale,2026-04-10T23:00:12Z
322,12,2,63.75,resale,2026-04-10T23:00:12Z
322,12,3,63.75,resale,2026-04-10T23:00:12Z
322,12,4,63.75,resale,2026-04-10T23:00:12Z
322,16,20,63.75,resale,2026-04-10T23:00:12Z
322,16,21,63.75,resale,2026-04-10T23:00:12Z
324,10,3,54.88,standard,2026-04-10T23:00:12Z
324,10,4,54.88,standard,2026-04-10T23:00:12Z
324,9,7,54.88,standard,2026-04-10T23:00:12Z
324,9,8,54.88,standard,2026-04-10T23:00:12Z
325,3,5,54.88,standard,2026-04-10T23:00:12Z
325,3,6,54.88,standard,2026-04-10T23:00:12Z
329,10,7,54.88,standard,2026-04-10T23:00:12Z
329,10,8,54.88,standard,2026-04-10T23:00:12Z
330,11,17,54.88,standard,2026-04-10T23:00:12Z
330,11,18,54.88,standard,2026-04-10T23:00:12Z
330,11,19,54.88,standard,2026-04-10T23:00:12Z
330,11,20,54.88,standard,2026-04-10T23:00:12Z
333,12,15,62.5,resale,2026-04-10T23:00:12Z
333,12,16,62.5,resale,2026-04-10T23:00:12Z
333,3,1,62.5,resale,2026-04-10T23:00:12Z
333,3,2,62.5,resale,2026-04-10T23:00:12Z
