section,row,seat,price_usd,selection_type,scraped_at
207,10,5,44.77,resale,2026-04-29T22:33:57Z
207,10,6,44.77,resale,2026-04-29T22:33:57Z
207,10,7,44.77,resale,2026-04-29T22:33:57Z
207,10,8,44.77,resale,2026-04-29T22:33:57Z
207,11,18,44.77,resale,2026-04-29T22:33:57Z
207,11,19,44.77,resale,2026-04-29T22:33:57Z
210,9,7,52.03,resale,2026-04-29T22:33:57Z
210,9,8,52.03,resale,2026-04-29T22:33:57Z
210,16,7,52.03,resale,2026-04-29T22:33:57Z
210,16,8,52.03,resale,2026-04-29T22:33:57Z
210,16,9,52.03,resale,2026-04-29T22:33:57Z
210,16,10,52.03,resale,2026-04-29T22:33:57Z
210,16,15,52.03,resale,2026-04-29T22:33:57Z
210,16,16,52.03,resale,2026-04-29T22:33:57Z
210,16,2,52.03,resale,2026-04-29T22:33:57Z
210,17,1,52.03,resale,2026-04-29T22:33:57Z
210,17,2,52.03,resale,2026-04-29T22:33:57Z
210,15,3,52.03,resale,2026-04-29T22:33:57Z
210,15,4,52.03,resale,2026-04-29T22:33:57Z
210,10,5,52.03,resale,2026-04-29T22:33:57Z
210,10,6,52.03,resale,2026-04-29T22:33:57Z
210,10,7,52.03,resale,2026-04-29T22:33:57Z
210,10,8,52.03,resale,2026-04-29T22:33:57Z
112,15,5,199.65,resale,2026-04-29T22:33:57Z
112,15,6,199.65,resale,2026-04-29T22:33:57Z
112,15,7,199.65,resale,2026-04-29T22:33:57Z
112,15,8,199.65,resale,2026-04-29T22:33:57Z
C119,2,9,177.87,resale,2026-04-29T22:33:57Z
C119,2,10,177.87,resale,2026-04-29T22:33:57Z
C119,13,5,177.87,resale,2026-04-29T22:33:57Z
C119,13,6,177.87,resale,2026-04-29T22:33:57Z
C119,12,1,177.87,resale,2026-04-29T22:33:57Z
C119,12,2,177.87,resale,2026-04-29T22:33:57Z
C119,12,3,177.87,resale,2026-04-29T22:33:57Z
C119,12,11,177.87,resale,2026-04-29T22:33:57Z
C119,12,12,177.87,resale,2026-04-29T22:33:57Z
C119,12,4,177.87,resale,2026-04-29T22:33:57Z
C119,14,1,177.87,resale,2026-04-29T22:33:57Z
C119,14,2,177.87,resale,2026-04-29T22:33:57Z
C119,14,3,177.87,resale,2026-04-29T22:33:57Z
C119,14,10,177.87,resale,2026-04-29T22:33:57Z
C119,14,11,177.87,resale,2026-04-29T22:33:57Z
C119,14,12,177.87,resale,2026-04-29T22:33:57Z
C119,14,4,177.87,resale,2026-04-29T22:33:57Z
C119,14,9,177.87,resale,2026-04-29T22:33:57Z
C119,15,13,177.87,resale,2026-04-29T22:33:57Z
C119,15,14,177.87,resale,2026-04-29T22:33:57Z
C119,16,13,177.87,resale,2026-04-29T22:33:57Z
C119,16,14,177.87,resale,2026-04-29T22:33:57Z
C119,16,4,177.87,resale,2026-04-29T22:33:57Z
C119,16,5,177.87,resale,2026-04-29T22:33:57Z
206,7,12,33.88,resale,2026-04-29T22:33:57Z
206,7,13,33.88,resale,2026-04-29T22:33:57Z
206,12,18,33.88,resale,2026-04-29T22:33:57Z
206,12,19,33.88,resale,2026-04-29T22:33:57Z
206,12,8,33.88,resale,2026-04-29T22:33:57Z
206,12,9,33.88,resale,2026-04-29T22:33:57Z
206,14,11,33.88,resale,2026-04-29T22:33:57Z
206,14,12,33.88,resale,2026-04-29T22:33:57Z
206,14,13,33.88,resale,2026-04-29T22:33:57Z
206,14,14,33.88,resale,2026-04-29T22:33:57Z
