section,row,seat,price_usd,selection_type,scraped_at
BAL301,13,16,81.07,resale,2026-04-12T21:00:32Z
BAL301,13,17,81.07,resale,2026-04-12T21:00:32Z
BAL301,14,14,81.07,resale,2026-04-12T21:00:32Z
BAL301,14,13,81.07,resale,2026-04-12T21:00:32Z
BAL301,15,14,81.07,resale,2026-04-12T21:00:32Z
BAL301,15,15,81.07,resale,2026-04-12T21:00:32Z
BAL301,2,4,81.07,resale,2026-04-12T21:00:32Z
BAL301,2,5,81.07,resale,2026-04-12T21:00:32Z
BAL301,3,5,81.07,resale,2026-04-12T21:00:32Z
BAL301,3,6,81.07,resale,2026-04-12T21:00:32Z
BAL301,6,10,81.07,resale,2026-04-12T21:00:32Z
BAL301,6,9,81.07,resale,2026-04-12T21:00:32Z
BAL301,7,13,81.07,resale,2026-04-12T21:00:32Z
BAL301,7,14,81.07,resale,2026-04-12T21:00:32Z
BAL301,7,5,81.07,resale,2026-04-12T21:00:32Z
BAL301,7,6,81.07,resale,2026-04-12T21:00:32Z
BAL301,8,17,81.07,resale,2026-04-12T21:00:32Z
BAL301,8,16,81.07,resale,2026-04-12T21:00:32Z
BAL301,9,5,81.07,resale,2026-04-12T21:00:32Z
BAL301,9,6,81.07,resale,2026-04-12T21:00:32Z
BAL302,11,14,78.65,resale,2026-04-12T21:00:32Z
BAL302,11,13,78.65,resale,2026-04-12T21:00:32Z
BAL302,11,5,78.65,resale,2026-04-12T21:00:32Z
BAL302,11,6,78.65,resale,2026-04-12T21:00:32Z
BAL302,14,11,78.65,resale,2026-04-12T21:00:32Z
BAL302,14,12,78.65,resale,2026-04-12T21:00:32Z
BAL302,3,5,78.65,resale,2026-04-12T21:00:32Z
BAL302,3,6,78.65,resale,2026-04-12T21:00:32Z
BAL302,7,1,78.65,resale,2026-04-12T21:00:32Z
BAL302,7,2,78.65,resale,2026-04-12T21:00:32Z
BAL302,8,8,78.65,resale,2026-04-12T21:00:32Z
BAL302,8,9,78.65,resale,2026-04-12T21:00:32Z
BAL303,2,17,93.17,resale,2026-04-12T21:00:32Z
BAL303,2,16,93.17,resale,2026-04-12T21:00:32Z
BAL303,2,2,93.17,resale,2026-04-12T21:00:32Z
BAL303,3,1,93.17,resale,2026-04-12T21:00:32Z
BAL303,3,2,93.17,resale,2026-04-12T21:00:32Z
BAL303,8,13,93.17,resale,2026-04-12T21:00:32Z
BAL303,8,14,93.17,resale,2026-04-12T21:00:32Z
BAL303,8,15,93.17,resale,2026-04-12T21:00:32Z
BAL303,8,16,93.17,resale,2026-04-12T21:00:32Z
BAL304,11,22,77.44,resale,2026-04-12T21:00:32Z
BAL304,11,23,77.44,resale,2026-04-12T21:00:32Z
BAL304,8,1,77.44,resale,2026-04-12T21:00:32Z
BAL304,8,2,77.44,resale,2026-04-12T21:00:32Z
BAL305,10,21,66.55,resale,2026-04-12T21:00:32Z
BAL305,10,22,66.55,resale,2026-04-12T21:00:32Z
BAL305,2,17,66.55,resale,2026-04-12T21:00:32Z
BAL305,2,16,66.55,resale,2026-04-12T21:00:32Z
BAL305,2,7,66.55,resale,2026-04-12T21:00:32Z
BAL305,2,8,66.55,resale,2026-04-12T21:00:32Z
BAL305,3,1,66.55,resale,2026-04-12T21:00:32Z
BAL305,3,2,66.55,resale,2026-04-12T21:00:32Z
BAL305,5,10,66.55,resale,2026-04-12T21:00:32Z
BAL305,5,11,66.55,resale,2026-04-12T21:00:32Z
BAL305,8,5,66.55,resale,2026-04-12T21:00:32Z
BAL305,8,6,66.55,resale,2026-04-12T21:00:32Z
BAL306,13,14,84.7,resale,2026-04-12T21:00:32Z
BAL306,13,15,84.7,resale,2026-04-12T21:00:32Z
BAL306,13,16,84.7,resale,2026-04-12T21:00:32Z
BAL306,13,13,84.7,resale,2026-04-12T21:00:32Z
BAL306,2,13,84.7,resale,2026-04-12T21:00:32Z
BAL306,2,14,84.7,resale,2026-04-12T21:00:32Z
BAL306,6,1,84.7,resale,2026-04-12T21:00:32Z
BAL306,6,2,84.7,resale,2026-04-12T21:00:32Z
BAL306,9,20,84.7,resale,2026-04-12T21:00:32Z
BAL306,9,21,84.7,resale,2026-04-12T21:00:32Z
BAL307,10,10,72.6,resale,2026-04-12T21:00:32Z
BAL307,10,11,72.6,resale,2026-04-12T21:00:32Z
BAL308,15,25,87.12,resale,2026-04-12T21:00:32Z
BAL308,15,26,87.12,resale,2026-04-12T21:00:32Z
BAL309,10,1,85.91,resale,2026-04-12T21:00:32Z
BAL309,10,2,85.91,resale,2026-04-12T21:00:32Z
BAL309,14,17,85.91,resale,2026-04-12T21:00:32Z
BAL309,14,18,85.91,resale,2026-04-12T21:00:32Z
BAL309,5,12,85.91,resale,2026-04-12T21:00:32Z
BAL309,5,13,85.91,resale,2026-04-12T21:00:32Z
BAL309,5,8,85.91,resale,2026-04-12T21:00:32Z
BAL309,5,9,85.91,resale,2026-04-12T21:00:32Z
BAL309,6,11,85.91,resale,2026-04-12T21:00:32Z
BAL309,6,12,85.91,resale,2026-04-12T21:00:32Z
BAL310,1,10,77.44,resale,2026-04-12T21:00:32Z
BAL310,1,9,77.44,resale,2026-04-12T21:00:32Z
BAL310,8,4,77.44,resale,2026-04-12T21:00:32Z
BAL310,8,5,77.44,resale,2026-04-12T21:00:32Z
BAL310,9,7,77.44,resale,2026-04-12T21:00:32Z
BAL310,9,8,77.44,resale,2026-04-12T21:00:32Z
BAL311,7,13,70.18,resale,2026-04-12T21:00:32Z
BAL311,7,14,70.18,resale,2026-04-12T21:00:32Z
BAL311,8,17,70.18,resale,2026-04-12T21:00:32Z
BAL311,8,16,70.18,resale,2026-04-12T21:00:32Z
BAL311,9,14,70.18,resale,2026-04-12T21:00:32Z
BAL311,9,15,70.18,resale,2026-04-12T21:00:32Z
BAL312,10,1,79.86,resale,2026-04-12T21:00:32Z
BAL312,10,2,79.86,resale,2026-04-12T21:00:32Z
BAL312,11,22,79.86,resale,2026-04-12T21:00:32Z
BAL312,11,23,79.86,resale,2026-04-12T21:00:32Z
BAL312,12,5,79.86,resale,2026-04-12T21:00:32Z
BAL312,12,6,79.86,resale,2026-04-12T21:00:32Z
BAL312,14,24,79.86,resale,2026-04-12T21:00:32Z
BAL312,14,23,79.86,resale,2026-04-12T21:00:32Z
BAL312,1,13,79.86,resale,2026-04-12T21:00:32Z
BAL312,1,14,79.86,resale,2026-04-12T21:00:32Z
BAL313,10,7,75.02,resale,2026-04-12T21:00:32Z
BAL313,10,8,75.02,resale,2026-04-12T21:00:32Z
BAL313,2,7,75.02,resale,2026-04-12T21:00:32Z
BAL313,2,8,75.02,resale,2026-04-12T21:00:32Z
BAL313,3,11,75.02,resale,2026-04-12T21:00:32Z
BAL313,3,12,75.02,resale,2026-04-12T21:00:32Z
BAL313,7,13,75.02,resale,2026-04-12T21:00:32Z
BAL313,7,14,75.02,resale,2026-04-12T21:00:32Z
BAL314,11,1,72.6,resale,2026-04-12T21:00:32Z
BAL314,11,2,72.6,resale,2026-04-12T21:00:32Z
BAL314,12,14,72.6,resale,2026-04-12T21:00:32Z
BAL314,12,15,72.6,resale,2026-04-12T21:00:32Z
BAL314,12,11,72.6,resale,2026-04-12T21:00:32Z
BAL314,12,12,72.6,resale,2026-04-12T21:00:32Z
BAL314,12,5,72.6,resale,2026-04-12T21:00:32Z
BAL314,12,6,72.6,resale,2026-04-12T21:00:32Z
BAL314,7,1,72.6,resale,2026-04-12T21:00:32Z
BAL314,7,2,72.6,resale,2026-04-12T21:00:32Z
BAL315,10,10,70.18,resale,2026-04-12T21:00:32Z
BAL315,10,11,70.18,resale,2026-04-12T21:00:32Z
BAL315,11,16,70.18,resale,2026-04-12T21:00:32Z
BAL315,11,17,70.18,resale,2026-04-12T21:00:32Z
BAL315,11,18,70.18,resale,2026-04-12T21:00:32Z
BAL315,11,19,70.18,resale,2026-04-12T21:00:32Z
BAL315,12,18,70.18,resale,2026-04-12T21:00:32Z
BAL315,12,19,70.18,resale,2026-04-12T21:00:32Z
BAL315,12,2,70.18,resale,2026-04-12T21:00:32Z
BAL315,13,18,70.18,resale,2026-04-12T21:00:32Z
BAL315,13,19,70.18,resale,2026-04-12T21:00:32Z
BAL315,15,14,70.18,resale,2026-04-12T21:00:32Z
BAL315,15,15,70.18,resale,2026-04-12T21:00:32Z
BAL315,4,8,70.18,resale,2026-04-12T21:00:32Z
BAL315,4,9,70.18,resale,2026-04-12T21:00:32Z
BAL315,9,5,70.18,resale,2026-04-12T21:00:32Z
BAL315,9,6,70.18,resale,2026-04-12T21:00:32Z
BAL316,12,15,72.6,resale,2026-04-12T21:00:32Z
BAL316,12,16,72.6,resale,2026-04-12T21:00:32Z
BAL316,15,1,72.6,resale,2026-04-12T21:00:32Z
BAL316,15,2,72.6,resale,2026-04-12T21:00:32Z
