section,row,seat,price_usd,selection_type,scraped_at
BAL301,11,10,157.3,resale,2026-04-28T22:03:08Z
BAL301,11,11,157.3,resale,2026-04-28T22:03:08Z
BAL301,11,14,157.3,resale,2026-04-28T22:03:08Z
BAL301,11,15,157.3,resale,2026-04-28T22:03:08Z
BAL302,2,9,181.5,resale,2026-04-28T22:03:08Z
BAL302,2,10,181.5,resale,2026-04-28T22:03:08Z
BAL302,5,1,181.5,resale,2026-04-28T22:03:08Z
BAL302,5,2,181.5,resale,2026-04-28T22:03:08Z
BAL302,15,17,181.5,resale,2026-04-28T22:03:08Z
BAL302,15,18,181.5,resale,2026-04-28T22:03:08Z
BAL303,3,2,121.0,resale,2026-04-28T22:03:08Z
BAL303,3,9,121.0,resale,2026-04-28T22:03:08Z
BAL303,3,10,121.0,resale,2026-04-28T22:03:08Z
BAL303,4,1,121.0,resale,2026-04-28T22:03:08Z
BAL303,4,2,121.0,resale,2026-04-28T22:03:08Z
BAL303,11,20,121.0,resale,2026-04-28T22:03:08Z
BAL303,11,21,121.0,resale,2026-04-28T22:03:08Z
BAL304,5,12,108.9,resale,2026-04-28T22:03:08Z
BAL304,5,13,108.9,resale,2026-04-28T22:03:08Z
BAL305,2,7,102.85,resale,2026-04-28T22:03:08Z
BAL305,2,8,102.85,resale,2026-04-28T22:03:08Z
BAL305,2,9,102.85,resale,2026-04-28T22:03:08Z
BAL305,2,10,102.85,resale,2026-04-28T22:03:08Z
BAL305,3,3,102.85,resale,2026-04-28T22:03:08Z
BAL305,3,4,102.85,resale,2026-04-28T22:03:08Z
BAL306,1,13,133.1,resale,2026-04-28T22:03:08Z
BAL306,1,14,133.1,resale,2026-04-28T22:03:08Z
BAL308,8,3,107.69,resale,2026-04-28T22:03:08Z
BAL308,8,4,107.69,resale,2026-04-28T22:03:08Z
BAL308,8,5,107.69,resale,2026-04-28T22:03:08Z
BAL308,8,6,107.69,resale,2026-04-28T22:03:08Z
BAL309,5,1,108.9,resale,2026-04-28T22:03:08Z
BAL309,5,2,108.9,resale,2026-04-28T22:03:08Z
BAL310,7,1,148.83,resale,2026-04-28T22:03:08Z
BAL310,7,2,148.83,resale,2026-04-28T22:03:08Z
BAL311,9,14,110.11,resale,2026-04-28T22:03:08Z
BAL311,9,15,110.11,resale,2026-04-28T22:03:08Z
BAL314,11,1,116.16,resale,2026-04-28T22:03:08Z
BAL314,11,2,116.16,resale,2026-04-28T22:03:08Z
BAL315,7,8,145.2,resale,2026-04-28T22:03:08Z
BAL315,7,9,145.2,resale,2026-04-28T22:03:08Z
BAL315,8,1,145.2,resale,2026-04-28T22:03:08Z
BAL315,8,2,145.2,resale,2026-04-28T22:03:08Z
BAL315,9,1,145.2,resale,2026-04-28T22:03:08Z
BAL315,9,2,145.2,resale,2026-04-28T22:03:08Z
BAL315,9,3,145.2,resale,2026-04-28T22:03:08Z
BAL315,9,4,145.2,resale,2026-04-28T22:03:08Z
BAL315,9,5,145.2,resale,2026-04-28T22:03:08Z
BAL315,9,6,145.2,resale,2026-04-28T22:03:08Z
BAL316,1,10,142.78,resale,2026-04-28T22:03:08Z
BAL316,1,11,142.78,resale,2026-04-28T22:03:08Z
BAL316,1,16,142.78,resale,2026-04-28T22:03:08Z
BAL316,1,17,142.78,resale,2026-04-28T22:03:08Z
BAL316,7,1,142.78,resale,2026-04-28T22:03:08Z
BAL316,7,2,142.78,resale,2026-04-28T22:03:08Z
BAL316,8,15,142.78,resale,2026-04-28T22:03:08Z
BAL316,8,16,142.78,resale,2026-04-28T22:03:08Z
BAL316,9,6,142.78,resale,2026-04-28T22:03:08Z
BAL316,9,7,142.78,resale,2026-04-28T22:03:08Z
BAL316,11,3,142.78,resale,2026-04-28T22:03:08Z
BAL316,11,4,142.78,resale,2026-04-28T22:03:08Z
BAL316,11,5,142.78,resale,2026-04-28T22:03:08Z
BAL316,11,6,142.78,resale,2026-04-28T22:03:08Z
BAL317,1,13,153.67,resale,2026-04-28T22:03:08Z
BAL317,1,14,153.67,resale,2026-04-28T22:03:08Z
BAL317,5,3,153.67,resale,2026-04-28T22:03:08Z
BAL317,5,4,153.67,resale,2026-04-28T22:03:08Z
